EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.009002,Normal,68.75,68.750000,308144.054812,96310.267929,14921508010286178949,null,0,1,0
2,10,5.007240,Normal,68.75,68.750000,308144.054602,96310.267929,2823934824078185206,null,0,1,0
3,15,5.008776,Normal,68.75,68.750000,308137.786978,96287.602231,844706301316953147,null,0,1,0
4,20,5.007079,Normal,68.75,68.750000,308144.054812,96310.267929,13575339350133640537,null,0,1,0
5,25,5.006384,Normal,68.08,68.080000,301743.487560,96319.254733,10926055034921966546,null,0,1,0
6,30,5.005818,Normal,76.27,76.270000,333809.066611,79213.034497,16740374584774211926,null,0,1,0
7,35,5.006826,Normal,49.99,49.990000,192555.070675,96293.076012,11229182350521227177,null,0,1,0
8,40,5.006915,Normal,49.99,49.990000,192555.070675,96293.076012,14809677272999796110,null,0,1,0
9,45,5.006616,Normal,49.99,49.990000,192555.070675,96293.076012,9274112734422232258,null,0,1,0
10,50,5.009437,Normal,57.14,57.140000,224666.805048,96297.930449,13425842319572370773,null,0,1,0
11,55,5.011201,Normal,24.98,24.980000,128368.481064,96299.158922,17135353259016450817,null,0,1,0
12,60,5.010008,Normal,24.98,24.980000,128368.481064,96299.158922,12509126144964025633,null,0,1,0
13,65,5.007495,Normal,68.74,68.740000,308109.094654,96324.878466,7099854882722387741,null,0,1,0
14,70,5.008837,Normal,50.02,50.020000,192587.116531,96263.771414,10783471655529288922,null,0,1,0
15,75,5.009285,Normal,70,70.000000,320985.264678,96300.490803,16735130999230425360,null,0,1,0
16,80,5.008568,Normal,48.28,48.280000,186211.819185,96309.110855,5720939262798603504,null,0,1,0
17,86,5.009504,Normal,24.98,24.980000,128368.481064,96299.158922,16452515420458845241,null,0,1,0
18,91,5.010906,Normal,24.98,24.980000,128368.481064,96299.158922,72189513123532365,null,0,1,0
19,96,5.009264,Normal,21.06,21.060000,121992.402496,96304.204573,4035910778140628704,null,0,1,0
20,101,5.006292,Normal,69.39,69.390000,314561.361679,96281.971192,3681709543311468520,null,0,1,0
21,5,5.018570,Normal,69.39,69.390000,314544.000000,96290.900000,4742023368992659407,null,1,1,0
22,10,5.006890,Normal,34.82,34.820000,147710.000000,96281.400000,6256578975208963304,null,1,1,0
23,15,5.007850,Normal,34.82,34.820000,147710.000000,96281.400000,12336834199684603571,null,1,1,0
24,20,5.006930,Normal,34.82,34.820000,147710.000000,96281.400000,17426624414624633759,null,1,1,0
25,25,5.007850,Normal,76.27,76.270000,333809.000000,79213.000000,9521923097997584123,null,1,1,0
26,30,5.009180,Normal,42.31,42.310000,166887.000000,96274.600000,9152426245010523181,null,1,1,0
27,35,5.008920,Normal,70.57,70.570000,327382.000000,96337.700000,14887820698398008522,null,1,1,0
28,40,5.031810,Normal,70.01,70.010000,320964.000000,96269.900000,10819472677658251333,null,1,1,0
29,45,5.008200,Normal,70,70.000000,320988.000000,96282.500000,5925360256658316714,null,1,1,0
30,50,5.011710,Normal,21.08,21.080000,122001.000000,96283.900000,3444192465691585929,null,1,1,0
31,55,5.007440,Normal,21.07,21.070000,122001.000000,96296.900000,17936698409616148714,null,1,1,0
32,60,5.009530,Normal,37.51,37.510000,154073.000000,96274.600000,13139625273915990972,null,1,1,0
33,65,5.013290,Normal,21.07,21.070000,122001.000000,96293.200000,16644982563651331436,null,1,1,0
34,70,5.007480,Normal,21.07,21.070000,122001.000000,96296.900000,16048324242027281114,null,1,1,0
35,75,5.006950,Normal,11.81,11.810000,109159.000000,96262.600000,17136039322288558584,null,1,1,0
36,81,5.007220,Normal,68.76,68.760000,308147.000000,96273.100000,18235329861108409430,null,1,1,0
37,86,5.005340,Normal,68.08,68.080000,301715.000000,96305.800000,8206345197872347311,null,1,1,0
38,91,5.007330,Normal,70.97,70.970000,320985.000000,93190.700000,17174906495705248987,null,1,1,0
39,96,5.007460,Normal,21.07,21.070000,122001.000000,96296.900000,3977498000842779273,null,1,1,0
40,101,5.006830,Normal,11.84,11.840000,109197.000000,96269.000000,3906669691107298845,null,1,1,0
41,5,5.011640,Normal,70,70.000000,320985.000000,96280.900000,13833839775346593887,null,2,1,0
42,10,5.006950,Normal,70,70.000000,320985.000000,96280.900000,17419014958330931154,null,2,1,0
43,15,5.006810,Normal,70,70.000000,320985.000000,96280.900000,9597628650034279527,null,2,1,0
44,20,5.007600,Normal,70,70.000000,320985.000000,96280.900000,12119940639370611530,null,2,1,0
45,25,5.012460,Normal,70,70.000000,320985.000000,96280.900000,12048365323513552973,null,2,1,0
46,30,5.008890,Normal,70,70.000000,320985.000000,96282.900000,12063271185902931510,null,2,1,0
47,35,5.024920,Normal,70.01,70.010000,320985.000000,96274.300000,8542376615335877757,null,2,1,0
48,40,5.010550,Normal,44.47,44.470000,173364.000000,96264.300000,3236082361392310635,null,2,1,0
49,45,5.011740,Normal,44.47,44.470000,173364.000000,96264.200000,9724821648268136864,null,2,1,0
50,50,5.013370,Normal,66.67,66.670000,288910.000000,96284.900000,14759017026047729640,null,2,1,0
51,55,5.007330,Normal,71.58,71.580000,314566.000000,89387.400000,2386013355439773593,null,2,1,0
52,60,5.013230,Normal,68.69,68.690000,301736.000000,94469.000000,9115552634424846552,null,2,1,0
53,65,5.013530,Normal,44.47,44.470000,173364.000000,96264.300000,14151144509518479360,null,2,1,0
54,70,5.013180,Normal,70,70.000000,320985.000000,96300.200000,13324103528285718002,null,2,1,0
55,75,5.012670,Normal,44.47,44.470000,173364.000000,96264.200000,7171254133922976537,null,2,1,0
56,81,5.006420,Normal,76.27,76.270000,333809.000000,79213.000000,3050254520254077217,null,2,1,0
57,86,5.008280,Normal,46.44,46.440000,179721.000000,96263.500000,12197740284990532739,null,2,1,0
58,91,5.007410,Normal,70.59,70.590000,327337.000000,96268.600000,17845600470748157490,null,2,1,0
59,96,5.007470,Normal,21.05,21.050000,122010.000000,96326.900000,6417554620755966947,null,2,1,0
60,101,5.006640,Normal,67.38,67.380000,295307.000000,96337.400000,7807941603982579398,null,2,1,0
61,5,5.007970,Normal,76.27,76.270000,333809.000000,79213.000000,7691846394389702564,null,3,1,0
62,10,5.007820,Normal,76.27,76.270000,333809.000000,79213.000000,2013473791230577213,null,3,1,0
63,15,5.007940,Normal,76.27,76.270000,333809.000000,79213.000000,11266682804268049439,null,3,1,0
64,20,5.007120,Normal,67.39,67.390000,295302.000000,96288.100000,2748598918444556601,null,3,1,0
65,25,5.007480,Normal,67.39,67.390000,295302.000000,96288.100000,2654854295276811030,null,3,1,0
66,30,5.007070,Normal,68.08,68.080000,301724.000000,96307.800000,9166194902976789210,null,3,1,0
67,35,5.006850,Normal,68.75,68.750000,308156.000000,96292.200000,16597831966251193276,null,3,1,0
68,40,5.007710,Normal,67.39,67.390000,295302.000000,96288.100000,18375862575411634684,null,3,1,0
69,45,5.005760,Normal,66.67,66.670000,288918.000000,96288.100000,17838717301910705084,null,3,1,0
70,50,5.006030,Normal,68.09,68.090000,301743.000000,96290.400000,4567294546477161554,null,3,1,0
71,55,5.005710,Normal,66.67,66.670000,288918.000000,96288.100000,4945321402471362712,null,3,1,0
72,60,5.005790,Normal,66.67,66.670000,288918.000000,96288.100000,2436344162482288648,null,3,1,0
73,65,5.005830,Normal,66.67,66.670000,288918.000000,96288.100000,16316272729207708856,null,3,1,0
74,70,5.006140,Normal,68.76,68.760000,308142.000000,96276.900000,8264741632572819614,null,3,1,0
75,75,5.010680,Normal,68.07,68.070000,301704.000000,96341.800000,17977951971343782098,null,3,1,0
76,80,5.007980,Normal,68.75,68.750000,308105.000000,96290.600000,11501779793286510526,null,3,1,0
77,86,5.007850,Normal,21.05,21.050000,122001.000000,96318.100000,9661951345462320985,null,3,1,0
78,91,5.007880,Normal,37.54,37.540000,154151.000000,96276.800000,15438388139652580281,null,3,1,0
79,96,5.008920,Normal,37.54,37.540000,154151.000000,96276.800000,295692840554817184,null,3,1,0
80,101,5.004720,Normal,76.27,76.270000,333809.000000,79213.000000,15540932992057463620,null,3,1,0
81,5,5.010410,Normal,68.08,68.080000,301724.000000,96310.700000,4646249020595888442,null,4,1,0
82,10,5.008080,Normal,70,70.000000,320969.000000,96280.900000,4598238589271301244,null,4,1,0
83,15,5.006350,Normal,68.08,68.080000,301724.000000,96310.700000,929287535712065411,null,4,1,0
84,20,5.007730,Normal,68.75,68.750000,308156.000000,96292.200000,9014085691120480209,null,4,1,0
85,25,5.009650,Normal,68.08,68.080000,301724.000000,96310.700000,3180000696655539831,null,4,1,0
86,30,5.007720,Normal,68.74,68.740000,308141.000000,96314.400000,2018204586815896198,null,4,1,0
87,35,5.028380,Normal,68.08,68.080000,301724.000000,96310.700000,4324730707953733864,null,4,1,0
88,40,5.007910,Normal,69.38,69.380000,314545.000000,96310.700000,1039146152008480656,null,4,1,0
89,45,5.022760,Normal,68.08,68.080000,301724.000000,96310.700000,17659067838198581863,null,4,1,0
90,50,5.032340,Normal,68.08,68.080000,301724.000000,96310.700000,5133243324169150630,null,4,1,0
91,55,5.007560,Normal,68.08,68.080000,301695.000000,96305.000000,7113679040232451951,null,4,1,0
92,60,5.008600,Normal,31.86,31.860000,141275.000000,96264.000000,17403405648429913974,null,4,1,0
93,65,5.010990,Normal,54.55,54.550000,211818.000000,96264.100000,11860506942139857237,null,4,1,0
94,70,5.010070,Normal,31.86,31.860000,141275.000000,96264.000000,16466528113978168422,null,4,1,0
95,75,5.010010,Normal,31.86,31.860000,141275.000000,96264.000000,9337166131864616603,null,4,1,0
96,81,5.011760,Normal,50,50.000000,192559.000000,96280.300000,3882080276685448016,null,4,1,0
97,86,5.010320,Normal,21.06,21.060000,121989.000000,96299.300000,11866844339917449945,null,4,1,0
98,91,5.009350,Normal,21.06,21.060000,121989.000000,96299.300000,8054488434096991069,null,4,1,0
99,96,5.011520,Normal,21.06,21.060000,121989.000000,96299.300000,7807443334493129437,null,4,1,0
100,101,5.012080,Normal,21.06,21.060000,121989.000000,96299.300000,18094372694170703666,null,4,1,0
101,5,5.009130,Normal,70,70.000000,320973.000000,96301.700000,8324574644124398767,null,5,1,0
102,10,5.006140,Normal,70,70.000000,320973.000000,96301.700000,5283696125563727597,null,5,1,0
103,15,5.007550,Normal,70,70.000000,320985.000000,96302.000000,14475386990690884369,null,5,1,0
104,20,5.006030,Normal,70,70.000000,320973.000000,96301.700000,10974362230786378786,null,5,1,0
105,25,5.007860,Normal,47.31,47.310000,179710.000000,94692.100000,10651732961729005019,null,5,1,0
106,30,5.010920,Normal,76.27,76.270000,333809.000000,79213.000000,3362669527077445580,null,5,1,0
107,35,5.007230,Normal,47.31,47.310000,179710.000000,94692.100000,10827886929054204998,null,5,1,0
108,40,5.007650,Normal,42.32,42.320000,166918.000000,96278.700000,1016202611114752514,null,5,1,0
109,45,5.009020,Normal,42.32,42.320000,166918.000000,96278.700000,16092743930276870132,null,5,1,0
110,50,5.007920,Normal,42.32,42.320000,166901.000000,96274.600000,16211218140551140451,null,5,1,0
111,55,5.010230,Normal,53.11,53.110000,205352.000000,96280.600000,753267765531415482,null,5,1,0
112,60,5.009500,Normal,42.32,42.320000,166918.000000,96278.700000,16609875072120035006,null,5,1,0
113,65,5.010280,Normal,42.32,42.320000,166918.000000,96278.700000,5745898598308585769,null,5,1,0
114,70,5.008660,Normal,67.39,67.390000,295276.000000,96303.200000,7446913459844639186,null,5,1,0
115,75,5.009720,Normal,42.32,42.320000,166918.000000,96278.700000,8801623165963374165,null,5,1,0
116,80,5.007910,Normal,76.27,76.270000,333809.000000,79213.000000,16961933905155394505,null,5,1,0
117,86,5.009370,Normal,37.51,37.510000,154081.000000,96278.700000,9319375451144575812,null,5,1,0
118,91,5.012200,Normal,37.51,37.510000,154081.000000,96278.700000,6121182162973089144,null,5,1,0
119,96,5.007080,Normal,68.08,68.080000,301735.000000,96303.300000,4708062459789946790,null,5,1,0
120,101,5.011400,Normal,42.3,42.300000,166911.000000,96299.300000,472028280598337382,null,5,1,0
121,5,5.009440,Normal,76.27,76.270000,333809.000000,79213.000000,3886030221489175234,null,6,1,0
122,10,5.009040,Normal,76.27,76.270000,333809.000000,79213.000000,2823973172439724300,null,6,1,0
123,15,5.009190,Normal,76.27,76.270000,333809.000000,79213.000000,11763017448820016897,null,6,1,0
124,20,5.009980,Normal,76.27,76.270000,333809.000000,79213.000000,9324734250369630069,null,6,1,0
125,25,5.011160,Normal,76.27,76.270000,333809.000000,79213.000000,8655400000008158365,null,6,1,0
126,30,5.007790,Normal,76.27,76.270000,333809.000000,79213.000000,9326677015156171050,null,6,1,0
127,35,5.012540,Normal,68.75,68.750000,308112.000000,96290.900000,16553723217081965996,null,6,1,0
128,40,5.007640,Normal,27.04,27.040000,128456.000000,93727.900000,11411491800383332565,null,6,1,0
129,45,5.007120,Normal,27.51,27.510000,128446.000000,93106.800000,12884592194862075986,null,6,1,0
130,50,5.007090,Normal,68.94,68.940000,301699.000000,93718.400000,6699053021464415677,null,6,1,0
131,55,5.007640,Normal,27.04,27.040000,128456.000000,93727.900000,13269952140841919023,null,6,1,0
132,60,5.008480,Normal,27.03,27.030000,128456.000000,93727.900000,5694643026257628963,null,6,1,0
133,65,5.006860,Normal,39.99,39.990000,160451.000000,96281.500000,6645704946744963432,null,6,1,0
134,70,5.007440,Normal,27.51,27.510000,128446.000000,93106.800000,10604245509075888879,null,6,1,0
135,75,5.005770,Normal,70,70.000000,320942.000000,96289.900000,15274249967711278681,null,6,1,0
136,80,5.008880,Normal,27.03,27.030000,128456.000000,93727.900000,14759849371012576444,null,6,1,0
137,86,5.006880,Normal,34.1,34.100000,141278.000000,93101.400000,2246955188893559626,null,6,1,0
138,91,5.010180,Normal,23.17,23.170000,121990.000000,93727.700000,13598150051462426393,null,6,1,0
139,96,5.008400,Normal,33.47,33.470000,141326.000000,94023.300000,16115549936258765869,null,6,1,0
140,101,5.006160,Normal,39.99,39.990000,160451.000000,96281.500000,14515991794832241780,null,6,1,0
141,5,5.011300,Normal,25.04,25.040000,128432.000000,96271.800000,3328272113575592546,null,7,1,0
142,10,5.012260,Normal,21.07,21.070000,121996.000000,96289.400000,16404540997480691519,null,7,1,0
143,15,5.010950,Normal,25.04,25.040000,128432.000000,96271.800000,1427103697420142585,null,7,1,0
144,20,5.012540,Normal,25.03,25.030000,128433.000000,96285.300000,17902631289582558241,null,7,1,0
145,25,5.007010,Normal,68.76,68.760000,308142.000000,96276.900000,9783563407472026101,null,7,1,0
146,30,5.007200,Normal,21.07,21.070000,121996.000000,96289.400000,12212797759371304164,null,7,1,0
147,35,5.007470,Normal,21.07,21.070000,121996.000000,96289.400000,11236455298577178501,null,7,1,0
148,40,5.006160,Normal,25.03,25.030000,128443.000000,96289.400000,2272366028230456651,null,7,1,0
149,45,5.005530,Normal,25.03,25.030000,128433.000000,96282.400000,1685435198644608417,null,7,1,0
150,50,5.007150,Normal,21.07,21.070000,121996.000000,96289.400000,4151432673869856974,null,7,1,0
151,55,5.007110,Normal,21.07,21.070000,121996.000000,96289.400000,10107896007047403765,null,7,1,0
152,60,5.006820,Normal,21.07,21.070000,121996.000000,96289.400000,14219678067103556017,null,7,1,0
153,65,5.007200,Normal,21.07,21.070000,121996.000000,96289.400000,5548617271192656787,null,7,1,0
154,70,5.005950,Normal,25.01,25.010000,128392.000000,96285.300000,1407821851467905246,null,7,1,0
155,75,5.007510,Normal,21.05,21.050000,122001.000000,96313.700000,11712197438695978915,null,7,1,0
156,80,5.008240,Normal,21.06,21.060000,122001.000000,96309.400000,5824984282616526339,null,7,1,0
