EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.023813,Normal,9.79,9.790000,-142.031250,-155.938326,14921508010286178949,null,0,1,0
2,10,5.022440,Normal,9.79,9.790000,-142.031250,-155.938326,10101538263502436884,null,0,1,0
3,15,5.025259,Normal,9.79,9.790000,-142.031250,-155.938326,10346973009034893901,null,0,1,0
4,20,5.022579,Normal,9.79,9.790000,-142.031250,-155.938326,635589708496059671,null,0,1,0
5,26,5.019934,Normal,7.21,7.210000,-145.218750,-155.687066,5948685825087948624,null,0,1,0
6,31,5.021338,Normal,7.21,7.210000,-145.218750,-155.687066,4597123006338656835,null,0,1,0
7,36,5.021459,Normal,7.21,7.210000,-145.218750,-155.687066,7127532972619092953,null,0,1,0
8,41,5.019681,Normal,7.21,7.210000,-145.218750,-155.687066,11183717294807096620,null,0,1,0
9,46,5.018323,Normal,60.16,60.160000,-97.437500,-156.056268,14478073837646034113,null,0,1,0
10,52,5.013749,Normal,14.88,14.880000,-135.843750,-156.056268,11677552007241727003,null,0,1,0
11,57,5.020466,Normal,7.21,7.210000,-145.218750,-155.687066,12917510691586148595,null,0,1,0
12,62,5.020246,Normal,9.6,9.600000,-142.031250,-155.664570,7363453468325357854,null,0,1,0
13,67,5.020034,Normal,7.21,7.210000,-145.218750,-155.687066,6662751367374755774,null,0,1,0
14,72,5.020293,Normal,7.21,7.210000,-145.218750,-155.687066,15415290316682780515,null,0,1,0
15,78,5.020306,Normal,7.21,7.210000,-145.218750,-155.687066,8049170089085202581,null,0,1,0
16,83,5.019513,Normal,6.92,6.920000,-145.843750,-155.929968,4377604304300178125,null,0,1,0
17,88,5.029052,Normal,6.78,6.780000,-145.843750,-155.736836,17290076975475043166,null,0,1,0
18,93,5.020307,Normal,14.88,14.880000,-135.843750,-156.056268,4261363672124711092,null,0,1,0
19,98,5.028156,Normal,6.74,6.740000,-145.906250,-155.736836,4715922316201825728,null,0,1,0
20,104,5.021961,Normal,11.61,11.610000,-139.718750,-155.938326,6377754662910290115,null,0,1,0
21,5,5.017360,Normal,14.88,14.880000,-135.844000,-156.056000,9686720361045965965,null,1,1,0
22,10,5.014770,Normal,14.88,14.880000,-135.844000,-156.056000,14977320980139403669,null,1,1,0
23,15,5.015980,Normal,14.88,14.880000,-135.844000,-156.056000,1871591627137445803,null,1,1,0
24,20,5.015840,Normal,14.88,14.880000,-135.844000,-156.056000,7129054616402336492,null,1,1,0
25,26,5.015110,Normal,14.88,14.880000,-135.844000,-156.056000,5422601811110845924,null,1,1,0
26,31,5.015900,Normal,14.88,14.880000,-135.844000,-156.056000,8357886499274428898,null,1,1,0
27,36,5.019020,Normal,14.88,14.880000,-135.844000,-156.056000,18059988575458826254,null,1,1,0
28,41,5.014600,Normal,14.88,14.880000,-135.844000,-156.056000,12514955137408797677,null,1,1,0
29,46,5.014940,Normal,14.88,14.880000,-135.844000,-156.056000,3878726579294074935,null,1,1,0
30,52,5.015970,Normal,14.88,14.880000,-135.844000,-156.056000,13814313172103390742,null,1,1,0
31,57,5.016520,Normal,14.88,14.880000,-135.844000,-156.056000,925281374657082787,null,1,1,0
32,62,5.023440,Normal,6.74,6.740000,-145.906000,-155.737000,16655313693168279273,null,1,1,0
33,67,5.024560,Normal,6.74,6.740000,-145.906000,-155.737000,18239881928142329749,null,1,1,0
34,72,5.018430,Normal,60.16,60.160000,-97.437500,-156.056000,13325998968531994933,null,1,1,0
35,78,5.024930,Normal,6.74,6.740000,-145.906000,-155.737000,6028680438618298415,null,1,1,0
36,83,5.023600,Normal,6.74,6.740000,-145.906000,-155.737000,9149202893530871162,null,1,1,0
37,88,5.024350,Normal,6.74,6.740000,-145.906000,-155.737000,15996547429130196042,null,1,1,0
38,93,5.026210,Normal,6.74,6.740000,-145.906000,-155.737000,13235688858974276600,null,1,1,0
39,98,5.024400,Normal,6.74,6.740000,-145.906000,-155.737000,9932235361406820397,null,1,1,0
40,104,5.025350,Normal,6.74,6.740000,-145.906000,-155.737000,15114521832138491999,null,1,1,0
41,5,5.016610,Normal,14.88,14.880000,-135.844000,-156.056000,17808874148426417796,null,2,1,0
42,10,5.018280,Normal,14.88,14.880000,-135.844000,-156.056000,11633543647495200375,null,2,1,0
43,15,5.017050,Normal,14.88,14.880000,-135.844000,-156.056000,5640172564576391019,null,2,1,0
44,20,5.018730,Normal,14.88,14.880000,-135.844000,-156.056000,13442604047210902029,null,2,1,0
45,26,5.016470,Normal,14.88,14.880000,-135.844000,-156.056000,16329590515646545778,null,2,1,0
46,31,5.018570,Normal,14.88,14.880000,-135.844000,-156.056000,16422045157006476828,null,2,1,0
47,36,5.017810,Normal,14.88,14.880000,-135.844000,-156.056000,1292803100521324247,null,2,1,0
48,41,5.016640,Normal,14.88,14.880000,-135.844000,-156.056000,11232986886821222809,null,2,1,0
49,46,5.017810,Normal,14.88,14.880000,-135.844000,-156.056000,5047879259615584793,null,2,1,0
50,52,5.017780,Normal,14.88,14.880000,-135.844000,-156.056000,13006994213255628632,null,2,1,0
51,57,5.020690,Normal,14.88,14.880000,-135.844000,-156.056000,7339132837941009137,null,2,1,0
52,62,5.016890,Normal,14.88,14.880000,-135.844000,-156.056000,879086734624911036,null,2,1,0
53,67,5.017930,Normal,14.88,14.880000,-135.844000,-156.056000,2855138295260393130,null,2,1,0
54,72,5.017160,Normal,14.88,14.880000,-135.844000,-156.056000,10661022644717239942,null,2,1,0
55,78,5.018390,Normal,14.88,14.880000,-135.844000,-156.056000,3730859357599476203,null,2,1,0
56,83,5.016420,Normal,14.88,14.880000,-135.844000,-156.056000,16301947810875781821,null,2,1,0
57,88,5.017250,Normal,14.88,14.880000,-135.844000,-156.056000,2714216339438910461,null,2,1,0
58,93,5.018180,Normal,14.88,14.880000,-135.844000,-156.056000,8131493671422933520,null,2,1,0
59,98,5.019350,Normal,10.51,10.510000,-140.938000,-155.755000,16676338518552441683,null,2,1,0
60,104,5.020460,Normal,10.51,10.510000,-140.938000,-155.755000,14805817451900013561,null,2,1,0
61,5,5.023250,Normal,7.21,7.210000,-145.219000,-155.687000,15837001027272843000,null,3,1,0
62,10,5.024810,Normal,7.21,7.210000,-145.219000,-155.687000,625404552481149274,null,3,1,0
63,15,5.019640,Normal,6.99,6.990000,-145.750000,-155.938000,14603976861506230532,null,3,1,0
64,20,5.020380,Normal,9.79,9.790000,-142.031000,-155.938000,4626857807333458198,null,3,1,0
65,26,5.022220,Normal,6.99,6.990000,-145.750000,-155.938000,11671850599302842232,null,3,1,0
66,31,5.020740,Normal,6.99,6.990000,-145.750000,-155.938000,799035164037036415,null,3,1,0
67,36,5.019490,Normal,6.32,6.320000,-145.906000,-155.124000,10169890500029812705,null,3,1,0
