EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.012957,Normal,33.98,33.980000,-15.000000,-20.097566,14921508010286178949,null,0,1,0
2,10,5.051745,Normal,33.98,33.980000,-15.000000,-20.097566,8683817217222751575,null,0,1,0
3,15,5.012490,Normal,33.98,33.980000,-15.000000,-20.097566,9658482938002475941,null,0,1,0
4,21,5.011679,Normal,33.98,33.980000,-15.000000,-20.097566,6762843893550650360,null,0,1,0
5,26,5.034533,Normal,33.98,33.980000,-15.000000,-20.097566,14770251354950928531,null,0,1,0
6,31,5.012181,Normal,33.98,33.980000,-15.000000,-20.097566,844706301316953147,null,0,1,0
7,36,5.012063,Normal,33.98,33.980000,-15.000000,-20.097566,2823934824078185206,null,0,1,0
8,42,5.012643,Normal,33.98,33.980000,-15.000000,-20.097566,5834950261831871145,null,0,1,0
9,47,5.012528,Normal,33.98,33.980000,-15.000000,-20.097566,10346973009034893901,null,0,1,0
10,52,5.012432,Normal,33.83,33.830000,-15.000000,-20.074298,3895283216737288575,null,0,1,0
11,57,5.011837,Normal,33.83,33.830000,-15.000000,-20.074298,1049631541030871684,null,0,1,0
12,63,5.012489,Normal,33.83,33.830000,-15.000000,-20.074298,15743638518301921207,null,0,1,0
13,68,5.010963,Normal,33.83,33.830000,-15.000000,-20.074298,7713530131881664580,null,0,1,0
14,73,5.014789,Normal,36.56,36.560000,-15.000000,-20.483874,1307886365978403084,null,0,1,0
15,78,5.012421,Normal,33.83,33.830000,-15.000000,-20.074298,3823057375706889759,null,0,1,0
16,84,5.010865,Normal,33.83,33.830000,-15.000000,-20.074298,16679742048881223644,null,0,1,0
17,89,5.012369,Normal,33.83,33.830000,-15.000000,-20.074298,14466959238729851565,null,0,1,0
18,94,5.010715,Normal,33.83,33.830000,-15.000000,-20.074298,8146778470210420124,null,0,1,0
19,99,5.012454,Normal,33.83,33.830000,-15.000000,-20.074298,10926055034921966546,null,0,1,0
20,104,5.012397,Normal,33.83,33.830000,-15.000000,-20.074298,16710989201653268352,null,0,1,0
