EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.065045,91.3,91.300000,499.635492,43.474651,14921508010286178949,null,0,1,0
2,10,5.061783,91.3,91.300000,499.635492,43.474651,10101538263502436884,null,0,1,0
3,16,5.097280,91.3,91.300000,499.635492,43.474651,10346973009034893901,null,0,1,0
4,21,5.096054,91.3,91.300000,499.635492,43.474651,635589708496059671,null,0,1,0
5,26,5.065914,91.3,91.300000,499.635492,43.474651,5948685825087948624,null,0,1,0
6,32,5.062511,91.3,91.300000,499.635492,43.474651,6762843893550650360,null,0,1,0
7,37,5.093573,91.3,91.300000,499.635492,43.474651,13290681019215308220,null,0,1,0
8,42,5.067620,91.3,91.300000,499.635492,43.474651,844706301316953147,null,0,1,0
9,48,5.084531,91.3,91.300000,499.635492,43.474651,2225858521084382651,null,0,1,0
10,53,5.088423,91.3,91.300000,499.635492,43.474651,281880667954374288,null,0,1,0
11,58,5.091372,91.3,91.300000,499.635492,43.474651,16450644818478286277,null,0,1,0
12,64,5.068313,91.3,91.300000,499.635492,43.474651,13964071529318666704,null,0,1,0
13,69,5.062119,21.57,21.570000,55.430127,43.474651,16957666276679199244,null,0,1,0
14,75,5.058292,21.57,21.570000,55.430127,43.474651,9316799145851188295,null,0,1,0
15,80,5.052009,21.57,21.570000,55.430127,43.474651,10136391872394692371,null,0,1,0
16,85,5.059919,21.57,21.570000,55.430127,43.474651,1962580943703632403,null,0,1,0
17,90,5.059945,21.57,21.570000,55.430127,43.474651,9790877350325995247,null,0,1,0
18,96,5.065645,91.3,91.300000,499.635492,43.474651,5398713608842390699,null,0,1,0
19,101,5.065058,21.57,21.570000,55.430127,43.474651,13650819850745377399,null,0,1,0
20,106,5.054412,21.57,21.570000,55.430127,43.474651,5795182131189996655,null,0,1,0
21,5,5.063040,21.57,21.570000,55.430100,43.474700,9686720361045965965,null,1,1,0
22,11,5.068810,21.57,21.570000,55.430100,43.474700,14977320980139403669,null,1,1,0
