EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.003436,6.32,6.320000,11857.371258,11107.861472,14921508010286178949,null,0,1,0
2,10,5.002679,5.43,5.430000,11801.185729,11160.360975,2823934824078185206,null,0,1,0
3,15,5.003105,5.56,5.560000,11801.185729,11144.524300,8211792182747950806,null,0,1,0
4,20,5.003253,6.62,6.620000,11801.185729,11019.364207,7996245778148271637,null,0,1,0
5,25,5.002782,5.42,5.420000,11801.185729,11161.986986,13816062404021032092,null,0,1,0
6,30,5.002934,5.34,5.340000,11801.185729,11171.045280,6608352458573296283,null,0,1,0
7,35,5.002833,5.34,5.340000,11801.185729,11171.045280,6119489502062759147,null,0,1,0
8,40,5.002631,9.72,9.720000,11801.185729,10654.604619,977308502941528037,null,0,1,0
9,45,5.002897,5.35,5.350000,11801.185729,11170.152389,9198808619658770272,null,0,1,0
10,50,5.003252,5.71,5.710000,11801.185729,11127.892965,14323841543774006658,null,0,1,0
11,55,5.002897,5.22,5.220000,11801.185729,11184.722243,5236381695757790571,null,0,1,0
12,60,5.003381,5.6,5.600000,11801.185729,11140.444012,9428679558194670920,null,0,1,0
13,65,5.002989,5.23,5.230000,11801.185729,11183.987584,6353794662262159980,null,0,1,0
14,70,5.002652,5.46,5.460000,11801.185729,11156.521536,11685713339607382547,null,0,1,0
15,75,5.002972,5.22,5.220000,11801.185729,11184.722243,18425285283540328501,null,0,1,0
16,80,5.002915,5.23,5.230000,11801.185729,11183.987584,11633878669097386951,null,0,1,0
17,85,5.002522,3.88,3.880000,11801.185729,11343.789015,5365492602583868698,null,0,1,0
18,90,5.002773,3.88,3.880000,11801.185729,11342.960142,13871487051124919416,null,0,1,0
19,95,5.002454,5.06,5.060000,11891.263051,11290.042708,10726921856362019092,null,0,1,0
20,100,5.003272,3.88,3.880000,11801.185729,11343.789015,4815033675713270516,null,0,1,0
21,105,5.002699,3.88,3.880000,11801.185729,11342.960142,10783509361375640887,null,0,1,1
22,110,5.002492,3.89,3.890000,11801.185729,11341.986256,2992483687769892046,null,0,1,1
23,116,5.002669,3.88,3.880000,11801.185729,11342.960142,16748118494700758757,null,0,1,1
24,121,5.002419,3.89,3.890000,11801.185729,11341.986256,14373844426678932085,null,0,1,1
25,126,5.002995,4.42,4.420000,11801.185729,11279.312601,15157561783082572828,null,0,1,1
26,131,5.002737,4.18,4.180000,11801.185729,11307.593669,11088775528475883526,null,0,1,1
27,136,5.002594,3.88,3.880000,11801.185729,11343.385472,1667867793064327639,null,0,1,1
28,141,5.002524,3.88,3.880000,11801.185729,11343.385472,12852188152072942241,null,0,1,1
29,146,5.002944,7.21,7.210000,11801.185729,10949.875096,9700131526493360007,null,0,1,1
30,151,5.002626,5.88,5.880000,11801.185729,11106.928273,572123130954441465,null,0,1,1
31,156,5.003307,3.93,3.930000,11801.185729,11337.539708,5907388601703752701,null,0,1,1
32,161,5.002189,5.65,5.650000,11857.371258,11187.374725,2385055818749689244,null,0,1,1
33,166,5.002696,5.5,5.500000,11801.185729,11151.671209,12732949604013049374,null,0,1,1
34,171,5.003083,13.28,13.280000,12229.162247,10605.558830,13014023944377634995,null,0,1,1
35,176,5.002764,8.76,8.760000,11857.371258,10818.940254,729705985055957234,null,0,1,1
36,181,5.003128,9.43,9.430000,11801.185729,10688.410398,6364878520762717265,null,0,1,1
37,186,5.003982,3.87,3.870000,11801.185729,11344.915869,17837123261615638904,null,0,1,1
