EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.014362,30.67,30.670000,1852844.999998,1284540.703466,14921508010286178949,null,0,1,0
2,10,5.012204,26.82,26.820000,1781500.999999,1303717.730294,2823934824078185206,null,0,1,0
3,15,5.011949,63.19,63.190000,1940615.000000,714245.482250,8211792182747950806,null,0,1,0
4,20,5.011120,34.36,34.360000,1949098.000000,1279422.848928,7996245778148271637,null,0,1,0
5,25,5.009887,31.61,31.610000,1882745.999998,1287632.725447,13816062404021032092,null,0,1,0
6,30,5.022911,30.52,30.520000,1865083.999998,1295822.195513,9002657734057019648,null,0,1,0
7,35,5.075504,33.5,33.500000,1940615.000000,1290415.755030,4224704790384270877,null,0,1,0
8,40,5.063472,34.32,34.320000,1940615.000000,1274662.304591,3393904700578472690,null,0,1,0
9,45,5.018573,27.95,27.950000,1800534.999997,1297242.926454,17389999200280525169,null,0,1,0
10,50,5.025463,32.44,32.440000,1913010.999998,1292492.302008,2814756197111476349,null,0,1,0
11,55,5.036139,26.19,26.190000,1768794.999999,1305544.771270,7475797912735248108,null,0,1,0
12,60,5.018151,30.34,30.340000,1850133.999998,1288821.357977,10254541252007742698,null,0,1,0
13,65,5.014064,31.43,31.430000,1880829.999998,1289680.318560,16945198829180278691,null,0,1,0
14,70,5.017633,85.87,85.870000,7973370.000000,1126821.255297,16140605924518873625,null,0,1,0
15,75,5.018610,26.42,26.420000,1739958.999999,1280185.710672,16360804772360712826,null,0,1,0
16,80,5.015135,28.68,28.680000,1824565.999999,1301283.133252,448843927724019366,null,0,1,0
17,85,5.033430,36.87,36.870000,1852702.000000,1169592.235942,15487488053949630671,null,0,1,0
18,90,5.013734,37.2,37.200000,1874844.999998,1177323.218075,17848674364760901305,null,0,1,0
19,95,5.016144,29.29,29.290000,1824503.999999,1290116.730399,12854658231499805072,null,0,1,0
20,100,5.015933,27.97,27.970000,1795282.000000,1293099.291695,9631023927383960596,null,0,1,0
21,5,5.006890,87.3,87.300000,7973370.000000,1012290.000000,4742023368992659407,null,1,1,0
22,10,5.013280,86.16,86.160000,7973370.000000,1103390.000000,6256578975208963304,null,1,1,0
23,15,5.018400,86.19,86.190000,7973370.000000,1100970.000000,12336834199684603571,null,1,1,0
24,20,5.008990,86.16,86.160000,7973370.000000,1103390.000000,17426624414624633759,null,1,1,0
25,25,5.080370,65.02,65.020000,1940620.000000,678822.000000,9521923097997584123,null,1,1,0
26,30,5.101840,65.07,65.070000,1940620.000000,677781.000000,7980645442359438017,null,1,1,0
27,35,5.006200,87.22,87.220000,7973370.000000,1019140.000000,15841384995630316506,null,1,1,0
28,40,5.010350,64.8,64.800000,1940620.000000,683185.000000,10865649695088905609,null,1,1,0
29,45,5.094200,65,65.000000,1940620.000000,679224.000000,1752945276751976938,null,1,1,0
30,50,5.047220,64.8,64.800000,1940620.000000,683185.000000,10198343854206973381,null,1,1,0
31,55,5.010730,86.29,86.290000,7973370.000000,1092960.000000,13362763796297362077,null,1,1,0
32,60,5.022150,63.61,63.610000,1689490.000000,614831.000000,14009264872164754872,null,1,1,0
33,65,5.010390,68.22,68.220000,2016180.000000,640716.000000,9125221690997365340,null,1,1,0
34,70,5.015420,68.72,68.720000,1940620.000000,607009.000000,3122299675449775356,null,1,1,0
35,75,5.008510,67.99,67.990000,1803380.000000,577176.000000,15002531401035047561,null,1,1,0
36,80,5.026460,65.02,65.020000,1940620.000000,678822.000000,14051254209420733491,null,1,1,0
37,86,5.277810,63.61,63.610000,1689490.000000,614831.000000,8272117420185864322,null,1,1,0
38,91,5.010010,66.68,66.680000,1940620.000000,646553.000000,1285919057854194924,null,1,1,0
39,96,5.011960,71.12,71.120000,1940620.000000,560398.000000,1516355374971416770,null,1,1,0
40,101,5.128800,62.96,62.960000,1640380.000000,607526.000000,5678334011833426589,null,1,1,0
41,106,5.007410,37.85,37.850000,2080794.000000,1293264.832214,15075053291567561619,null,0,1,1
42,111,5.008967,31.94,31.940000,1891925.999998,1287632.725447,4102341363013050226,null,0,1,1
43,116,5.011973,29.55,29.550000,1843648.000000,1298836.745791,2494041068573125999,null,0,1,1
44,106,5.008996,26.66,26.660000,1774480.999999,1301375.758332,91879121539548281,null,1,1,1
45,111,5.009269,27.44,27.440000,1789847.999999,1298669.768588,1799662322693623142,null,1,1,1
46,116,5.013315,26.02,26.020000,1751657.000000,1295854.499523,5882820925138316980,null,1,1,1
47,121,5.009509,30.57,30.570000,1843959.999998,1280249.189071,10750765133340666527,null,0,2,0
48,126,5.023498,24.56,24.560000,1724994.999999,1301369.192151,91879121539548281,null,0,2,0
49,131,5.009384,29.44,29.440000,1834392.999999,1294374.391512,1626663785909628732,null,0,2,0
50,136,5.011572,27.22,27.220000,1752795.999999,1275756.563688,2164711553593923124,null,0,2,0
51,141,5.026384,27.44,27.440000,1789847.999999,1298669.768588,3868802466202301485,null,0,2,0
52,146,5.015468,27.44,27.440000,1789847.999999,1298669.768588,2704756244570814445,null,0,2,0
53,121,5.017360,20.36,20.360000,1613410.000000,1284950.000000,5882820925138316981,6,1,2,0
54,126,5.007570,20.88,20.880000,1608810.000000,1272940.000000,7437863805589092705,6,1,2,0
55,131,5.010060,20.41,20.410000,1610970.000000,1282180.000000,2968053668150934118,6,1,2,0
56,136,5.012430,20.08,20.080000,1607830.000000,1284950.000000,1429793414274318233,6,1,2,0
57,141,5.008670,21.09,21.090000,1617450.000000,1276260.000000,2947436752960051030,6,1,2,0
58,146,5.009710,20.11,20.110000,1608440.000000,1284960.000000,517831864361870068,6,1,2,0
59,151,5.011388,26.51,26.510000,1767188.999999,1298669.768588,2600824324385816671,null,0,2,1
60,156,5.012705,27.95,27.950000,1800534.999997,1297242.926454,12366810632729240505,null,0,2,1
61,161,5.009711,30.45,30.450000,1865083.999998,1297242.618232,33097901081168385,null,0,2,1
62,166,5.011642,26.98,26.980000,1769156.000000,1291878.271647,6858279984353965294,null,0,2,1
63,171,5.007936,83.81,83.810000,7973370.000000,1290847.610168,12660992549412357276,null,0,2,1
64,176,5.010430,28.36,28.360000,1797492.999999,1287811.394424,4135736414482384421,null,0,2,1
65,181,5.011364,42.46,42.460000,2238302.000000,1287995.518386,17162988370872796978,null,0,2,1
66,186,5.007339,29.11,29.110000,1815634.000000,1287031.012594,11681725247366874748,null,0,2,1
67,191,5.011148,29.99,29.990000,1848694.999998,1294239.751127,16507438434782249413,null,0,2,1
68,196,5.006301,53.01,53.010000,2723658.999999,1279829.162131,11137180061886664669,null,0,2,1
69,201,5.009583,27.16,27.160000,1767636.000000,1287632.725447,9785753724947111060,null,0,2,1
70,206,5.012566,31.74,31.740000,1913644.999995,1306200.861988,10747430829568778445,null,0,2,1
71,211,5.012126,29.14,29.140000,1830739.999999,1297242.656734,15259250054361411571,null,0,2,1
72,216,5.011439,29.14,29.140000,1830739.999999,1297242.656734,7720084606393738160,null,0,2,1
73,221,5.011076,26.81,26.810000,1771479.000000,1296510.838974,5420071648707711566,null,0,2,1
74,226,5.010078,29.99,29.990000,1848694.999998,1294239.751127,12586808100620634360,null,0,2,1
75,231,5.011741,29.99,29.990000,1848694.999998,1294239.751127,11208384512968735221,null,0,2,1
76,236,5.008986,30.26,30.260000,1852411.999998,1291883.729337,8821373234391772350,null,0,2,1
77,241,5.010631,28.73,28.730000,1816324.999999,1294551.837829,1303762552123872041,null,0,2,1
78,246,5.010150,28.73,28.730000,1816324.999999,1294551.837829,5684035742055596966,null,0,2,1
79,251,5.010245,26.17,26.170000,1753422.000000,1294551.837829,5208284171033239984,null,0,2,1
80,256,5.010605,32.05,32.050000,1922227.999994,1306200.861988,13513018670274321560,null,0,2,1
81,151,5.011319,26.02,26.020000,1751657.000000,1295854.499523,10260729728206619712,null,1,2,1
82,156,5.012633,26.76,26.760000,1773078.999999,1298667.708159,15189709920026209506,null,1,2,1
83,161,5.010689,26.37,26.370000,1763891.999999,1298669.768588,17156377767698835550,null,1,2,1
84,166,5.011329,24.63,24.630000,1724994.999999,1300068.034372,5246491077954465994,null,1,2,1
85,171,5.012023,24.86,24.860000,1733106.000000,1302277.030343,11853065949425819541,null,1,2,1
86,176,5.012167,26.51,26.510000,1767188.999999,1298669.768588,15181941645578732524,null,1,2,1
87,181,5.010019,26.51,26.510000,1767188.999999,1298669.768588,7744188596741622270,null,1,2,1
88,186,5.010387,26.51,26.510000,1767188.999999,1298669.768588,11230257663854599415,null,1,2,1
89,191,5.011963,27.44,27.440000,1789847.999999,1298669.768588,10006521379434541352,null,1,2,1
90,196,5.009352,24.56,24.560000,1724994.999999,1301369.192151,11240597545569488248,null,1,2,1
91,201,5.011531,24.56,24.560000,1724994.999999,1301369.192151,218295308889760318,null,1,2,1
92,206,5.006482,82.52,82.520000,2126981.999999,371898.553483,9436085946043204389,null,1,2,1
93,211,5.012275,27.35,27.350000,1789489.999999,1299996.958695,16288010318275681904,null,1,2,1
94,216,5.013064,27.44,27.440000,1789847.999999,1298669.768588,3454683010793368180,null,1,2,1
95,221,5.009377,26.46,26.460000,1763891.999999,1297242.618232,3554895180483748000,null,1,2,1
96,226,5.010835,25.72,25.720000,1750155.000000,1300068.959683,16109007450236203037,null,1,2,1
