EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,5.010297,47.27,47.270000,-275.000000,-405.000000,14921508010286178949,null,0,1,0
2,11,5.010807,55.77,55.770000,-260.000000,-405.000000,2823934824078185206,null,0,1,0
3,17,5.023549,60.31,60.310000,-255.000000,-408.787879,3895283216737288575,null,0,1,0
4,22,5.016441,30.65,30.650000,-310.000000,-405.000000,9658482938002475941,null,0,1,0
5,27,5.009434,54.55,54.550000,-275.000000,-425.000000,4993873235968207703,null,0,1,0
6,32,5.019507,43.77,43.770000,-295.000000,-424.115041,14309671843471186905,null,0,1,0
7,37,5.018295,30.65,30.650000,-310.000000,-405.000000,9763439259726719665,null,0,1,0
8,42,5.009433,41.03,41.030000,-290.000000,-408.973684,8674104525440772734,null,0,1,0
9,48,5.013333,36.07,36.070000,-305.000000,-415.000000,2623253279817105462,null,0,1,0
10,53,5.009711,58.49,58.490000,-265.000000,-420.000000,2090949422123066960,null,0,1,0
11,58,5.019991,50.91,50.910000,-275.000000,-415.000000,12135412890423057526,null,0,1,0
12,63,5.010173,32.9,32.900000,-310.000000,-412.000000,14880678517235238818,null,0,1,0
13,68,5.051359,35.48,35.480000,-310.000000,-420.000000,14560498925330565640,null,0,1,0
14,73,5.028003,31.25,31.250000,-315.000000,-413.437500,7976093774109346441,null,0,1,0
15,78,5.009840,42.11,42.110000,-285.000000,-405.000000,3340881443049109106,null,0,1,0
16,84,5.017231,59.43,59.430000,-265.000000,-422.500000,11939284520565855590,null,0,1,0
17,89,5.010815,30.65,30.650000,-310.000000,-405.000000,1890140297786953516,null,0,1,0
18,94,5.008058,30.65,30.650000,-310.000000,-405.000000,7243998897530177175,null,0,1,0
19,99,5.026242,18.85,18.850000,-340.000000,-404.103053,15973329010938661139,null,0,1,0
20,104,5.007831,34.99,34.990000,-300.000000,-404.962469,15618338877406098571,null,0,1,0
21,5,5.014390,29.23,29.230000,-325.000000,-420.000000,8723278136865304665,null,1,1,0
22,10,5.009320,37.7,37.700000,-305.000000,-420.000000,4970148594231515670,null,1,1,0
23,15,5.007710,33.61,33.610000,-305.000000,-407.500000,2098913149819046562,null,1,1,0
24,20,5.005040,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,16096926607947553079,null,1,1,0
25,25,5.010390,29.23,29.230000,-325.000000,-420.000000,10855493633358854012,null,1,1,0
26,33,5.008530,27.45,27.450000,-340.000000,-433.333000,12085058044227750276,null,1,1,0
27,38,5.007460,30.65,30.650000,-310.000000,-405.000000,15235910596849928401,null,1,1,0
28,43,5.007900,30.65,30.650000,-310.000000,-405.000000,17767974255694952705,null,1,1,0
29,48,5.008450,27.45,27.450000,-340.000000,-433.333000,3042319671078986065,null,1,1,0
30,53,5.008670,27.45,27.450000,-340.000000,-433.333000,5950553070097493001,null,1,1,0
31,59,5.012050,23.9,23.900000,-340.000000,-421.250000,12513190431786578718,null,1,1,0
32,64,5.012750,23.9,23.900000,-340.000000,-421.250000,3587739611546669049,null,1,1,0
33,69,5.008510,27.45,27.450000,-340.000000,-433.333000,4392949320470303046,null,1,1,0
34,74,5.010310,22.64,22.640000,-340.000000,-416.985000,13111619598760050831,null,1,1,0
35,79,5.010090,22.64,22.640000,-340.000000,-416.985000,18038434992174769495,null,1,1,0
36,84,5.010350,27.17,27.170000,-335.000000,-426.017000,11583227117671031694,null,1,1,0
37,89,5.009150,21.08,21.080000,-340.000000,-411.667000,6770977006906581070,null,1,1,0
38,94,5.009540,21.08,21.080000,-340.000000,-411.667000,14656353752042360475,null,1,1,0
39,99,5.009810,27.08,27.080000,-325.000000,-413.000000,1107998178517474048,null,1,1,0
40,104,5.008410,21.08,21.080000,-340.000000,-411.667000,12727970417907189181,null,1,1,0
41,5,5.013210,39.34,39.340000,-305.000000,-425.000000,15446065792237984030,null,2,1,0
42,10,5.013610,39.34,39.340000,-305.000000,-425.000000,4202048695090355429,null,2,1,0
43,15,5.011380,39.34,39.340000,-305.000000,-425.000000,1438553583210240060,null,2,1,0
44,20,5.011760,65.76,65.760000,-265.000000,-439.262000,18348230643339525308,null,2,1,0
45,25,5.013290,50.86,50.860000,-290.000000,-437.500000,4191205017993244521,null,2,1,0
46,30,5.009640,42,42.000000,-300.000000,-426.000000,11653280150158819812,null,2,1,0
47,35,5.013120,39.34,39.340000,-305.000000,-425.000000,18094935684124116638,null,2,1,0
48,41,5.012640,43.05,43.050000,-305.000000,-436.298000,8549353452254005399,null,2,1,0
49,46,5.010650,40,40.000000,-300.000000,-420.000000,11057048612570833976,null,2,1,0
50,51,5.012980,39.34,39.340000,-305.000000,-425.000000,5084488271151921045,null,2,1,0
51,56,5.013340,43.61,43.610000,-305.000000,-438.000000,6612282804636127582,null,2,1,0
52,61,5.016930,20.9,20.900000,-335.000000,-405.000000,5847089399501479146,null,2,1,0
53,66,5.011230,41.61,41.610000,-295.000000,-417.739000,11171048177049704570,null,2,1,0
54,71,5.006760,22.73,22.730000,-330.000000,-405.000000,2567508167001709027,null,2,1,0
55,77,5.012710,22.73,22.730000,-330.000000,-405.000000,7576768354383183639,null,2,1,0
56,82,5.010920,26.56,26.560000,-320.000000,-405.000000,17162472494179300300,null,2,1,0
57,87,5.010330,14.71,14.710000,-340.000000,-390.000000,8241485089978738731,null,2,1,0
58,92,5.010290,28.57,28.570000,-315.000000,-405.000000,14975488703460261569,null,2,1,0
59,97,5.014300,19.12,19.120000,-340.000000,-405.000000,13019490033297808520,null,2,1,0
60,102,5.013200,14.71,14.710000,-340.000000,-390.000000,12819047237694855468,null,2,1,0
61,5,5.009530,28.57,28.570000,-315.000000,-405.000000,14075347302301588864,null,3,1,0
62,10,5.012230,44.64,44.640000,-280.000000,-405.000000,13805086800485329465,null,3,1,0
63,15,5.015260,33.84,33.840000,-310.000000,-414.897000,14167589269659174657,null,3,1,0
64,20,5.021980,30.65,30.650000,-310.000000,-405.000000,14474151713492844321,null,3,1,0
65,25,5.011310,41.81,41.810000,-295.000000,-418.335000,16887099114260268141,null,3,1,0
66,30,5.064990,37.9,37.900000,-310.000000,-427.500000,8492922454319531633,null,3,1,0
67,36,5.014520,34.84,34.840000,-310.000000,-418.000000,15515029587678760294,null,3,1,0
68,41,5.012930,42.37,42.370000,-295.000000,-420.000000,11869090671818839631,null,3,1,0
69,46,5.009670,28.57,28.570000,-315.000000,-405.000000,11415704414425017689,null,3,1,0
70,51,5.035150,31,31.000000,-315.000000,-412.636000,3948456389719514429,null,3,1,0
71,56,5.008720,69.54,69.540000,-250.000000,-423.841000,17004664208314413269,null,3,1,0
72,61,5.016180,45.24,45.240000,-280.000000,-406.667000,13680097873224963658,null,3,1,0
73,66,5.007620,42.11,42.110000,-285.000000,-405.000000,8529246169300478145,null,3,1,0
74,71,5.010620,57.01,57.010000,-270.000000,-423.925000,10667322570483892100,null,3,1,0
75,76,5.012160,28.57,28.570000,-315.000000,-405.000000,3299467947186724022,null,3,1,0
76,82,5.007860,34.13,34.130000,-310.000000,-415.811000,6088150802897516232,null,3,1,0
77,87,5.013010,28.57,28.570000,-315.000000,-405.000000,6376315556677877009,null,3,1,0
78,92,5.027000,33.06,33.060000,-310.000000,-412.500000,6776381407885181419,null,3,1,0
79,97,5.004780,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,4697839568847960431,null,3,1,0
80,102,5.021950,35.08,35.080000,-310.000000,-418.750000,3908932777169949917,null,3,1,0
81,110,5.010796,74.47,74.470000,-255.000000,-444.887640,4916464645441099771,null,0,1,1
82,115,5.008342,40.3,40.300000,-295.000000,-413.873586,6771191417666356387,null,0,1,1
83,120,5.007811,27.27,27.270000,-330.000000,-420.000000,3344541788639069341,null,0,1,1
84,125,5.009505,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,14293368402227900716,null,0,1,1
85,110,5.013299,23.53,23.530000,-340.000000,-420.000000,12089759465360385924,null,1,1,1
86,115,5.014860,27.54,27.540000,-345.000000,-440.000000,18153358415915677160,null,1,1,1
87,120,5.010394,26.56,26.560000,-320.000000,-405.000000,3421806788740911079,null,1,1,1
88,125,5.007154,9.14,9.140000,-340.000000,-371.076923,5032292268805719448,null,1,1,1
89,110,5.013083,35.48,35.480000,-310.000000,-420.000000,13537196360464311233,null,2,1,1
90,115,5.012072,35.48,35.480000,-310.000000,-420.000000,11232921581733846664,null,2,1,1
91,120,5.013084,35.48,35.480000,-310.000000,-420.000000,12984822643583532879,null,2,1,1
92,125,5.013307,19.12,19.120000,-340.000000,-405.000000,17051019973147387603,null,2,1,1
93,110,5.009727,30.65,30.650000,-310.000000,-405.000000,6492081239054551907,null,3,1,1
94,115,5.017352,19.12,19.120000,-340.000000,-405.000000,2794939979983545422,null,3,1,1
95,120,5.009819,19.12,19.120000,-340.000000,-405.000000,13894347523167542403,null,3,1,1
96,125,5.008186,16.18,16.180000,-340.000000,-395.000000,8911751536621570134,null,3,1,1
97,130,5.010488,25,25.000000,-340.000000,-425.000000,12043213380677538216,null,0,2,0
98,135,5.012637,52.83,52.830000,-265.000000,-405.000000,17792466797705907480,null,0,2,0
99,140,5.011861,36.07,36.070000,-305.000000,-415.000000,10925416983346329847,null,0,2,0
100,145,5.012156,19.12,19.120000,-340.000000,-405.000000,6375278303294189593,null,0,2,0
101,151,5.022084,26.56,26.560000,-320.000000,-405.000000,15520311850599760273,null,0,2,0
102,156,5.007805,39.71,39.710000,-300.000000,-419.134615,17972372385242514249,null,0,2,0
103,161,5.011021,28.57,28.570000,-315.000000,-405.000000,13106953929818073548,null,0,2,0
104,166,5.010614,24.62,24.620000,-325.000000,-405.000000,9513869910381723495,null,0,2,0
105,171,5.008300,34.18,34.180000,-315.000000,-422.666667,1269825386237894091,null,0,2,0
106,176,5.008374,39.71,39.710000,-300.000000,-419.134615,8022261400885345214,null,0,2,0
107,181,5.017089,19.12,19.120000,-340.000000,-405.000000,10781664225808569453,null,0,2,0
108,186,5.010810,25.25,25.250000,-325.000000,-407.058824,17568193653004079728,null,0,2,0
109,130,5.006660,16.18,16.180000,-340.000000,-395.000000,5032292268805719451,4,1,2,0
110,136,5.002850,10.89,10.890000,-340.000000,-377.029000,17568193653004079731,4,1,2,0
111,141,5.002910,10.89,10.890000,-340.000000,-377.029000,8589993344426784252,4,1,2,0
112,146,5.005850,29.41,29.410000,-340.000000,-440.000000,12635334144398779090,4,1,2,0
113,151,5.002800,10.89,10.890000,-340.000000,-377.029000,8239147000205676523,4,1,2,0
114,157,5.005900,11.18,11.180000,-340.000000,-378.000000,5702998448433175602,4,1,2,0
115,162,5.002890,10.89,10.890000,-340.000000,-377.029000,303311971469883849,4,1,2,0
116,167,5.006370,11.76,11.760000,-340.000000,-379.974000,7478791909772444032,4,1,2,0
117,172,5.003740,12.83,12.830000,-340.000000,-383.621000,987021220205692389,4,1,2,0
118,178,5.008160,13.24,13.240000,-340.000000,-385.000000,18189683279014475920,4,1,2,0
119,183,5.006130,29.41,29.410000,-340.000000,-440.000000,16105424581512025021,4,1,2,0
120,188,5.005230,13.73,13.730000,-340.000000,-386.667000,12969737841191439134,4,1,2,0
121,130,5.007950,42.37,42.370000,-295.000000,-420.000000,3460237573831031807,null,2,2,0
122,135,5.008640,42.37,42.370000,-295.000000,-420.000000,4604748188970050677,null,2,2,0
123,140,5.007570,42.37,42.370000,-295.000000,-420.000000,16208468549553601221,null,2,2,0
124,145,5.007810,42.37,42.370000,-295.000000,-420.000000,8942256757428797429,null,2,2,0
125,151,5.008250,47.03,47.030000,-290.000000,-426.389000,13480154020298377999,null,2,2,0
126,156,5.008260,35.48,35.480000,-310.000000,-420.000000,6797727551754809129,null,2,2,0
