EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.005352,6.04,6.040000,182.000000,171.000000,14921508010286178949,null,0,1,0
2,10,5.021790,3.93,3.930000,178.000000,171.000000,8683817217222751575,null,0,1,0
3,15,5.013265,5.52,5.520000,181.000000,171.000000,1109746989676116089,null,0,1,0
4,20,5.002546,5.52,5.520000,181.000000,171.000000,18425285283540328501,null,0,1,0
5,25,5.004310,3.93,3.930000,178.000000,171.000000,16080314484600567712,null,0,1,0
6,30,5.005325,2.84,2.840000,176.000000,171.000000,2045221141382991416,null,0,1,0
7,35,5.004435,2.84,2.840000,176.000000,171.000000,17648355577354814956,null,0,1,0
8,40,5.005200,8.56,8.560000,187.000000,171.000000,10392390143190524088,null,0,1,0
9,45,5.013264,6.04,6.040000,182.000000,171.000000,13770116375343405968,null,0,1,0
10,50,5.010798,6.04,6.040000,182.000000,171.000000,17688768045539215019,null,0,1,0
11,55,5.022233,2.84,2.840000,176.000000,171.000000,15273498181807445162,null,0,1,0
12,60,5.002366,4.47,4.470000,179.000000,171.000000,8774218735760563753,null,0,1,0
13,65,5.005716,4.47,4.470000,179.000000,171.000000,6197906647821418528,null,0,1,0
14,70,5.001980,2.84,2.840000,176.000000,171.000000,10666471106627947181,null,0,1,0
15,75,5.002770,5,5.000000,180.000000,171.000000,5475801925244789900,null,0,1,0
16,80,5.004570,3.39,3.390000,177.000000,171.000000,432407992805173716,null,0,1,0
17,85,5.003407,5.52,5.520000,181.000000,171.000000,111237599271905998,null,0,1,0
18,90,5.004008,4.47,4.470000,179.000000,171.000000,8922813005609054591,null,0,1,0
19,95,5.011288,6.04,6.040000,182.000000,171.000000,4757994463665999083,null,0,1,0
20,100,5.004022,5.52,5.520000,181.000000,171.000000,10346973009034893901,null,0,1,0
21,5,5.003480,4.47,4.470000,179.000000,171.000000,6439873165248256756,null,1,1,0
22,10,5.002800,3.39,3.390000,177.000000,171.000000,11255561039145532449,null,1,1,0
23,15,5.002690,6.56,6.560000,183.000000,171.000000,13537950976286585776,null,1,1,0
24,20,5.002860,3.39,3.390000,177.000000,171.000000,1543992123533599919,null,1,1,0
25,25,5.002910,4.47,4.470000,179.000000,171.000000,14009712684742254439,null,1,1,0
26,30,5.002830,2.84,2.840000,176.000000,171.000000,9152225097391836983,null,1,1,0
27,35,5.002740,2.84,2.840000,176.000000,171.000000,7175277100558198735,null,1,1,0
28,40,5.002640,2.84,2.840000,176.000000,171.000000,10916087405892859718,null,1,1,0
29,45,5.003110,2.84,2.840000,176.000000,171.000000,9543194682814193745,null,1,1,0
30,50,5.003500,3.39,3.390000,177.000000,171.000000,17608610080010624073,null,1,1,0
31,55,5.002560,2.84,2.840000,176.000000,171.000000,4296045147399869194,null,1,1,0
32,60,5.002820,4.47,4.470000,179.000000,171.000000,3684839894587016456,null,1,1,0
33,65,5.002620,3.93,3.930000,178.000000,171.000000,1749019705656394417,null,1,1,0
34,70,5.009510,3.39,3.390000,177.000000,171.000000,10860709108795919391,null,1,1,0
35,75,5.003130,2.84,2.840000,176.000000,171.000000,14593393052767272667,null,1,1,0
