EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.171762,8.04,8.040000,364.000000,334.748820,14921508010286178949,null,0,1,0
2,10,5.168373,8.04,8.040000,364.000000,334.748820,8683817217222751575,null,0,1,0
3,15,5.200718,8.04,8.040000,364.000000,334.748820,9658482938002475941,null,0,1,0
4,20,5.301798,8.04,8.040000,364.000000,334.748820,6762843893550650360,null,0,1,0
5,26,5.381843,8.04,8.040000,364.000000,334.748820,14770251354950928531,null,0,1,0
6,31,5.005710,8.04,8.040000,364.000000,334.748820,844706301316953147,null,0,1,0
7,5,5.005850,1.54,1.540000,340.000000,334.750000,6439873165248256756,null,1,1,0
8,10,5.005880,1.54,1.540000,340.000000,334.750000,11255561039145532449,null,1,1,0
9,15,5.005430,1.54,1.540000,340.000000,334.750000,16491404846762771235,null,1,1,0
10,20,5.005530,1.54,1.540000,340.000000,334.750000,14641529875676470423,null,1,1,0
11,25,5.005260,1.54,1.540000,340.000000,334.750000,11163219150738261790,null,1,1,0
12,30,5.006200,1.54,1.540000,340.000000,334.750000,2882679706520234668,null,1,1,0
13,5,5.005900,1.54,1.540000,340.000000,334.758000,11502841505915629043,null,2,1,0
14,10,5.005620,1.54,1.540000,340.000000,334.758000,9540605019386224781,null,2,1,0
15,15,5.005570,1.54,1.540000,340.000000,334.750000,506689512661984095,null,2,1,0
16,20,5.004540,1.54,1.540000,340.000000,334.758000,16534604556155127503,null,2,1,0
17,23,3.736670,0,0.000000,340.000000,340.000000,632225661182783722,null,2,1,0
18,5,5.007370,8.04,8.040000,364.000000,334.749000,12710294232408245987,null,3,1,0
19,10,5.149780,8.04,8.040000,364.000000,334.749000,14141972750826331920,null,3,1,0
20,15,5.005930,8.04,8.040000,364.000000,334.749000,15280887202162191513,null,3,1,0
21,20,5.006420,8.04,8.040000,364.000000,334.749000,11044171371282847915,null,3,1,0
22,25,5.015220,8.04,8.040000,364.000000,334.749000,10631586461400518569,null,3,1,0
23,30,5.179400,1.54,1.540000,340.000000,334.750000,9916620986151204416,null,3,1,0
