EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.009519,57.07,57.070000,0.055334,0.023757,14921508010286178949,null,0,1,0
2,10,5.011144,57.07,57.070000,0.055334,0.023757,10101538263502436884,null,0,1,0
3,15,5.008949,57.07,57.070000,0.055334,0.023757,10346973009034893901,null,0,1,0
4,20,5.009944,57.07,57.070000,0.055334,0.023757,635589708496059671,null,0,1,0
5,25,5.009035,60.68,60.680000,0.055334,0.021759,5948685825087948624,null,0,1,0
6,30,5.008402,57.54,57.540000,0.055334,0.023492,6762843893550650360,null,0,1,0
7,35,5.005912,57.54,57.540000,0.055334,0.023492,13290681019215308220,null,0,1,0
8,40,5.010893,51.41,51.410000,0.055334,0.026889,844706301316953147,null,0,1,0
9,45,5.011935,51.37,51.370000,0.055334,0.026906,7816284278214281566,null,0,1,0
10,50,5.008647,51.79,51.790000,0.055334,0.026674,4550456146144808116,null,0,1,0
11,55,5.009560,51.41,51.410000,0.055334,0.026889,7536836766755732387,null,0,1,0
12,61,5.010351,52.77,52.770000,0.055334,0.026133,1315616941225072847,null,0,1,0
13,66,5.012183,71.29,71.290000,0.055334,0.015887,18160566529639394265,null,0,1,0
14,71,5.017827,52.77,52.770000,0.055334,0.026133,15098351357295609019,null,0,1,0
15,76,5.011310,52.77,52.770000,0.055334,0.026133,8956571215087929164,null,0,1,0
16,81,5.009407,52.77,52.770000,0.055334,0.026133,12149400124536462549,null,0,1,0
17,86,5.009216,53.52,53.520000,0.055334,0.025719,6464683182724407450,null,0,1,0
18,91,5.011947,59.24,59.240000,0.055334,0.022553,18069049565768102882,null,0,1,0
19,96,5.009018,53.5,53.500000,0.055334,0.025732,2235050680437061477,null,0,1,0
20,101,5.009480,54.2,54.200000,0.055334,0.025345,14291383856844677370,null,0,1,0
21,5,5.013750,82.17,82.170000,0.071139,0.012683,9686720361045965965,null,1,1,0
22,10,5.014840,82.17,82.170000,0.071139,0.012683,14977320980139403669,null,1,1,0
23,15,5.015660,82.17,82.170000,0.071139,0.012683,1871591627137445803,null,1,1,0
24,20,5.013140,82.17,82.170000,0.071139,0.012683,7129054616402336492,null,1,1,0
