EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.006501,68.75,68.750000,308144.054812,96310.267929,14921508010286178949,null,0,1,0
2,10,5.008959,69.38,69.380000,314544.844941,96310.655975,5643427149002281568,null,0,1,0
3,15,5.007364,68.75,68.750000,308144.054602,96310.267929,2823934824078185206,null,0,1,0
4,20,5.006944,16.67,16.670000,115595.478123,96323.480561,12911295086759950527,null,0,1,0
5,25,5.007347,16.67,16.670000,115595.478123,96323.480561,16275269842957739503,null,0,1,0
6,30,5.007037,16.67,16.670000,115595.478123,96323.480561,8609448594415774881,null,0,1,0
7,35,5.007519,68.08,68.080000,301708.199811,96311.511099,8683817217222751575,null,0,1,0
8,40,5.008268,67.39,67.390000,295335.239768,96304.825771,6912306756572927766,null,0,1,0
9,45,5.006287,68.08,68.080000,301743.487560,96319.254733,3895283216737288575,null,0,1,0
10,50,5.007364,16.67,16.670000,115595.478123,96323.480561,7654593077812284781,null,0,1,0
11,55,5.006759,16.67,16.670000,115595.478123,96323.480561,8375225105777485316,null,0,1,0
12,60,5.009310,68.61,68.610000,301744.822586,94726.624693,18090118877917844265,null,0,1,0
13,65,5.006621,17.06,17.060000,115595.219637,95872.517572,4377604304300178125,null,0,1,0
14,70,5.013606,67.4,67.400000,295335.239797,96293.514260,16449025980178702649,null,0,1,0
15,76,5.007239,16.67,16.670000,115595.478123,96323.480561,9063845516959773553,null,0,1,0
16,81,5.006430,16.67,16.670000,115595.478123,96323.480561,16029828289302913039,null,0,1,0
17,86,5.011466,16.67,16.670000,115595.478123,96323.480561,66560094061867943,null,0,1,0
18,91,5.008196,68.74,68.740000,308114.917836,96308.440990,14770251354950928531,null,0,1,0
19,96,5.008205,16.67,16.670000,115595.478123,96323.480561,5160892992537232807,null,0,1,0
20,101,5.005989,76.27,76.270000,333809.066611,79213.034497,4103837758129096065,null,0,1,0
21,5,5.009520,70.67,70.670000,320985.000000,94158.200000,17514050945686148453,null,1,1,0
22,10,5.023240,70.67,70.670000,320985.000000,94158.600000,14945327202240187335,null,1,1,0
23,15,5.022540,31.87,31.870000,141315.000000,96276.300000,5618135918108975868,null,1,1,0
24,20,5.008530,69.39,69.390000,314549.000000,96288.900000,18187865233440282756,null,1,1,0
25,25,5.007970,68.09,68.090000,301716.000000,96276.300000,9175746710825355463,null,1,1,0
26,30,5.014160,21.08,21.080000,122000.000000,96276.300000,15732941145611108253,null,1,1,0
27,35,5.009840,16.72,16.720000,115593.000000,96264.000000,13080036422342925455,null,1,1,0
28,40,5.010110,16.72,16.720000,115593.000000,96264.000000,2387567772736676931,null,1,1,0
29,45,5.009640,69.4,69.400000,314560.000000,96265.400000,17735854581205710615,null,1,1,0
30,50,5.008210,70.59,70.590000,327377.000000,96270.800000,12201103526377556062,null,1,1,0
31,55,5.007000,37.53,37.530000,154093.000000,96264.100000,10861118082752753149,null,1,1,0
32,60,5.006460,31.86,31.860000,141275.000000,96264.000000,11918805025179908630,null,1,1,0
33,65,5.007160,16.72,16.720000,115593.000000,96264.000000,2555313911025345972,null,1,1,0
34,71,5.008580,69.39,69.390000,314549.000000,96288.900000,14963336848087883459,null,1,1,0
35,76,5.006700,16.72,16.720000,115593.000000,96264.000000,12770231633484912356,null,1,1,0
36,81,5.007570,21.09,21.090000,122009.000000,96280.900000,306358548827173043,null,1,1,0
37,86,5.008410,69.39,69.390000,314549.000000,96288.900000,6120471616851675178,null,1,1,0
38,91,5.006730,16.72,16.720000,115593.000000,96264.000000,2505860666788287655,null,1,1,0
39,96,5.008610,54.55,54.550000,211818.000000,96264.100000,11900734527451432673,null,1,1,0
40,101,5.007250,44.48,44.480000,173368.000000,96261.800000,4302221328471350460,null,1,1,0
41,5,5.009270,34.79,34.790000,147701.000000,96320.100000,2804053118686667685,null,2,1,0
42,10,5.007470,68.09,68.090000,301720.000000,96277.400000,15558195506789843468,null,2,1,0
43,15,5.010430,34.79,34.790000,147701.000000,96320.100000,13303944659963484373,null,2,1,0
44,20,5.009630,34.79,34.790000,147701.000000,96320.100000,11199251386705429188,null,2,1,0
45,25,5.008020,68.75,68.750000,308110.000000,96296.200000,6270139998492463137,null,2,1,0
46,30,5.008090,66.67,66.670000,288921.000000,96308.500000,11967538983094585377,null,2,1,0
47,35,5.008080,76.27,76.270000,333809.000000,79213.000000,9342167059582107879,null,2,1,0
48,40,5.008280,68.74,68.740000,308125.000000,96320.100000,16585446540659295158,null,2,1,0
49,45,5.007950,66.67,66.670000,288921.000000,96308.500000,13278794002448531665,null,2,1,0
50,50,5.008530,68.74,68.740000,308109.000000,96320.100000,5188393093352387882,null,2,1,0
51,55,5.012280,34.79,34.790000,147701.000000,96320.100000,7385573573925643621,null,2,1,0
52,60,5.016490,67.4,67.400000,295313.000000,96276.300000,9239564763606350172,null,2,1,0
53,65,5.020590,28.59,28.590000,134833.000000,96290.400000,2868151309182966992,null,2,1,0
54,71,5.014490,23.17,23.170000,121994.000000,93727.700000,5346192006589656314,null,2,1,0
55,76,5.006970,27.5,27.500000,128426.000000,93110.600000,16088453090311711417,null,2,1,0
56,81,5.013790,69.78,69.780000,308142.000000,93107.300000,13740108841485743802,null,2,1,0
57,86,5.007980,23.17,23.170000,121994.000000,93727.700000,13376679049763403712,null,2,1,0
58,91,5.008560,23.17,23.170000,121993.000000,93727.700000,15379931240950683893,null,2,1,0
59,96,5.027820,27.15,27.150000,128465.000000,93581.200000,2434450646342090082,null,2,1,0
60,101,5.007710,67.4,67.400000,295307.000000,96280.200000,9116102266559433698,null,2,1,0
61,5,5.011170,51.63,51.630000,199043.000000,96281.600000,145401686263944303,null,3,1,0
62,10,5.010380,51.63,51.630000,199043.000000,96281.600000,8799749763501343571,null,3,1,0
63,15,5.011190,51.63,51.630000,199043.000000,96281.600000,15708186979800204989,null,3,1,0
64,20,5.016340,21.08,21.080000,122001.000000,96283.600000,14547541339312857813,null,3,1,0
65,25,5.011710,11.82,11.820000,109181.000000,96274.600000,9751553250932254790,null,3,1,0
66,30,5.010060,42.32,42.320000,166901.000000,96274.600000,1963176062158322926,null,3,1,0
67,35,5.008150,60.54,60.540000,243977.000000,96280.200000,16168706227326131069,null,3,1,0
68,40,5.010290,11.82,11.820000,109181.000000,96274.600000,12114898993549507633,null,3,1,0
69,45,5.011670,11.82,11.820000,109181.000000,96274.600000,2546086304835845999,null,3,1,0
70,50,5.005420,68.75,68.750000,308109.000000,96290.900000,2906670053312342925,null,3,1,0
71,55,5.010510,11.82,11.820000,109181.000000,96274.600000,10400730141074011448,null,3,1,0
72,60,5.010730,51.61,51.610000,198972.000000,96274.600000,7674740207962676886,null,3,1,0
73,65,5.010400,11.82,11.820000,109181.000000,96274.600000,4283342246952512018,null,3,1,0
74,70,5.010680,11.82,11.820000,109181.000000,96274.600000,4294963545256160296,null,3,1,0
75,76,5.006550,70.59,70.590000,327363.000000,96272.200000,14102209834612990134,null,3,1,0
76,81,5.007240,11.82,11.820000,109181.000000,96274.600000,13498050073455118094,null,3,1,0
77,86,5.005040,76.27,76.270000,333809.000000,79213.000000,3147438766571258367,null,3,1,0
78,91,5.006390,42.32,42.320000,166901.000000,96274.600000,14884380282777149537,null,3,1,0
79,96,5.006730,37.51,37.510000,154073.000000,96274.600000,3576337632178795044,null,3,1,0
80,101,5.006940,11.82,11.820000,109181.000000,96274.600000,13639852397290725773,null,3,1,0
81,5,5.008800,76.27,76.270000,333809.000000,79213.000000,6863155508343490133,null,4,1,0
82,10,5.007460,69.39,69.390000,314544.000000,96285.600000,6164721125244991746,null,4,1,0
83,15,5.008000,68.09,68.090000,301702.000000,96281.000000,13525189433381121867,null,4,1,0
84,20,5.007150,27.48,27.480000,128413.000000,93120.500000,15450205808952276274,null,4,1,0
85,25,5.006900,34.06,34.060000,141222.000000,93120.500000,7124410866491734322,null,4,1,0
86,30,5.007790,68.09,68.090000,301718.000000,96286.900000,11651229137522371594,null,4,1,0
87,35,5.008070,69.15,69.150000,301723.000000,93092.200000,8790316672952024703,null,4,1,0
88,40,5.010760,68.09,68.090000,301718.000000,96286.900000,13166040677635044970,null,4,1,0
89,45,5.011340,69.13,69.130000,301681.000000,93120.500000,5807565357589897889,null,4,1,0
90,50,5.006890,34.06,34.060000,141222.000000,93120.500000,14388865776106042096,null,4,1,0
91,55,5.007020,68.1,68.100000,301713.000000,96260.200000,1546796061485234926,null,4,1,0
92,60,5.007310,27.48,27.480000,128401.000000,93120.500000,6188338082221567894,null,4,1,0
93,65,5.007800,70.91,70.910000,320942.000000,93352.100000,7537527836521318227,null,4,1,0
94,71,5.007570,27.48,27.480000,128401.000000,93120.500000,14742676883014278882,null,4,1,0
95,76,5.008060,68.47,68.470000,295282.000000,93089.700000,101376020121344174,null,4,1,0
96,81,5.006360,65.5,65.500000,276055.000000,95236.000000,11087120869856470513,null,4,1,0
97,86,5.014230,34.06,34.060000,141222.000000,93120.500000,9956689133204893859,null,4,1,0
98,91,5.007950,68.09,68.090000,301702.000000,96281.000000,12307390342817799436,null,4,1,0
99,96,5.005440,27.48,27.480000,128401.000000,93120.500000,8779685522431027893,null,4,1,0
100,101,5.007660,30.92,30.920000,134883.000000,93183.200000,3346549329641897612,null,4,1,0
101,5,5.006120,68.09,68.090000,301710.000000,96282.300000,12392674989143262452,null,5,1,0
102,10,5.006630,68.09,68.090000,301710.000000,96282.300000,15034258563481376718,null,5,1,0
103,15,5.008550,68.09,68.090000,301727.000000,96282.300000,123750392386095322,null,5,1,0
104,20,5.007950,67.39,67.390000,295334.000000,96308.500000,13991722407543623941,null,5,1,0
105,25,5.006470,66.67,66.670000,288908.000000,96283.600000,6949636244700471329,null,5,1,0
106,30,5.006840,70.6,70.600000,327380.000000,96263.300000,2433639396895312443,null,5,1,0
107,35,5.006170,68.74,68.740000,308115.000000,96308.400000,15240640014018383016,null,5,1,0
108,40,5.005970,66.67,66.670000,288908.000000,96283.600000,9984645794871258695,null,5,1,0
109,45,5.004240,76.27,76.270000,333809.000000,79213.000000,18279908702460771864,null,5,1,0
110,50,5.007310,67.39,67.390000,295300.000000,96300.900000,12627433004012911375,null,5,1,0
111,55,5.007530,70.57,70.570000,327368.000000,96336.900000,13390943667290899019,null,5,1,0
112,60,5.007420,68.75,68.750000,308145.000000,96294.200000,7910658979239620253,null,5,1,0
113,65,5.008040,68.74,68.740000,308115.000000,96308.400000,6068183177972059944,null,5,1,0
114,70,5.008040,66.67,66.670000,288908.000000,96283.600000,8702895792563637341,null,5,1,0
115,75,5.007150,68.75,68.750000,308145.000000,96294.200000,16499890416798441263,null,5,1,0
116,81,5.008590,68.07,68.070000,301699.000000,96324.600000,14723798583775307968,null,5,1,0
117,86,5.006690,66.67,66.670000,288908.000000,96283.600000,8070461616727199139,null,5,1,0
118,91,5.007740,66.67,66.670000,288908.000000,96283.600000,18141480944384415673,null,5,1,0
119,96,5.006860,37.5,37.500000,154051.000000,96283.000000,13432306796278610810,null,5,1,0
120,101,5.006170,25.03,25.030000,128457.000000,96299.300000,2316499169257884234,null,5,1,0
121,5,5.010000,69.39,69.390000,314541.000000,96269.900000,1562778068060664005,null,6,1,0
122,10,5.009310,69.39,69.390000,314541.000000,96269.900000,6953195067738295,null,6,1,0
123,15,5.007270,76.27,76.270000,333809.000000,79213.000000,9946361533431250095,null,6,1,0
124,20,5.007470,70,70.000000,320985.000000,96283.900000,1355739224222705675,null,6,1,0
125,25,5.007650,44.45,44.450000,173349.000000,96288.400000,16080778517214194974,null,6,1,0
126,30,5.010150,44.45,44.450000,173349.000000,96288.400000,8068380372986435290,null,6,1,0
127,35,5.006940,69.39,69.390000,314559.000000,96290.900000,7879941800309112452,null,6,1,0
128,40,5.005190,70,70.000000,320985.000000,96285.200000,11849691294421951094,null,6,1,0
129,45,5.007190,44.45,44.450000,173349.000000,96288.400000,3207529643306309669,null,6,1,0
130,50,5.008830,69.39,69.390000,314572.000000,96291.400000,5039330055728127219,null,6,1,0
131,55,5.008380,40,40.000000,160468.000000,96282.200000,7356700553531522259,null,6,1,0
132,60,5.009080,28.59,28.590000,134832.000000,96280.800000,6194257799996338198,null,6,1,0
133,65,5.007410,70,70.000000,320985.000000,96286.800000,3042448751734564269,null,6,1,0
134,71,5.010590,16.7,16.700000,115594.000000,96293.600000,17277641675827672479,null,6,1,0
135,76,5.011030,16.7,16.700000,115594.000000,96293.600000,5079832812396053817,null,6,1,0
136,81,5.009220,16.7,16.700000,115594.000000,96293.600000,17894543870405497684,null,6,1,0
137,86,5.029620,60.52,60.520000,243937.000000,96299.300000,10711885714708284753,null,6,1,0
138,91,5.009860,16.7,16.700000,115594.000000,96293.600000,847657329530360929,null,6,1,0
139,96,5.011200,16.7,16.700000,115594.000000,96293.600000,12835488527770434707,null,6,1,0
140,101,5.010980,16.72,16.720000,115598.000000,96270.300000,3774086015331697680,null,6,1,0
141,5,5.005870,69.99,69.990000,320944.000000,96327.700000,2943276411408414496,null,7,1,0
142,10,5.008280,70.6,70.600000,327380.000000,96258.300000,1952089361788632441,null,7,1,0
143,15,5.021700,69.39,69.390000,314572.000000,96291.400000,106077188648273153,null,7,1,0
144,20,5.011740,11.85,11.850000,109198.000000,96262.300000,16366250659723201539,null,7,1,0
145,25,5.009830,21.11,21.110000,122016.000000,96262.300000,9623219731454484636,null,7,1,0
146,30,5.007530,11.85,11.850000,109198.000000,96262.300000,910785014980717296,null,7,1,0
147,35,5.007120,11.85,11.850000,109198.000000,96262.300000,15380146946538193371,null,7,1,0
148,40,5.006740,21.13,21.130000,122051.000000,96262.400000,17873136656120832318,null,7,1,0
149,45,5.007030,11.85,11.850000,109198.000000,96262.300000,11723918965151683767,null,7,1,0
150,50,5.007190,69.4,69.400000,314560.000000,96262.400000,5478145561525789622,null,7,1,0
151,55,5.007800,11.85,11.850000,109198.000000,96262.300000,12616495136561993577,null,7,1,0
152,60,5.007210,21.13,21.130000,122051.000000,96262.400000,12846149056681869168,null,7,1,0
153,65,5.007990,70,70.000000,320985.000000,96283.500000,16215456481126716692,null,7,1,0
154,70,5.007930,55.3,55.300000,211809.000000,94672.900000,2225466867730366892,null,7,1,0
155,75,5.007890,28.62,28.620000,134860.000000,96262.300000,18019663402458935980,null,7,1,0
156,81,5.008890,70,70.000000,320982.000000,96283.900000,11489285233951374590,null,7,1,0
157,86,5.004880,70,70.000000,320985.000000,96302.000000,2532989960340449474,null,7,1,0
158,91,5.008290,21.13,21.130000,122040.000000,96254.800000,10823841793884352036,null,7,1,0
159,96,5.008090,21.14,21.140000,122066.000000,96262.600000,11544035943039175145,null,7,1,0
160,101,5.007990,69.4,69.400000,314560.000000,96262.400000,17384354558042816654,null,7,1,0
161,5,5.009170,76.27,76.270000,333809.000000,79213.000000,9256882324034231698,null,8,1,0
162,10,5.011270,76.27,76.270000,333809.000000,79213.000000,8293681628283454277,null,8,1,0
163,15,5.010880,76.27,76.270000,333809.000000,79213.000000,3965877142452217830,null,8,1,0
164,20,5.007160,72.92,72.920000,333809.000000,90395.800000,15441743505230300048,null,8,1,0
165,25,5.013840,33.72,33.720000,134855.000000,89382.000000,6884886439978904334,null,8,1,0
166,30,5.006940,33.63,33.630000,134821.000000,89480.300000,6643894786188820271,null,8,1,0
167,35,5.008300,33.63,33.630000,134821.000000,89480.300000,15794329992184212549,null,8,1,0
168,40,5.005360,17.48,17.480000,109245.000000,90146.900000,742576480922876928,null,8,1,0
169,45,5.009080,17.48,17.480000,109245.000000,90146.900000,15072047979476279250,null,8,1,0
170,50,5.010700,29.81,29.810000,128428.000000,90146.900000,11466729644143704506,null,8,1,0
171,55,5.008420,66.67,66.670000,288896.000000,96283.400000,16906212707327940785,null,8,1,0
172,60,5.010240,17.48,17.480000,109245.000000,90146.900000,6196110117608982520,null,8,1,0
173,65,5.008970,25.07,25.070000,128494.000000,96283.400000,4221074671274010488,null,8,1,0
174,71,5.046180,21.78,21.780000,115657.000000,90463.200000,17228788835720309981,null,8,1,0
175,76,5.006260,68.74,68.740000,308189.000000,96338.200000,18312795126658491446,null,8,1,0
176,81,5.008690,17.48,17.480000,109245.000000,90146.900000,3817258688804601585,null,8,1,0
177,86,5.006640,68.74,68.740000,308189.000000,96338.200000,3979062392037216439,null,8,1,0
178,91,5.006590,33.63,33.630000,134821.000000,89480.300000,18078734523171759455,null,8,1,0
179,96,5.014160,21.42,21.420000,115626.000000,90859.600000,13327641444220926379,null,8,1,0
180,101,5.008100,68.74,68.740000,308189.000000,96338.200000,8973287428533121927,null,8,1,0
181,5,5.013470,76.27,76.270000,333809.000000,79213.200000,11550625836621799111,null,9,1,0
182,10,5.008850,76.27,76.270000,333809.000000,79213.200000,542207622948448781,null,9,1,0
183,15,5.020700,76.27,76.270000,333809.000000,79213.200000,17011792532851976826,null,9,1,0
