EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.006503,27.44,27.440000,28249.840000,20498.742004,14921508010286178949,null,0,1,0
2,10,5.007368,23.31,23.310000,26657.330000,20444.709985,2823934824078185206,null,0,1,0
3,15,5.006727,49.33,49.330000,25630.900000,12987.644491,8211792182747950806,null,0,1,0
4,20,5.008797,19.74,19.740000,25271.670000,20282.756114,7996245778148271637,null,0,1,0
5,25,5.008400,19,19.000000,25036.620000,20280.775434,5699199265869265056,null,0,1,0
6,30,5.007322,20.28,20.280000,25399.430000,20249.105985,2656151514502733259,null,0,1,0
7,35,5.009615,23.31,23.310000,26657.330000,20444.709985,17389999200280525169,null,0,1,0
8,40,5.005897,18.6,18.600000,25116.390000,20445.592878,11978237692166703559,null,0,1,0
9,45,5.009173,25.57,25.570000,26686.740000,19863.910456,10887881159902978397,null,0,1,0
10,50,5.007593,18.83,18.830000,25187.170000,20445.592878,1086787354509285821,null,0,1,0
11,55,5.007102,23.41,23.410000,26686.070000,20439.449454,3282595662721560553,null,0,1,0
12,60,5.014128,21.28,21.280000,25705.050000,20235.039749,5199967182685148415,null,0,1,0
13,65,5.006740,19.21,19.210000,25299.590000,20439.667895,14785701833882490573,null,0,1,0
14,70,5.007752,22.02,22.020000,25635.170000,19991.302954,7855642709413446863,null,0,1,0
15,75,5.009040,21.34,21.340000,25933.800000,20398.528199,8562355812300839752,null,0,1,0
16,80,5.007782,23.41,23.410000,26686.070000,20439.449454,7308782908462085409,null,0,1,0
17,85,5.005051,48.38,48.380000,25630.900000,13229.765440,16912319093080154327,null,0,1,0
18,90,5.011501,24.52,24.520000,26832.020000,20251.689746,14655126977901695387,null,0,1,0
19,95,5.004131,23.83,23.830000,26515.800000,20195.952939,2965724104182544300,null,0,1,0
20,100,5.007432,23.21,23.210000,26444.630000,20308.054508,4659345040295867239,null,0,1,0
21,5,5.006610,36.43,36.430000,26635.600000,16931.500000,4742023368992659407,null,1,1,0
22,10,5.004130,33.7,33.700000,25278.700000,16760.500000,6256578975208963304,null,1,1,0
23,15,5.005540,33.7,33.700000,25278.700000,16760.500000,12336834199684603571,null,1,1,0
24,20,5.004480,33.7,33.700000,25278.700000,16760.500000,17426624414624633759,null,1,1,0
25,25,5.006660,53.23,53.230000,26495.300000,12391.200000,9521923097997584123,null,1,1,0
26,30,5.009770,39.74,39.740000,27476.400000,16556.100000,9152426245010523181,null,1,1,0
27,35,5.004770,36.99,36.990000,25533.100000,16088.500000,14887820698398008522,null,1,1,0
28,40,5.003900,29.63,29.630000,24880.400000,17507.300000,10819472677658251333,null,1,1,0
29,45,5.004340,33.3,33.300000,26394.800000,17605.400000,10634225081498913747,null,1,1,0
30,50,5.004270,29.63,29.630000,24880.400000,17507.300000,17077341345358279723,null,1,1,0
31,55,5.003820,30.68,30.680000,25098.900000,17397.300000,9176724969667362132,null,1,1,0
32,60,5.007320,40.59,40.590000,26987.900000,16032.200000,14683483431703147984,null,1,1,0
33,65,5.009590,32.78,32.780000,25316.200000,17016.700000,1780221278401495522,null,1,1,0
34,70,5.006420,33.71,33.710000,25278.700000,16757.700000,9497718841019128278,null,1,1,0
35,75,5.009720,46.08,46.080000,26982.200000,14549.300000,5563926245740435391,null,1,1,0
36,80,5.005060,31.39,31.390000,24586.000000,16867.400000,8034558551468822711,null,1,1,0
37,85,5.004660,52.5,52.500000,25593.100000,12156.700000,9871511673277161164,null,1,1,0
38,90,5.006300,32.58,32.580000,25274.000000,17039.000000,15540708572644886351,null,1,1,0
39,95,5.004250,33.27,33.270000,25490.800000,17009.600000,12056239240886266960,null,1,1,0
40,100,5.008400,26.74,26.740000,25039.900000,18344.900000,11894871669137789988,null,1,1,0
41,5,5.014170,22.48,22.480000,26027.800000,20177.900000,13833839775346593887,null,2,1,0
