MipStartID,MipStartFile,SourceEvalID,UpperBound
10,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-5/6_momentum1_seed-5_20260503_104651/iterated_local_search/run_2_worker_1/mip_starts/mip_start_eval_9_config_9036303602775524155.mst,552,109147
9,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-5/6_momentum1_seed-5_20260503_104651/iterated_local_search/run_2_worker_1/mip_starts/mip_start_eval_5_config_1854687182878654996.mst,548,109158
8,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-5/6_momentum1_seed-5_20260503_104651/iterated_local_search/run_1_worker_7/mip_starts/mip_start_eval_4_config_16366250659723201539.mst,144,109159
7,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-5/6_momentum1_seed-5_20260503_104651/iterated_local_search/run_1_worker_3/mip_starts/mip_start_eval_16_config_13498050073455118094.mst,76,109170
6,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-5/6_momentum1_seed-5_20260503_104651/iterated_local_search/run_1_worker_3/mip_starts/mip_start_eval_5_config_9751553250932254790.mst,65,109181
5,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-5/6_momentum1_seed-5_20260503_104651/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_8_config_14320260987812673890.mst,28,115593
4,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-5/6_momentum1_seed-5_20260503_104651/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_13_config_4377604304300178125.mst,13,115595
3,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-5/6_momentum1_seed-5_20260503_104651/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_4_config_12911295086759950527.mst,4,115595
2,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-5/6_momentum1_seed-5_20260503_104651/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_3_config_2823934824078185206.mst,3,308144
1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-5/6_momentum1_seed-5_20260503_104651/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,308144
