EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.005498,32.21,32.210000,450.000000,305.039020,14921508010286178949,null,0,1,0
2,10,5.002749,15.88,15.880000,376.000000,316.300755,2823934824078185206,null,0,1,0
3,15,5.003058,16.86,16.860000,380.000000,315.942788,14403042972698526843,null,0,1,0
4,20,5.003718,23.55,23.550000,404.000000,308.842056,17878160102696106270,null,0,1,0
5,25,5.037380,33.17,33.170000,456.000000,304.744944,4953176355233792838,null,0,1,0
6,30,5.004110,16.98,16.980000,379.000000,314.659087,7475797912735248108,null,0,1,0
7,35,5.015834,31.01,31.010000,444.000000,306.299400,2814756197111476349,null,0,1,0
8,40,5.016636,25.75,25.750000,418.000000,310.361202,5891509694437369548,null,0,1,0
9,45,5.005514,27.84,27.840000,419.000000,302.335604,1978230459851294288,null,0,1,0
10,50,5.005027,15.89,15.890000,375.000000,315.396936,14718808688324299525,null,0,1,0
11,55,5.006242,22.32,22.320000,401.000000,311.508103,4224704790384270877,null,0,1,0
12,60,5.002409,33.42,33.420000,456.000000,303.595629,66560094061867943,null,0,1,0
13,65,5.012880,14.73,14.730000,370.000000,315.487841,15900247093493740247,null,0,1,0
14,70,5.003154,17.67,17.670000,385.000000,316.972718,18378351555111800982,null,0,1,0
15,75,5.006202,17.02,17.020000,380.000000,315.321767,8585544954408955291,null,0,1,0
16,80,5.009356,28.11,28.110000,438.000000,314.856502,12427100638398323865,null,0,1,0
17,85,5.003365,44.83,44.830000,548.000000,302.324477,16065058253728189681,null,0,1,0
18,90,5.003097,14.75,14.750000,370.000000,315.420452,14743409283989213984,null,0,1,0
19,95,5.004173,14.73,14.730000,370.000000,315.487841,3393904700578472690,null,0,1,0
20,100,5.003792,19.7,19.700000,391.000000,313.953765,346502139820212836,null,0,1,0
21,5,5.001980,39.7,39.700000,481.000000,290.065000,8723278136865304665,null,1,1,0
22,10,5.007150,38.07,38.070000,477.000000,295.412000,4970148594231515670,null,1,1,0
23,15,5.005550,46.06,46.060000,548.000000,295.612000,6270648273501389222,null,1,1,0
24,20,5.006610,18.18,18.180000,381.000000,311.721000,7005699763924148893,null,1,1,0
25,25,5.003610,30.7,30.700000,440.000000,304.915000,15979611459582699206,null,1,1,0
26,30,5.003840,18.08,18.080000,379.000000,310.465000,9235918253684584789,null,1,1,0
27,35,5.003830,18.08,18.080000,379.000000,310.465000,6704863418759006497,null,1,1,0
28,40,5.003270,30.74,30.740000,440.000000,304.734000,12274170757183475890,null,1,1,0
29,45,5.003070,23.46,23.460000,410.000000,313.811000,12232501489225758357,null,1,1,0
30,50,5.002800,38.07,38.070000,477.000000,295.412000,11679989723090930604,null,1,1,0
31,55,5.011510,26.16,26.160000,414.000000,305.685000,4340610354649906998,null,1,1,0
32,60,5.010260,17.5,17.500000,380.000000,313.487000,8216193935060670806,null,1,1,0
33,65,5.003010,17.29,17.290000,380.000000,314.284000,430386293214686539,null,1,1,0
34,70,5.029130,18.08,18.080000,379.000000,310.465000,10976942412314654062,null,1,1,0
35,75,5.003620,21.68,21.680000,405.000000,317.210000,8065290616865807858,null,1,1,0
36,80,5.004490,17.5,17.500000,380.000000,313.487000,17001405257351650899,null,1,1,0
