EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.006011,17.31,17.310000,2637475.999997,2181027.560229,14921508010286178949,null,0,1,0
2,10,5.002997,17.71,17.710000,2646701.999998,2178047.866950,2823934824078185206,null,0,1,0
3,15,5.002899,19.37,19.370000,2714037.999999,2188385.873750,844706301316953147,null,0,1,0
4,20,5.005933,16.95,16.950000,2628215.999999,2182785.578571,13575339350133640537,null,0,1,0
5,25,5.007109,21.91,21.910000,2648784.000000,2068513.602876,9795802819186901772,null,0,1,0
6,30,5.003681,21.62,21.620000,2636131.000000,2066298.014410,10709422651670981369,null,0,1,0
7,35,5.003060,17.92,17.920000,2659476.000000,2182785.578571,1515826067480613014,null,0,1,0
8,40,5.003019,17.92,17.920000,2659476.000000,2182785.578571,14434338431936163843,null,0,1,0
9,45,5.003154,17.31,17.310000,2637475.999997,2181027.560229,4974937575069386215,null,0,1,0
10,50,5.005432,18.92,18.920000,2662572.999999,2158784.833873,15280701603959127455,null,0,1,0
11,55,5.003018,16.93,16.930000,2628215.999999,2183353.996549,14806867336060748626,null,0,1,0
12,60,5.003087,17.31,17.310000,2637475.999997,2181027.560229,17250043159856248877,null,0,1,0
13,65,5.003066,16.79,16.790000,2650721.000000,2205737.508915,18067104694519294825,null,0,1,0
14,70,5.003042,16.79,16.790000,2650721.000000,2205737.508915,2280349703320049151,null,0,1,0
15,75,5.003819,23.65,23.650000,2681342.000000,2047189.197733,7092177680730495966,null,0,1,0
16,80,5.003071,18.16,18.160000,2637476.000000,2158401.460804,9899886373635464547,null,0,1,0
17,85,5.005669,17.37,17.370000,2637476.000000,2179223.157627,8613800627223801991,null,0,1,0
18,90,5.002969,17.46,17.460000,2660741.000000,2196170.977721,2886936580127062738,null,0,1,0
19,95,5.007624,16.79,16.790000,2650721.000000,2205737.508915,16548531997077446902,null,0,1,0
20,100,5.002702,16.57,16.570000,2641460.999984,2203686.259119,11199136461184639300,null,0,1,0
21,5,5.004400,23.87,23.870000,2659680.000000,2024730.000000,4742023368992659407,null,1,1,0
22,10,5.003790,23.86,23.860000,2659110.000000,2024730.000000,6256578975208963304,null,1,1,0
23,15,5.003460,23.94,23.940000,2662050.000000,2024730.000000,12336834199684603571,null,1,1,0
24,20,5.003900,23.86,23.860000,2659110.000000,2024730.000000,17426624414624633759,null,1,1,0
25,25,5.004510,23.24,23.240000,2628220.000000,2017520.000000,9521923097997584123,null,1,1,0
26,30,5.003390,23.21,23.210000,2625160.000000,2015970.000000,7980645442359438017,null,1,1,0
27,35,5.030670,24.43,24.430000,2638400.000000,1993890.000000,18392097829730038624,null,1,1,0
28,40,5.003250,23.28,23.280000,2625160.000000,2014070.000000,13335081713640551514,null,1,1,0
29,45,5.003710,23.94,23.940000,2662050.000000,2024730.000000,12435395187600247590,null,1,1,0
30,50,5.003490,32.49,32.490000,2657520.000000,1794020.000000,10385374750996177776,null,1,1,0
31,55,5.003010,23.3,23.300000,2628220.000000,2015970.000000,8222493437938193146,null,1,1,0
32,60,5.003060,25.17,25.170000,2628220.000000,1966690.000000,8193365566945103586,null,1,1,0
33,65,5.004190,22.93,22.930000,2678390.000000,2064130.000000,13434206525341159938,null,1,1,0
34,70,5.003040,21.66,21.660000,2699350.000000,2114670.000000,4178522872699025446,null,1,1,0
35,75,5.003050,22.02,22.020000,2699350.000000,2104890.000000,2950733749455020069,null,1,1,0
36,80,5.003550,20.67,20.670000,2699350.000000,2141320.000000,3517364454097089717,null,1,1,0
37,85,5.003340,23.28,23.280000,2625160.000000,2014070.000000,18309184612852807849,null,1,1,0
38,90,5.003290,20.67,20.670000,2699350.000000,2141320.000000,11638229300531884595,null,1,1,0
39,95,5.004590,24.32,24.320000,2678390.000000,2026940.000000,6270721839000037159,null,1,1,0
40,100,5.003660,24.73,24.730000,2678390.000000,2015990.000000,16946594492038490392,null,1,1,0
41,5,5.004520,22.07,22.070000,2651860.000000,2066510.000000,13833839775346593887,null,2,1,0
42,10,5.003640,22.02,22.020000,2636130.000000,2055660.000000,17419014958330931154,null,2,1,0
43,15,5.004450,22.02,22.020000,2636130.000000,2055660.000000,11061388906138207828,null,2,1,0
44,20,5.002710,22.44,22.440000,2678390.000000,2077270.000000,11231762849979703210,null,2,1,0
45,25,5.003680,22.92,22.920000,2678390.000000,2064530.000000,4021161396097349975,null,2,1,0
46,30,5.004110,22.02,22.020000,2636130.000000,2055660.000000,2110190193800242787,null,2,1,0
47,35,5.003410,22.92,22.920000,2678390.000000,2064530.000000,2952963931719238993,null,2,1,0
48,40,5.003770,19.25,19.250000,2724950.000000,2200350.000000,892473242910074610,null,2,1,0
49,45,5.003410,25.9,25.900000,2697710.000000,1998920.000000,18183320127886990831,null,2,1,0
50,50,5.003730,19.25,19.250000,2724950.000000,2200350.000000,5905475817213504815,null,2,1,0
51,55,5.003790,19.25,19.250000,2724950.000000,2200350.000000,10865658262676632864,null,2,1,0
