EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,5.021890,32.9,32.900000,244.000000,163.722352,14921508010286178949,null,0,1,0
2,12,5.020186,20.97,20.970000,242.000000,191.254126,2823934824078185206,null,0,1,0
3,18,5.022154,20.97,20.970000,242.000000,191.254126,14403042972698526843,null,0,1,0
4,23,5.024887,15.01,15.010000,240.000000,203.986700,17878160102696106270,null,0,1,0
5,28,5.022367,15.01,15.010000,240.000000,203.986700,4610383330787987577,null,0,1,0
6,33,5.025808,15.01,15.010000,240.000000,203.986700,8701421057794596400,null,0,1,0
7,38,5.023533,15.01,15.010000,240.000000,203.986700,15797882199865309802,null,0,1,0
8,43,5.009106,54.75,54.750000,251.000000,113.588476,14600615912853987757,null,0,1,0
9,48,5.023192,15.01,15.010000,240.000000,203.986700,3788433577263791445,null,0,1,0
10,53,5.027011,15.01,15.010000,240.000000,203.986700,4129780935194521104,null,0,1,0
11,58,5.020537,19.5,19.500000,247.000000,198.846041,7905422211105924433,null,0,1,0
12,63,5.027279,25.87,25.870000,250.000000,185.335331,1306624368982852578,null,0,1,0
13,68,5.022735,14.12,14.120000,241.000000,206.975099,7633987355444663507,null,0,1,0
14,73,5.022093,14.12,14.120000,241.000000,206.975099,12560625275781062745,null,0,1,0
15,78,5.019748,14.12,14.120000,241.000000,206.975099,2480797687986583021,null,0,1,0
16,83,5.020656,14.12,14.120000,241.000000,206.975099,9937026785419559478,null,0,1,0
17,88,5.021108,14.12,14.120000,241.000000,206.975099,435689135186531389,null,0,1,0
18,94,5.020521,14.12,14.120000,241.000000,206.975099,3569595404727916980,null,0,1,0
19,99,5.027166,20.29,20.290000,243.000000,193.688764,5365022277805633669,null,0,1,0
20,104,5.023719,14.12,14.120000,241.000000,206.975099,2642705928214163520,null,0,1,0
21,5,5.017810,76.96,76.960000,266.000000,61.276800,8723278136865304665,null,1,1,0
22,10,5.008750,54.75,54.750000,251.000000,113.588000,4970148594231515670,null,1,1,0
23,15,5.012580,50.8,50.800000,261.000000,128.404000,6270648273501389222,null,1,1,0
24,20,5.016640,78.13,78.130000,259.000000,56.641200,1718447797715883133,null,1,1,0
25,25,5.011320,50.8,50.800000,261.000000,128.404000,10152323841903041700,null,1,1,0
26,30,5.012690,57.43,57.430000,255.000000,108.562000,4738617011938782313,null,1,1,0
27,36,5.020950,14.62,14.620000,248.000000,211.747000,11253808247282079145,null,1,1,0
28,41,5.023080,14.62,14.620000,248.000000,211.747000,4655683570670944528,null,1,1,0
29,46,5.017360,25.97,25.970000,243.000000,179.883000,4541521981393841329,null,1,1,0
30,51,5.021400,15.01,15.010000,240.000000,203.987000,16419070331880475770,null,1,1,0
31,56,5.021960,16,16.000000,253.000000,212.509000,14236629426625452868,null,1,1,0
32,61,5.026270,14.62,14.620000,248.000000,211.747000,17376532781091683380,null,1,1,0
33,66,5.028780,14.62,14.620000,248.000000,211.747000,6004317534151043674,null,1,1,0
34,71,5.023380,15.01,15.010000,240.000000,203.987000,11783512198498629831,null,1,1,0
35,76,5.026610,14.62,14.620000,248.000000,211.747000,14430406998395601506,null,1,1,0
36,81,5.026330,14.62,14.620000,248.000000,211.747000,830609786359043074,null,1,1,0
37,86,5.022250,24.87,24.870000,258.000000,193.841000,11431962306120731168,null,1,1,0
38,91,5.025960,14.62,14.620000,248.000000,211.747000,8931775318854599901,null,1,1,0
39,96,5.027540,14.62,14.620000,248.000000,211.747000,15967562234487878680,null,1,1,0
40,102,5.024230,14.62,14.620000,248.000000,211.747000,12093589360868554287,null,1,1,0
41,5,5.021180,29.13,29.130000,248.000000,175.750000,15446065792237984030,null,2,1,0
42,10,5.023480,29.13,29.130000,248.000000,175.750000,4202048695090355429,null,2,1,0
