EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.003998,15.29,15.290000,1768.264086,1497.851054,14921508010286178949,null,0,1,0
2,10,5.003119,15.38,15.380000,1797.987563,1521.545198,5643427149002281568,null,0,1,0
3,15,5.002864,17.55,17.550000,1810.683002,1492.843662,2823934824078185206,null,0,1,0
4,20,5.003206,16,16.000000,1781.002719,1496.116269,12911295086759950527,null,0,1,0
5,25,5.002806,16.33,16.330000,1776.756508,1486.570717,15495703117619861868,null,0,1,0
6,30,5.002699,16.5,16.500000,1810.683002,1511.858134,13964071529318666704,null,0,1,0
7,35,5.002986,15.29,15.290000,1768.264086,1497.851054,635589708496059671,null,0,1,0
8,40,5.003523,15.31,15.310000,1768.264086,1497.604771,16450644818478286277,null,0,1,0
9,45,5.003304,15.22,15.220000,1806.479987,1531.522813,2077675631147850639,null,0,1,0
10,50,5.003230,15.22,15.220000,1806.479987,1531.522813,10780434725738961710,null,0,1,0
11,55,5.003145,18.68,18.680000,1844.652692,1500.141313,3203049053763300710,null,0,1,0
12,60,5.003022,16.34,16.340000,1836.203466,1536.229608,18190895495517076215,null,0,1,0
13,65,5.003360,17.12,17.120000,1802.190579,1493.745012,16109897264974501701,null,0,1,0
14,70,5.002556,16.41,16.410000,1823.421635,1524.225218,10971734938017849060,null,0,1,0
15,75,5.003584,18.18,18.180000,1844.695888,1509.276667,2519084591061496828,null,0,1,0
16,80,5.003200,15.22,15.220000,1806.479987,1531.522813,17733730001118214949,null,0,1,0
17,85,5.003120,15.22,15.220000,1806.479987,1531.522813,13825848417940456260,null,0,1,0
18,90,5.003099,15.21,15.210000,1806.479987,1531.700802,1590788748286841215,null,0,1,0
19,95,5.003530,16.37,16.370000,1823.421635,1524.898257,13312628879475267036,null,0,1,0
20,100,5.002778,15.96,15.960000,1810.683002,1521.704995,14733148205824510888,null,0,1,0
21,5,5.003820,19.68,19.680000,1764.020000,1416.940000,17514050945686148453,null,1,1,0
22,10,5.002800,19.29,19.290000,1764.020000,1423.820000,14945327202240187335,null,1,1,0
23,15,5.003000,14.63,14.630000,1789.500000,1527.670000,3621045295637817750,null,1,1,0
24,20,5.008630,18.8,18.800000,1785.250000,1449.690000,13224854944055979737,null,1,1,0
25,25,5.003690,16.12,16.120000,1797.990000,1508.090000,8377826189540281606,null,1,1,0
26,30,5.003050,12.95,12.950000,1764.020000,1535.630000,1258328679775540347,null,1,1,0
27,35,5.003370,12.98,12.980000,1764.020000,1535.040000,16255621280871193499,null,1,1,0
28,40,5.002670,15.98,15.980000,1823.420000,1532.120000,4781246237094918142,null,1,1,0
29,45,5.003470,14.9,14.900000,1772.510000,1508.320000,5738844623702404928,null,1,1,0
30,50,5.012820,14.23,14.230000,1781.000000,1527.570000,7720846091846294008,null,1,1,0
31,55,5.002550,16.47,16.470000,1789.500000,1494.780000,15889414341536355033,null,1,1,0
32,60,5.003340,12.85,12.850000,1759.770000,1533.730000,7017288088823230252,null,1,1,0
33,65,5.003350,12.85,12.850000,1759.770000,1533.730000,5136895327475005117,null,1,1,0
34,70,5.003120,14.23,14.230000,1781.000000,1527.570000,7254102667774400993,null,1,1,0
35,75,5.007540,20.32,20.320000,1772.510000,1412.350000,12655335134449032924,null,1,1,0
36,80,5.003340,14.2,14.200000,1781.000000,1528.050000,10303366051105274490,null,1,1,0
37,85,5.003410,17.42,17.420000,1789.500000,1477.790000,13527663517509103208,null,1,1,0
38,90,5.002840,13.27,13.270000,1764.020000,1529.920000,9029719011919486474,null,1,1,0
39,95,5.003360,13.34,13.340000,1772.510000,1536.040000,5486658127385589316,null,1,1,0
40,100,5.002680,17.41,17.410000,1810.680000,1495.480000,8908371021733422883,null,1,1,0
41,5,5.004140,22.47,22.470000,1776.760000,1377.580000,2804053118686667685,null,2,1,0
42,10,5.002860,21.28,21.280000,1768.260000,1391.960000,15558195506789843468,null,2,1,0
43,15,5.003310,22.5,22.500000,1793.740000,1390.120000,5528794372752364553,null,2,1,0
44,20,5.002850,22.87,22.870000,1793.740000,1383.600000,3011612376080164309,null,2,1,0
45,25,5.002490,20.57,20.570000,1759.770000,1397.850000,10014105228699714186,null,2,1,0
46,30,5.002510,20.67,20.670000,1755.530000,1392.630000,7312167375303436757,null,2,1,0
47,35,5.002530,20.57,20.570000,1759.770000,1397.850000,11898364515789979536,null,2,1,0
48,40,5.003020,20.57,20.570000,1759.770000,1397.850000,11363630772667428095,null,2,1,0
49,45,5.002330,21.14,21.140000,1772.510000,1397.850000,5125315082956861280,null,2,1,0
50,50,5.002830,18.98,18.980000,1755.530000,1422.310000,17191064017794445236,null,2,1,0
51,55,5.007870,21.15,21.150000,1819.220000,1434.530000,14520145156525287994,null,2,1,0
52,60,5.003220,19.18,19.180000,1745.120000,1410.360000,14309129438891814140,null,2,1,0
53,65,5.002870,10.79,10.790000,1749.370000,1560.680000,4422900407122861304,null,2,1,0
54,70,5.003510,16.87,16.870000,1811.180000,1505.630000,14768859020734855927,null,2,1,0
55,75,5.002840,10.79,10.790000,1749.370000,1560.680000,6881880191302982819,null,2,1,0
56,80,5.002830,10.79,10.790000,1749.370000,1560.680000,12552275704595457979,null,2,1,0
57,85,5.002780,10.79,10.790000,1749.370000,1560.680000,6574475959310150454,null,2,1,0
58,90,5.002500,19.38,19.380000,1823.420000,1470.000000,2676777295964919438,null,2,1,0
59,95,5.002580,17.57,17.570000,1810.680000,1492.610000,4101480815359202004,null,2,1,0
60,100,5.002750,12.86,12.860000,1772.510000,1544.590000,6348245156659606489,null,2,1,0
61,5,5.003240,17.72,17.720000,1755.530000,1444.410000,145401686263944303,null,3,1,0
62,10,5.002490,17.66,17.660000,1755.530000,1445.440000,8799749763501343571,null,3,1,0
63,15,5.012190,19.76,19.760000,1755.530000,1408.600000,10691836443073906419,null,3,1,0
64,20,5.003460,17.89,17.890000,1755.530000,1441.530000,1443674486224353948,null,3,1,0
65,25,5.002560,17.77,17.770000,1755.530000,1443.590000,6660205762614236162,null,3,1,0
66,30,5.002720,17.51,17.510000,1755.530000,1448.050000,5866506073972685907,null,3,1,0
67,35,5.002440,17.89,17.890000,1755.530000,1441.530000,3658947539027848178,null,3,1,0
68,40,5.002590,17.76,17.760000,1755.530000,1443.820000,1446588542583138016,null,3,1,0
69,45,5.002780,14.57,14.570000,1759.770000,1503.300000,15589424860104785385,null,3,1,0
70,50,5.002620,18.01,18.010000,1810.680000,1484.590000,6472086492675586177,null,3,1,0
71,55,5.002900,17.36,17.360000,1819.180000,1503.330000,14547062691992432891,null,3,1,0
72,60,5.002860,14.24,14.240000,1789.500000,1534.660000,17344155327363769180,null,3,1,0
