EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,11,26.71,26.710000,1106.654996,811.108951,14921508010286178949,null,0,1,0
2,21,50.12,50.120000,1619.199669,807.723690,2823934824078185206,null,0,1,0
3,32,26.71,26.710000,1106.654996,811.108951,844706301316953147,null,0,1,0
4,43,26.71,26.710000,1106.654996,811.108951,13575339350133640537,null,0,1,0
5,55,26.71,26.710000,1106.654996,811.108951,10926055034921966546,null,0,1,0
6,66,26.71,26.710000,1106.654996,811.108951,13290681019215308220,null,0,1,0
7,76,66.62,66.620000,2406.646621,803.373888,16957666276679199244,null,0,1,0
8,85,66.81,66.810000,2420.506503,803.373888,864434800366833410,null,0,1,0
9,96,26.71,26.710000,1106.654996,811.108951,5398713608842390699,null,0,1,0
10,108,26.71,26.710000,1106.654996,811.108951,635589708496059671,null,0,1,0
11,118,26.71,26.710000,1106.654996,811.108951,14494239334946615932,null,0,1,0
12,129,26.71,26.710000,1106.654996,811.108951,8683817217222751575,null,0,1,0
13,146,66.81,66.810000,2420.506503,803.373888,281880667954374288,null,0,1,0
14,157,32.48,32.480000,1192.873821,805.439663,10101538263502436884,null,0,1,0
15,168,26.71,26.710000,1106.654996,811.108951,3895283216737288575,null,0,1,0
16,178,26.71,26.710000,1106.654996,811.108951,17254147022443499681,null,0,1,0
17,190,26.71,26.710000,1106.654996,811.108951,6762843893550650360,null,0,1,0
18,204,100,100.000000,2420.506503,0.000000,12351453347240979420,null,0,1,0
19,215,26.71,26.710000,1106.654996,811.108951,15495703117619861868,null,0,1,0
20,226,26.71,26.710000,1106.654996,811.108951,5643427149002281568,null,0,1,0
21,11,26.71,26.710000,1106.650000,811.109000,4742023368992659407,null,1,1,0
22,26,16.7,16.700000,967.792000,806.219000,6256578975208963304,null,1,1,0
23,40,16.7,16.700000,967.792000,806.219000,12336834199684603571,null,1,1,0
24,55,16.7,16.700000,967.792000,806.219000,17426624414624633759,null,1,1,0
25,67,66.81,66.810000,2420.510000,803.374000,9521923097997584123,null,1,1,0
26,77,66.62,66.620000,2406.650000,803.374000,9152426245010523181,null,1,1,0
27,92,16.7,16.700000,967.792000,806.219000,14887820698398008522,null,1,1,0
28,106,16.7,16.700000,967.792000,806.219000,10819472677658251333,null,1,1,0
29,121,16.7,16.700000,967.792000,806.219000,5925360256658316714,null,1,1,0
30,135,16.02,16.020000,957.948000,804.466000,3444192465691585929,null,1,1,0
31,172,66.81,66.810000,2420.510000,803.374000,17936698409616148714,null,1,1,0
32,186,16.02,16.020000,957.948000,804.466000,353284442379461713,null,1,1,0
33,201,16.02,16.020000,957.948000,804.466000,12576497723953908083,null,1,1,0
34,215,16.02,16.020000,957.948000,804.466000,7476187841589059210,null,1,1,0
35,227,35.06,35.060000,1239.690000,805.093000,988148498197990081,null,1,1,0
36,240,16.02,16.020000,957.948000,804.466000,10980594707188101655,null,1,1,0
37,251,32.5,32.500000,1192.870000,805.207000,12925733400810432870,null,1,1,0
38,265,16.02,16.020000,957.948000,804.466000,13309155015341877371,null,1,1,0
39,278,16.02,16.020000,957.948000,804.466000,8247568875562627088,null,1,1,0
40,291,16.02,16.020000,957.948000,804.466000,10106088261651867993,null,1,1,0
41,307,14.26,14.260000,940.450484,806.326811,479339857129923624,null,0,1,1
42,303,100,100.000000,2420.506503,0.000000,15060716428140924768,null,1,1,1
43,325,14.26,14.260000,940.450484,806.326811,12188472518160745744,null,0,2,0
44,342,14.26,14.260000,940.450484,806.326811,13907660081537063873,null,0,2,0
45,363,14.26,14.260000,940.450484,806.326811,5789926560452574627,null,0,2,0
46,382,14.26,14.260000,940.450484,806.326811,12826250016027982827,null,0,2,0
47,395,14.26,14.260000,940.450484,806.326811,6354433097463315458,null,0,2,0
48,407,14.26,14.260000,940.450484,806.326811,16312942900735120685,null,0,2,0
49,320,100,100.000000,2420.510000,0.000000,1968902673363824799,null,1,2,0
50,334,100,100.000000,2420.510000,0.000000,10990780980671927900,null,1,2,0
51,348,100,100.000000,2420.510000,0.000000,15722628777229009510,null,1,2,0
52,363,100,100.000000,2420.510000,0.000000,11576902553458782495,null,1,2,0
53,376,100,100.000000,2420.510000,0.000000,16656929679287966297,null,1,2,0
54,390,100,100.000000,2420.510000,0.000000,14579968202716686020,null,1,2,0
55,423,18.87,18.870000,995.884589,807.924872,2109498806395943944,null,0,2,1
56,438,18.87,18.870000,995.884589,807.924872,10562140920284281713,null,0,2,1
57,455,14.26,14.260000,940.450484,806.326811,2683189278148873870,null,0,2,1
58,470,14.26,14.260000,940.450484,806.326811,1982459000731078008,null,0,2,1
59,486,15.45,15.450000,950.215152,803.381986,17134304099205597464,null,0,2,1
60,502,15.27,15.270000,952.245972,806.881054,4351492588572868368,null,0,2,1
