EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,6.928582,Normal,91.3,91.300000,499.635492,43.474651,14921508010286178949,null,0,1,0
2,7,6.963752,Normal,91.3,91.300000,499.635492,43.474651,4206954813903794619,null,0,1,0
3,7,6.983620,Normal,91.3,91.300000,499.635492,43.474651,15099494242397310251,null,0,1,0
4,7,6.934902,Normal,91.3,91.300000,499.635492,43.474651,4004613399619045535,null,0,1,0
5,7,6.922745,Normal,91.3,91.300000,499.635492,43.474651,3176396669118814692,null,0,1,0
6,7,6.947493,Normal,91.3,91.300000,499.635492,43.474651,16232236184030259895,null,0,1,0
7,7,6.940472,Normal,91.3,91.300000,499.635492,43.474651,7341868158190015683,null,0,1,0
8,7,6.926549,Normal,91.3,91.300000,499.635492,43.474651,17302026320929459937,null,0,1,0
9,7,6.898773,Normal,91.3,91.300000,499.635492,43.474651,8139715411725428876,null,0,1,0
10,7,6.922808,Normal,91.3,91.300000,499.635492,43.474651,911778029091929454,null,0,1,0
11,7,6.967004,Normal,91.3,91.300000,499.635492,43.474651,8288215431682826193,null,0,1,0
12,7,6.953970,Normal,91.3,91.300000,499.635492,43.474651,4751982340871308678,null,0,1,0
13,7,6.899779,Normal,91.3,91.300000,499.635492,43.474651,14739098761425129647,null,0,1,0
14,7,6.899792,Normal,91.3,91.300000,499.635492,43.474651,6317414522914921312,null,0,1,0
15,8,7.973847,Normal,21.57,21.570000,55.430127,43.474651,7825621333715224623,null,0,1,0
16,8,8.079041,Normal,21.57,21.570000,55.430127,43.474651,6907271033464018658,null,0,1,0
17,16,7.950686,Normal,21.57,21.570000,55.430127,43.474651,9071768162247221029,null,0,1,0
18,16,8.010720,Normal,21.57,21.570000,55.430127,43.474651,11177864287578042718,null,0,1,0
19,16,6.741780,Normal,91.3,91.300000,499.635492,43.474651,14101870811917911121,null,0,1,0
20,16,6.841679,Normal,91.3,91.300000,499.635492,43.474651,7230958460832925882,null,0,1,0
21,16,7.923056,Normal,21.57,21.570000,55.430127,43.474651,5302355286402704127,null,0,1,0
22,16,7.867942,Normal,21.57,21.570000,55.430127,43.474651,17031364324377460666,null,0,1,0
23,16,7.873631,Normal,21.57,21.570000,55.430127,43.474651,13525338295705038618,null,0,1,0
24,16,7.866655,Normal,21.57,21.570000,55.430127,43.474651,11201594534786870598,null,0,1,0
25,16,7.844381,Normal,21.57,21.570000,55.430127,43.474651,14690056444356029029,null,0,1,0
26,16,7.884509,Normal,21.57,21.570000,55.430127,43.474651,6293575444356845795,null,0,1,0
27,16,7.833540,Normal,21.57,21.570000,55.430127,43.474651,13460322143042346418,null,0,1,0
28,16,7.995032,Normal,21.57,21.570000,55.430127,43.474651,6589086780731592032,null,0,1,0
29,16,6.519713,Normal,100,100.000000,499.635492,0.000000,9745200042660262081,null,0,1,0
30,16,7.804728,Normal,21.57,21.570000,55.430127,43.474651,14436713328966558811,null,0,1,0
31,16,7.946863,Normal,21.57,21.570000,55.430127,43.474651,11458054230774706557,null,0,1,0
32,16,7.931223,Normal,21.57,21.570000,55.430127,43.474651,6145256187527928273,null,0,1,0
33,24,7.081979,Normal,4.5,4.500000,45.521065,43.474651,10899463801784172830,null,0,1,1
34,33,7.853849,Normal,21.57,21.570000,55.430127,43.474651,13460322143042346418,null,0,2,0
35,33,7.092400,Normal,4.5,4.500000,45.521065,43.474651,10899463801784172830,null,0,2,0
36,33,7.896583,Normal,21.57,21.570000,55.430127,43.474651,8404353865032447933,null,0,2,0
37,33,7.127944,Normal,100,100.000000,499.635492,0.000000,17348301445673983379,null,0,2,0
38,33,7.898052,Normal,21.57,21.570000,55.430127,43.474651,10900005555577547315,null,0,2,0
39,33,7.859113,Normal,21.57,21.570000,55.430127,43.474651,6145256187527928273,null,0,2,0
40,33,7.892029,Normal,21.57,21.570000,55.430127,43.474651,11177864287578042718,null,0,2,0
41,33,7.910842,Normal,21.57,21.570000,55.430127,43.474651,18432673026984205915,null,0,2,0
42,33,7.938413,Normal,21.57,21.570000,55.430127,43.474651,11458054230774706557,null,0,2,0
43,33,7.970265,Normal,100,100.000000,499.635492,0.000000,3945519565473745851,null,0,2,0
44,33,7.907629,Normal,21.57,21.570000,55.430127,43.474651,5302355286402704127,null,0,2,0
45,33,7.844546,Normal,21.57,21.570000,55.430127,43.474651,16406153720054420492,null,0,2,0
46,33,7.831017,Normal,21.57,21.570000,55.430127,43.474651,535845584765836941,null,0,2,0
