EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,8,8.304570,Normal,35.48,35.480000,1550013250.000006,1000005975.192370,14921508010286178949,null,0,1,0
2,8,8.500830,Normal,50,50.000000,1600010000.000000,800004000.000000,3602984914613417735,null,1,1,0
3,7,7.482430,Normal,48.29,48.290000,1640010000.000000,848007000.000000,9462909913056450022,null,2,1,0
4,8,8.066250,Normal,37.5,37.500000,1600010000.000000,1000010000.000000,11565528793410549368,null,3,1,0
5,8,8.237920,Normal,42.82,42.820000,1600010000.000000,914820000.000000,4646249020595888442,null,4,1,0
6,7,7.458110,Normal,0,0.000000,1200010000.000000,1200000000.000000,4796034478059683648,null,5,1,0
7,8,8.441770,Normal,46.67,46.670000,1500010000.000000,800005000.000000,3244941160791357458,null,6,1,0
8,9,9.011660,Normal,38.64,38.640000,1466680000.000000,900006000.000000,3328272113575592546,null,7,1,0
9,8,8.458930,Normal,45.76,45.760000,1475010000.000000,800005000.000000,23473476996067268,null,8,1,0
10,8,8.518320,Normal,32.98,32.980000,1566680000.000000,1050010000.000000,4101447407034555035,null,9,1,0
11,7,7.798880,Normal,35.81,35.810000,1433350000.000000,920007000.000000,12384037270900507892,null,10,1,0
12,9,9.243050,Normal,45.45,45.450000,1833350000.000000,1000010000.000000,4520697733015294173,null,11,1,0
13,7,6.992000,Normal,44.81,44.810000,1500010000.000000,827913000.000000,5856144687181584429,null,12,1,0
14,13,6.896290,Normal,43.38,43.380000,1500010000.000000,849320000.000000,14785420528417267844,null,12,1,0
15,7,7.401810,Normal,45.83,45.830000,1600010000.000000,866671000.000000,4109202862788474030,null,13,1,0
16,15,7.645200,Normal,29.49,29.490000,1475010000.000000,1040010000.000000,2068527560050239519,null,13,1,0
17,6,6.787870,Normal,43.7,43.700000,1500010000.000000,844452000.000000,1562035956727731452,null,14,1,0
18,13,6.770120,Normal,43.7,43.700000,1500010000.000000,844452000.000000,8910100256754404693,null,14,1,0
19,20,6.861290,Normal,40,40.000000,1500010000.000000,900006000.000000,4348478767769254112,null,14,1,0
20,7,7.721070,Normal,32.2,32.200000,1475010000.000000,1000000000.000000,4160351229302844978,null,15,1,0
