EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,6.048466,Normal,94.88,94.880000,527.000000,27.000000,14921508010286178949,null,0,1,0
2,12,5.965702,Normal,94.88,94.880000,527.000000,27.000000,12911295086759950527,null,0,1,0
3,18,6.020620,Normal,94.88,94.880000,527.000000,27.000000,14494239334946615932,null,0,1,0
4,24,6.043962,Normal,94.88,94.880000,527.000000,27.000000,15495703117619861868,null,0,1,0
5,30,6.064484,Normal,94.88,94.880000,527.000000,27.000000,15743638518301921207,null,0,1,0
6,36,6.061513,Normal,94.88,94.880000,527.000000,27.000000,5834950261831871145,null,0,1,0
7,42,6.040009,Normal,94.88,94.880000,527.000000,27.000000,16957666276679199244,null,0,1,0
8,48,6.004514,Normal,94.88,94.880000,527.000000,27.000000,864434800366833410,null,0,1,0
9,54,6.028999,Normal,88.26,88.260000,230.000000,27.000000,5398713608842390699,null,0,1,0
10,60,6.000301,Normal,88.26,88.260000,230.000000,27.000000,3812272821872669063,null,0,1,0
11,66,6.011651,Normal,88.26,88.260000,230.000000,27.000000,8067444574291892353,null,0,1,0
12,72,6.024384,Normal,88.26,88.260000,230.000000,27.000000,10837772419213345108,null,0,1,0
13,78,5.995314,Normal,88.26,88.260000,230.000000,27.010000,1326127114502151052,null,0,1,0
14,84,6.033274,Normal,88.26,88.260000,230.000000,27.000000,6052723598238457172,null,0,1,0
15,90,5.998852,Normal,88.26,88.260000,230.000000,27.000000,2389706952343843674,null,0,1,0
16,96,6.062685,Normal,88.26,88.260000,230.000000,27.000000,6416930960952946596,null,0,1,0
17,102,6.028394,Normal,88.26,88.260000,230.000000,27.000000,2672427693625422931,null,0,1,0
18,108,5.805479,Normal,88.26,88.260000,230.000000,27.000000,6715853972234951954,null,0,1,0
19,114,5.972662,Normal,88.26,88.260000,230.000000,27.000000,2383908609749840643,null,0,1,0
20,120,5.983784,Normal,88.26,88.260000,230.000000,27.000000,16296325783509183914,null,0,1,0
21,6,5.960380,Normal,94.88,94.880000,527.000000,27.000000,3602984914613417735,null,1,1,0
22,11,5.918800,Normal,94.88,94.880000,527.000000,27.000000,15841384995630316506,null,1,1,0
23,17,5.913660,Normal,94.88,94.880000,527.000000,27.000000,8458285367716274865,null,1,1,0
24,23,5.936630,Normal,94.88,94.880000,527.000000,27.000000,184210828942820344,null,1,1,0
25,29,5.988290,Normal,88.26,88.260000,230.000000,27.000000,5052452996660769105,null,1,1,0
26,35,5.973940,Normal,88.26,88.260000,230.000000,27.000000,8697005210864878580,null,1,1,0
27,41,5.982950,Normal,88.26,88.260000,230.000000,27.000000,16799200122190232816,null,1,1,0
28,47,5.915630,Normal,88.26,88.260000,230.000000,27.000000,13284208736432705007,null,1,1,0
29,53,6.007580,Normal,88.26,88.260000,230.000000,27.000000,9931478910490265256,null,1,1,0
30,59,5.995160,Normal,88.26,88.260000,230.000000,27.000000,16844479219697359711,null,1,1,0
31,65,5.984210,Normal,88.26,88.260000,230.000000,27.000000,1209181617712662427,null,1,1,0
32,71,6.022050,Normal,88.26,88.260000,230.000000,27.000000,9929881293173393455,null,1,1,0
33,77,6.021890,Normal,88.26,88.260000,230.000000,27.000000,15065786879589931325,null,1,1,0
34,83,5.995740,Normal,88.26,88.260000,230.000000,27.000000,9544117964601803135,null,1,1,0
35,89,5.998120,Normal,94.88,94.880000,527.000000,27.000000,11612010740538096458,null,1,1,0
36,95,6.025300,Normal,94.88,94.880000,527.000000,27.000000,15945802319736964632,null,1,1,0
37,101,6.012900,Normal,88.26,88.260000,230.000000,27.000000,13030602109465117369,null,1,1,0
38,108,6.205460,Normal,86.52,86.520000,230.000000,31.000000,2479573264979112951,null,1,1,0
39,114,6.205060,Normal,86.52,86.520000,230.000000,31.000000,6405910013470947032,null,1,1,0
40,120,6.227320,Normal,86.52,86.520000,230.000000,31.000000,3355914465073479501,null,1,1,0
41,6,6.055990,Normal,94.87,94.870000,527.000000,27.019500,9462909913056450022,null,2,1,0
42,12,5.959520,Normal,94.87,94.870000,527.000000,27.019500,12213787952079433833,null,2,1,0
43,18,6.104950,Normal,94.87,94.870000,527.000000,27.019500,4226821701902342992,null,2,1,0
44,24,6.062640,Normal,94.87,94.870000,527.000000,27.019500,17866424436150913384,null,2,1,0
45,30,6.156190,Normal,94.87,94.870000,527.000000,27.019500,16802286171921885161,null,2,1,0
46,36,5.825680,Normal,88.26,88.260000,230.000000,27.000000,4669689045597038894,null,2,1,0
47,42,5.852510,Normal,88.26,88.260000,230.000000,27.000000,11538180137372711439,null,2,1,0
48,47,5.765360,Normal,88.26,88.260000,230.000000,27.000000,17475266002124988620,null,2,1,0
49,53,5.888230,Normal,88.26,88.260000,230.000000,27.000000,7973989676877833792,null,2,1,0
50,59,5.816250,Normal,88.26,88.260000,230.000000,27.000000,10992493767826583765,null,2,1,0
51,65,5.848250,Normal,88.26,88.260000,230.000000,27.000000,1084694167770508058,null,2,1,0
52,71,5.985330,Normal,94.88,94.880000,527.000000,27.000000,7865629405447375380,null,2,1,0
53,77,5.857600,Normal,88.26,88.260000,230.000000,27.000000,16936908109205006781,null,2,1,0
54,83,5.830070,Normal,88.26,88.260000,230.000000,27.000000,9895917526510148132,null,2,1,0
55,89,5.975440,Normal,88.26,88.260000,230.000000,27.000000,9926932002651877104,null,2,1,0
56,95,5.889720,Normal,88.26,88.260000,230.000000,27.000000,14703761633957511655,null,2,1,0
57,101,5.896660,Normal,88.26,88.260000,230.000000,27.000000,12847950963961087931,null,2,1,0
58,106,5.807020,Normal,88.26,88.260000,230.000000,27.000000,6675877588363599670,null,2,1,0
59,113,6.169010,Normal,86.52,86.520000,230.000000,31.000000,2209978015012153651,null,2,1,0
60,119,6.190020,Normal,86.52,86.520000,230.000000,31.000000,10505499990940081565,null,2,1,0
61,5,5.905390,Normal,88.26,88.260000,230.000000,27.000000,11565528793410549368,null,3,1,0
62,11,5.873490,Normal,88.26,88.260000,230.000000,27.000000,9397522946743369557,null,3,1,0
63,17,5.867210,Normal,88.26,88.260000,230.000000,27.000000,13710408054629134346,null,3,1,0
64,23,5.896000,Normal,88.26,88.260000,230.000000,27.000000,2748598918444556601,null,3,1,0
65,29,5.916690,Normal,88.26,88.260000,230.000000,27.000000,1958950036889164730,null,3,1,0
66,35,5.906380,Normal,88.26,88.260000,230.000000,27.000000,2533709451826991416,null,3,1,0
67,41,5.919740,Normal,88.26,88.260000,230.000000,27.000000,11208904678951508032,null,3,1,0
68,47,5.923850,Normal,88.26,88.260000,230.000000,27.000000,7211634829109856827,null,3,1,0
69,53,5.918860,Normal,88.26,88.260000,230.000000,27.000000,8687112850035845576,null,3,1,0
70,59,6.099990,Normal,88.26,88.260000,230.000000,27.000000,12523843132621806815,null,3,1,0
71,65,5.899760,Normal,94.88,94.880000,527.000000,27.000000,15002224934657799480,null,3,1,0
72,71,5.943150,Normal,88.26,88.260000,230.000000,27.000000,13594145084520728469,null,3,1,0
73,77,6.142230,Normal,88.26,88.260000,230.000000,27.000000,6955399810547012654,null,3,1,0
74,83,5.923570,Normal,88.26,88.260000,230.000000,27.000000,311539775007346245,null,3,1,0
75,89,6.057960,Normal,94.87,94.870000,527.000000,27.020000,10559214146157120101,null,3,1,0
76,95,5.965460,Normal,88.26,88.260000,230.000000,27.000000,18106790082914805984,null,3,1,0
77,101,5.965200,Normal,88.26,88.260000,230.000000,27.000000,3860381958923407772,null,3,1,0
