EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,7.056094,Normal,28.57,28.570000,-315.000000,-405.000000,14921508010286178949,null,0,1,0
2,14,6.783111,Normal,26.56,26.560000,-320.000000,-405.000000,10101538263502436884,null,0,1,0
3,20,6.733584,Normal,39.66,39.660000,-290.000000,-405.000000,1775806491075324055,null,0,1,0
4,28,7.016746,Normal,28.57,28.570000,-315.000000,-405.000000,4934740888478172005,null,0,1,0
5,35,6.914677,Normal,26.56,26.560000,-320.000000,-405.000000,17977740392540409712,null,0,1,0
6,42,7.275446,Normal,28.57,28.570000,-315.000000,-405.000000,18392939659909934726,null,0,1,0
7,49,7.256829,Normal,28.57,28.570000,-315.000000,-405.000000,281880667954374288,null,0,1,0
8,56,6.771463,Normal,22.31,22.310000,-325.000000,-397.500000,15967154807106001393,null,0,1,0
9,63,6.742697,Normal,30.65,30.650000,-310.000000,-405.000000,5491625133016140323,null,0,1,0
10,70,6.819010,Normal,44.44,44.440000,-270.000000,-390.000000,15227577629525015713,null,0,1,0
11,77,6.572286,Normal,22.31,22.310000,-325.000000,-397.500000,3495941195874072000,null,0,1,0
12,83,6.782088,Normal,28.57,28.570000,-315.000000,-405.000000,10553754767730493899,null,0,1,0
13,91,7.124692,Normal,28.57,28.570000,-315.000000,-405.000000,649842823304557606,null,0,1,0
14,98,6.907653,Normal,10.09,10.090000,-340.000000,-374.318182,17466458436871840164,null,0,1,0
15,105,6.915400,Normal,17.43,17.430000,-325.000000,-381.650673,14570999760463771046,null,0,1,0
16,112,6.941695,Normal,10.09,10.090000,-340.000000,-374.318182,6946412406504774581,null,0,1,0
17,119,6.807417,Normal,31.69,31.690000,-305.000000,-401.666667,7679628453532140974,null,0,1,0
18,126,6.893710,Normal,28.57,28.570000,-315.000000,-405.000000,1508158479629945233,null,0,1,0
19,133,6.972359,Normal,10.09,10.090000,-340.000000,-374.318182,7573604989417411336,null,0,1,0
20,139,6.541314,Normal,13.53,13.530000,-330.000000,-374.664430,13080275280394263966,null,0,1,0
