EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,8,8.775497,Normal,5.49,5.490000,11857.371258,11205.838134,14921508010286178949,null,0,1,0
2,9,8.926006,Normal,3.3,3.300000,11801.185729,11411.446798,1174959017006352549,null,0,1,0
3,9,7.613578,Normal,3.51,3.510000,11801.185729,11386.416168,14529113587495427886,null,0,1,0
4,9,8.878286,Normal,3.13,3.130000,11801.185729,11431.557215,13298169907104576223,null,0,1,0
5,9,8.487236,Normal,3.78,3.780000,11857.371258,11408.749708,15715267473014585801,null,0,1,0
6,9,8.973428,Normal,4.79,4.790000,11801.185729,11236.067878,13113747896214692174,null,0,1,0
7,9,8.802523,Normal,3.71,3.710000,11857.371258,11416.890820,18137771549933266857,null,0,1,0
8,9,8.767760,Normal,4.92,4.920000,11857.371258,11273.570595,12501584996764611432,null,0,1,0
9,9,8.769002,Normal,5.68,5.680000,11801.185729,11130.967937,12265203031129273446,null,0,1,0
10,9,8.541729,Normal,5.66,5.660000,11801.185729,11132.950113,4882476920712910076,null,0,1,0
11,9,8.599025,Normal,9.64,9.640000,11801.185729,10663.441936,10091813221546141797,null,0,1,0
12,9,8.715194,Normal,3.84,3.840000,11857.371258,11402.587851,18084366759622591486,null,0,1,0
13,17,8.769356,Normal,3.13,3.130000,11801.185729,11431.557215,15831615665324959673,null,0,1,0
14,17,7.748880,Normal,3.35,3.350000,11801.185729,11405.863946,12770126245639832276,null,0,1,0
15,17,8.751367,Normal,3.3,3.300000,11801.185729,11411.172445,14871445196797205856,null,0,1,0
16,17,8.658402,Normal,3.26,3.260000,11801.185729,11416.115322,10620264584914828157,null,0,1,0
17,17,8.769736,Normal,5.42,5.420000,11801.185729,11161.699977,4912676823596388569,null,0,1,0
18,17,8.793265,Normal,3.13,3.130000,11801.185729,11431.557215,15787316559415834141,null,0,1,0
19,17,8.391742,Normal,3.36,3.360000,11801.185729,11404.932788,762515213205593264,null,0,1,0
20,17,8.754244,Normal,3.02,3.020000,11801.185729,11444.503182,8006302206333610012,null,0,1,0
21,17,8.672175,Normal,9.61,9.610000,11801.185729,10667.361780,1873380131948295563,null,0,1,0
22,17,8.769440,Normal,3.3,3.300000,11801.185729,11411.172445,5342333872661792384,null,0,1,0
23,18,8.811974,Normal,3.13,3.130000,11801.185729,11431.557215,7632776391246326203,null,0,1,0
24,18,8.423072,Normal,4,4.000000,11874.763051,11399.744131,14257699811680250187,null,0,1,0
25,9,9.098670,Normal,4.62,4.620000,11801.200000,11256.400000,7401673638713744726,null,12,1,0
26,9,8.591380,Normal,5.38,5.380000,11801.200000,11166.100000,16396562299928749897,null,12,1,0
27,9,8.872000,Normal,5.16,5.160000,11857.400000,11245.900000,154449570900336412,null,12,1,0
28,9,8.437660,Normal,9.62,9.620000,11801.200000,10666.100000,1870640448802790212,null,12,1,0
29,9,8.408800,Normal,4.83,4.830000,11801.200000,11231.100000,13232332442289995497,null,12,1,0
30,9,8.520390,Normal,4.54,4.540000,11801.200000,11264.900000,1347260208789994871,null,12,1,0
31,9,8.887850,Normal,4.82,4.820000,11801.200000,11232.900000,1061080275565690099,null,12,1,0
32,9,8.322260,Normal,9.72,9.720000,11801.200000,10654.600000,3771273918761716124,null,12,1,0
33,9,8.421840,Normal,4.78,4.780000,11801.200000,11237.100000,15737466809406262649,null,12,1,0
34,9,8.439490,Normal,9.62,9.620000,11801.200000,10666.100000,8240301471667389700,null,12,1,0
35,9,9.074490,Normal,4.38,4.380000,11801.200000,11284.500000,4183028344920820727,null,12,1,0
36,9,8.794480,Normal,4.81,4.810000,11801.200000,11234.000000,16026645683274895346,null,12,1,0
37,17,8.082910,Normal,4.79,4.790000,11801.200000,11236.400000,14456512317106427435,null,12,1,0
38,18,9.079960,Normal,4.38,4.380000,11801.200000,11284.500000,15747465676562266047,null,12,1,0
39,18,9.143090,Normal,4.48,4.480000,11801.200000,11272.800000,9354678375409929534,null,12,1,0
40,18,8.699980,Normal,4.57,4.570000,11801.200000,11261.800000,5606172209308986856,null,12,1,0
41,18,9.075480,Normal,4.38,4.380000,11801.200000,11284.500000,3302462311809639097,null,12,1,0
42,18,9.029700,Normal,4.61,4.610000,11801.200000,11257.500000,6872014187558234976,null,12,1,0
43,18,8.900250,Normal,4.87,4.870000,11801.200000,11226.800000,565658226647970437,null,12,1,0
44,18,9.108850,Normal,3.16,3.160000,11801.200000,11428.000000,10605327998900730657,null,12,1,0
45,18,8.534080,Normal,5.83,5.830000,11801.200000,11113.800000,6710597470085864134,null,12,1,0
46,18,8.874500,Normal,4.51,4.510000,11801.200000,11269.000000,6807946596389998288,null,12,1,0
47,18,9.071080,Normal,4.38,4.380000,11801.200000,11284.500000,18230664936366629657,null,12,1,0
48,18,9.084690,Normal,4.38,4.380000,11801.200000,11284.500000,1271786026384484606,null,12,1,0
49,26,8.396087,Normal,3.02,3.020000,11801.185729,11444.503182,10226760617952492897,null,0,1,1
50,27,8.473966,Normal,3.02,3.020000,11801.185729,11444.503182,14240366051158350720,null,1,1,1
51,27,8.450365,Normal,3.02,3.020000,11801.185729,11444.503182,15538005074867050426,null,2,1,1
52,27,8.462812,Normal,3.02,3.020000,11801.185729,11444.503182,17890996947276117754,null,3,1,1
53,30,11.616591,Normal,2.49,2.490000,11801.185729,11507.320655,10366786770955119840,null,4,1,1
54,39,8.750510,Normal,3.23,3.230000,11801.185729,11420.055499,9890119546570088992,null,0,2,0
55,39,8.662226,Normal,3.47,3.470000,11801.185729,11391.229188,16947335505204215007,null,0,2,0
56,42,11.990690,Normal,2.49,2.490000,11801.185729,11507.320655,14892024623545176832,null,0,2,0
57,42,8.768819,Normal,3.02,3.020000,11801.185729,11444.503182,8397408400125433726,null,0,2,0
58,42,8.744436,Normal,3.23,3.230000,11801.185729,11420.055499,7785796014102515331,null,0,2,0
59,42,8.761399,Normal,3.02,3.020000,11801.185729,11444.503182,5834615030986393819,null,0,2,0
60,42,11.918438,Normal,2.49,2.490000,11801.185729,11507.320655,10366786770955119840,null,0,2,0
61,42,8.772587,Normal,3.23,3.230000,11801.185729,11420.055499,16978326889458404553,null,0,2,0
62,42,8.788786,Normal,3.02,3.020000,11801.185729,11444.503182,14240366051158350720,null,0,2,0
63,42,8.765749,Normal,3.02,3.020000,11801.185729,11444.503182,14109053942533252713,null,0,2,0
64,42,8.777854,Normal,5.56,5.560000,11801.185729,11145.166138,11601507853728522543,null,0,2,0
65,42,8.759713,Normal,3.02,3.020000,11801.185729,11444.503182,10236819124794566430,null,0,2,0
66,37,6.965570,Normal,3.76,3.760000,11801.200000,11357.500000,15007780917785953723,null,12,2,0
67,37,6.221250,Normal,4.23,4.230000,11801.200000,11301.400000,7340282497411174800,null,12,2,0
68,37,7.517460,Normal,3.89,3.890000,11801.200000,11342.100000,13449337829662389240,null,12,2,0
69,43,12.507200,Normal,2.37,2.370000,11801.200000,11521.900000,9767969756051334402,null,12,2,0
70,43,7.055870,Normal,4.03,4.030000,11801.200000,11325.800000,12585624812002284827,null,12,2,0
