EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.877397,Normal,94.88,94.880000,527.000000,27.000000,14921508010286178949,null,0,1,0
2,5,5.631778,Normal,88.26,88.260000,230.000000,27.000000,15315726882871790359,null,0,1,0
3,5,5.791771,Normal,85.65,85.650000,230.000000,33.000000,56266242180763339,null,0,1,0
4,5,5.766949,Normal,88.26,88.260000,230.000000,27.000000,5530053259497326143,null,0,1,0
5,6,6.455015,Normal,88.56,88.560000,236.000000,27.000000,8133657461551311557,null,0,1,0
6,6,5.730367,Normal,94.88,94.880000,527.000000,27.000000,14741627626669361447,null,0,1,0
7,6,5.856214,Normal,94.69,94.690000,527.000000,28.000000,18048546313340551371,null,0,1,0
8,6,5.723879,Normal,94.88,94.880000,527.000000,27.000000,8378194668163543516,null,0,1,0
9,6,5.632464,Normal,88.26,88.260000,230.000000,27.000000,15773643604649981878,null,0,1,0
10,6,5.698271,Normal,94.88,94.880000,527.000000,27.000000,10475436007257000173,null,0,1,0
11,6,5.643640,Normal,88.26,88.260000,230.000000,27.000000,15479696417341445444,null,0,1,0
12,6,5.800994,Normal,94.88,94.880000,527.000000,27.000000,15449004121024178994,null,0,1,0
13,6,5.939939,Normal,85,85.000000,230.000000,34.500000,3639090644443258207,null,0,1,0
14,6,5.808123,Normal,94.87,94.870000,527.000000,27.032000,7910908467949601595,null,0,1,0
15,6,5.670740,Normal,88.26,88.260000,230.000000,27.000000,14909476367204332483,null,0,1,0
16,6,5.916959,Normal,85,85.000000,230.000000,34.500000,11298358561546397469,null,0,1,0
17,6,5.769890,Normal,88.26,88.260000,230.000000,27.000000,10358148779958121952,null,0,1,0
18,6,5.679553,Normal,88.26,88.260000,230.000000,27.000000,13143810972002902633,null,0,1,0
19,6,5.767053,Normal,85.65,85.650000,230.000000,33.000000,8946095715556300527,null,0,1,0
20,6,5.692638,Normal,88.26,88.260000,230.000000,27.000000,9165261999009959821,null,0,1,0
21,6,5.953121,Normal,84.35,84.350000,230.000000,36.000000,10678352888292044131,null,0,1,0
22,6,5.975952,Normal,84.78,84.780000,230.000000,35.000000,5149766943805452888,null,0,1,0
23,6,6.188362,Normal,88.26,88.260000,230.000000,27.000000,4283277289968013941,null,0,1,0
24,6,5.823403,Normal,94.88,94.880000,527.000000,27.000000,1728608753108929034,null,0,1,0
25,14,7.414199,Normal,94.88,94.880000,527.000000,27.000000,13756529081984947711,null,0,1,1
26,13,7.060877,Normal,85.65,85.650000,230.000000,33.000000,15551059821315336673,null,1,1,1
27,12,6.043727,Normal,84.35,84.350000,230.000000,36.000000,7942591565641120218,null,2,1,1
28,12,6.022386,Normal,84.35,84.350000,230.000000,36.000000,16515356337097405492,null,3,1,1
29,12,6.013791,Normal,84.78,84.780000,230.000000,35.000000,14238469741702438333,null,4,1,1
30,12,6.051122,Normal,84.78,84.780000,230.000000,35.000000,1880419975730423950,null,5,1,1
31,12,6.031302,Normal,84.35,84.350000,230.000000,36.000000,8810556756293070960,null,6,1,1
32,12,6.027852,Normal,84.35,84.350000,230.000000,36.000000,120980370873959290,null,7,1,1
33,13,6.427725,Normal,88.26,88.260000,230.000000,27.000000,17662042443900997068,null,8,1,1
34,13,6.607075,Normal,94.12,94.120000,527.000000,31.000000,15562688556944024560,null,9,1,1
35,12,5.887035,Normal,86.86,86.860000,236.000000,31.000000,7846462701599060119,null,10,1,1
36,12,5.807670,Normal,87.83,87.830000,230.000000,28.000000,14771997501659376600,null,11,1,1
37,12,6.004503,Normal,84.35,84.350000,230.000000,36.000000,6015914145599067357,null,12,1,1
38,12,6.052659,Normal,88.26,88.260000,230.000000,27.000000,14283350408195201849,null,13,1,1
39,12,5.933605,Normal,88.26,88.260000,230.000000,27.000000,2074478747431857603,null,14,1,1
40,12,6.297817,Normal,88.26,88.260000,230.000000,27.000000,16149463273493439351,null,15,1,1
41,12,6.070879,Normal,85,85.000000,230.000000,34.500000,7168075239123781343,null,16,1,1
42,12,6.062114,Normal,85,85.000000,230.000000,34.500000,17039061354009924673,null,17,1,1
43,12,6.094870,Normal,85.52,85.520000,230.000000,33.300000,9441555730771406899,null,18,1,1
44,14,7.381380,Normal,94.88,94.880000,527.000000,27.000000,3563672037305619583,null,19,1,1
45,12,5.991409,Normal,84.35,84.350000,230.000000,36.000000,9316613973666533981,null,20,1,1
46,12,6.006561,Normal,84.35,84.350000,230.000000,36.000000,1989831420230583936,null,21,1,1
47,12,6.006013,Normal,84.35,84.350000,230.000000,36.000000,1936169338567074535,null,22,1,1
48,12,5.991900,Normal,84.35,84.350000,230.000000,36.000000,1410488897358710374,null,23,1,1
49,20,6.034948,Normal,84.35,84.350000,230.000000,36.000000,7537158282429852374,null,0,1,1
50,20,6.022088,Normal,84.35,84.350000,230.000000,36.000000,16563392122438644086,null,1,1,1
51,20,6.010246,Normal,84.35,84.350000,230.000000,36.000000,8651490074975361933,null,2,1,1
52,20,5.998104,Normal,84.35,84.350000,230.000000,36.000000,14597357872167058761,null,3,1,1
53,20,6.015676,Normal,84.35,84.350000,230.000000,36.000000,2142143264352912411,null,4,1,1
54,20,6.032974,Normal,84.35,84.350000,230.000000,36.000000,5448371973718888710,null,5,1,1
55,20,6.023584,Normal,84.35,84.350000,230.000000,36.000000,15370155102735540478,null,6,1,1
56,20,5.939572,Normal,84.02,84.020000,230.000000,36.750000,8581679086940174263,null,7,1,1
57,26,6.079161,Normal,84.35,84.350000,230.000000,36.000000,16059434913773088257,null,0,2,0
58,26,6.081924,Normal,84.35,84.350000,230.000000,36.000000,17195304727845737409,null,0,2,0
59,26,6.028094,Normal,84.78,84.780000,230.000000,35.000000,10529634677335264911,null,0,2,0
60,26,6.074899,Normal,84.35,84.350000,230.000000,36.000000,5733595068301875214,null,0,2,0
61,26,6.061119,Normal,85,85.000000,230.000000,34.500000,13249949328591128529,null,0,2,0
62,26,6.080938,Normal,84.57,84.570000,230.000000,35.500000,5971094909118032365,null,0,2,0
63,26,6.053786,Normal,84.78,84.780000,230.000000,35.000000,10491487602630336113,null,0,2,0
64,26,6.015638,Normal,85.43,85.430000,230.000000,33.503333,10183785518955843540,null,0,2,0
65,26,6.008177,Normal,85.43,85.430000,230.000000,33.503333,9824733351892686769,null,0,2,0
66,26,6.089154,Normal,84.35,84.350000,230.000000,36.000000,1600738896695629397,null,0,2,0
67,26,6.090741,Normal,84.35,84.350000,230.000000,36.000000,1016118284112589707,null,0,2,0
68,27,7.110874,Normal,85.65,85.650000,230.000000,33.000000,15551059821315336673,null,0,2,0
69,27,6.052188,Normal,84.78,84.780000,230.000000,35.000000,1623051833716605636,null,0,2,0
70,27,5.995456,Normal,85.22,85.220000,230.000000,34.000000,4034998789210857400,null,0,2,0
71,27,7.397221,Normal,94.88,94.880000,527.000000,27.000000,13756529081984947711,null,0,2,0
72,27,6.024275,Normal,85,85.000000,230.000000,34.500000,6159056486681554214,null,0,2,0
73,27,6.011701,Normal,85.39,85.390000,230.000000,33.600000,5675976449547470083,null,0,2,0
74,27,6.023053,Normal,84.35,84.350000,230.000000,36.000000,15185498432814102300,null,0,2,0
75,27,6.038317,Normal,84.78,84.780000,230.000000,35.000000,10429274595578626408,null,0,2,0
76,27,5.985922,Normal,84.78,84.780000,230.000000,35.000000,5990838727114699127,null,0,2,0
77,27,5.980765,Normal,84.78,84.780000,230.000000,35.000000,6059151954455525451,null,0,2,0
78,27,5.977201,Normal,85.22,85.220000,230.000000,34.000000,4413953995747997010,null,0,2,0
79,27,6.033013,Normal,84.35,84.350000,230.000000,36.000000,12223128519625992363,null,0,2,0
80,27,6.019430,Normal,84.35,84.350000,230.000000,36.000000,2473327002584383883,null,0,2,0
81,33,6.007413,Normal,84.02,84.020000,230.000000,36.750000,2448348745141751984,null,0,2,1
82,33,6.007701,Normal,84.02,84.020000,230.000000,36.750000,3962390190153972839,null,1,2,1
83,33,6.011747,Normal,84.02,84.020000,230.000000,36.750000,5256855245719846340,null,2,2,1
84,33,5.999283,Normal,84.02,84.020000,230.000000,36.750000,12692599473984199929,null,3,2,1
85,33,5.983020,Normal,84.02,84.020000,230.000000,36.750000,16151147570555351233,null,4,2,1
86,33,6.016219,Normal,84.02,84.020000,230.000000,36.750000,2926454367876235481,null,5,2,1
87,33,6.008476,Normal,84.02,84.020000,230.000000,36.750000,2681322001568380295,null,6,2,1
88,33,5.991729,Normal,84.02,84.020000,230.000000,36.750000,687203364357696461,null,7,2,1
89,33,6.049768,Normal,85,85.000000,230.000000,34.500000,10381543684177432229,null,8,2,1
90,33,6.199363,Normal,86.09,86.090000,230.000000,32.000000,5548318284498856158,null,9,2,1
91,33,5.887985,Normal,85.65,85.650000,230.000000,33.000000,5498180052291871256,null,10,2,1
92,33,6.004842,Normal,84.02,84.020000,230.000000,36.750000,11125966099458285041,null,11,2,1
93,33,5.937136,Normal,84.02,84.020000,230.000000,36.750000,5979771086916345520,null,12,2,1
94,33,5.941906,Normal,84.02,84.020000,230.000000,36.750000,12745325292540491907,null,13,2,1
95,33,5.932735,Normal,84.02,84.020000,230.000000,36.750000,10903952338745521085,null,14,2,1
96,34,7.247362,Normal,84.35,84.350000,230.000000,36.000000,7833892713494499042,null,15,2,1
97,33,6.175552,Normal,83.04,83.040000,230.000000,39.000000,4998158860898177993,null,16,2,1
98,41,6.085127,Normal,84.35,84.350000,230.000000,36.000000,17195304727845737409,null,0,3,0
99,41,6.083030,Normal,84.35,84.350000,230.000000,36.000000,16059434913773088257,null,0,3,0
100,41,6.078803,Normal,84.78,84.780000,230.000000,35.000000,14845506726872664791,null,0,3,0
101,41,6.056111,Normal,85,85.000000,230.000000,34.500000,6159056486681554214,null,0,3,0
102,41,5.965211,Normal,85.65,85.650000,230.000000,33.000000,7310654077211360786,null,0,3,0
103,41,6.029262,Normal,85.43,85.430000,230.000000,33.500000,9005754901529864995,null,0,3,0
104,41,6.115396,Normal,84.35,84.350000,230.000000,36.000000,188423946272715245,null,0,3,0
105,41,6.057207,Normal,85.39,85.390000,230.000000,33.600000,5675976449547470083,null,0,3,0
106,41,6.068594,Normal,84.35,84.350000,230.000000,36.000000,1997324681348954635,null,0,3,0
107,41,6.083297,Normal,84.35,84.350000,230.000000,36.000000,1016118284112589707,null,0,3,0
108,42,7.128912,Normal,85.65,85.650000,230.000000,33.000000,15551059821315336673,null,0,3,0
109,42,6.267892,Normal,86.09,86.090000,230.000000,32.000000,1150108972346632529,null,0,3,0
110,42,6.223368,Normal,86.74,86.740000,230.000000,30.500000,4545850050930490371,null,0,3,0
111,42,5.945022,Normal,85,85.000000,230.000000,34.500000,14503914943773688014,null,0,3,0
112,42,6.016682,Normal,84.35,84.350000,230.000000,36.000000,11893226199530473099,null,0,3,0
113,42,5.985596,Normal,85.65,85.650000,230.000000,33.000000,13123306383975457663,null,0,3,0
114,42,6.041182,Normal,84.35,84.350000,230.000000,36.000000,4106698944880621826,null,0,3,0
115,42,6.031184,Normal,84.35,84.350000,230.000000,36.000000,1754958310186904242,null,0,3,0
116,42,5.989218,Normal,85.43,85.430000,230.000000,33.503333,10183785518955843540,null,0,3,0
117,42,6.043486,Normal,84.78,84.780000,230.000000,35.000000,10429274595578626408,null,0,3,0
118,42,5.962637,Normal,84.02,84.020000,230.000000,36.750000,8581679086940174263,null,0,3,0
119,42,6.030173,Normal,84.35,84.350000,230.000000,36.000000,16515356337097405492,null,0,3,0
120,42,6.024024,Normal,85.22,85.220000,230.000000,34.000000,4034998789210857400,null,0,3,0
