EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,7.001740,Normal,28.57,28.570000,-315.000000,-405.000000,14921508010286178949,null,0,1,0
2,7,7.774573,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,1174959017006352549,null,0,1,0
3,7,6.432450,Normal,67.39,67.390000,-230.000000,-385.000000,14529113587495427886,null,0,1,0
4,7,7.619213,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,13298169907104576223,null,0,1,0
5,7,7.628217,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,15715267473014585801,null,0,1,0
6,7,6.790690,Normal,13.5,13.500000,-340.000000,-385.909091,13113747896214692174,null,0,1,0
7,7,6.407235,Normal,8.46,8.460000,-335.000000,-363.347142,18137771549933266857,null,0,1,0
8,7,6.731594,Normal,28.57,28.570000,-315.000000,-405.000000,12501584996764611432,null,0,1,0
9,7,6.161176,Normal,35.48,35.480000,-310.000000,-420.000000,12265203031129273446,null,0,1,0
10,7,6.221342,Normal,51.79,51.790000,-280.000000,-425.000000,4882476920712910076,null,0,1,0
11,7,6.828615,Normal,32.79,32.790000,-305.000000,-405.000000,10091813221546141797,null,0,1,0
12,7,7.610010,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,18084366759622591486,null,0,1,0
13,7,6.714610,Normal,25,25.000000,-320.000000,-400.000000,13172120740629189716,null,0,1,0
14,7,6.367042,Normal,24.23,24.230000,-305.000000,-378.902158,10218512370692381049,null,0,1,0
15,7,6.746830,Normal,32.79,32.790000,-305.000000,-405.000000,7798226949867661149,null,0,1,0
16,7,7.753753,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,4323171494070892076,null,0,1,0
17,7,7.632798,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,8409953557691681239,null,0,1,0
18,7,6.359302,Normal,42.94,42.940000,-295.000000,-421.666667,7344799059634627703,null,0,1,0
19,7,6.556962,Normal,41.97,41.970000,-305.000000,-433.000000,6904842263121373040,null,0,1,0
20,7,7.007949,Normal,28.57,28.570000,-315.000000,-405.000000,12737789245468223897,null,0,1,0
21,7,6.902853,Normal,24.62,24.620000,-325.000000,-405.000000,12176239308717259211,null,0,1,0
22,7,7.634180,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,5626311393406439571,null,0,1,0
23,7,6.295484,Normal,57.62,57.620000,-275.000000,-433.457678,17441551709482235954,null,0,1,0
24,7,6.572483,Normal,22.34,22.340000,-320.000000,-391.477273,16647462166466904337,null,0,1,0
25,14,6.791330,Normal,46.62,46.620000,-280.000000,-410.536617,3677014053355305354,null,0,1,1
26,14,6.568158,Normal,13.47,13.470000,-320.000000,-363.115422,2311356151308168609,null,1,1,1
27,14,6.571732,Normal,55.69,55.690000,-255.000000,-397.000000,8445831224385854217,null,2,1,1
28,15,7.807444,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,15278908577980594284,null,3,1,1
29,14,6.707564,Normal,19.67,19.670000,-305.000000,-365.000000,18138108055845107492,null,4,1,1
30,14,6.674901,Normal,4.76,4.760000,-345.000000,-361.437247,10479482571241723187,null,5,1,1
31,22,6.697316,Normal,36.88,36.880000,-275.000000,-376.431314,11919322218941835763,null,0,2,0
