EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,6.263777,Normal,1.71,1.710000,175.000000,172.000000,14921508010286178949,null,0,1,0
2,6,5.124724,Normal,8.55,8.550000,187.000000,171.005122,1174959017006352549,null,0,1,0
3,6,5.404568,Normal,6.04,6.040000,182.000000,171.000000,14529113587495427886,null,0,1,0
4,6,5.143917,Normal,8.56,8.560000,187.000000,171.000000,13298169907104576223,null,0,1,0
5,6,5.403454,Normal,8.53,8.530000,187.000000,171.057399,15715267473014585801,null,0,1,0
6,6,6.287708,Normal,2.84,2.840000,176.000000,171.000000,13113747896214692174,null,0,1,0
7,12,6.489374,Normal,4.44,4.440000,180.000000,172.000000,9658482938002475941,null,0,1,0
8,12,6.247011,Normal,1.71,1.710000,175.000000,172.000000,16450644818478286277,null,0,1,0
9,13,7.228950,Normal,1.72,1.720000,174.000000,171.000000,16957666276679199244,null,0,1,0
10,13,6.413315,Normal,3.39,3.390000,177.000000,171.000000,5834979808369545068,null,0,1,0
11,13,6.180743,Normal,2.27,2.270000,176.000000,172.000000,5988662020493846908,null,0,1,0
12,13,6.451140,Normal,1.15,1.150000,174.000000,172.000000,1894762743428622621,null,0,1,0
13,20,6.468331,Normal,1.15,1.150000,174.000000,172.000000,15280701603959127455,null,0,1,0
14,20,6.236485,Normal,5,5.000000,180.000000,171.000000,11159700437963071189,null,0,1,0
15,20,6.480444,Normal,1.15,1.150000,174.000000,172.000000,14875116447604754667,null,0,1,0
16,20,6.210056,Normal,3.91,3.910000,179.000000,172.000000,13534594653938646328,null,0,1,0
17,20,5.467157,Normal,5,5.000000,180.000000,171.000000,13688152240241089913,null,0,1,0
18,20,6.465760,Normal,1.15,1.150000,174.000000,172.000000,17739108849917441406,null,0,1,0
19,26,6.560555,Normal,3.36,3.360000,177.000000,171.048950,6355832886424843503,null,0,1,0
20,26,6.474673,Normal,1.15,1.150000,174.000000,172.000000,3926635478656874055,null,0,1,0
21,26,6.119299,Normal,4.99,4.990000,180.000000,171.010565,14512341152078143690,null,0,1,0
22,26,6.230952,Normal,4.47,4.470000,179.000000,171.000000,2688158774640925815,null,0,1,0
23,26,6.281012,Normal,3.93,3.930000,178.000000,171.000000,17525911136846905066,null,0,1,0
24,26,6.552820,Normal,1.15,1.150000,174.000000,172.000000,3708434770347669450,null,0,1,0
25,5,5.816440,Normal,4.47,4.470000,179.000000,171.000000,5461272738182108288,null,6,1,0
26,6,6.455710,Normal,3.93,3.930000,178.000000,171.000000,11234384389541052473,null,6,1,0
27,6,6.315050,Normal,1.15,1.150000,174.000000,172.000000,11353861977525913084,null,6,1,0
28,6,6.262760,Normal,3.22,3.220000,177.000000,171.298000,6860783115968154128,null,6,1,0
29,6,6.441420,Normal,2.27,2.270000,176.000000,172.000000,3726052506958250999,null,6,1,0
30,6,6.258160,Normal,2.29,2.290000,175.000000,171.000000,8980128321063716343,null,6,1,0
