EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,9,8.957856,Normal,5.49,5.490000,11857.371258,11205.838134,14921508010286178949,null,0,1,0
2,18,9.306955,Normal,4.82,4.820000,11801.185729,11232.503653,12911295086759950527,null,0,1,0
3,27,9.271189,Normal,4.82,4.820000,11801.185729,11232.503653,7654593077812284781,null,0,1,0
4,36,9.085560,Normal,4.51,4.510000,11801.185729,11268.682846,4167939644347090976,null,0,1,0
5,46,9.153625,Normal,4.51,4.510000,11801.185729,11268.682846,8250207380395334811,null,0,1,0
6,55,8.898365,Normal,4.56,4.560000,11801.185729,11263.581667,17595320696554891968,null,0,1,0
7,64,8.936848,Normal,4.56,4.560000,11801.185729,11263.581667,3068629658118357721,null,0,1,0
8,73,9.514164,Normal,4.43,4.430000,11801.185729,11278.489764,936961707271794681,null,0,1,0
9,82,9.078916,Normal,4.46,4.460000,11801.185729,11275.329433,773315901366892515,null,0,1,0
10,92,9.495687,Normal,4.43,4.430000,11801.185729,11278.489764,8266157543930838334,null,0,1,0
11,101,9.216517,Normal,4.33,4.330000,11801.185729,11289.817129,3046298260694156273,null,0,1,0
12,110,9.172529,Normal,4.33,4.330000,11801.185729,11289.817129,4558687297432148214,null,0,1,0
13,120,9.102962,Normal,4.38,4.380000,11801.185729,11284.685255,8113204092105060610,null,0,1,0
14,129,9.499706,Normal,4.2,4.200000,11801.185729,11305.446817,13302582719329522505,null,0,1,0
15,139,9.624534,Normal,4.2,4.200000,11801.185729,11305.446817,15717760401184239590,null,0,1,0
16,149,9.622937,Normal,4.2,4.200000,11801.185729,11305.446817,16164108113327775031,null,0,1,0
17,158,9.601993,Normal,4.2,4.200000,11801.185729,11305.446817,9836914623219783430,null,0,1,0
18,168,9.550056,Normal,4.21,4.210000,11801.185729,11304.300340,9427630534844493180,null,0,1,0
19,177,8.729395,Normal,4.54,4.540000,11801.185729,11265.898881,14688275546123883455,null,0,1,0
20,185,8.403752,Normal,4.34,4.340000,11801.185729,11288.866018,16787148026001229656,null,0,1,0
21,8,8.859120,Normal,9.72,9.720000,11801.200000,10654.600000,3602984914613417735,null,1,1,0
22,17,8.745550,Normal,9.72,9.720000,11801.200000,10654.600000,15841384995630316506,null,1,1,0
23,26,8.742900,Normal,9.72,9.720000,11801.200000,10654.600000,8458285367716274865,null,1,1,0
24,35,8.407630,Normal,9.72,9.720000,11801.200000,10654.600000,184210828942820344,null,1,1,0
25,43,8.808770,Normal,9.72,9.720000,11801.200000,10654.600000,5052452996660769105,null,1,1,0
26,52,8.851880,Normal,9.72,9.720000,11801.200000,10654.600000,4037327426761599479,null,1,1,0
27,61,8.864850,Normal,9.72,9.720000,11801.200000,10654.600000,1699960617153900373,null,1,1,0
28,70,8.829150,Normal,9.72,9.720000,11801.200000,10654.600000,4513410085526744834,null,1,1,0
29,79,8.693110,Normal,9.72,9.720000,11801.200000,10654.600000,2573251395108725737,null,1,1,0
30,88,8.536330,Normal,9.65,9.650000,11801.200000,10662.900000,14477205168272487510,null,1,1,0
31,96,8.585480,Normal,9.65,9.650000,11801.200000,10662.900000,10556849773188963494,null,1,1,0
32,105,8.554160,Normal,9.65,9.650000,11801.200000,10662.900000,11601130553091056235,null,1,1,0
33,113,8.538260,Normal,9.65,9.650000,11801.200000,10662.900000,3282780290862661978,null,1,1,0
34,122,8.549590,Normal,9.65,9.650000,11801.200000,10662.900000,552781455485867496,null,1,1,0
35,131,8.634920,Normal,9.72,9.720000,11801.200000,10654.600000,7522165540037459478,null,1,1,0
36,139,8.415650,Normal,9.72,9.720000,11801.200000,10654.600000,13205586907375453221,null,1,1,0
37,148,8.518040,Normal,9.65,9.650000,11801.200000,10662.900000,12044794808097513504,null,1,1,0
38,156,8.505690,Normal,9.65,9.650000,11801.200000,10662.900000,16424698605424000769,null,1,1,0
39,165,8.517040,Normal,9.65,9.650000,11801.200000,10662.900000,3932201613800969577,null,1,1,0
40,173,8.336900,Normal,9.65,9.650000,11801.200000,10662.900000,16545377747610153408,null,1,1,0
41,8,8.221820,Normal,4.77,4.770000,11801.200000,11238.500000,9462909913056450022,null,2,1,0
42,16,8.168780,Normal,4.71,4.710000,11801.200000,11245.000000,12213787952079433833,null,2,1,0
43,24,7.893300,Normal,4.94,4.940000,11801.200000,11218.000000,7686395717807067923,null,2,1,0
44,33,8.704370,Normal,4.47,4.470000,11801.200000,11273.900000,10800192694907887697,null,2,1,0
45,42,8.785430,Normal,4.39,4.390000,11801.200000,11283.200000,1532344249047293481,null,2,1,0
46,51,9.167560,Normal,4.49,4.490000,11801.200000,11271.700000,7973989676877833792,null,2,1,0
47,60,8.828520,Normal,4.39,4.390000,11801.200000,11283.200000,17487474526923589462,null,2,1,0
48,69,8.822210,Normal,4.39,4.390000,11801.200000,11283.200000,5364718484342648439,null,2,1,0
49,77,8.718190,Normal,4.39,4.390000,11801.200000,11283.200000,9748244420923959214,null,2,1,0
50,87,9.078330,Normal,4.45,4.450000,11801.200000,11276.100000,14799747451720996797,null,2,1,0
51,95,8.778350,Normal,4.39,4.390000,11801.200000,11283.200000,17475266002124988620,null,2,1,0
52,104,8.788650,Normal,4.39,4.390000,11801.200000,11283.200000,11724797412153881404,null,2,1,0
53,113,8.795820,Normal,4.4,4.400000,11801.200000,11281.600000,9517595854596586442,null,2,1,0
54,122,9.041090,Normal,4.38,4.380000,11801.200000,11284.700000,7803759854664788344,null,2,1,0
55,131,8.809770,Normal,4.55,4.550000,11801.200000,11264.500000,9032956079206080172,null,2,1,0
56,140,8.451760,Normal,3.78,3.780000,11857.400000,11408.700000,3624445275613427556,null,2,1,0
57,148,8.421610,Normal,3.78,3.780000,11857.400000,11408.700000,4902208532827049282,null,2,1,0
58,157,8.761760,Normal,3.23,3.230000,11801.200000,11420.100000,1623502288145875868,null,2,1,0
59,166,8.843710,Normal,3.24,3.240000,11801.200000,11418.400000,821185873617554605,null,2,1,0
60,174,8.475890,Normal,3.23,3.230000,11801.200000,11420.100000,16115903522167728560,null,2,1,0
61,9,9.546370,Normal,4.47,4.470000,11801.200000,11273.200000,11565528793410549368,null,3,1,0
62,19,9.392760,Normal,4.56,4.560000,11801.200000,11262.900000,9397522946743369557,null,3,1,0
63,28,9.033900,Normal,4.86,4.860000,11801.200000,11228.100000,13710408054629134346,null,3,1,0
64,37,9.475830,Normal,4.47,4.470000,11801.200000,11273.200000,2748598918444556601,null,3,1,0
65,47,9.547200,Normal,4.47,4.470000,11801.200000,11273.200000,1958950036889164730,null,3,1,0
66,56,9.553260,Normal,4.47,4.470000,11801.200000,11273.200000,2533709451826991416,null,3,1,0
67,66,9.043120,Normal,4.67,4.670000,11801.200000,11249.800000,11208904678951508032,null,3,1,0
68,75,9.323750,Normal,4.59,4.590000,11801.200000,11259.200000,7211634829109856827,null,3,1,0
69,84,9.222100,Normal,4.56,4.560000,11801.200000,11263.000000,8687112850035845576,null,3,1,0
70,93,9.028280,Normal,4.67,4.670000,11801.200000,11249.800000,12523843132621806815,null,3,1,0
71,103,9.163950,Normal,4.58,4.580000,11801.200000,11260.200000,15002224934657799480,null,3,1,0
72,112,9.564740,Normal,4.26,4.260000,11801.200000,11298.300000,13594145084520728469,null,3,1,0
73,122,9.240220,Normal,4.67,4.670000,11801.200000,11250.200000,11399522878384302892,null,3,1,0
74,131,9.417560,Normal,4.26,4.260000,11801.200000,11298.300000,12257319634439991980,null,3,1,0
75,140,8.579710,Normal,9.75,9.750000,11801.200000,10650.400000,1085759170966030564,null,3,1,0
76,149,9.518240,Normal,4.26,4.260000,11801.200000,11298.300000,8104357715463563284,null,3,1,0
77,158,9.035080,Normal,4.6,4.600000,11801.200000,11258.500000,14361287371554756152,null,3,1,0
78,168,9.403430,Normal,4.33,4.330000,11801.200000,11290.500000,17708393903246565350,null,3,1,0
79,177,9.112320,Normal,4.26,4.260000,11801.200000,11298.300000,3316353603254282764,null,3,1,0
80,185,8.498460,Normal,4.44,4.440000,11801.200000,11276.700000,13789398935886292379,null,3,1,0
81,9,9.478350,Normal,4.47,4.470000,11801.200000,11273.700000,4646249020595888442,null,4,1,0
82,17,7.999660,Normal,4.98,4.980000,11801.200000,11213.300000,4598238589271301244,null,4,1,0
83,27,9.295910,Normal,4.51,4.510000,11801.200000,11269.200000,9014085691120480209,null,4,1,0
84,36,9.307510,Normal,4.47,4.470000,11801.200000,11273.700000,1891546483236032261,null,4,1,0
85,45,9.454180,Normal,4.47,4.470000,11801.200000,11273.700000,8912950089924505633,null,4,1,0
86,55,9.341270,Normal,4.37,4.370000,11801.200000,11285.000000,2018204586815896198,null,4,1,0
87,64,9.461700,Normal,4.52,4.520000,11801.200000,11267.800000,17504453836779995057,null,4,1,0
88,73,9.018230,Normal,4.55,4.550000,11801.200000,11264.500000,9522056525787943270,null,4,1,0
89,83,9.194460,Normal,4.37,4.370000,11801.200000,11285.000000,5752313800123729047,null,4,1,0
90,92,9.326430,Normal,4.37,4.370000,11801.200000,11285.000000,4300061798393021033,null,4,1,0
91,101,9.363400,Normal,4.58,4.580000,11801.200000,11260.800000,4319764187176996582,null,4,1,0
92,111,9.329320,Normal,4.42,4.420000,11801.200000,11279.800000,14872819882069121923,null,4,1,0
93,120,9.326470,Normal,4.37,4.370000,11801.200000,11285.000000,8406977208982798604,null,4,1,0
94,129,9.149620,Normal,4.58,4.580000,11801.200000,11260.800000,4580555507461180731,null,4,1,0
95,138,8.753980,Normal,3.39,3.390000,11801.200000,11400.700000,14712003682427843028,null,4,1,0
96,147,8.227350,Normal,3.68,3.680000,11801.200000,11366.600000,17380819532772518589,null,4,1,0
97,155,8.067270,Normal,3.87,3.870000,11857.400000,11398.100000,9244391516353750820,null,4,1,0
98,164,8.984620,Normal,5.62,5.620000,11801.200000,11138.400000,11866844339917449945,null,4,1,0
99,172,8.609590,Normal,3.39,3.390000,11801.200000,11400.700000,15129627498729581567,null,4,1,0
100,180,7.595110,Normal,3.9,3.900000,11857.400000,11395.100000,13299417767053993620,null,4,1,0
101,9,9.013320,Normal,4.74,4.740000,11801.200000,11242.100000,4796034478059683648,null,5,1,0
102,18,8.923320,Normal,4.81,4.810000,11801.200000,11234.000000,5766920406670931470,null,5,1,0
103,26,8.779320,Normal,4.71,4.710000,11801.200000,11245.700000,14734978318045944963,null,5,1,0
104,34,7.955140,Normal,5.32,5.320000,11857.400000,11226.000000,14855865954813867812,null,5,1,0
105,43,8.862350,Normal,5.68,5.680000,11801.200000,11131.000000,2304508483057479710,null,5,1,0
106,52,9.047730,Normal,3.23,3.230000,11801.200000,11419.900000,3776144965898952022,null,5,1,0
107,62,9.079630,Normal,3.23,3.230000,11801.200000,11419.900000,9394549487672488414,null,5,1,0
