EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,4,4.519924,Normal,8.04,8.040000,364.000000,334.748820,14921508010286178949,null,0,1,0
2,4,4.548310,Normal,1.54,1.540000,340.000000,334.750000,7775295525521225553,null,1,1,0
3,4,4.389330,Normal,1.54,1.540000,340.000000,334.758000,17253332910550625490,null,2,1,0
4,4,4.669410,Normal,8.04,8.040000,364.000000,334.749000,8356905093045831723,null,3,1,0
5,4,4.590670,Normal,0,0.000000,340.000000,340.000000,7203309977906348516,null,4,1,0
6,4,4.776910,Normal,8.04,8.040000,364.000000,334.749000,7535580590233235097,null,5,1,0
7,4,4.636810,Normal,8.04,8.040000,364.000000,334.749000,6284555662394268712,null,6,1,0
8,3,3.678090,Normal,0,0.000000,340.000000,340.000000,3080098593157933272,null,7,1,0
9,4,4.629580,Normal,8.04,8.040000,364.000000,334.749000,1922502585646601661,null,8,1,0
10,4,4.739850,Normal,19.67,19.670000,414.000000,332.566000,597067897160934100,null,9,1,0
11,5,4.917010,Normal,19.67,19.670000,414.000000,332.566000,3448107268325941731,null,10,1,0
12,4,4.330130,Normal,8.04,8.040000,364.000000,334.749000,482241717285018601,null,11,1,0
13,4,4.496360,Normal,8.04,8.040000,364.000000,334.749000,2119157171252880540,null,12,1,0
14,4,4.651230,Normal,8.04,8.040000,364.000000,334.749000,2096485537142140699,null,13,1,0
15,4,4.428880,Normal,1.54,1.540000,340.000000,334.750000,18279198599438612281,null,14,1,0
16,4,4.083910,Normal,0,0.000000,340.000000,340.000000,10864511613663357953,null,15,1,0
17,4,4.751150,Normal,8.04,8.040000,364.000000,334.749000,4631746365473316568,null,16,1,0
18,4,4.643860,Normal,1.54,1.540000,340.000000,334.750000,6357649441669487503,null,17,1,0
19,4,4.643280,Normal,8.04,8.040000,364.000000,334.749000,16021968816296531558,null,18,1,0
20,4,4.330250,Normal,8.04,8.040000,364.000000,334.749000,7923048738405351630,null,19,1,0
21,4,4.542270,Normal,8.04,8.040000,364.000000,334.749000,7281833716257363064,null,20,1,0
22,4,4.616510,Normal,0,0.000000,340.000000,340.000000,1090443527578030013,null,21,1,0
23,4,4.657540,Normal,8.04,8.040000,364.000000,334.749000,5409441297372673433,null,22,1,0
24,6,6.603140,Normal,8.04,8.040000,364.000000,334.749000,10173667058764257185,null,23,1,0
