EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,16,16.046364,Normal,35.48,35.480000,1550013250.000006,1000005975.192370,14921508010286178949,null,0,1,0
2,31,15.023687,Normal,48.43,48.430000,1600013233.333333,825109657.549739,5643427149002281568,null,0,1,0
3,47,16.502025,Normal,37.5,37.500000,1600014400.000000,1000007029.658385,12911295086759950527,null,0,1,0
4,64,16.573511,Normal,40,40.000000,1500012950.000000,900005990.181166,10926055034921966546,null,0,1,0
5,80,15.941875,Normal,44.91,44.910000,1600014300.000000,881509307.133559,9658482938002475941,null,0,1,0
6,96,15.826525,Normal,31.26,31.260000,1600015500.000000,1099913493.675467,13964071529318666704,null,0,1,0
7,112,16.714760,Normal,37.5,37.500000,1600015000.000000,1000006073.836007,6912306756572927766,null,0,1,0
8,129,17.050518,Normal,32.5,32.500000,1600013400.000000,1080006766.200055,12855280444863721787,null,0,1,0
9,147,17.554133,Normal,31.26,31.260000,1600015500.000000,1099913493.675467,17541228863012705486,null,0,1,0
10,163,15.955005,Normal,35.98,35.980000,1640013440.000000,1050006026.940513,1628678236854571571,null,0,1,0
11,179,16.434262,Normal,41.7,41.700000,1400013669.895724,816253440.054760,16011222836205529353,null,0,1,0
12,197,17.244122,Normal,35.48,35.480000,1550014850.000000,1000006010.987232,10977172961598630331,null,0,1,0
13,213,16.843562,Normal,31.26,31.260000,1600015500.000000,1099913493.675467,5315623425548510500,null,0,1,0
14,229,15.855551,Normal,31.26,31.260000,1600015500.000000,1099913493.675467,10654960677900304527,null,0,1,0
15,244,14.718928,Normal,45,45.000000,1600013400.000000,880005422.199226,10971734938017849060,null,0,1,0
16,261,16.575615,Normal,37.5,37.500000,1600013433.333333,1000005083.221903,7236448467737835169,null,0,1,0
17,278,17.279812,Normal,31.26,31.260000,1600015500.000000,1099913493.675467,935143251722495142,null,0,1,0
18,294,15.765629,Normal,40,40.000000,1500012650.000000,900001652.543907,6962149414314999923,null,0,1,0
