EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.720729,Normal,33.25,33.250000,1925736.999995,1285394.812541,14921508010286178949,null,0,1,0
2,12,6.895026,Normal,33.61,33.610000,1935758.999995,1285126.137374,12911295086759950527,null,0,1,0
3,18,5.587474,Normal,33.04,33.040000,1918625.999995,1284693.163128,5988662020493846908,null,0,1,0
4,23,5.644008,Normal,30.42,30.420000,1868347.999996,1299931.070022,793450278422729020,null,0,1,0
5,29,5.631275,Normal,32.06,32.060000,1904056.999994,1293550.628719,4403795101158116818,null,0,1,0
6,35,5.544763,Normal,34.13,34.130000,1998223.999995,1316231.917135,4997137969650782121,null,0,1,0
7,40,5.630555,Normal,30.42,30.420000,1868347.999996,1299931.070022,13499991784715828020,null,0,1,0
8,46,5.627404,Normal,33.43,33.430000,1933440.999996,1287137.670605,5948685825087948624,null,0,1,0
9,52,6.113558,Normal,39.21,39.210000,1931169.999995,1173912.339796,6772654044472982940,null,0,1,0
10,58,6.106468,Normal,39.21,39.210000,1931169.999995,1173912.339796,9422750530979003802,null,0,1,0
11,64,5.626422,Normal,30.42,30.420000,1868347.999996,1299931.070022,18323085126572688888,null,0,1,0
12,69,5.592438,Normal,30.42,30.420000,1868347.999996,1299931.070022,3777368870589105059,null,0,1,0
13,75,5.638404,Normal,30.49,30.490000,1898116.999996,1319392.560615,12162659970695725023,null,0,1,0
14,81,5.492812,Normal,31.79,31.790000,1920215.000000,1309814.779195,7363453468325357854,null,0,1,0
15,87,6.395144,Normal,32.36,32.360000,1926841.999995,1303242.278526,2129804365915049864,null,0,1,0
16,93,5.669336,Normal,32.51,32.510000,1928330.999995,1301435.323319,2750363479711834011,null,0,1,0
17,98,5.594193,Normal,30.42,30.420000,1868347.999996,1299931.070022,4894970175035510691,null,0,1,0
18,104,5.519192,Normal,31.32,31.320000,1897038.999995,1302965.299461,1597712353455458594,null,0,1,0
19,110,5.781001,Normal,29.63,29.630000,1848181.999996,1300562.173644,2612587540440474714,null,0,1,0
20,115,5.834129,Normal,31.37,31.370000,1922496.999995,1319417.636993,11177370006161033549,null,0,1,0
21,7,7.950550,Normal,22.48,22.480000,1622420.000000,1257720.000000,7028777073267807816,null,1,1,0
22,17,9.436830,Normal,28.37,28.370000,1602540.000000,1147820.000000,15291860037756058713,null,1,1,0
23,25,8.373730,Normal,21.77,21.770000,1571410.000000,1229380.000000,15556043000346697145,null,1,1,0
24,34,8.390310,Normal,21.77,21.770000,1571410.000000,1229380.000000,18368262985047444403,null,1,1,0
25,42,8.385160,Normal,21.77,21.770000,1571410.000000,1229380.000000,9414181165683156458,null,1,1,0
26,51,8.381700,Normal,21.77,21.770000,1571410.000000,1229380.000000,17662358997489747725,null,1,1,0
27,60,9.410650,Normal,22.36,22.360000,1580650.000000,1227220.000000,1948557288759696962,null,1,1,0
28,67,7.406480,Normal,26.25,26.250000,1616460.000000,1192110.000000,13238500974889940032,null,1,1,0
29,73,6.021170,Normal,18.57,18.570000,1636470.000000,1332520.000000,3854326198590570380,null,1,1,0
30,80,6.698480,Normal,33.37,33.370000,1921030.000000,1280000.000000,17157473055816158830,null,1,1,0
31,86,6.012150,Normal,24.08,24.080000,1739750.000000,1320750.000000,10644650358410996785,null,1,1,0
32,92,5.930830,Normal,17.73,17.730000,1627500.000000,1338940.000000,15492729806150662201,null,1,1,0
33,98,5.980910,Normal,31.17,31.170000,1936150.000000,1332700.000000,3591405975599726887,null,1,1,0
34,104,5.642290,Normal,25.32,25.320000,1777740.000000,1327620.000000,16675540522186756418,null,1,1,0
35,110,5.926250,Normal,17.73,17.730000,1627500.000000,1338940.000000,12297677169221392526,null,1,1,0
36,116,5.927110,Normal,17.73,17.730000,1627500.000000,1338940.000000,4534554149039370615,null,1,1,0
37,122,5.924190,Normal,17.73,17.730000,1627500.000000,1338940.000000,9232434968469688334,null,1,1,0
38,127,5.801210,Normal,22.45,22.450000,1743680.000000,1352190.000000,17432663527037445873,null,1,1,0
39,133,5.686370,Normal,30.97,30.970000,1908130.000000,1317180.000000,3220441842570059356,null,1,1,0
40,139,5.534200,Normal,31.12,31.120000,1698940.000000,1170270.000000,11646172169069913270,null,1,1,0
41,6,6.108280,Normal,17.66,17.660000,1615310.000000,1330100.000000,15446065792237984030,null,2,1,0
42,12,6.097160,Normal,17.66,17.660000,1615310.000000,1330100.000000,4202048695090355429,null,2,1,0
43,18,6.048270,Normal,19.92,19.920000,1662040.000000,1330920.000000,18348230643339525308,null,2,1,0
44,24,5.980580,Normal,18.62,18.620000,1624310.000000,1321930.000000,14544539909104223643,null,2,1,0
45,30,6.101320,Normal,17.66,17.660000,1615310.000000,1330100.000000,12683876133760999405,null,2,1,0
46,36,6.191750,Normal,16.15,16.150000,1598900.000000,1340660.000000,11653280150158819812,null,2,1,0
47,42,5.980380,Normal,18.68,18.680000,1648390.000000,1340550.000000,9607330041936524690,null,2,1,0
48,48,5.653880,Normal,31.48,31.480000,1963040.000000,1345050.000000,16401720083611502958,null,2,1,0
49,54,5.707460,Normal,26.16,26.160000,1801250.000000,1330050.000000,14688108947119464307,null,2,1,0
50,59,5.890160,Normal,21.37,21.370000,1673660.000000,1316080.000000,12039442212788260665,null,2,1,0
51,66,6.180170,Normal,16.15,16.150000,1598900.000000,1340660.000000,11911097152196051330,null,2,1,0
52,71,5.808090,Normal,17.8,17.800000,1634090.000000,1343270.000000,2861088736706025289,null,2,1,0
53,78,6.188730,Normal,16.15,16.150000,1598900.000000,1340660.000000,12364394750925201634,null,2,1,0
54,84,6.186550,Normal,16.15,16.150000,1598900.000000,1340660.000000,12829477518388107390,null,2,1,0
55,91,7.608970,Normal,26.23,26.230000,1546630.000000,1140900.000000,15768749422018811538,null,2,1,0
56,97,5.706590,Normal,30.4,30.400000,1894550.000000,1318670.000000,15907767918182014265,null,2,1,0
57,103,5.727120,Normal,26.16,26.160000,1801250.000000,1330050.000000,374346117605491682,null,2,1,0
58,109,6.038510,Normal,30.49,30.490000,1904870.000000,1324050.000000,8241485089978738731,null,2,1,0
59,115,6.012800,Normal,16.01,16.010000,1597010.000000,1341340.000000,4010264764202431829,null,2,1,0
60,121,6.013630,Normal,16.01,16.010000,1597010.000000,1341340.000000,5968265281961035866,null,2,1,0
61,6,6.088660,Normal,28.99,28.990000,1874580.000000,1331180.000000,14075347302301588864,null,3,1,0
62,12,6.022930,Normal,32.54,32.540000,1937820.000000,1307160.000000,13805086800485329465,null,3,1,0
63,18,6.046960,Normal,28.99,28.990000,1874580.000000,1331180.000000,8274750060370361291,null,3,1,0
64,24,5.950220,Normal,30.26,30.260000,1874070.000000,1307040.000000,15153186255809835980,null,3,1,0
65,31,7.018230,Normal,57.76,57.760000,1797590.000000,759267.000000,16887099114260268141,null,3,1,0
66,37,5.969480,Normal,30.18,30.180000,1915950.000000,1337690.000000,6088150802897516232,null,3,1,0
67,43,5.975480,Normal,28.99,28.990000,1874580.000000,1331180.000000,15515029587678760294,null,3,1,0
68,49,6.041650,Normal,28.99,28.990000,1874580.000000,1331180.000000,12985989742969135156,null,3,1,0
69,55,6.063180,Normal,28.99,28.990000,1874580.000000,1331180.000000,11415704414425017689,null,3,1,0
70,61,6.052700,Normal,28.99,28.990000,1874580.000000,1331180.000000,3948456389719514429,null,3,1,0
71,67,5.870940,Normal,29.84,29.840000,1876220.000000,1316300.000000,17004664208314413269,null,3,1,0
72,73,6.085240,Normal,28.99,28.990000,1874580.000000,1331180.000000,1837896951683313903,null,3,1,0
73,79,5.984650,Normal,31.52,31.520000,1913760.000000,1310550.000000,6776381407885181419,null,3,1,0
74,85,5.887470,Normal,30.07,30.070000,1924140.000000,1345500.000000,12234762272969675198,null,3,1,0
75,91,6.052200,Normal,28.99,28.990000,1874580.000000,1331180.000000,15078941454002695621,null,3,1,0
76,97,5.941140,Normal,31.23,31.230000,1914850.000000,1316840.000000,14474151713492844321,null,3,1,0
77,103,5.979190,Normal,29.06,29.060000,1874580.000000,1329750.000000,6376315556677877009,null,3,1,0
78,109,5.917640,Normal,31.63,31.630000,1878570.000000,1284410.000000,16563425594591191704,null,3,1,0
79,114,5.571940,Normal,31.59,31.590000,1967930.000000,1346330.000000,4697839568847960431,null,3,1,0
80,120,5.949260,Normal,31.19,31.190000,1913420.000000,1316600.000000,8675391101755990657,null,3,1,0
81,5,5.703510,Normal,31.34,31.340000,1962120.000000,1347160.000000,4252239961952075346,null,4,1,0
82,11,5.526170,Normal,32.95,32.950000,1972040.000000,1322170.000000,17041882431695302461,null,4,1,0
83,16,5.682880,Normal,31.34,31.340000,1962120.000000,1347160.000000,14352673155756887099,null,4,1,0
84,22,5.698830,Normal,31.75,31.750000,1975940.000000,1348500.000000,2934987684606334006,null,4,1,0
85,28,5.669260,Normal,31.34,31.340000,1962120.000000,1347160.000000,16836920386179209748,null,4,1,0
86,35,6.634100,Normal,26.3,26.300000,1589310.000000,1171370.000000,16547266455744204315,null,4,1,0
87,41,6.628940,Normal,26.3,26.300000,1589310.000000,1171370.000000,9276645723296963484,null,4,1,0
88,49,7.784510,Normal,24.29,24.290000,1600090.000000,1211380.000000,3480805730975900606,null,4,1,0
89,56,7.143030,Normal,28.37,28.370000,1614590.000000,1156540.000000,18109645397707628595,null,4,1,0
90,62,5.797540,Normal,32.94,32.940000,1915870.000000,1284730.000000,16375980466185115525,null,4,1,0
91,69,7.004930,Normal,26.56,26.560000,1663590.000000,1221740.000000,859366645523193599,null,4,1,0
92,78,8.624620,Normal,25.41,25.410000,1540460.000000,1149090.000000,6313094033566753935,null,4,1,0
93,85,7.542570,Normal,24.25,24.250000,1599230.000000,1211380.000000,13271948335383473735,null,4,1,0
94,91,5.943700,Normal,32.95,32.950000,1914880.000000,1283830.000000,3718353117676998790,null,4,1,0
95,99,7.937510,Normal,28.09,28.090000,1604800.000000,1153960.000000,7119651004926779117,null,4,1,0
96,106,7.072090,Normal,30.05,30.050000,1626730.000000,1137870.000000,18401915140253675027,null,4,1,0
97,114,7.535080,Normal,24.25,24.250000,1599230.000000,1211380.000000,3638116270044379703,null,4,1,0
98,121,7.538010,Normal,24.25,24.250000,1599230.000000,1211380.000000,6538330362121822502,null,4,1,0
99,127,5.787440,Normal,32.94,32.940000,1915870.000000,1284730.000000,405517471853130245,null,4,1,0
100,136,8.672090,Normal,29.28,29.280000,1628160.000000,1151500.000000,14689427738366775072,null,4,1,0
101,5,5.476250,Normal,21.98,21.980000,1672740.000000,1305070.000000,8558917862084932258,null,5,1,0
102,10,5.436290,Normal,33.5,33.500000,1967010.000000,1307980.000000,4926174837006829884,null,5,1,0
103,16,5.450220,Normal,21.98,21.980000,1672740.000000,1305070.000000,10547573630904825438,null,5,1,0
104,23,6.654180,Normal,35.3,35.300000,1940620.000000,1255490.000000,7431597755436262493,null,5,1,0
105,28,5.450000,Normal,21.98,21.980000,1672740.000000,1305070.000000,11706000648323783891,null,5,1,0
106,34,5.561240,Normal,33.2,33.200000,1989060.000000,1328770.000000,4458014362228995569,null,5,1,0
107,39,5.423750,Normal,33.5,33.500000,1967010.000000,1307980.000000,8357811962338839133,null,5,1,0
108,45,5.521570,Normal,34.71,34.710000,1992010.000000,1300610.000000,11516204738026211737,null,5,1,0
109,50,5.487790,Normal,34.63,34.630000,1993780.000000,1303370.000000,7338877706880175614,null,5,1,0
110,56,5.466010,Normal,33.4,33.400000,1990540.000000,1325780.000000,17659179077822403645,null,5,1,0
111,61,5.493730,Normal,34.63,34.630000,1993780.000000,1303370.000000,2939357250478696248,null,5,1,0
112,67,5.454500,Normal,21.98,21.980000,1672740.000000,1305070.000000,9814634991993697624,null,5,1,0
113,72,5.519390,Normal,30.82,30.820000,1893060.000000,1309520.000000,6976907043920930885,null,5,1,0
114,77,5.413120,Normal,34.24,34.240000,1973310.000000,1297580.000000,9272917343149017243,null,5,1,0
115,84,6.607360,Normal,21.06,21.060000,1547850.000000,1221940.000000,15052257254429386925,null,5,1,0
116,93,8.816470,Normal,19.39,19.390000,1554790.000000,1253250.000000,5121160655308435910,null,5,1,0
117,101,7.655110,Normal,22.21,22.210000,1611570.000000,1253700.000000,8809821859539057805,null,5,1,0
118,109,8.812400,Normal,19.39,19.390000,1554790.000000,1253250.000000,9633276525586613162,null,5,1,0
119,116,6.967500,Normal,23.3,23.300000,1560320.000000,1196790.000000,10567945591207323640,null,5,1,0
120,124,7.359670,Normal,30.87,30.870000,1669580.000000,1154170.000000,8542600738357101881,null,5,1,0
121,5,5.568540,Normal,39.29,39.290000,1930740.000000,1172100.000000,5461272738182108288,null,6,1,0
122,11,6.351760,Normal,38.25,38.250000,1899510.000000,1172980.000000,8732755652127650509,null,6,1,0
123,17,5.412510,Normal,38.4,38.400000,1909450.000000,1176300.000000,9634182361365419419,null,6,1,0
124,22,5.526880,Normal,39.65,39.650000,1940620.000000,1171190.000000,16020792819530219663,null,6,1,0
125,29,6.348110,Normal,38.25,38.250000,1899510.000000,1172980.000000,10312788135503711072,null,6,1,0
126,36,7.362920,Normal,39.72,39.720000,1940620.000000,1169870.000000,9333415284109225129,null,6,1,0
127,42,5.454750,Normal,38.97,38.970000,1927250.000000,1176300.000000,9590049822892157072,null,6,1,0
128,47,5.571160,Normal,38.71,38.710000,1918900.000000,1176180.000000,7853886586688954146,null,6,1,0
129,53,5.649460,Normal,39.87,39.870000,1940620.000000,1166860.000000,8961496224606294950,null,6,1,0
130,59,6.347920,Normal,38.25,38.250000,1899510.000000,1172980.000000,12943620312454137245,null,6,1,0
131,65,5.740840,Normal,33.02,33.020000,1940620.000000,1299740.000000,2964035304154054656,null,6,1,0
132,71,6.207610,Normal,32.59,32.590000,1934670.000000,1304090.000000,12712475520323474355,null,6,1,0
