EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,4,4.477292,Normal,8.04,8.040000,364.000000,334.748820,14921508010286178949,null,0,1,0
2,4,4.318190,Normal,8.04,8.040000,364.000000,334.748820,4206954813903794619,null,0,1,0
3,6,6.282461,Normal,8.04,8.040000,364.000000,334.748820,15099494242397310251,null,0,1,0
4,6,4.332564,Normal,8.04,8.040000,364.000000,334.748820,4004613399619045535,null,0,1,0
5,6,4.386792,Normal,1.54,1.540000,340.000000,334.750246,3176396669118814692,null,0,1,0
6,6,4.303122,Normal,8.04,8.040000,364.000000,334.748820,16232236184030259895,null,0,1,0
7,6,4.338881,Normal,8.04,8.040000,364.000000,334.748820,7341868158190015683,null,0,1,0
8,6,6.591599,Normal,8.04,8.040000,364.000000,334.748820,17302026320929459937,null,0,1,0
9,11,4.365187,Normal,1.54,1.540000,340.000000,334.750246,4082051307204777897,null,0,1,0
10,11,4.363655,Normal,1.54,1.540000,340.000000,334.750246,9709470334628611842,null,0,1,0
11,11,4.371405,Normal,1.54,1.540000,340.000000,334.750246,13475483473538912355,null,0,1,0
12,11,4.393335,Normal,1.54,1.540000,340.000000,334.750246,984974413908744747,null,0,1,0
13,11,4.374009,Normal,1.54,1.540000,340.000000,334.750246,1730479575511101107,null,0,1,0
14,11,4.371904,Normal,1.54,1.540000,340.000000,334.750246,13632841758454218377,null,0,1,0
15,11,4.377785,Normal,1.54,1.540000,340.000000,334.750246,16787365165298745845,null,0,1,0
16,11,4.361959,Normal,1.54,1.540000,340.000000,334.750246,2090097650371987092,null,0,1,0
17,15,4.369055,Normal,1.54,1.540000,340.000000,334.750246,4967881468115142664,null,0,1,0
18,15,4.366761,Normal,1.54,1.540000,340.000000,334.750246,8859763811431671502,null,0,1,0
19,15,4.364947,Normal,1.54,1.540000,340.000000,334.750246,4210347065948216552,null,0,1,0
20,15,4.370943,Normal,1.54,1.540000,340.000000,334.750246,7284096586658812230,null,0,1,0
21,15,4.355405,Normal,1.54,1.540000,340.000000,334.750246,3801740592967245165,null,0,1,0
22,15,4.377180,Normal,1.54,1.540000,340.000000,334.750246,9804262518867121358,null,0,1,0
23,15,4.362678,Normal,1.54,1.540000,340.000000,334.750246,11304092305368689305,null,0,1,0
24,15,4.358107,Normal,1.54,1.540000,340.000000,334.750246,15379839378392793609,null,0,1,0
25,19,4.336211,Normal,1.54,1.540000,340.000000,334.750246,13223793122433961065,null,0,1,1
26,19,4.468228,Normal,1.54,1.540000,340.000000,334.750246,6189419449724604605,null,1,1,1
27,19,4.456434,Normal,1.54,1.540000,340.000000,334.750246,12468383284266538581,null,2,1,1
28,20,4.806034,Normal,8.04,8.040000,364.000000,334.748820,10087165862035405461,null,3,1,1
29,19,4.372866,Normal,1.54,1.540000,340.000000,334.750246,14207246212587826962,null,4,1,1
30,19,4.359625,Normal,1.54,1.540000,340.000000,334.750246,1342143127781946538,null,5,1,1
31,19,4.371668,Normal,1.54,1.540000,340.000000,334.750246,4989612191916565581,null,6,1,1
32,19,4.376372,Normal,1.54,1.540000,340.000000,334.750246,15986427676969566112,null,7,1,1
33,24,4.511912,Normal,6.04,6.040000,354.000000,332.629359,9942252178990625025,null,0,1,1
34,24,4.359217,Normal,2.17,2.170000,340.000000,332.631053,10697950884193551598,null,1,1,1
35,24,4.400003,Normal,6.92,6.920000,358.000000,333.224968,12740937446717869359,null,2,1,1
36,24,4.426675,Normal,1.45,1.450000,340.000000,335.063121,17065998107688669908,null,3,1,1
37,29,4.414968,Normal,1.54,1.540000,340.000000,334.750246,984974413908744747,null,0,2,0
38,29,4.392734,Normal,1.54,1.540000,340.000000,334.750246,16460592506236388655,null,0,2,0
39,29,4.409980,Normal,1.45,1.450000,340.000000,335.063121,17065998107688669908,null,0,2,0
40,29,4.428685,Normal,1.54,1.540000,340.000000,334.750246,6189419449724604605,null,0,2,0
41,29,4.348974,Normal,2.17,2.170000,340.000000,332.631053,10697950884193551598,null,0,2,0
42,29,4.547261,Normal,6.04,6.040000,354.000000,332.629359,9942252178990625025,null,0,2,0
43,29,4.347351,Normal,1.54,1.540000,340.000000,334.750246,8859763811431671502,null,0,2,0
44,29,4.799466,Normal,8.04,8.040000,364.000000,334.748820,10087165862035405461,null,0,2,0
45,34,4.419560,Normal,1.45,1.450000,340.000000,335.063121,8349202677230188014,null,0,2,1
46,34,4.424438,Normal,1.45,1.450000,340.000000,335.063121,1124216792284760710,null,1,2,1
47,34,4.436654,Normal,1.45,1.450000,340.000000,335.063121,5949193373335623200,null,2,2,1
48,34,4.426850,Normal,1.45,1.450000,340.000000,335.063121,16483788850254176965,null,3,2,1
49,34,4.406746,Normal,1.45,1.450000,340.000000,335.063121,15993885565506174358,null,4,2,1
50,34,4.414444,Normal,1.45,1.450000,340.000000,335.063121,9717792589639014752,null,5,2,1
51,34,4.384093,Normal,1.45,1.450000,340.000000,335.063121,12448784851959444042,null,6,2,1
52,34,4.552519,Normal,1.91,1.910000,340.000000,333.502760,2503960529037561066,null,7,2,1
53,38,4.559374,Normal,1.91,1.910000,340.000000,333.502760,15737472396220590022,null,0,2,1
