EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.436939,Normal,26.71,26.710000,1106.654996,811.108951,14921508010286178949,null,0,1,0
2,21,10.235529,Normal,26.71,26.710000,1106.654996,811.108951,5643427149002281568,null,0,1,0
3,31,10.240387,Normal,26.71,26.710000,1106.654996,811.108951,12911295086759950527,null,0,1,0
4,41,10.263543,Normal,26.71,26.710000,1106.654996,811.108951,10926055034921966546,null,0,1,0
5,52,10.242815,Normal,26.71,26.710000,1106.654996,811.108951,9658482938002475941,null,0,1,0
6,62,10.236019,Normal,26.71,26.710000,1106.654996,811.108951,13964071529318666704,null,0,1,0
7,73,10.242206,Normal,26.71,26.710000,1106.654996,811.108951,10346973009034893901,null,0,1,0
8,89,16.365897,Normal,66.81,66.810000,2420.506503,803.373888,281880667954374288,null,0,1,0
9,100,10.249838,Normal,26.71,26.710000,1106.654996,811.108951,2077675631147850639,null,0,1,0
10,110,10.268890,Normal,26.71,26.710000,1106.654996,811.108951,2225858521084382651,null,0,1,0
11,120,10.247679,Normal,26.71,26.710000,1106.654996,811.108951,5988662020493846908,null,0,1,0
12,129,8.908358,Normal,66.62,66.620000,2406.646621,803.373888,16957666276679199244,null,0,1,0
13,140,10.262932,Normal,26.71,26.710000,1106.654996,811.108951,6762843893550650360,null,0,1,0
14,150,10.243935,Normal,26.71,26.710000,1106.654996,811.108951,14494239334946615932,null,0,1,0
15,161,10.248155,Normal,26.71,26.710000,1106.654996,811.108951,10905844833752053842,null,0,1,0
16,171,10.302826,Normal,26.71,26.710000,1106.654996,811.108951,10475899001479897097,null,0,1,0
17,182,10.281754,Normal,26.71,26.710000,1106.654996,811.108951,3895283216737288575,null,0,1,0
18,192,10.234596,Normal,26.71,26.710000,1106.654996,811.108951,18060637416333092177,null,0,1,0
19,201,8.901433,Normal,66.81,66.810000,2420.506503,803.373888,864434800366833410,null,0,1,0
20,212,10.265614,Normal,26.71,26.710000,1106.654996,811.108951,13575339350133640537,null,0,1,0
21,9,9.033250,Normal,66.81,66.810000,2420.510000,803.374000,17514050945686148453,null,1,1,0
22,18,8.931130,Normal,66.81,66.810000,2420.510000,803.374000,14945327202240187335,null,1,1,0
23,27,8.865090,Normal,66.81,66.810000,2420.510000,803.374000,5483722175742239492,null,1,1,0
24,36,8.867250,Normal,66.81,66.810000,2420.510000,803.374000,7051750547613804989,null,1,1,0
25,45,8.864700,Normal,66.81,66.810000,2420.510000,803.374000,14848801465634500120,null,1,1,0
26,54,8.859270,Normal,66.81,66.810000,2420.510000,803.374000,7632777321881233189,null,1,1,0
27,63,8.838910,Normal,66.81,66.810000,2420.510000,803.374000,3285289725500150287,null,1,1,0
28,72,8.884880,Normal,66.81,66.810000,2420.510000,803.374000,1647743226064756399,null,1,1,0
29,81,8.899680,Normal,66.81,66.810000,2420.510000,803.374000,3333717581537672010,null,1,1,0
30,90,8.890940,Normal,66.81,66.810000,2420.510000,803.374000,8725071177841226662,null,1,1,0
31,107,16.354400,Normal,66.81,66.810000,2420.510000,803.374000,14748301322663243038,null,1,1,0
32,116,8.880480,Normal,66.81,66.810000,2420.510000,803.374000,14586239089219128682,null,1,1,0
33,125,8.874770,Normal,66.81,66.810000,2420.510000,803.374000,577999152070366662,null,1,1,0
34,134,8.859910,Normal,66.81,66.810000,2420.510000,803.374000,7407803192689492944,null,1,1,0
35,143,8.886270,Normal,66.81,66.810000,2420.510000,803.374000,14168650285036172551,null,1,1,0
36,152,8.861180,Normal,66.81,66.810000,2420.510000,803.374000,14451080528597731927,null,1,1,0
37,161,8.859970,Normal,66.81,66.810000,2420.510000,803.374000,4552727314284299719,null,1,1,0
38,170,8.923090,Normal,66.81,66.810000,2420.510000,803.374000,7980733770689255682,null,1,1,0
39,179,8.877940,Normal,66.81,66.810000,2420.510000,803.374000,10348151185329211802,null,1,1,0
40,188,8.879090,Normal,66.81,66.810000,2420.510000,803.374000,11910258049108487762,null,1,1,0
41,11,11.423900,Normal,32.34,32.340000,1190.650000,805.587000,2804053118686667685,null,2,1,0
42,23,11.345700,Normal,40.63,40.630000,1356.440000,805.369000,7337265881271574045,null,2,1,0
43,34,11.013700,Normal,32.34,32.340000,1190.650000,805.587000,10201480326145998051,null,2,1,0
44,46,11.875900,Normal,26.36,26.360000,1093.530000,805.326000,5528794372752364553,null,2,1,0
45,62,16.304500,Normal,66.81,66.810000,2420.510000,803.374000,8621626932493800262,null,2,1,0
46,74,11.881600,Normal,26.36,26.360000,1093.530000,805.326000,13260489884456321889,null,2,1,0
47,86,11.872700,Normal,26.36,26.360000,1093.530000,805.326000,16088453090311711417,null,2,1,0
48,98,11.810100,Normal,26.36,26.360000,1093.530000,805.326000,10662790246826478125,null,2,1,0
49,110,11.881500,Normal,26.36,26.360000,1093.530000,805.326000,5310901867282560561,null,2,1,0
50,122,11.819200,Normal,26.36,26.360000,1093.530000,805.326000,15739110339326252469,null,2,1,0
51,134,11.836900,Normal,26.36,26.360000,1093.530000,805.326000,2767680580426377243,null,2,1,0
52,145,10.367400,Normal,47.04,47.040000,1520.570000,805.324000,2222478520723152478,null,2,1,0
53,154,8.877780,Normal,26.47,26.470000,1101.540000,809.963000,5273819903147895851,null,2,1,0
54,166,11.428800,Normal,40.62,40.620000,1356.440000,805.438000,5188393093352387882,null,2,1,0
55,178,11.799400,Normal,26.36,26.360000,1093.530000,805.326000,17994303870253837979,null,2,1,0
56,190,11.883300,Normal,26.36,26.360000,1093.530000,805.326000,5346192006589656314,null,2,1,0
57,202,11.835100,Normal,26.36,26.360000,1093.530000,805.326000,3874325004454037107,null,2,1,0
58,213,11.263100,Normal,40.63,40.630000,1356.440000,805.369000,15558195506789843468,null,2,1,0
59,225,11.809200,Normal,26.36,26.360000,1093.530000,805.326000,14160347129887587270,null,2,1,0
60,237,11.829600,Normal,26.36,26.360000,1093.530000,805.326000,13376679049763403712,null,2,1,0
