EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,7.093375,Normal,29.88,29.880000,446.000000,312.739647,14921508010286178949,null,0,1,0
2,7,6.608691,Normal,32.66,32.660000,456.000000,307.062477,12396218151131135542,null,0,1,0
3,7,5.699098,Normal,30.18,30.180000,456.000000,318.375716,10476872252734183562,null,0,1,0
4,7,6.580586,Normal,31.98,31.980000,453.000000,308.138108,6392235192070819192,null,0,1,0
5,7,6.368027,Normal,30.5,30.500000,439.000000,305.087723,15567323705133727665,null,0,1,0
6,7,5.744937,Normal,25.68,25.680000,433.000000,321.790416,14836092762407622465,null,0,1,0
7,7,6.304724,Normal,30.33,30.330000,443.000000,308.646759,6794033752137684416,null,0,1,0
8,7,5.958876,Normal,1.79769e+308,,,294.958152,7158399326505879216,null,0,1,0
9,7,6.839695,Normal,28.65,28.650000,439.000000,313.210423,5415395587575097939,null,0,1,0
10,7,6.836685,Normal,32.06,32.060000,456.000000,309.784745,5423650501629229617,null,0,1,0
11,7,7.135252,Normal,20.92,20.920000,384.000000,303.681481,6676945163949781605,null,0,1,0
12,7,5.880481,Normal,1.79769e+308,,,301.798612,4122044004633851832,null,0,1,0
13,14,6.923369,Normal,20.92,20.920000,384.000000,303.681481,9830518211109643501,null,0,1,0
14,14,6.835497,Normal,19.4,19.400000,378.000000,304.656667,1798797452725241172,null,0,1,0
15,14,5.181432,Normal,24.46,24.460000,414.000000,312.752787,16377253226397337105,null,0,1,0
16,14,6.926216,Normal,20.92,20.920000,384.000000,303.681481,13699870137897953763,null,0,1,0
17,14,6.946320,Normal,19.49,19.490000,381.000000,306.728197,17258159656117493344,null,0,1,0
18,14,7.289611,Normal,31.44,31.440000,456.000000,312.647109,6252192633523137664,null,0,1,0
19,14,6.938900,Normal,20.04,20.040000,381.000000,304.633333,1066391354283331665,null,0,1,0
20,14,6.934914,Normal,20.92,20.920000,384.000000,303.681481,13519075587119838779,null,0,1,0
21,14,6.697970,Normal,20.8,20.800000,385.000000,304.911111,5469502081608475945,null,0,1,0
22,14,6.927695,Normal,20.92,20.920000,384.000000,303.681481,13030756088093187857,null,0,1,0
23,14,6.912764,Normal,20.92,20.920000,384.000000,303.681481,6525798308648001697,null,0,1,0
24,14,6.368303,Normal,31.47,31.470000,456.000000,312.516482,18116082973168435736,null,0,1,0
25,6,6.009580,Normal,33.21,33.210000,456.000000,304.548000,3742312924009514670,null,12,1,0
26,6,6.522900,Normal,13.31,13.310000,354.000000,306.883000,12732083639619943700,null,12,1,0
27,7,6.928170,Normal,17.35,17.350000,370.000000,305.814000,12746817110915635316,null,12,1,0
28,7,6.874350,Normal,14.35,14.350000,358.000000,306.625000,16968773512542665716,null,12,1,0
29,7,6.090140,Normal,22.77,22.770000,394.000000,304.290000,15662681554704263341,null,12,1,0
30,7,6.130740,Normal,24.95,24.950000,409.000000,306.952000,13256507863693852454,null,12,1,0
31,7,6.009550,Normal,22.73,22.730000,399.000000,308.324000,2916406610497098929,null,12,1,0
32,7,5.758130,Normal,32.83,32.830000,456.000000,306.280000,12055044704946883969,null,12,1,0
33,7,5.510780,Normal,23.16,23.160000,412.000000,316.575000,15324972980140611037,null,12,1,0
34,7,6.829360,Normal,16.67,16.670000,367.000000,305.833000,4294808946816102631,null,12,1,0
35,7,5.724670,Normal,31.27,31.270000,438.000000,301.039000,16475944689579675402,null,12,1,0
36,7,6.240140,Normal,25.14,25.140000,408.000000,305.448000,6840322047599894952,null,12,1,0
37,12,5.884190,Normal,1.79769e+308,,,297.495000,15276477268184227716,null,12,1,0
38,14,7.022070,Normal,23.64,23.640000,394.000000,300.850000,3513386603341958276,null,12,1,0
39,14,6.620800,Normal,13.31,13.310000,354.000000,306.883000,7239813011237065503,null,12,1,0
40,14,5.860070,Normal,1.79769e+308,,,302.518000,10241036859494430623,null,12,1,0
41,14,5.921660,Normal,1.79769e+308,,,299.267000,8072895952289686790,null,12,1,0
42,14,5.608340,Normal,25.51,25.510000,425.000000,316.591000,5645077756937386877,null,12,1,0
43,14,6.434380,Normal,17.9,17.900000,374.000000,307.052000,17225673570626170330,null,12,1,0
44,14,6.288030,Normal,20.5,20.500000,376.000000,298.926000,3884146013396417910,null,12,1,0
45,14,6.630660,Normal,13.31,13.310000,354.000000,306.883000,12111499494375108285,null,12,1,0
46,14,6.627340,Normal,13.31,13.310000,354.000000,306.883000,11884215826122183371,null,12,1,0
47,14,6.625350,Normal,13.31,13.310000,354.000000,306.883000,5880776689953053360,null,12,1,0
48,14,6.838280,Normal,23.54,23.540000,404.000000,308.894000,4550904847636536539,null,12,1,0
49,20,6.162049,Normal,19.66,19.660000,376.000000,302.092283,14982432619556199333,null,0,1,1
50,21,6.713873,Normal,13.31,13.310000,354.000000,306.882964,10582301597411806448,null,1,1,1
51,21,6.719877,Normal,13.31,13.310000,354.000000,306.882964,11599142870517667951,null,2,1,1
52,21,6.722879,Normal,13.31,13.310000,354.000000,306.882964,14700173811775255945,null,3,1,1
53,20,6.050550,Normal,20.79,20.790000,379.000000,300.207882,16246482788935996634,null,4,1,1
54,20,6.077992,Normal,20.79,20.790000,379.000000,300.207882,5892381113187013290,null,5,1,1
55,20,5.994856,Normal,1.79769e+308,,,297.802347,13851138529833500766,null,6,1,1
56,20,5.992634,Normal,1.79769e+308,,,297.802347,12266244902983781782,null,7,1,1
57,21,6.753389,Normal,1.79769e+308,,,295.600700,4247360735084264956,null,8,1,1
58,21,6.644078,Normal,1.79769e+308,,,300.899457,16460624339156507295,null,9,1,1
59,20,6.138181,Normal,24.55,24.550000,400.000000,301.789754,7291345399898827812,null,10,1,1
60,20,5.512121,Normal,22.36,22.360000,374.000000,290.381623,9629250226512090130,null,11,1,1
61,21,6.719487,Normal,13.31,13.310000,354.000000,306.882964,8495744398194398535,null,12,1,1
62,22,7.503059,Normal,26.54,26.540000,401.000000,294.556179,11603774843066367489,null,13,1,1
63,21,6.715483,Normal,13.31,13.310000,354.000000,306.882964,14521788377883433036,null,14,1,1
64,21,6.687206,Normal,33.54,33.540000,443.000000,294.429138,4195302677864627431,null,15,1,1
65,20,5.901235,Normal,1.79769e+308,,,299.720761,2096663910562822147,null,16,1,1
66,21,6.579256,Normal,17.25,17.250000,370.000000,306.192896,4487746785287214027,null,17,1,1
67,21,6.679713,Normal,19.43,19.430000,377.000000,303.746627,14311607897227092404,null,18,1,1
68,20,5.864553,Normal,1.79769e+308,,,294.447103,3690627508015075428,null,19,1,1
69,21,6.704872,Normal,13.31,13.310000,354.000000,306.882964,7382617594794075647,null,20,1,1
70,21,6.712978,Normal,13.31,13.310000,354.000000,306.882964,10436653587621758766,null,21,1,1
71,21,6.696035,Normal,13.31,13.310000,354.000000,306.882964,384866468925150266,null,22,1,1
72,21,6.705198,Normal,13.31,13.310000,354.000000,306.882964,12163720793057073529,null,23,1,1
73,28,6.770677,Normal,13.31,13.310000,354.000000,306.882964,12550747774340695980,null,0,1,1
74,28,6.784438,Normal,13.31,13.310000,354.000000,306.882964,14160355358238406726,null,1,1,1
75,28,6.770054,Normal,13.31,13.310000,354.000000,306.882964,11264278099670548719,null,2,1,1
76,28,6.779447,Normal,13.31,13.310000,354.000000,306.882964,3990113059280293990,null,3,1,1
77,28,6.779594,Normal,13.31,13.310000,354.000000,306.882964,9403857932410873291,null,4,1,1
78,28,6.771187,Normal,13.31,13.310000,354.000000,306.882964,8003672530982780644,null,5,1,1
79,28,6.777484,Normal,13.31,13.310000,354.000000,306.882964,16700431639514360650,null,6,1,1
80,28,6.393549,Normal,15.26,15.260000,360.000000,305.051199,7944860133593721702,null,7,1,1
81,29,7.364083,Normal,17.56,17.560000,366.000000,301.732963,10358016177180776989,null,8,1,1
82,29,7.365854,Normal,16.22,16.220000,365.000000,305.793748,3297132375560958984,null,9,1,1
83,29,7.641652,Normal,13.14,13.140000,351.000000,304.872049,17784522110373126714,null,10,1,1
84,36,6.929564,Normal,20.56,20.560000,382.000000,303.470833,1060937467292595205,null,0,2,0
85,36,6.830361,Normal,19.4,19.400000,378.000000,304.656667,16459210762272209543,null,0,2,0
86,37,7.118610,Normal,21.26,21.260000,383.000000,301.557576,5078100765313921876,null,0,2,0
87,37,6.829508,Normal,19.4,19.400000,378.000000,304.656667,17879170150944423485,null,0,2,0
