EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,5.964350,Normal,31.21,31.210000,-90.000000,-118.092173,14921508010286178949,null,0,1,0
2,6,5.023625,Normal,45.45,45.450000,-88.000000,-128.000000,4443219237598431304,null,0,1,0
3,6,5.201287,Normal,25.5,25.500000,-93.000000,-116.716467,1303027284993880977,null,0,1,0
4,6,5.564153,Normal,32.86,32.860000,-92.000000,-122.227677,13097180394097909329,null,0,1,0
5,6,6.064981,Normal,31.26,31.260000,-92.000000,-120.757922,1017694727300954731,null,0,1,0
6,6,5.576464,Normal,31.26,31.260000,-92.000000,-120.757922,4486760043647510131,null,0,1,0
7,6,5.195088,Normal,25.5,25.500000,-93.000000,-116.716467,16207798760087983377,null,0,1,0
8,6,5.485007,Normal,36.44,36.440000,-90.000000,-122.799297,7916839182953535277,null,0,1,0
9,6,5.668386,Normal,31.84,31.840000,-92.000000,-121.293815,7457414662835651722,null,0,1,0
10,6,5.430299,Normal,34.74,34.740000,-88.000000,-118.571166,14973645376033679461,null,0,1,0
11,6,5.404761,Normal,31,31.000000,-93.000000,-121.830717,9740122109214912572,null,0,1,0
12,6,5.332174,Normal,36.82,36.820000,-88.000000,-120.404787,16293252252774115352,null,0,1,0
13,11,5.796821,Normal,32.62,32.620000,-89.000000,-118.035314,15328719556699537996,null,0,1,0
14,11,5.326408,Normal,25.5,25.500000,-93.000000,-116.716467,4111224165159363109,null,0,1,0
15,11,5.771682,Normal,31.81,31.810000,-91.000000,-119.942905,6020372732943278699,null,0,1,0
16,11,5.316386,Normal,25.5,25.500000,-93.000000,-116.716467,2915372138632714318,null,0,1,0
17,12,6.092049,Normal,32.02,32.020000,-91.000000,-120.133868,10497008518357910196,null,0,1,0
18,12,5.829530,Normal,30.91,30.910000,-89.000000,-116.510438,15275951667636929190,null,0,1,0
19,12,5.329650,Normal,25.5,25.500000,-93.000000,-116.716467,17252065544879634442,null,0,1,0
20,12,5.314720,Normal,25.5,25.500000,-93.000000,-116.716467,15808939331823552998,null,0,1,0
21,12,5.315838,Normal,25.5,25.500000,-93.000000,-116.716467,3683076723428784723,null,0,1,0
22,12,5.136314,Normal,45.45,45.450000,-88.000000,-128.000000,3836226353776550761,null,0,1,0
23,12,5.324268,Normal,25.5,25.500000,-93.000000,-116.716467,9573151392222124483,null,0,1,0
24,12,5.310754,Normal,25.5,25.500000,-93.000000,-116.716467,13091743312899097528,null,0,1,0
25,7,7.023420,Normal,30.7,30.700000,-92.000000,-120.242000,12467697581235680322,null,12,1,0
26,7,5.559120,Normal,33.23,33.230000,-89.000000,-118.577000,141667793823784373,null,12,1,0
27,7,6.105920,Normal,28.1,28.100000,-91.000000,-116.569000,7115860793042816966,null,12,1,0
28,7,5.051960,Normal,33.28,33.280000,-92.000000,-122.617000,6300459287513503777,null,12,1,0
29,7,5.212310,Normal,25.5,25.500000,-93.000000,-116.716000,3278290150396191835,null,12,1,0
30,7,5.228140,Normal,34.91,34.910000,-88.000000,-118.717000,17294124588799049001,null,12,1,0
31,7,5.424620,Normal,26.43,26.430000,-92.000000,-116.317000,14873697517018254256,null,12,1,0
32,7,5.225040,Normal,34.91,34.910000,-88.000000,-118.717000,10843979366703819546,null,12,1,0
33,7,6.042160,Normal,31.26,31.260000,-92.000000,-120.758000,14317709096048525184,null,12,1,0
34,7,5.159410,Normal,27.41,27.410000,-93.000000,-118.492000,12791242724034686626,null,12,1,0
35,7,5.812740,Normal,30.42,30.420000,-92.000000,-119.987000,13745210359486998722,null,12,1,0
36,7,5.204950,Normal,25.5,25.500000,-93.000000,-116.716000,9279836933476186543,null,12,1,0
37,12,5.387630,Normal,25.5,25.500000,-93.000000,-116.716000,11549399127398806748,null,12,1,0
38,12,5.390790,Normal,25.5,25.500000,-93.000000,-116.716000,5474517528731677484,null,12,1,0
