EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,6.692413,Normal,54.21,54.210000,0.055334,0.025337,14921508010286178949,null,0,1,0
2,13,6.763329,Normal,54.21,54.210000,0.055334,0.025337,13290681019215308220,null,0,1,0
3,20,6.434681,Normal,55.29,55.290000,0.055334,0.024738,12911295086759950527,null,0,1,0
4,26,6.629923,Normal,74.79,74.790000,0.055334,0.013949,5834979808369545068,null,0,1,0
5,33,6.680046,Normal,54.21,54.210000,0.055334,0.025337,281880667954374288,null,0,1,0
6,40,6.717097,Normal,52.78,52.780000,0.055334,0.026130,2823934824078185206,null,0,1,0
7,47,7.141228,Normal,47.52,47.520000,0.055334,0.029039,8683817217222751575,null,0,1,0
8,55,7.369136,Normal,47.52,47.520000,0.055334,0.029039,9762774080304111974,null,0,1,0
9,62,7.531282,Normal,47.52,47.520000,0.055334,0.029039,15563231218032674526,null,0,1,0
10,70,7.640017,Normal,47.52,47.520000,0.055334,0.029039,16945198829180278691,null,0,1,0
11,77,6.772028,Normal,58.13,58.130000,0.055334,0.023168,5948685825087948624,null,0,1,0
12,84,7.593815,Normal,47.52,47.520000,0.055334,0.029039,8231821064026944110,null,0,1,0
13,92,7.194736,Normal,41.83,41.830000,0.055334,0.032187,9135607279948674511,null,0,1,0
14,99,7.355900,Normal,41.83,41.830000,0.055334,0.032187,13789765451802604228,null,0,1,0
15,106,7.188016,Normal,41.83,41.830000,0.055334,0.032187,10406165032783946417,null,0,1,0
16,113,6.984513,Normal,41.83,41.830000,0.055334,0.032187,16664706340815925823,null,0,1,0
17,120,6.737127,Normal,49.83,49.830000,0.055334,0.027763,17750906573724234362,null,0,1,0
18,127,6.973139,Normal,41.83,41.830000,0.055334,0.032187,8460398121928971686,null,0,1,0
19,134,6.778794,Normal,41.83,41.830000,0.055334,0.032187,8464068393961449666,null,0,1,0
20,141,6.714306,Normal,41.83,41.830000,0.055334,0.032187,13813013315835599180,null,0,1,0
21,7,6.921380,Normal,41.83,41.830000,0.055334,0.032187,15021053533019190221,null,1,1,0
22,14,6.924850,Normal,41.83,41.830000,0.055334,0.032187,16941915175716164487,null,1,1,0
