EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,6.148767,Normal,28.04,28.040000,28486.750000,20498.742004,14921508010286178949,null,0,1,0
2,12,6.297289,Normal,23.94,23.940000,26387.330000,20069.391698,1894762743428622621,null,0,1,0
3,19,6.800485,Normal,20.7,20.700000,24932.350000,19772.574194,16995950043446168429,null,0,1,0
4,26,6.678772,Normal,20.73,20.730000,24716.810000,19593.526708,8788470824531958237,null,0,1,0
5,33,6.736644,Normal,20.73,20.730000,24716.810000,19593.526708,324260223363094821,null,0,1,0
6,39,6.815112,Normal,24.48,24.480000,25561.790000,19305.427035,16299007979381298576,null,0,1,0
7,46,6.843175,Normal,20.7,20.700000,24932.350000,19772.574194,16953454650901001854,null,0,1,0
8,53,6.343148,Normal,38.73,38.730000,26201.750000,16053.973921,18144444120432514167,null,0,1,0
9,59,6.664718,Normal,22.43,22.430000,24932.220000,19339.051176,5958301620241208841,null,0,1,0
10,66,6.925989,Normal,24.68,24.680000,25063.070000,18877.861464,5577509840938851936,null,0,1,0
11,73,6.503549,Normal,40.43,40.430000,26514.750000,15795.359984,18311906623174535640,null,0,1,0
12,80,6.781380,Normal,23.96,23.960000,25432.960000,19338.099568,5834979808369545068,null,0,1,0
13,86,6.809963,Normal,20.7,20.700000,24932.350000,19772.574194,3028859462580162825,null,0,1,0
14,93,6.610163,Normal,25.49,25.490000,25705.260000,19152.679426,14233769262875148852,null,0,1,0
15,100,6.471450,Normal,23.5,23.500000,26421.750000,20211.707045,4035910778140628704,null,0,1,0
16,106,6.813689,Normal,20.7,20.700000,24932.350000,19772.574194,7992714274553707877,null,0,1,0
17,113,6.774126,Normal,21.64,21.640000,24925.360000,19530.761339,9137519435265697528,null,0,1,0
18,120,6.932556,Normal,23.63,23.630000,25857.630000,19747.613924,13581763227333440181,null,0,1,0
19,127,6.772317,Normal,36.2,36.200000,25205.920000,16080.621886,7039462397453816594,null,0,1,0
20,133,6.029668,Normal,22.09,22.090000,24982.350000,19463.573178,11765575127384378730,null,0,1,0
21,6,6.471080,Normal,20.85,20.850000,25909.600000,20508.700000,10714195048676262818,null,1,1,0
22,13,6.663440,Normal,20.88,20.880000,25650.500000,20295.300000,15497166752811879062,null,1,1,0
23,20,6.561140,Normal,24.01,24.010000,26699.300000,20289.600000,16673489937088604651,null,1,1,0
24,26,6.553490,Normal,21.8,21.800000,26075.200000,20390.000000,12807152294793795668,null,1,1,0
25,33,6.501660,Normal,18.73,18.730000,25060.100000,20366.800000,3528240066080936945,null,1,1,0
26,39,6.477460,Normal,18.73,18.730000,25060.100000,20366.800000,5491246159147690923,null,1,1,0
27,46,6.516090,Normal,18.73,18.730000,25060.100000,20366.800000,10482124788367051140,null,1,1,0
28,53,7.046430,Normal,29.06,29.060000,25707.400000,18237.400000,7054038000739498753,null,1,1,0
29,59,6.575370,Normal,19.89,19.890000,25594.400000,20504.100000,3327162024139695489,null,1,1,0
30,66,6.618180,Normal,20.54,20.540000,25643.900000,20376.700000,7502748943097325935,null,1,1,0
31,73,6.757250,Normal,18.88,18.880000,25495.600000,20680.800000,14290048931941346636,null,1,1,0
32,79,6.513270,Normal,18.73,18.730000,25060.100000,20366.800000,17767999360367928835,null,1,1,0
33,86,6.549690,Normal,20.54,20.540000,25643.900000,20376.700000,14164038163931710995,null,1,1,0
34,92,6.564580,Normal,20.85,20.850000,25909.600000,20508.700000,1678394284451528575,null,1,1,0
35,99,6.544670,Normal,18.73,18.730000,25060.100000,20366.800000,6765146280125472577,null,1,1,0
36,105,6.477090,Normal,18.73,18.730000,25060.100000,20366.800000,10362214820163870257,null,1,1,0
37,112,6.295740,Normal,29.75,29.750000,29073.800000,20423.300000,4730377695668923895,null,1,1,0
38,118,6.582230,Normal,20.85,20.850000,25909.600000,20508.700000,12255461805226626155,null,1,1,0
39,125,6.465580,Normal,18.73,18.730000,25060.100000,20366.800000,7282962584514701703,null,1,1,0
40,131,6.192340,Normal,21.3,21.300000,25795.100000,20300.300000,22513069161564432,null,1,1,0
41,7,6.674350,Normal,26.43,26.430000,25548.500000,18796.200000,4560123928916166802,null,2,1,0
42,13,6.683380,Normal,25.57,25.570000,25130.900000,18706.000000,6336639357534061763,null,2,1,0
43,20,6.573200,Normal,35.47,35.470000,25451.000000,16423.500000,3383955073977360189,null,2,1,0
44,26,6.602180,Normal,21.65,21.650000,24999.800000,19586.900000,11147799512793351821,null,2,1,0
45,33,6.611260,Normal,21.65,21.650000,24999.800000,19586.900000,8708934528733174247,null,2,1,0
46,40,6.755150,Normal,25.23,25.230000,25297.500000,18913.800000,58401807526692002,null,2,1,0
47,47,6.686110,Normal,23.53,23.530000,25632.600000,19601.500000,2711240693044699312,null,2,1,0
48,53,6.653430,Normal,23.13,23.130000,25263.600000,19419.300000,151370951394539496,null,2,1,0
49,60,6.725420,Normal,25.23,25.230000,25297.500000,18913.800000,4151849814202648493,null,2,1,0
50,67,6.780900,Normal,25.57,25.570000,25130.900000,18706.000000,7803335056562552803,null,2,1,0
51,73,6.185870,Normal,37.35,37.350000,26037.200000,16311.900000,18057631096362621867,null,2,1,0
52,80,6.658280,Normal,18.67,18.670000,24973.000000,20309.300000,14848484436085345450,null,2,1,0
53,86,6.658770,Normal,18.67,18.670000,24973.000000,20309.300000,2264220061132320831,null,2,1,0
54,93,6.466810,Normal,24.61,24.610000,27143.900000,20462.900000,5288762743734779990,null,2,1,0
55,99,6.681570,Normal,18.67,18.670000,24973.000000,20309.300000,1557645987535058516,null,2,1,0
56,106,6.726120,Normal,20.15,20.150000,25561.400000,20410.900000,5533250187322695796,null,2,1,0
57,113,6.636620,Normal,20.15,20.150000,25561.400000,20410.900000,8315349861566475130,null,2,1,0
58,119,6.533040,Normal,22.11,22.110000,25968.700000,20225.800000,15354903224938322187,null,2,1,0
59,126,6.204600,Normal,23.33,23.330000,26492.200000,20312.000000,7442918742071511518,null,2,1,0
60,132,6.290600,Normal,25.38,25.380000,27267.900000,20347.500000,12836987473388907319,null,2,1,0
61,7,6.996970,Normal,35.21,35.210000,26422.700000,17118.600000,13644116338450636441,null,3,1,0
62,14,6.660270,Normal,32.28,32.280000,25409.400000,17206.500000,13369803430710319379,null,3,1,0
63,20,6.567800,Normal,31.23,31.230000,25362.300000,17441.400000,1720767505479556069,null,3,1,0
64,27,6.753620,Normal,45.79,45.790000,26092.900000,14144.600000,11706748805568527678,null,3,1,0
65,34,6.651350,Normal,31.64,31.640000,25619.500000,17514.700000,7411414024645318659,null,3,1,0
66,40,6.425770,Normal,32.49,32.490000,25464.900000,17192.500000,2785859168927183538,null,3,1,0
67,47,6.702110,Normal,32.94,32.940000,25614.900000,17176.700000,7344814452249480034,null,3,1,0
68,53,6.450480,Normal,28.34,28.340000,28486.800000,20413.900000,13237919467291558763,null,3,1,0
69,60,6.384480,Normal,28.34,28.340000,28486.800000,20413.900000,972119618788172387,null,3,1,0
70,66,6.588800,Normal,20.76,20.760000,26095.900000,20677.700000,6488969270377464755,null,3,1,0
71,73,6.602090,Normal,20.76,20.760000,26095.900000,20677.700000,10181399824130358200,null,3,1,0
72,80,6.748490,Normal,36.13,36.130000,26240.600000,16760.100000,13751046107225976252,null,3,1,0
73,86,6.553310,Normal,20.76,20.760000,26095.900000,20677.700000,178129372703559716,null,3,1,0
74,92,6.256060,Normal,27.95,27.950000,28402.900000,20465.200000,1965839218467755901,null,3,1,0
75,99,6.586450,Normal,20.76,20.760000,26095.900000,20677.700000,9949604162614182542,null,3,1,0
76,106,6.847050,Normal,32.32,32.320000,24872.100000,16834.300000,6175980674152126609,null,3,1,0
77,112,6.420670,Normal,22.71,22.710000,25932.700000,20044.600000,9349455081424743113,null,3,1,0
78,119,6.541160,Normal,19.18,19.180000,25636.700000,20719.000000,7167921065204124831,null,3,1,0
79,125,6.523710,Normal,19.18,19.180000,25636.700000,20719.000000,17888045441471910875,null,3,1,0
80,132,6.415500,Normal,19.59,19.590000,25464.100000,20476.800000,12747620995015392307,null,3,1,0
81,6,6.272040,Normal,20.27,20.270000,25826.800000,20590.800000,807049314724615108,null,4,1,0
82,12,6.340450,Normal,20.26,20.260000,25826.800000,20595.200000,7552005639703307404,null,4,1,0
83,19,6.241810,Normal,22.02,22.020000,25790.000000,20109.800000,15435082875026196941,null,4,1,0
84,25,6.341060,Normal,20.26,20.260000,25826.800000,20595.200000,4231646121354493128,null,4,1,0
85,31,6.253710,Normal,26.96,26.960000,27528.700000,20106.200000,10469020208076954666,null,4,1,0
86,38,6.399220,Normal,19.45,19.450000,25307.600000,20384.200000,17015748262083961043,null,4,1,0
87,44,6.439850,Normal,19.45,19.450000,25307.600000,20384.200000,13943033414990627199,null,4,1,0
88,51,6.463290,Normal,19.45,19.450000,25307.600000,20384.200000,3984690475041586789,null,4,1,0
89,57,6.701990,Normal,19.44,19.440000,24879.500000,20043.800000,1914793312419526566,null,4,1,0
90,64,6.816830,Normal,19.44,19.440000,24879.500000,20043.800000,7289677365677256413,null,4,1,0
91,71,6.825450,Normal,19.44,19.440000,24879.500000,20043.800000,10086006687499394493,null,4,1,0
92,78,6.509570,Normal,18.27,18.270000,24963.000000,20401.000000,7260277692199789848,null,4,1,0
93,84,6.507750,Normal,18.27,18.270000,24963.000000,20401.000000,7861309426059288510,null,4,1,0
94,91,6.479870,Normal,18.27,18.270000,24963.000000,20401.000000,7623787439360109428,null,4,1,0
95,97,6.604580,Normal,22.66,22.660000,25118.400000,19427.400000,10352361491561226076,null,4,1,0
96,104,6.496990,Normal,18.35,18.350000,24963.000000,20382.700000,6113970248210278552,null,4,1,0
97,110,6.403600,Normal,18.27,18.270000,24963.000000,20401.000000,960735053442731459,null,4,1,0
98,117,6.407790,Normal,25.99,25.990000,27722.200000,20517.200000,2627612883213903725,null,4,1,0
99,123,6.447190,Normal,22.67,22.670000,26307.500000,20342.400000,3826934650107445855,null,4,1,0
100,129,6.380190,Normal,18.27,18.270000,24963.000000,20401.000000,1686367553002191938,null,4,1,0
101,6,6.393800,Normal,23.54,23.540000,26747.900000,20451.100000,15040797947773480154,null,5,1,0
102,13,6.474120,Normal,23.54,23.540000,26747.900000,20451.100000,13901102008584609924,null,5,1,0
103,19,6.299420,Normal,25.02,25.020000,26717.400000,20031.700000,11142770849595117064,null,5,1,0
104,25,6.403230,Normal,23.75,23.750000,26808.200000,20442.100000,9790425575888473643,null,5,1,0
105,32,6.443720,Normal,20.69,20.690000,25943.900000,20577.200000,9069199814268416142,null,5,1,0
106,38,6.480220,Normal,23.53,23.530000,26660.100000,20386.400000,10256844785291403338,null,5,1,0
107,45,6.333380,Normal,39.85,39.850000,26248.900000,15788.100000,14819083007541951240,null,5,1,0
108,51,6.467880,Normal,21.32,21.320000,25884.300000,20365.900000,11031451457861227325,null,5,1,0
109,58,6.296420,Normal,23.61,23.610000,26823.600000,20491.800000,4531763872884367215,null,5,1,0
110,64,6.680510,Normal,21.23,21.230000,26096.100000,20555.400000,3067775199216104014,null,5,1,0
111,71,6.548010,Normal,29.2,29.200000,25433.600000,18008.300000,305192441569221439,null,5,1,0
112,78,6.818220,Normal,19.93,19.930000,25421.900000,20356.400000,949435516175469314,null,5,1,0
113,85,6.837000,Normal,19.93,19.930000,25421.900000,20356.400000,14982527534452294254,null,5,1,0
114,91,6.779930,Normal,19.93,19.930000,25421.900000,20356.400000,15017758842768438919,null,5,1,0
115,98,6.804960,Normal,19.59,19.590000,25421.900000,20442.400000,2692298833556209088,null,5,1,0
116,105,6.417460,Normal,19.21,19.210000,25752.600000,20805.300000,16542793320380087834,null,5,1,0
