EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.411539,Normal,26.71,26.710000,1106.654996,811.108951,14921508010286178949,null,0,1,0
2,37,37.178538,Normal,66.81,66.810000,2420.506503,803.373888,4206954813903794619,null,0,1,0
3,37,16.741286,Normal,66.81,66.810000,2420.506503,803.373888,15099494242397310251,null,0,1,0
4,37,9.131331,Normal,66.81,66.810000,2420.506503,803.373888,4004613399619045535,null,0,1,0
5,37,37.152950,Normal,66.81,66.810000,2420.506503,803.373888,3176396669118814692,null,0,1,0
6,37,10.768699,Normal,32.51,32.510000,1192.873821,805.089926,16232236184030259895,null,0,1,0
7,37,10.733900,Normal,32.48,32.480000,1192.873821,805.439663,7341868158190015683,null,0,1,0
8,37,10.760466,Normal,32.5,32.500000,1192.873821,805.206759,17302026320929459937,null,0,1,0
9,37,37.167163,Normal,66.81,66.810000,2420.506503,803.373888,8139715411725428876,null,0,1,0
10,37,8.967548,Normal,26.47,26.470000,1101.543413,809.962567,911778029091929454,null,0,1,0
11,37,9.085619,Normal,66.81,66.810000,2420.506503,803.373888,8288215431682826193,null,0,1,0
12,37,16.698281,Normal,66.81,66.810000,2420.506503,803.373888,4751982340871308678,null,0,1,0
13,37,16.723793,Normal,66.81,66.810000,2420.506503,803.373888,14739098761425129647,null,0,1,0
14,37,37.164459,Normal,66.81,66.810000,2420.506503,803.373888,6317414522914921312,null,0,1,0
15,37,8.979634,Normal,66.62,66.620000,2406.646621,803.373888,7825621333715224623,null,0,1,0
16,37,8.983829,Normal,66.62,66.620000,2406.646621,803.373888,6907271033464018658,null,0,1,0
17,37,16.714016,Normal,66.81,66.810000,2420.506503,803.373888,10083654144329130973,null,0,1,0
18,37,9.405971,Normal,100,100.000000,2420.506503,0.000000,12390334949199952403,null,0,1,0
19,37,10.401713,Normal,26.71,26.710000,1106.654996,811.108951,9590174030705558816,null,0,1,0
20,37,11.575445,Normal,40.63,40.630000,1356.436189,805.369217,1633986663466008599,null,0,1,0
21,37,37.168363,Normal,66.81,66.810000,2420.506503,803.373888,4254733046668548291,null,0,1,0
22,37,8.977244,Normal,50.12,50.120000,1619.199669,807.723690,11948357387317727231,null,0,1,0
23,37,37.156357,Normal,66.81,66.810000,2420.506503,803.373888,13637210260900884128,null,0,1,0
24,37,8.971335,Normal,66.62,66.620000,2406.646621,803.373888,4051013559628080206,null,0,1,0
25,48,10.332913,Normal,20.38,20.380000,1017.727349,810.293175,3158420635567760966,null,0,1,1
26,57,8.898449,Normal,26.47,26.470000,1101.543413,809.962567,999736589531826775,null,0,2,0
27,57,8.870637,Normal,26.47,26.470000,1101.543413,809.962567,16338687201843770280,null,0,2,0
28,57,8.887031,Normal,26.47,26.470000,1101.543413,809.962567,8442086008983720981,null,0,2,0
29,57,8.910750,Normal,50.12,50.120000,1619.199669,807.723690,7513890144312003610,null,0,2,0
30,57,8.880038,Normal,26.47,26.470000,1101.543413,809.962567,73758771137391847,null,0,2,0
31,57,8.912373,Normal,50.12,50.120000,1619.199669,807.723690,18336920065634453762,null,0,2,0
32,58,10.346526,Normal,26.71,26.710000,1106.654996,811.108951,9875048990628124702,null,0,2,0
33,58,8.890192,Normal,26.47,26.470000,1101.543413,809.962567,1699642792021613682,null,0,2,0
34,58,8.852885,Normal,26.47,26.470000,1101.543413,809.962567,15039739052608571123,null,0,2,0
35,58,9.171939,Normal,50.12,50.120000,1619.199669,807.723690,16303462124778473383,null,0,2,0
36,58,9.470330,Normal,100,100.000000,2420.506503,0.000000,9287123960309786991,null,0,2,0
37,58,8.812967,Normal,50.12,50.120000,1619.199669,807.723690,3627372920294398213,null,0,2,0
38,58,8.853792,Normal,26.47,26.470000,1101.543413,809.962567,10627326135175517551,null,0,2,0
39,58,8.825434,Normal,50.12,50.120000,1619.199669,807.723690,6921965275807781329,null,0,2,0
40,58,8.863864,Normal,26.47,26.470000,1101.543413,809.962567,3691071960598077755,null,0,2,0
41,58,8.882060,Normal,26.47,26.470000,1101.543413,809.962567,13980200859370654056,null,0,2,0
42,58,8.896404,Normal,26.47,26.470000,1101.543413,809.962567,8791081293025959400,null,0,2,0
43,58,8.861528,Normal,50.12,50.120000,1619.199669,807.723690,18294582266660837657,null,0,2,0
44,58,10.267154,Normal,20.38,20.380000,1017.727349,810.293175,3158420635567760966,null,0,2,0
45,58,8.837419,Normal,26.47,26.470000,1101.543413,809.962567,9528608414927546126,null,0,2,0
46,58,8.872797,Normal,50.12,50.120000,1619.199669,807.723690,17311787246448949684,null,0,2,0
47,58,8.878569,Normal,50.12,50.120000,1619.199669,807.723690,12670980543468764023,null,0,2,0
48,58,8.887287,Normal,26.47,26.470000,1101.543413,809.962567,5833707391734881694,null,0,2,0
49,60,11.980686,Normal,26.36,26.360000,1093.530483,805.326267,13450205354545351692,null,0,2,0
50,70,10.198384,Normal,20.38,20.380000,1017.727349,810.293175,15344157880401322307,null,0,2,1
51,71,10.213763,Normal,20.38,20.380000,1017.727349,810.293175,17396097194949406169,null,1,2,1
52,71,10.236679,Normal,20.38,20.380000,1017.727349,810.293175,17692457982397991339,null,2,2,1
53,71,10.322686,Normal,20.38,20.380000,1017.727349,810.293175,10714389612443738041,null,3,2,1
54,71,10.534347,Normal,20.38,20.380000,1017.727349,810.293175,12866468934015549210,null,4,2,1
55,71,10.262083,Normal,20.38,20.380000,1017.727349,810.293175,9879997676783904376,null,5,2,1
56,71,10.521201,Normal,20.38,20.380000,1017.727349,810.293175,8035738947380530151,null,6,2,1
57,71,10.545518,Normal,20.38,20.380000,1017.727349,810.293175,13546043965225393708,null,7,2,1
58,71,10.231867,Normal,20.38,20.380000,1017.727349,810.293175,7895876002696280765,null,8,2,1
59,70,10.073236,Normal,20.38,20.380000,1017.727349,810.293175,15467647357211951154,null,9,2,1
60,71,10.267887,Normal,20.38,20.380000,1017.727349,810.293175,15087087603330320362,null,10,2,1
61,71,10.219830,Normal,20.38,20.380000,1017.727349,810.293175,16336270482936452231,null,11,2,1
62,71,10.246299,Normal,20.38,20.380000,1017.727349,810.293175,10195892629122014343,null,12,2,1
63,71,10.215854,Normal,20.38,20.380000,1017.727349,810.293175,1684228630693934335,null,13,2,1
64,71,10.233304,Normal,20.38,20.380000,1017.727349,810.293175,9898676854839403320,null,14,2,1
65,71,10.213856,Normal,20.38,20.380000,1017.727349,810.293175,1131376761936150371,null,15,2,1
66,71,10.302032,Normal,20.38,20.380000,1017.727349,810.293175,13761373449030791408,null,16,2,1
67,71,10.298556,Normal,20.38,20.380000,1017.727349,810.293175,14575694819096100757,null,17,2,1
68,71,10.289230,Normal,20.38,20.380000,1017.727349,810.293175,8383923077468009894,null,18,2,1
69,71,10.295634,Normal,20.38,20.380000,1017.727349,810.293175,16942276663399931348,null,19,2,1
70,71,10.425936,Normal,20.38,20.380000,1017.727349,810.293175,13971230175624320267,null,20,2,1
71,71,10.316239,Normal,20.38,20.380000,1017.727349,810.293175,7773254715707772569,null,21,2,1
72,71,10.313417,Normal,20.38,20.380000,1017.727349,810.293175,13585862291345403885,null,22,2,1
73,71,10.275791,Normal,20.38,20.380000,1017.727349,810.293175,18121503765564883780,null,23,2,1
74,81,10.361058,Normal,20.38,20.380000,1017.727349,810.293175,4950384764493292992,null,0,2,1
75,81,10.288168,Normal,20.38,20.380000,1017.727349,810.293175,6154277904996429776,null,1,2,1
76,81,10.314527,Normal,20.38,20.380000,1017.727349,810.293175,3048768313286538073,null,2,2,1
77,81,10.294632,Normal,20.38,20.380000,1017.727349,810.293175,4877456098377267278,null,3,2,1
78,81,10.264760,Normal,20.38,20.380000,1017.727349,810.293175,6347515219016207895,null,4,2,1
79,81,10.315129,Normal,20.38,20.380000,1017.727349,810.293175,5235977662372027742,null,5,2,1
80,81,10.324025,Normal,20.38,20.380000,1017.727349,810.293175,11948977207332095247,null,6,2,1
81,81,10.239584,Normal,20.38,20.380000,1017.727349,810.293175,16042615263866449212,null,7,2,1
82,81,10.260533,Normal,20.38,20.380000,1017.727349,810.293175,12714863864332160076,null,8,2,1
83,81,10.272771,Normal,20.38,20.380000,1017.727349,810.293175,13364520708142758674,null,9,2,1
84,81,10.282380,Normal,20.38,20.380000,1017.727349,810.293175,13012247143091249468,null,10,2,1
85,81,10.223890,Normal,20.38,20.380000,1017.727349,810.293175,14504910955291806139,null,11,2,1
86,81,10.258148,Normal,20.38,20.380000,1017.727349,810.293175,318969397465905947,null,12,2,1
87,81,10.250064,Normal,20.38,20.380000,1017.727349,810.293175,1834384466123515739,null,13,2,1
88,81,10.260272,Normal,20.38,20.380000,1017.727349,810.293175,3197910526644154595,null,14,2,1
89,81,10.268789,Normal,20.38,20.380000,1017.727349,810.293175,2214303315428208187,null,15,2,1
90,81,10.280423,Normal,20.38,20.380000,1017.727349,810.293175,4636301233490885931,null,16,2,1
91,81,10.262325,Normal,20.38,20.380000,1017.727349,810.293175,13039879775331629756,null,17,2,1
92,81,10.258564,Normal,20.38,20.380000,1017.727349,810.293175,10403364999718149403,null,18,2,1
93,81,10.251886,Normal,20.38,20.380000,1017.727349,810.293175,8346289170989250614,null,19,2,1
94,81,10.278314,Normal,20.38,20.380000,1017.727349,810.293175,6515713261065991841,null,20,2,1
95,82,10.605866,Normal,18.51,18.510000,987.991561,805.092578,5032268205909501078,null,21,2,1
96,92,10.302964,Normal,20.38,20.380000,1017.727349,810.293175,6515713261065991841,null,0,3,0
97,92,10.262135,Normal,20.38,20.380000,1017.727349,810.293175,14083668523525825444,null,0,3,0
98,92,10.300018,Normal,20.38,20.380000,1017.727349,810.293175,18121503765564883780,null,0,3,0
99,92,10.257999,Normal,20.38,20.380000,1017.727349,810.293175,17396097194949406169,null,0,3,0
100,92,9.949566,Normal,20.38,20.380000,1017.727349,810.293175,14754722713404375156,null,0,3,0
101,92,10.306496,Normal,20.38,20.380000,1017.727349,810.293175,8346289170989250614,null,0,3,0
102,92,10.345134,Normal,20.38,20.380000,1017.727349,810.293175,16942276663399931348,null,0,3,0
103,92,10.243206,Normal,20.38,20.380000,1017.727349,810.293175,9879997676783904376,null,0,3,0
104,98,15.979036,Normal,58.98,58.980000,1958.304296,803.373888,657624568937671187,null,0,3,0
105,98,10.244966,Normal,20.38,20.380000,1017.727349,810.293175,1131376761936150371,null,0,3,0
106,98,10.582048,Normal,20.38,20.380000,1017.727349,810.293175,13546043965225393708,null,0,3,0
107,98,10.252362,Normal,20.38,20.380000,1017.727349,810.293175,16836532403239144472,null,0,3,0
108,98,10.496873,Normal,20.38,20.380000,1017.727349,810.293175,8035738947380530151,null,0,3,0
109,98,10.230913,Normal,20.38,20.380000,1017.727349,810.293175,4877456098377267278,null,0,3,0
110,98,10.253702,Normal,20.38,20.380000,1017.727349,810.293175,15087087603330320362,null,0,3,0
111,98,9.160307,Normal,50.12,50.120000,1619.199669,807.723690,9418774357318583681,null,0,3,0
112,98,10.270957,Normal,20.38,20.380000,1017.727349,810.293175,12714863864332160076,null,0,3,0
113,98,10.267995,Normal,20.38,20.380000,1017.727349,810.293175,11089110009401061817,null,0,3,0
114,98,10.263682,Normal,20.38,20.380000,1017.727349,810.293175,5649755491494222324,null,0,3,0
115,98,10.243459,Normal,20.38,20.380000,1017.727349,810.293175,2191313867730712290,null,0,3,0
116,98,10.243201,Normal,20.38,20.380000,1017.727349,810.293175,1684228630693934335,null,0,3,0
117,98,10.165591,Normal,20.38,20.380000,1017.727349,810.293175,15467647357211951154,null,0,3,0
118,98,10.252054,Normal,20.38,20.380000,1017.727349,810.293175,13012247143091249468,null,0,3,0
119,98,10.238864,Normal,20.38,20.380000,1017.727349,810.293175,13721280979890787791,null,0,3,0
120,108,10.315599,Normal,20.38,20.380000,1017.727349,810.293175,17692457982397991339,null,0,3,0
121,108,10.306343,Normal,20.38,20.380000,1017.727349,810.293175,6154277904996429776,null,0,3,0
