EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,6.094981,Normal,31.82,31.820000,141266.228329,96310.267929,14921508010286178949,null,0,1,0
2,6,6.484463,Normal,69.98,69.980000,320953.806421,96347.085845,1174959017006352549,null,0,1,0
3,6,6.144123,Normal,25.03,25.030000,128423.196094,96282.354576,14529113587495427886,null,0,1,0
4,6,6.230229,Normal,65.12,65.120000,276021.222533,96265.004783,13298169907104576223,null,0,1,0
5,6,6.380050,Normal,69.37,69.370000,314540.147024,96332.896632,15715267473014585801,null,0,1,0
6,6,6.040789,Normal,68.75,68.750000,308155.679421,96305.814303,13113747896214692174,null,0,1,0
7,6,6.019911,Normal,21.05,21.050000,121989.188603,96310.901360,18137771549933266857,null,0,1,0
8,6,6.014469,Normal,70.01,70.010000,320985.264729,96262.317868,12501584996764611432,null,0,1,0
9,6,6.571109,Normal,25.05,25.050000,128445.463517,96264.338969,12265203031129273446,null,0,1,0
10,6,6.733464,Normal,34.79,34.790000,147636.003972,96279.247324,4882476920712910076,null,0,1,0
11,6,6.152268,Normal,68.71,68.710000,308141.189131,96409.307379,10091813221546141797,null,0,1,0
12,6,6.488140,Normal,67.4,67.400000,295335.076924,96280.733999,18084366759622591486,null,0,1,0
13,6,6.188168,Normal,69.4,69.400000,314558.126143,96264.384259,13172120740629189716,null,0,1,0
14,6,6.102544,Normal,68.07,68.070000,301720.516821,96339.204929,10218512370692381049,null,0,1,0
15,6,5.794266,Normal,67.37,67.370000,295287.161406,96339.914034,7798226949867661149,null,0,1,0
16,6,6.429150,Normal,69.99,69.990000,320952.391605,96326.371934,4323171494070892076,null,0,1,0
17,6,6.411843,Normal,69.37,69.370000,314569.869362,96337.853644,8409953557691681239,null,0,1,0
18,6,6.664066,Normal,16.75,16.750000,115647.188199,96281.572416,7344799059634627703,null,0,1,0
19,6,6.212907,Normal,25.02,25.020000,128407.429709,96282.411318,6904842263121373040,null,0,1,0
20,6,6.113926,Normal,21.06,21.060000,122009.183818,96310.655974,12737789245468223897,null,0,1,0
21,6,6.164963,Normal,69.39,69.390000,314554.904368,96281.579167,12176239308717259211,null,0,1,0
22,6,6.188780,Normal,70.01,70.010000,320971.855597,96273.917142,5626311393406439571,null,0,1,0
23,6,6.711312,Normal,34.8,34.800000,147658.898056,96278.662556,17441551709482235954,null,0,1,0
24,6,6.194090,Normal,67.4,67.400000,295337.433237,96285.145956,16647462166466904337,null,0,1,0
25,13,6.817742,Normal,53.11,53.110000,205333.109471,96276.194185,2188834795536681794,null,0,1,1
26,13,6.377412,Normal,16.7,16.700000,115576.191075,96280.347659,3729213127581168805,null,1,1,1
27,20,6.507552,Normal,16.75,16.750000,115647.188199,96281.572416,5578320653218826882,null,0,2,0
28,20,6.513970,Normal,16.75,16.750000,115647.188199,96281.572416,2530060623379831293,null,0,2,0
29,20,5.808102,Normal,68.75,68.750000,308145.311849,96295.302864,4694470427671824170,null,0,2,0
30,20,6.296499,Normal,36.96,36.960000,147718.087943,93126.440533,2859648612393016161,null,0,2,0
31,20,6.508893,Normal,16.75,16.750000,115647.188199,96281.572416,18003981693896373128,null,0,2,0
32,20,6.525719,Normal,16.75,16.750000,115647.188199,96281.572416,8723291939423991386,null,0,2,0
33,20,6.530243,Normal,16.75,16.750000,115647.188199,96281.572416,13034347634142868341,null,0,2,0
34,20,6.526332,Normal,16.75,16.750000,115647.188199,96281.572416,11428281200100529258,null,0,2,0
35,20,6.434197,Normal,51.63,51.630000,198986.767116,96258.583727,519263455137919312,null,0,2,0
36,20,6.542134,Normal,16.75,16.750000,115647.188199,96281.572416,8627309654589955077,null,0,2,0
37,20,6.323956,Normal,11.83,11.830000,109199.855373,96280.878367,17721692388673529843,null,0,2,0
38,20,6.494572,Normal,16.75,16.750000,115647.188199,96281.572416,3075614154768319609,null,0,2,0
39,20,6.484211,Normal,16.75,16.750000,115647.188199,96281.572416,7826627804254666822,null,0,2,0
40,20,6.298176,Normal,40,40.000000,160481.322608,96287.911079,10285960601257579442,null,0,2,0
41,20,6.314489,Normal,40.02,40.020000,160507.552502,96280.206354,12469442911538185336,null,0,2,0
42,20,6.488297,Normal,16.75,16.750000,115647.188199,96281.572416,3555589199499455160,null,0,2,0
43,20,6.342218,Normal,40.02,40.020000,160507.552502,96280.206354,1177943862270609424,null,0,2,0
44,20,6.337290,Normal,40.02,40.020000,160507.552502,96280.206354,12198378386481625862,null,0,2,0
45,20,6.637961,Normal,50.01,50.010000,192597.539103,96277.610933,12345449442691224132,null,0,2,0
46,20,6.780956,Normal,53.11,53.110000,205333.109471,96276.194185,2188834795536681794,null,0,2,0
47,20,6.487370,Normal,16.75,16.750000,115647.188199,96281.572416,16649410207267073176,null,0,2,0
48,20,6.482340,Normal,16.75,16.750000,115647.188199,96281.572416,8793309515876990706,null,0,2,0
49,20,6.392356,Normal,37.52,37.520000,154074.650160,96264.303412,10747443196753284926,null,0,2,0
50,20,6.320852,Normal,40,40.000000,160481.322608,96287.911079,17161780382475108493,null,0,2,0
51,27,6.370469,Normal,11.83,11.830000,109199.855373,96280.878367,580345274448545526,null,0,2,1
52,27,6.315115,Normal,11.83,11.830000,109199.855373,96280.878367,4369016680695374264,null,1,2,1
53,27,6.330331,Normal,11.83,11.830000,109199.855373,96280.878367,1503683972217402520,null,2,2,1
54,27,6.315223,Normal,11.83,11.830000,109199.855373,96280.878367,16020900124270932582,null,3,2,1
55,27,6.447538,Normal,46.42,46.420000,179699.525028,96281.043782,11698192295848056530,null,4,2,1
56,27,6.452265,Normal,46.42,46.420000,179699.525028,96281.043782,12052225242753350683,null,5,2,1
57,28,7.081772,Normal,46.42,46.420000,179699.525028,96281.043782,3188485419624690531,null,6,2,1
58,27,6.406688,Normal,46.42,46.420000,179699.525028,96281.043782,4961375007789910315,null,7,2,1
59,27,6.315326,Normal,11.83,11.830000,109199.855373,96280.878367,14799345860021612299,null,8,2,1
60,27,6.626975,Normal,42.31,42.310000,166880.040886,96280.877962,7419665623423552356,null,9,2,1
61,27,6.544059,Normal,42.31,42.310000,166880.040886,96280.877962,13014958457278333539,null,10,2,1
62,27,6.289914,Normal,11.82,11.820000,109185.768469,96280.880388,15880389972428592814,null,11,2,1
63,34,6.351247,Normal,11.83,11.830000,109199.855373,96280.878367,6053668341496809368,null,0,3,0
64,34,6.619136,Normal,21.1,21.100000,122049.137034,96292.296351,7923787759055623868,null,0,3,0
65,34,6.385419,Normal,46.42,46.420000,179699.525028,96281.043782,4961375007789910315,null,0,3,0
66,34,6.564908,Normal,42.31,42.310000,166880.040886,96280.877962,7419665623423552356,null,0,3,0
67,35,7.027459,Normal,46.42,46.420000,179699.525028,96281.043782,3188485419624690531,null,0,3,0
68,35,6.368875,Normal,11.83,11.830000,109199.855373,96280.878367,13790849613299973863,null,0,3,0
69,35,6.546228,Normal,16.75,16.750000,115647.188199,96281.572416,18003981693896373128,null,0,3,0
70,35,6.447467,Normal,46.42,46.420000,179699.525028,96281.043782,12052225242753350683,null,0,3,0
71,35,6.305620,Normal,11.83,11.830000,109199.855373,96280.878367,123103676672330020,null,0,3,0
72,35,6.363070,Normal,11.83,11.830000,109199.855373,96280.878367,6268573306621358337,null,0,3,0
73,35,6.667948,Normal,21.1,21.100000,122049.137034,96292.296351,5879608070732019346,null,0,3,0
74,35,6.505135,Normal,42.31,42.310000,166880.040886,96280.877962,13014958457278333539,null,0,3,0
75,35,6.424061,Normal,46.42,46.420000,179699.525028,96281.043782,11698192295848056530,null,0,3,0
76,35,6.498510,Normal,16.75,16.750000,115647.188199,96281.572416,7344799059634627703,null,0,3,0
77,35,6.139997,Normal,16.71,16.710000,115594.457688,96282.292967,7821378811172229336,null,0,3,0
78,35,6.296902,Normal,11.83,11.830000,109199.855373,96280.878367,17322707358026926398,null,0,3,0
79,35,6.350046,Normal,44.44,44.440000,173296.235191,96275.770634,9164173079364218863,null,0,3,0
80,35,5.801760,Normal,68.09,68.090000,301732.816176,96290.433501,9100367144224961924,null,0,3,0
81,35,6.521477,Normal,16.75,16.750000,115647.188199,96281.572416,11428281200100529258,null,0,3,0
82,35,6.277139,Normal,11.82,11.820000,109185.768469,96280.880388,15880389972428592814,null,0,3,0
83,35,6.700054,Normal,44.46,44.460000,173322.174465,96258.315540,3520999707511294825,null,0,3,0
84,35,6.303510,Normal,11.83,11.830000,109199.855373,96280.878367,6097014733989772171,null,0,3,0
85,35,6.496349,Normal,39.55,39.550000,154060.655151,93128.123551,10921687489164134803,null,0,3,0
86,35,6.320417,Normal,11.83,11.830000,109199.855373,96280.878367,14799345860021612299,null,0,3,0
87,41,6.312972,Normal,11.82,11.820000,109185.768469,96280.880388,7844002331465832879,null,0,3,1
88,41,6.282326,Normal,11.82,11.820000,109185.768469,96280.880388,6436439537214623428,null,1,3,1
89,41,6.282647,Normal,11.82,11.820000,109185.768469,96280.880388,16210208836097296772,null,2,3,1
90,41,6.571262,Normal,51.62,51.620000,198983.590267,96276.883009,9843854517945003988,null,3,3,1
91,41,6.409358,Normal,42.31,42.310000,166908.646908,96282.088350,2273706977332536703,null,4,3,1
92,41,6.425246,Normal,42.31,42.310000,166908.646908,96282.088350,4861947704339412437,null,5,3,1
93,41,6.396013,Normal,42.31,42.310000,166908.646908,96282.088350,13984550719535014457,null,6,3,1
94,41,6.393714,Normal,42.31,42.310000,166908.646908,96282.088350,10489955188507439803,null,7,3,1
95,41,6.359614,Normal,42.31,42.310000,166908.646908,96282.088350,18251066678330546314,null,8,3,1
96,41,6.422899,Normal,42.31,42.310000,166908.646908,96282.088350,1982184686488007376,null,9,3,1
97,41,6.398728,Normal,42.31,42.310000,166908.646908,96282.088350,1717314677433678150,null,10,3,1
98,41,6.355525,Normal,42.31,42.310000,166908.646908,96282.088350,5114836707165161955,null,11,3,1
99,41,6.406258,Normal,42.31,42.310000,166908.646908,96282.088350,2355218962223411108,null,12,3,1
100,41,6.378012,Normal,42.31,42.310000,166908.646908,96282.088350,12780596781593281339,null,13,3,1
101,41,6.375734,Normal,42.31,42.310000,166908.646908,96282.088350,12123953121887268497,null,14,3,1
102,41,6.519011,Normal,42.3,42.300000,166863.106236,96280.876176,16940520614757795317,null,15,3,1
103,41,6.517724,Normal,42.3,42.300000,166863.106236,96280.876176,9379746531850959823,null,16,3,1
104,41,6.521794,Normal,42.3,42.300000,166863.106236,96280.876176,12257227049576861381,null,17,3,1
105,41,6.553012,Normal,42.3,42.300000,166863.106236,96280.876176,14087371843866968986,null,18,3,1
106,41,6.532886,Normal,42.3,42.300000,166863.106236,96280.876176,15347159138083393701,null,19,3,1
107,41,6.513648,Normal,42.3,42.300000,166863.106236,96280.876176,16197198209582046105,null,20,3,1
108,41,6.508665,Normal,42.3,42.300000,166863.106236,96280.876176,14250655227281764160,null,21,3,1
109,41,6.534706,Normal,42.3,42.300000,166863.106236,96280.876176,14450167384659766531,null,22,3,1
110,41,6.304820,Normal,11.82,11.820000,109185.768469,96280.880388,576835831083099611,null,23,3,1
111,48,6.343297,Normal,11.82,11.820000,109185.768469,96280.880388,18064992202153011541,null,0,3,1
112,48,6.339228,Normal,11.82,11.820000,109185.768469,96280.880388,11853415936854735970,null,1,3,1
113,48,6.321583,Normal,11.82,11.820000,109185.768469,96280.880388,17388213328174880609,null,2,3,1
114,48,6.326038,Normal,11.82,11.820000,109185.768469,96280.880388,5419422972206978534,null,3,3,1
115,48,6.325488,Normal,11.82,11.820000,109185.768469,96280.880388,4086348396002631719,null,4,3,1
116,48,6.370033,Normal,11.82,11.820000,109185.768469,96280.880388,12095096047076941588,null,5,3,1
117,48,6.350452,Normal,11.82,11.820000,109185.768469,96280.880388,8202115168959052652,null,6,3,1
118,48,6.349649,Normal,11.82,11.820000,109185.768469,96280.880388,15376521294684942698,null,7,3,1
119,48,6.313699,Normal,11.82,11.820000,109185.768469,96280.880388,12646257794136366792,null,8,3,1
120,48,6.053504,Normal,48.18,48.180000,160446.484860,83135.883009,1126840288828548721,null,9,3,1
121,48,6.366665,Normal,11.82,11.820000,109185.768469,96280.880388,13705987462285200589,null,10,3,1
122,48,6.315259,Normal,11.82,11.820000,109185.768469,96280.880388,5688199799852054874,null,11,3,1
123,48,6.290180,Normal,11.82,11.820000,109185.768469,96280.880388,8219384806407029708,null,12,3,1
124,48,6.329072,Normal,11.82,11.820000,109185.768469,96280.880388,6827504913080461218,null,13,3,1
125,48,6.282196,Normal,11.82,11.820000,109185.768469,96280.880388,587897125090189473,null,14,3,1
126,48,6.262849,Normal,11.82,11.820000,109185.768469,96280.880388,5309304398762883326,null,15,3,1
127,48,6.269682,Normal,11.82,11.820000,109185.768469,96280.880388,8460654675388219610,null,16,3,1
128,48,6.295218,Normal,11.82,11.820000,109185.768469,96280.880388,2142082877084723863,null,17,3,1
129,48,6.303749,Normal,11.82,11.820000,109185.768469,96280.880388,13901968518580450748,null,18,3,1
130,51,9.969874,Normal,80.11,80.110000,365999.377597,72793.345255,267595353308556841,null,19,3,1
131,48,6.255718,Normal,11.82,11.820000,109185.768469,96280.880388,14509233378782041531,null,20,3,1
132,48,6.278132,Normal,11.82,11.820000,109185.768469,96280.880388,13260183631035991879,null,21,3,1
133,48,6.293771,Normal,11.82,11.820000,109185.768469,96280.880388,15339487627064897769,null,22,3,1
134,48,6.284954,Normal,11.82,11.820000,109185.768469,96280.880388,3279626925988529533,null,23,3,1
135,58,6.260992,Normal,11.82,11.820000,109185.768469,96280.880388,17269640028180736019,null,0,3,1
136,58,6.224000,Normal,11.82,11.820000,109185.768469,96280.880388,14734111190257208639,null,1,3,1
137,64,6.297568,Normal,11.82,11.820000,109185.768469,96280.880388,17970206106843670052,null,0,4,0
138,64,6.336528,Normal,42.31,42.310000,166908.646908,96282.088350,1717314677433678150,null,0,4,0
139,65,6.508501,Normal,42.3,42.300000,166863.106236,96280.876176,16940520614757795317,null,0,4,0
140,65,6.278002,Normal,11.82,11.820000,109185.768469,96280.880388,13853300764401773403,null,0,4,0
141,65,6.544759,Normal,42.31,42.310000,166880.040886,96280.877962,7419665623423552356,null,0,4,0
142,65,6.314431,Normal,11.82,11.820000,109185.768469,96280.880388,4681904990290875310,null,0,4,0
143,65,6.373013,Normal,42.31,42.310000,166908.646908,96282.088350,13984550719535014457,null,0,4,0
144,65,5.990636,Normal,16.72,16.720000,115610.747446,96281.572807,1493064802571044304,null,0,4,0
145,65,6.335002,Normal,44.44,44.440000,173296.235203,96275.730552,15451657398420117724,null,0,4,0
146,65,6.555299,Normal,42.3,42.300000,166863.106236,96280.876176,12257227049576861381,null,0,4,0
147,65,6.717293,Normal,44.46,44.460000,173322.174465,96258.315540,15707682896073413868,null,0,4,0
148,65,6.359177,Normal,46.42,46.420000,179699.525028,96281.043782,11670876039492582458,null,0,4,0
149,65,6.346861,Normal,42.31,42.310000,166908.646908,96282.088350,18251066678330546314,null,0,4,0
150,65,6.372176,Normal,42.31,42.310000,166908.646908,96282.088350,10489955188507439803,null,0,4,0
151,65,6.527756,Normal,51.62,51.620000,198983.590267,96276.883009,9843854517945003988,null,0,4,0
152,65,5.952082,Normal,16.72,16.720000,115610.747446,96281.572807,10208779472664881310,null,0,4,0
153,65,6.328582,Normal,42.31,42.310000,166908.646908,96282.088350,4861947704339412437,null,0,4,0
154,65,6.894521,Normal,44.44,44.440000,173285.503987,96277.643424,3804373822694071299,null,0,4,0
155,65,6.371405,Normal,42.31,42.310000,166908.646908,96282.088350,12780596781593281339,null,0,4,0
156,65,6.259685,Normal,11.82,11.820000,109185.768469,96280.880388,17910545460326891749,null,0,4,0
157,65,6.258452,Normal,11.82,11.820000,109185.768469,96280.880388,6827504913080461218,null,0,4,0
158,65,6.351796,Normal,42.31,42.310000,166908.646908,96282.088350,12123953121887268497,null,0,4,0
