EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,6.910562,Normal,18.77,18.770000,203.000000,164.892280,14921508010286178949,null,0,1,0
2,7,6.975927,Normal,19.08,19.080000,203.000000,164.266010,15078742092357019551,null,0,1,0
3,13,6.813758,Normal,18.41,18.410000,202.000000,164.807229,2077675631147850639,null,0,1,0
4,14,6.894380,Normal,18.77,18.770000,203.000000,164.892280,2225858521084382651,null,0,1,0
5,21,6.973628,Normal,20.32,20.320000,206.000000,164.142857,1590788748286841215,null,0,1,0
6,21,6.839345,Normal,19.73,19.730000,204.000000,163.750000,16721045797214981759,null,0,1,0
7,27,6.672494,Normal,17.65,17.650000,202.000000,166.346154,2519084591061496828,null,0,1,0
8,27,6.806294,Normal,15.67,15.670000,189.000000,159.377953,5834979808369545068,null,0,1,0
9,34,6.673764,Normal,19.23,19.230000,198.000000,159.921196,12615102460489023175,null,0,1,0
10,34,6.874091,Normal,15.67,15.670000,189.000000,159.377953,14402697572535995164,null,0,1,0
11,41,6.768318,Normal,17.63,17.630000,198.000000,163.088477,16957666276679199244,null,0,1,0
12,41,6.881243,Normal,18.41,18.410000,202.000000,164.807229,2077675631147850639,null,0,1,0
13,48,6.785235,Normal,18.77,18.770000,203.000000,164.892280,14921508010286178949,null,0,1,0
14,48,6.433469,Normal,19.04,19.040000,197.000000,159.482759,16284993071270028202,null,0,1,0
15,55,6.742295,Normal,13.85,13.850000,185.000000,159.377953,16062988744722165609,null,0,1,0
16,55,6.825678,Normal,15.67,15.670000,189.000000,159.377953,6114292714894095340,null,0,1,0
17,62,6.859361,Normal,19.54,19.540000,198.000000,159.319484,13929340623805489516,null,0,1,0
18,62,6.774352,Normal,15.67,15.670000,189.000000,159.377953,6114292714894095340,null,0,1,0
19,68,6.629124,Normal,19.04,19.040000,197.000000,159.482759,11852087392847418298,null,0,1,0
20,68,6.668893,Normal,17.63,17.630000,198.000000,163.088477,8269145169008378730,null,0,1,0
21,6,6.628780,Normal,16.68,16.680000,194.000000,161.638000,2468738508941484163,null,2,1,0
22,6,6.717150,Normal,26.65,26.650000,227.000000,166.500000,6739604264903625523,null,2,1,0
23,13,6.707970,Normal,16.07,16.070000,196.000000,164.500000,13440808538718255468,null,2,1,0
24,13,6.546220,Normal,16.68,16.680000,194.000000,161.638000,18427733928123907255,null,2,1,0
25,20,6.759910,Normal,16.07,16.070000,196.000000,164.500000,8844258450943695601,null,2,1,0
26,20,6.579250,Normal,12.5,12.500000,184.000000,161.000000,17069312466054506267,null,2,1,0
27,26,6.437300,Normal,17.77,17.770000,197.000000,162.000000,10162882780782340859,null,2,1,0
28,26,6.495520,Normal,14.17,14.170000,187.000000,160.500000,6487536033048113752,null,2,1,0
29,33,6.629910,Normal,17.7,17.700000,191.000000,157.190000,10158828904826572992,null,2,1,0
30,33,6.619480,Normal,12.5,12.500000,184.000000,161.000000,14992018238184683889,null,2,1,0
31,40,6.607300,Normal,12.5,12.500000,184.000000,161.000000,12055692965034596082,null,2,1,0
32,40,6.677780,Normal,18.35,18.350000,198.000000,161.667000,11356813403442082478,null,2,1,0
33,46,6.464920,Normal,12.5,12.500000,184.000000,161.000000,10958697024667439091,null,2,1,0
34,47,6.760370,Normal,1.79769e+308,,,169.222000,559958481536389638,null,2,1,0
35,53,6.559710,Normal,12.5,12.500000,184.000000,161.000000,651935206942142488,null,2,1,0
36,54,7.047340,Normal,33.47,33.470000,248.000000,165.000000,4860719873894902275,null,2,1,0
37,60,6.485600,Normal,20.1,20.100000,199.000000,159.000000,17259366289419195538,null,2,1,0
38,60,6.640440,Normal,15.66,15.660000,198.000000,167.000000,15105598345193390239,null,2,1,0
39,67,6.677430,Normal,21.36,21.360000,206.000000,162.000000,17335172011793764106,null,2,1,0
40,67,6.486300,Normal,17.6,17.600000,196.000000,161.500000,18129422272157385781,null,2,1,0
41,6,6.702770,Normal,16.33,16.330000,196.000000,164.000000,5352782099467924826,null,4,1,0
42,6,6.446380,Normal,21.74,21.740000,203.000000,158.871000,7226481153615897488,null,4,1,0
43,13,6.703190,Normal,16.33,16.330000,196.000000,164.000000,6732902926588353059,null,4,1,0
44,13,6.453910,Normal,17.66,17.660000,195.000000,160.559000,8873764755162083137,null,4,1,0
45,20,6.649090,Normal,16.22,16.220000,196.000000,164.203000,3211808319144520734,null,4,1,0
46,20,6.628320,Normal,19.3,19.300000,203.000000,163.818000,11372323413722800056,null,4,1,0
47,26,6.573690,Normal,19.54,19.540000,203.000000,163.333000,15728649694099841811,null,4,1,0
48,26,6.608860,Normal,16.22,16.220000,196.000000,164.203000,9792006631921549948,null,4,1,0
49,33,6.945170,Normal,16.79,16.790000,191.000000,158.929000,14429675042314970429,null,4,1,0
50,33,6.662070,Normal,20,20.000000,200.000000,160.000000,8493710791965142999,null,4,1,0
51,40,6.762420,Normal,16.84,16.840000,196.000000,163.000000,4357504419371988913,null,4,1,0
52,40,6.595110,Normal,21.36,21.360000,206.000000,162.000000,4583019807240603613,null,4,1,0
53,47,6.519050,Normal,16.22,16.220000,196.000000,164.203000,5128474854958065057,null,4,1,0
54,47,6.703660,Normal,17.2,17.200000,198.000000,163.934000,5604731003115792379,null,4,1,0
55,53,6.458040,Normal,17.66,17.660000,195.000000,160.559000,8873764755162083137,null,4,1,0
56,53,6.630030,Normal,16.22,16.220000,196.000000,164.203000,6996343218963582409,null,4,1,0
57,60,6.631630,Normal,16.22,16.220000,196.000000,164.203000,4074874083631323852,null,4,1,0
58,60,6.673290,Normal,17.63,17.630000,198.000000,163.088000,13453390677103628041,null,4,1,0
59,67,6.536430,Normal,13.99,13.990000,187.000000,160.834000,13403079037746694822,null,4,1,0
60,67,6.607320,Normal,16.22,16.220000,196.000000,164.203000,4167290978129912603,null,4,1,0
61,6,6.816910,Normal,16.39,16.390000,198.000000,165.540000,6316004104023389813,null,6,1,0
62,6,6.754790,Normal,15.82,15.820000,196.000000,165.000000,14266911546456085003,null,6,1,0
63,13,6.884850,Normal,16.33,16.330000,196.000000,164.000000,16273900303299269737,null,6,1,0
64,13,6.686450,Normal,15.82,15.820000,196.000000,165.000000,14446802772925002523,null,6,1,0
65,20,6.843820,Normal,18.57,18.570000,203.000000,165.297000,11143893945132966592,null,6,1,0
66,20,7.017160,Normal,12.41,12.410000,191.000000,167.295000,9567514542928944388,null,6,1,0
67,28,7.136330,Normal,14.5,14.500000,196.000000,167.577000,10938544532998526644,null,6,1,0
68,28,6.976880,Normal,12.41,12.410000,191.000000,167.295000,12329307356405898763,null,6,1,0
69,35,7.050920,Normal,12.41,12.410000,191.000000,167.295000,9515714106654060302,null,6,1,0
70,35,6.946830,Normal,12.54,12.540000,191.000000,167.044000,3963422296199193844,null,6,1,0
71,42,7.001330,Normal,21.18,21.180000,214.000000,168.667000,9517920613558687448,null,6,1,0
72,42,7.038420,Normal,12.41,12.410000,191.000000,167.295000,17726642304581475093,null,6,1,0
73,49,6.907030,Normal,13.48,13.480000,190.000000,164.385000,17081738281911391006,null,6,1,0
74,49,6.923250,Normal,12.41,12.410000,191.000000,167.295000,18085193423485095736,null,6,1,0
75,55,6.603930,Normal,33.99,33.990000,253.000000,167.000000,17019895543732882442,null,6,1,0
76,56,7.019320,Normal,12.41,12.410000,191.000000,167.295000,16795472536670764675,null,6,1,0
77,62,6.646930,Normal,15.82,15.820000,196.000000,165.000000,12558874169727769007,null,6,1,0
78,63,6.883770,Normal,13.15,13.150000,192.000000,166.750000,5574960988206233998,null,6,1,0
79,70,6.949980,Normal,12.41,12.410000,191.000000,167.295000,11937254869179212231,null,6,1,0
80,70,6.984050,Normal,11.87,11.870000,191.000000,168.333000,11151252415726285546,null,6,1,0
