EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,7.366120,Normal,23.34,23.340000,-33.200000,-40.950000,14921508010286178949,null,0,1,0
2,7,7.337491,Normal,23.34,23.340000,-33.200000,-40.950000,4206954813903794619,null,0,1,0
3,7,7.360046,Normal,23.34,23.340000,-33.200000,-40.950000,15099494242397310251,null,0,1,0
4,7,7.357905,Normal,23.34,23.340000,-33.200000,-40.950000,4004613399619045535,null,0,1,0
5,15,7.357078,Normal,23.34,23.340000,-33.200000,-40.950000,10346973009034893901,null,0,1,0
6,15,7.358321,Normal,23.34,23.340000,-33.200000,-40.950000,10926055034921966546,null,0,1,0
7,15,7.327021,Normal,23.34,23.340000,-33.200000,-40.950000,3895283216737288575,null,0,1,0
8,15,7.359568,Normal,23.34,23.340000,-33.200000,-40.950000,5398713608842390699,null,0,1,0
9,22,7.303462,Normal,23.34,23.340000,-33.200000,-40.950000,5834950261831871145,null,0,1,0
10,22,7.333846,Normal,23.34,23.340000,-33.200000,-40.950000,2077675631147850639,null,0,1,0
11,22,7.325963,Normal,23.34,23.340000,-33.200000,-40.950000,281880667954374288,null,0,1,0
12,22,7.296194,Normal,23.34,23.340000,-33.200000,-40.950000,5988662020493846908,null,0,1,0
13,30,7.266055,Normal,23.34,23.340000,-33.200000,-40.950000,2225858521084382651,null,0,1,0
14,30,7.338641,Normal,23.34,23.340000,-33.200000,-40.950000,6762843893550650360,null,0,1,0
15,30,7.302855,Normal,23.34,23.340000,-33.200000,-40.950000,15495703117619861868,null,0,1,0
16,30,7.306546,Normal,23.34,23.340000,-33.200000,-40.950000,5643427149002281568,null,0,1,0
17,38,7.293159,Normal,23.34,23.340000,-33.200000,-40.950000,10475899001479897097,null,0,1,0
18,38,7.271715,Normal,23.34,23.340000,-33.200000,-40.950000,12911295086759950527,null,0,1,0
19,38,6.693751,Normal,81360.5,81360.540000,-33.200000,-27044.900000,12351453347240979420,null,0,1,0
20,38,7.283206,Normal,23.34,23.340000,-33.200000,-40.950000,14770251354950928531,null,0,1,0
21,7,7.369920,Normal,23.34,23.340000,-33.200000,-40.950000,4646249020595888442,null,4,1,0
22,7,7.328780,Normal,23.34,23.340000,-33.200000,-40.950000,18160111843183219580,null,4,1,0
23,7,7.352210,Normal,23.34,23.340000,-33.200000,-40.950000,16117868819055065840,null,4,1,0
24,7,7.359030,Normal,23.34,23.340000,-33.200000,-40.950000,2368332958659698706,null,4,1,0
25,15,7.378430,Normal,23.34,23.340000,-33.200000,-40.950000,14880297211544412123,null,4,1,0
26,15,7.331070,Normal,23.34,23.340000,-33.200000,-40.950000,9014085691120480209,null,4,1,0
27,15,7.312260,Normal,23.34,23.340000,-33.200000,-40.950000,5683004477497884017,null,4,1,0
28,15,7.340320,Normal,23.34,23.340000,-33.200000,-40.950000,17475535448354688905,null,4,1,0
29,22,7.301510,Normal,23.34,23.340000,-33.200000,-40.950000,10119374365953529908,null,4,1,0
30,23,7.313580,Normal,23.34,23.340000,-33.200000,-40.950000,4598238589271301244,null,4,1,0
31,23,7.289700,Normal,23.34,23.340000,-33.200000,-40.950000,929287535712065411,null,4,1,0
32,23,7.295870,Normal,23.34,23.340000,-33.200000,-40.950000,1053132003204570225,null,4,1,0
33,30,7.304710,Normal,23.34,23.340000,-33.200000,-40.950000,17659067838198581863,null,4,1,0
34,30,7.293100,Normal,23.34,23.340000,-33.200000,-40.950000,16989062589820262291,null,4,1,0
35,30,7.238550,Normal,23.34,23.340000,-33.200000,-40.950000,1891546483236032261,null,4,1,0
36,30,7.266660,Normal,23.34,23.340000,-33.200000,-40.950000,10707294967846798068,null,4,1,0
37,38,7.272370,Normal,23.34,23.340000,-33.200000,-40.950000,2018204586815896198,null,4,1,0
38,38,7.264860,Normal,23.34,23.340000,-33.200000,-40.950000,3332143007861025217,null,4,1,0
39,38,7.235640,Normal,23.34,23.340000,-33.200000,-40.950000,8912950089924505633,null,4,1,0
40,38,6.719640,Normal,81360.5,81360.500000,-33.200000,-27044.900000,18230266050012916389,null,4,1,0
41,7,7.346840,Normal,23.34,23.340000,-33.200000,-40.950000,23473476996067268,null,8,1,0
42,7,7.356250,Normal,23.34,23.340000,-33.200000,-40.950000,12460154714890037008,null,8,1,0
43,7,7.370390,Normal,23.34,23.340000,-33.200000,-40.950000,5929596874697858237,null,8,1,0
44,7,7.385400,Normal,23.34,23.340000,-33.200000,-40.950000,6860783115968154128,null,8,1,0
45,15,7.341070,Normal,23.34,23.340000,-33.200000,-40.950000,9958559111313797984,null,8,1,0
46,15,7.376500,Normal,23.34,23.340000,-33.200000,-40.950000,11645659449801069508,null,8,1,0
47,15,7.468540,Normal,18.01,18.010000,-34.700000,-40.950000,15234677025390417423,null,8,1,0
48,15,7.344990,Normal,23.34,23.340000,-33.200000,-40.950000,7574613732580637770,null,8,1,0
49,23,7.405490,Normal,18.01,18.010000,-34.700000,-40.950000,5758379033563820126,null,8,1,0
50,23,7.404560,Normal,18.01,18.010000,-34.700000,-40.950000,2796476102169156473,null,8,1,0
51,23,7.357030,Normal,23.34,23.340000,-33.200000,-40.950000,13405364831226987930,null,8,1,0
52,23,7.436070,Normal,18.01,18.010000,-34.700000,-40.950000,2286833990028415945,null,8,1,0
53,30,6.718130,Normal,81360.5,81360.500000,-33.200000,-27044.900000,6135210717710816255,null,8,1,0
54,30,7.384530,Normal,18.01,18.010000,-34.700000,-40.950000,8652980969110923841,null,8,1,0
55,30,7.403070,Normal,18.01,18.010000,-34.700000,-40.950000,11058206684758286208,null,8,1,0
56,30,7.395820,Normal,18.01,18.010000,-34.700000,-40.950000,12927189548912450210,null,8,1,0
57,38,7.239140,Normal,23.34,23.340000,-33.200000,-40.950000,7574613732580637770,null,8,1,0
58,38,7.353070,Normal,18.01,18.010000,-34.700000,-40.950000,17513333905300587112,null,8,1,0
59,38,7.350480,Normal,18.01,18.010000,-34.700000,-40.950000,11860796361710067371,null,8,1,0
60,38,7.331690,Normal,18.01,18.010000,-34.700000,-40.950000,17521733596179164052,null,8,1,0
61,7,7.418510,Normal,23.34,23.340000,-33.200000,-40.950000,5856144687181584429,null,12,1,0
62,7,7.349110,Normal,23.34,23.340000,-33.200000,-40.950000,14266911546456085003,null,12,1,0
63,7,7.372650,Normal,23.34,23.340000,-33.200000,-40.950000,6930852940733459660,null,12,1,0
64,7,7.359480,Normal,23.34,23.340000,-33.200000,-40.950000,1343642194203969571,null,12,1,0
65,15,7.367800,Normal,23.34,23.340000,-33.200000,-40.950000,3060130845473348533,null,12,1,0
66,15,7.298940,Normal,23.34,23.340000,-33.200000,-40.950000,1678019093414840714,null,12,1,0
67,15,7.353730,Normal,23.34,23.340000,-33.200000,-40.950000,4170436683505211923,null,12,1,0
68,15,7.285510,Normal,23.34,23.340000,-33.200000,-40.950000,14095007840999277288,null,12,1,0
69,23,7.344930,Normal,23.34,23.340000,-33.200000,-40.950000,13768004223062443173,null,12,1,0
70,23,7.267310,Normal,23.34,23.340000,-33.200000,-40.950000,7818721867585981434,null,12,1,0
71,23,7.271890,Normal,23.34,23.340000,-33.200000,-40.950000,3717768169917541043,null,12,1,0
72,23,7.291790,Normal,23.34,23.340000,-33.200000,-40.950000,2865924286370777657,null,12,1,0
73,30,7.267340,Normal,23.34,23.340000,-33.200000,-40.950000,5311166544371723485,null,12,1,0
74,30,7.216670,Normal,23.34,23.340000,-33.200000,-40.950000,14785420528417267844,null,12,1,0
75,30,7.206740,Normal,23.34,23.340000,-33.200000,-40.950000,10256884751301291034,null,12,1,0
76,30,7.225600,Normal,23.34,23.340000,-33.200000,-40.950000,16781967028320431119,null,12,1,0
77,38,7.258360,Normal,23.34,23.340000,-33.200000,-40.950000,5848919502983164587,null,12,1,0
78,38,7.295510,Normal,18.01,18.010000,-34.700000,-40.950000,2332790269414254561,null,12,1,0
79,38,7.215310,Normal,23.34,23.340000,-33.200000,-40.950000,14282851811810796156,null,12,1,0
80,38,7.221940,Normal,23.34,23.340000,-33.200000,-40.950000,10517720134476812844,null,12,1,0
81,7,7.418160,Normal,23.34,23.340000,-33.200000,-40.950000,14534191339655530764,null,16,1,0
82,7,7.355910,Normal,23.34,23.340000,-33.200000,-40.950000,10804042598596236119,null,16,1,0
83,7,6.785830,Normal,81360.5,81360.500000,-33.200000,-27044.900000,7302604800366152483,null,16,1,0
84,7,7.361610,Normal,23.34,23.340000,-33.200000,-40.950000,5254217986735103746,null,16,1,0
85,15,7.339800,Normal,23.34,23.340000,-33.200000,-40.950000,11964312337037833405,null,16,1,0
86,15,7.353480,Normal,23.34,23.340000,-33.200000,-40.950000,18345684797354949747,null,16,1,0
87,15,7.293630,Normal,23.34,23.340000,-33.200000,-40.950000,11265899105703167022,null,16,1,0
88,15,7.302170,Normal,23.34,23.340000,-33.200000,-40.950000,5218740124107286745,null,16,1,0
89,22,7.280440,Normal,23.34,23.340000,-33.200000,-40.950000,4652313475553799205,null,16,1,0
90,22,7.245700,Normal,23.34,23.340000,-33.200000,-40.950000,7883743584445996198,null,16,1,0
91,22,7.256480,Normal,23.34,23.340000,-33.200000,-40.950000,13093666789817479785,null,16,1,0
92,23,7.294020,Normal,23.34,23.340000,-33.200000,-40.950000,16109486759782759287,null,16,1,0
93,30,7.257880,Normal,23.34,23.340000,-33.200000,-40.950000,535977947124171712,null,16,1,0
94,30,7.235310,Normal,23.34,23.340000,-33.200000,-40.950000,6305545375320909795,null,16,1,0
95,30,7.230380,Normal,23.34,23.340000,-33.200000,-40.950000,8275925869908894449,null,16,1,0
96,30,7.234620,Normal,23.34,23.340000,-33.200000,-40.950000,10781831057712938313,null,16,1,0
