EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.754643,Normal,18.77,18.770000,203.000000,164.892280,14921508010286178949,null,0,1,0
2,20,9.790620,Normal,17.4,17.400000,202.000000,166.857143,12911295086759950527,null,0,1,0
3,31,10.450770,Normal,17.4,17.400000,202.000000,166.857143,7654593077812284781,null,0,1,0
4,41,10.426516,Normal,17.37,17.370000,204.000000,168.565217,4167939644347090976,null,0,1,0
5,51,10.277846,Normal,17.37,17.370000,204.000000,168.565217,8250207380395334811,null,0,1,0
6,63,11.222481,Normal,18.66,18.660000,203.000000,165.129252,17595320696554891968,null,0,1,0
7,73,10.143824,Normal,18.47,18.470000,203.000000,165.500000,3068629658118357721,null,0,1,0
8,83,10.194752,Normal,17.37,17.370000,204.000000,168.565217,936961707271794681,null,0,1,0
9,93,10.084235,Normal,16.3,16.300000,200.000000,167.404255,3764372326552124325,null,0,1,0
10,103,10.085735,Normal,16.3,16.300000,200.000000,167.404255,1530253801217524663,null,0,1,0
11,114,10.961623,Normal,17.59,17.590000,199.000000,164.000000,9349067947178105856,null,0,1,0
12,125,11.162538,Normal,16.3,16.300000,200.000000,167.404255,18347421248858300954,null,0,1,0
13,135,9.186740,Normal,17.77,17.770000,204.000000,167.750000,10915622121880624348,null,0,1,0
14,146,11.392396,Normal,19.61,19.610000,204.000000,164.000000,6249233741574646478,null,0,1,0
15,157,11.210539,Normal,9.39,9.390000,181.000000,164.000000,6487625767820848816,null,0,1,0
16,169,11.826552,Normal,17.28,17.280000,199.000000,164.622222,5717793087618530239,null,0,1,0
17,179,10.034448,Normal,1.79769e+308,,,169.310616,7475263268536191302,null,0,1,0
18,191,12.288554,Normal,17.43,17.430000,199.000000,164.308966,14797227618483906580,null,0,1,0
19,204,12.325037,Normal,8.84,8.840000,181.000000,165.000000,10885393343679483619,null,0,1,0
20,215,11.376586,Normal,9.39,9.390000,181.000000,164.000000,5737150839099210753,null,0,1,0
21,13,13.164900,Normal,19.22,19.220000,199.000000,160.750000,3602984914613417735,null,1,1,0
22,24,11.457500,Normal,23.18,23.180000,205.000000,157.483000,15841384995630316506,null,1,1,0
23,37,12.565400,Normal,19.22,19.220000,199.000000,160.750000,8458285367716274865,null,1,1,0
24,48,10.788900,Normal,20.2,20.200000,203.000000,162.000000,184210828942820344,null,1,1,0
25,59,11.351800,Normal,19.4,19.400000,201.000000,162.000000,5052452996660769105,null,1,1,0
26,71,11.768300,Normal,19.22,19.220000,199.000000,160.750000,4037327426761599479,null,1,1,0
27,82,11.477600,Normal,14.95,14.950000,189.000000,160.750000,1699960617153900373,null,1,1,0
28,94,11.695200,Normal,22.04,22.040000,202.000000,157.483000,1966089827653268011,null,1,1,0
29,107,12.649800,Normal,10.34,10.340000,179.000000,160.483000,7630074232041561938,null,1,1,0
30,119,12.412100,Normal,10.34,10.340000,179.000000,160.483000,14183752619754472350,null,1,1,0
31,129,10.320400,Normal,14.36,14.360000,195.000000,167.000000,5013404161476085084,null,1,1,0
