EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,12,12.069355,Normal,10.53,10.530000,29320.000000,26234.040818,14921508010286178949,null,0,1,0
2,12,6.947250,Normal,12.89,12.890000,29933.000000,26074.716822,15078742092357019551,null,0,1,0
3,12,7.336498,Normal,12.74,12.740000,29901.000000,26092.213986,14186606303104553729,null,0,1,0
4,14,14.230943,Normal,8.54,8.540000,28704.000000,26251.796894,10745581573070644331,null,0,1,0
5,28,13.813316,Normal,8.54,8.540000,28704.000000,26251.796894,2906767266102797402,null,0,1,0
6,28,7.015414,Normal,11.77,11.770000,29701.000000,26203.918470,17562341481218212263,null,0,1,0
7,28,5.264848,Normal,19.21,19.210000,30520.000000,24656.150685,10626104817472772178,null,0,1,0
8,29,14.847467,Normal,8.54,8.540000,28704.000000,26251.796894,17076499851937136191,null,0,1,0
9,43,14.752453,Normal,8.54,8.540000,28704.000000,26251.796894,15575655265639086322,null,0,1,0
10,43,7.032837,Normal,8.54,8.540000,28704.000000,26251.796894,1917199289609701305,null,0,1,0
11,43,7.057166,Normal,8.54,8.540000,28704.000000,26251.796894,1910595930463297348,null,0,1,0
12,44,14.980499,Normal,9.06,9.060000,28861.000000,26247.323693,9342255996940986301,null,0,1,0
13,57,13.152944,Normal,8.54,8.540000,28704.000000,26251.796894,10574902384911419325,null,0,1,0
14,57,6.874701,Normal,14.48,14.480000,30304.000000,25916.203984,7710825138919359121,null,0,1,0
15,57,7.029951,Normal,8.54,8.540000,28704.000000,26251.796894,7848772416306868312,null,0,1,0
16,57,13.260306,Normal,11.42,11.420000,29320.000000,25972.353849,2652165750300210231,null,0,1,0
17,70,12.704188,Normal,11.97,11.970000,29792.000000,26226.991819,8783567728651338454,null,0,1,0
18,70,7.030380,Normal,8.54,8.540000,28704.000000,26251.796894,12825472267705273787,null,0,1,0
19,70,6.420640,Normal,15.53,15.530000,29513.000000,24929.056739,16873368154040503112,null,0,1,0
20,71,14.418762,Normal,8.54,8.540000,28704.000000,26251.796894,8953020351145199479,null,0,1,0
21,86,14.100407,Normal,8.54,8.540000,28704.000000,26251.796894,18155945325586143516,null,0,1,1
22,78,7.003483,Normal,8.54,8.540000,28704.000000,26251.796894,3946479950596314902,null,1,1,1
23,78,7.057387,Normal,8.54,8.540000,28704.000000,26251.796894,2053888014262994725,null,2,1,1
24,86,14.988797,Normal,8.54,8.540000,28704.000000,26251.796894,15152089826132441890,null,3,1,1
25,99,12.275688,Normal,9.98,9.980000,29079.000000,26178.322905,4115085549684763447,null,0,1,1
26,94,7.180184,Normal,9.98,9.980000,29079.000000,26178.322905,8279029135489318855,null,1,1,1
27,93,7.059285,Normal,8.54,8.540000,28704.000000,26251.796894,2526622540385515176,null,2,1,1
28,101,14.343994,Normal,8.54,8.540000,28704.000000,26251.796894,18176667312831853532,null,3,1,1
29,114,13.087816,Normal,13.48,13.480000,30242.000000,26166.883364,6535191435203732497,null,0,1,1
