EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,12,12.633586,Normal,28.04,28.040000,28486.750000,20498.742004,14921508010286178949,null,0,1,0
2,25,12.676205,Normal,25.31,25.310000,27573.420000,20594.761790,12911295086759950527,null,0,1,0
3,37,12.342601,Normal,29.38,29.380000,28800.100000,20339.499716,4377604304300178125,null,0,1,0
4,50,13.214305,Normal,31.51,31.510000,25394.770000,17391.995789,4167939644347090976,null,0,1,0
5,63,12.466785,Normal,30.32,30.320000,28777.900000,20051.493164,14770251354950928531,null,0,1,0
6,76,12.954417,Normal,25.31,25.310000,27573.420000,20594.761790,9140009515971322359,null,0,1,0
7,89,12.565525,Normal,25.31,25.310000,27573.420000,20594.761790,8375225105777485316,null,0,1,0
8,101,12.957719,Normal,19.91,19.910000,25688.310000,20573.917866,14435525882683381056,null,0,1,0
9,114,12.152980,Normal,28.46,28.460000,28431.500000,20339.510217,7451171984040774848,null,0,1,0
10,126,12.703037,Normal,25.31,25.310000,27573.420000,20594.761790,2519084591061496828,null,0,1,0
11,139,12.906117,Normal,19.91,19.910000,25688.310000,20573.917866,4970040203881432131,null,0,1,0
12,152,12.383220,Normal,22.89,22.890000,26415.450000,20369.999412,16957666276679199244,null,0,1,0
13,165,13.188974,Normal,32.4,32.400000,25574.500000,17289.321434,8750248597682746466,null,0,1,0
14,178,13.010261,Normal,32.4,32.400000,25574.500000,17289.321434,9063507094656037002,null,0,1,0
15,190,12.482834,Normal,19.91,19.910000,25688.310000,20573.917866,4945864269968080218,null,0,1,0
16,203,12.705837,Normal,19.91,19.910000,25688.310000,20573.917866,11022796690696568553,null,0,1,0
17,215,12.299720,Normal,22.29,22.290000,25860.790000,20097.156646,7467299067298611646,null,0,1,0
18,228,12.344801,Normal,28.46,28.460000,28431.500000,20339.510217,5795182131189996655,null,0,1,0
19,240,12.541684,Normal,30.07,30.070000,29073.750000,20331.489513,2703195584121430106,null,0,1,0
20,253,12.730200,Normal,20.84,20.840000,26024.580000,20600.065891,6863555193231150367,null,0,1,0
21,6,6.070850,Normal,35.86,35.860000,25051.500000,16068.300000,7028777073267807816,null,1,1,0
22,12,6.036690,Normal,30.9,30.900000,25674.800000,17741.500000,15291860037756058713,null,1,1,0
23,18,6.032120,Normal,30.9,30.900000,25674.800000,17741.500000,710130887390610999,null,1,1,0
24,24,6.028850,Normal,30.9,30.900000,25674.800000,17741.500000,7164096739401307813,null,1,1,0
25,29,5.636090,Normal,36.48,36.480000,25248.400000,16038.600000,9901293630712461758,null,1,1,0
26,35,5.978400,Normal,31.26,31.260000,25674.800000,17649.900000,15586800425413103948,null,1,1,0
27,42,6.147630,Normal,32.26,32.260000,25732.700000,17432.600000,2930400822408509859,null,1,1,0
28,47,5.739180,Normal,23.06,23.060000,26009.800000,20012.500000,6335999120953598389,null,1,1,0
