EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.669823,Normal,9.45,9.450000,25670587.124000,23243875.656801,14921508010286178949,null,0,1,0
2,5,5.668061,Normal,8.63,8.630000,25531851.770000,23329655.949629,15078742092357019551,null,0,1,0
3,5,5.421993,Normal,9.4,9.400000,25561828.596000,23158289.733023,14186606303104553729,null,0,1,0
4,5,5.215374,Normal,9.51,9.510000,25670587.124000,23229999.720792,10745581573070644331,null,0,1,0
5,5,5.387749,Normal,9.74,9.740000,25646836.120000,23149437.918970,5539676678377699199,null,0,1,0
6,5,5.713147,Normal,9.38,9.380000,25578063.540000,23179860.575617,14483962779212745707,null,0,1,0
7,5,5.281865,Normal,9.81,9.810000,25591644.080000,23081095.342664,10474403730415457459,null,0,1,0
8,5,4.867306,Normal,10.21,10.210000,26188764.420000,23515787.617919,8094515506677704906,null,0,1,0
9,11,5.466355,Normal,9.39,9.390000,25561828.596000,23161007.029297,4467895547482661688,null,0,1,0
10,11,5.622966,Normal,8.63,8.630000,25531851.770000,23329655.949629,16317932113098350190,null,0,1,0
11,11,5.629047,Normal,8.63,8.630000,25531851.770000,23329655.949629,5633521304345107083,null,0,1,0
12,11,5.258608,Normal,9.37,9.370000,25541074.446667,23148397.817927,4575284166577658815,null,0,1,0
13,11,5.636790,Normal,8.63,8.630000,25531851.770000,23329655.949629,8145066853889212868,null,0,1,0
14,11,5.621616,Normal,8.63,8.630000,25531851.770000,23329655.949629,15035265711097282093,null,0,1,0
15,11,5.573925,Normal,9.98,9.980000,25670587.124000,23108667.942204,11206483928889260951,null,0,1,0
16,11,5.310165,Normal,10.04,10.040000,25637463.140000,23064536.443494,7744987900088165304,null,0,1,0
17,17,5.634401,Normal,8.63,8.630000,25531851.770000,23329655.949629,9667091634556835150,null,0,1,0
18,17,5.219859,Normal,9.2,9.200000,25571652.320000,23219895.456925,5218779411795437552,null,0,1,0
19,17,5.313849,Normal,10.04,10.040000,25637463.140000,23064536.443494,325191926329491533,null,0,1,0
20,17,5.351850,Normal,9.12,9.120000,25646836.120000,23308675.028603,12625942919515177204,null,0,1,0
21,17,5.627510,Normal,8.63,8.630000,25531851.770000,23329655.949629,16414793535593468954,null,0,1,0
22,17,5.262026,Normal,9.22,9.220000,25670587.124000,23302914.357174,16552316557583411726,null,0,1,0
23,17,5.558027,Normal,9.98,9.980000,25670587.124000,23108667.942204,11064134422968759414,null,0,1,0
24,17,5.612753,Normal,8.63,8.630000,25531851.770000,23329655.949629,945005397841447448,null,0,1,0
25,22,5.636578,Normal,9.2,9.200000,25374163.160000,23040266.613686,1610903859865580978,null,0,1,1
26,22,5.633986,Normal,8.63,8.630000,25531851.770000,23329655.949629,8148521078553238333,null,1,1,1
27,22,5.661299,Normal,8.63,8.630000,25531851.770000,23329655.949629,12478407441958192700,null,2,1,1
28,22,5.333566,Normal,9.28,9.280000,25670587.124000,23287999.004380,13270367994909650544,null,3,1,1
