EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,6.417742,Normal,30.12,30.120000,242.000000,169.112976,14921508010286178949,null,0,1,0
2,13,6.566765,Normal,29.85,29.850000,241.000000,169.060774,12911295086759950527,null,0,1,0
3,19,6.577761,Normal,29.85,29.850000,241.000000,169.060774,7654593077812284781,null,0,1,0
4,26,6.835604,Normal,59.6,59.600000,270.000000,109.086941,4167939644347090976,null,0,1,0
5,33,6.411072,Normal,32.25,32.250000,243.000000,164.641892,14770251354950928531,null,0,1,0
6,39,6.244745,Normal,28.77,28.770000,247.000000,175.945791,3895283216737288575,null,0,1,0
7,45,6.338581,Normal,28.77,28.770000,247.000000,175.945791,10706609991080494702,null,0,1,0
8,51,6.016477,Normal,31.2,31.200000,252.000000,173.370115,15743638518301921207,null,0,1,0
9,57,6.196364,Normal,28.77,28.770000,247.000000,175.945791,7469821579306457535,null,0,1,0
10,64,6.255111,Normal,28.77,28.770000,247.000000,175.945791,469510370491789691,null,0,1,0
11,70,6.494650,Normal,10.28,10.280000,247.000000,221.597033,7713530131881664580,null,0,1,0
12,77,6.465372,Normal,10.28,10.280000,247.000000,221.597033,7072133593027070446,null,0,1,0
13,84,6.747942,Normal,8.5,8.500000,243.000000,222.351225,5672817812757806089,null,0,1,0
14,90,6.708000,Normal,8.5,8.500000,243.000000,222.351225,5085197210910455908,null,0,1,0
15,97,6.295661,Normal,20.01,20.010000,280.000000,223.967639,6782767800010290850,null,0,1,0
16,103,6.464212,Normal,13.77,13.770000,240.000000,206.955362,11881378668426770804,null,0,1,0
17,110,6.458218,Normal,13.77,13.770000,240.000000,206.955362,9238370331218206437,null,0,1,0
18,116,6.094933,Normal,14.37,14.370000,249.000000,213.225843,16431719666456466904,null,0,1,0
19,122,6.661431,Normal,8.5,8.500000,243.000000,222.351225,8426768388666338923,null,0,1,0
20,129,6.158758,Normal,12.74,12.740000,244.000000,212.910052,5612135488525219871,null,0,1,0
21,6,6.459280,Normal,71.34,71.340000,247.000000,70.793200,3602984914613417735,null,1,1,0
22,12,6.372280,Normal,71.34,71.340000,247.000000,70.793200,15841384995630316506,null,1,1,0
23,19,6.364260,Normal,71.34,71.340000,247.000000,70.793200,8458285367716274865,null,1,1,0
24,25,6.188470,Normal,64.66,64.660000,246.000000,86.935700,184210828942820344,null,1,1,0
25,31,6.231580,Normal,64.66,64.660000,246.000000,86.935700,1193384456855623220,null,1,1,0
26,38,6.201170,Normal,64.66,64.660000,246.000000,86.935700,17769951221505212976,null,1,1,0
27,44,6.244160,Normal,64.66,64.660000,246.000000,86.935700,17917433391964705984,null,1,1,0
28,50,6.204430,Normal,64.66,64.660000,246.000000,86.935700,14108411337404534199,null,1,1,0
29,56,6.159010,Normal,64.66,64.660000,246.000000,86.935700,12034892002305834064,null,1,1,0
30,63,6.478800,Normal,88.77,88.770000,273.000000,30.646600,9779325016035687489,null,1,1,0
31,69,6.139050,Normal,64.66,64.660000,246.000000,86.935700,14442132567310563462,null,1,1,0
32,75,6.110170,Normal,64.66,64.660000,246.000000,86.935700,6469108337562779180,null,1,1,0
33,81,6.116370,Normal,64.66,64.660000,246.000000,86.935700,1492921629985202637,null,1,1,0
34,87,6.095290,Normal,64.13,64.130000,245.000000,87.869300,12877495774801755408,null,1,1,0
35,94,6.113550,Normal,64.13,64.130000,245.000000,87.869300,6152362360550395144,null,1,1,0
36,100,6.161970,Normal,59.84,59.840000,252.000000,101.208000,1931689141632619260,null,1,1,0
37,106,6.145500,Normal,60,60.000000,253.000000,101.208000,4338340781813543101,null,1,1,0
38,112,6.178240,Normal,59.84,59.840000,252.000000,101.208000,4553567656927630787,null,1,1,0
39,119,6.541470,Normal,61.2,61.200000,245.000000,95.057400,13565465269051191165,null,1,1,0
40,125,6.028110,Normal,59.84,59.840000,252.000000,101.208000,14143216371309827631,null,1,1,0
41,6,6.359170,Normal,8.02,8.020000,235.000000,216.156000,9462909913056450022,null,2,1,0
42,12,6.272700,Normal,7.25,7.250000,241.000000,223.520000,12213787952079433833,null,2,1,0
43,18,6.130620,Normal,13.22,13.220000,241.000000,209.138000,7686395717807067923,null,2,1,0
44,25,6.664720,Normal,57.27,57.270000,246.000000,105.116000,10800192694907887697,null,2,1,0
45,31,6.084010,Normal,7.26,7.260000,243.000000,225.355000,9216539367423306781,null,2,1,0
46,38,6.299900,Normal,7.25,7.250000,241.000000,223.520000,17021715963048833833,null,2,1,0
47,44,6.373580,Normal,7.25,7.250000,241.000000,223.520000,4660731879957408059,null,2,1,0
48,50,5.974790,Normal,14.69,14.690000,246.000000,209.852000,10474405221477440299,null,2,1,0
49,56,6.193920,Normal,12.84,12.840000,248.000000,216.155000,16842478408647349494,null,2,1,0
50,62,6.297980,Normal,7.25,7.250000,241.000000,223.520000,10642304926550278915,null,2,1,0
51,69,6.229520,Normal,7.25,7.250000,241.000000,223.520000,2119888301622323256,null,2,1,0
52,75,6.215200,Normal,7.25,7.250000,241.000000,223.520000,16587805100440886814,null,2,1,0
53,81,6.220320,Normal,7.25,7.250000,241.000000,223.520000,14469357568719925964,null,2,1,0
54,87,6.216050,Normal,7.25,7.250000,241.000000,223.520000,16913669343689022494,null,2,1,0
55,94,6.277130,Normal,20.68,20.680000,240.000000,190.367000,18186853963300178910,null,2,1,0
56,100,6.212870,Normal,7.25,7.250000,241.000000,223.520000,11910978470434681151,null,2,1,0
57,106,6.213390,Normal,7.25,7.250000,241.000000,223.520000,16402295949531051493,null,2,1,0
