EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,6.554239,Normal,27.6,27.600000,20560.000000,14884.709021,14921508010286178949,null,0,1,0
2,13,6.597363,Normal,26.65,26.650000,20245.000000,14850.097051,12911295086759950527,null,0,1,0
3,19,6.646392,Normal,26.65,26.650000,20245.000000,14850.097051,7654593077812284781,null,0,1,0
4,26,6.721807,Normal,26.93,26.930000,20609.000000,15059.946492,4167939644347090976,null,0,1,0
5,33,6.778207,Normal,26.55,26.550000,20407.000000,14988.867357,14770251354950928531,null,0,1,0
6,40,6.838666,Normal,26.55,26.550000,20407.000000,14988.867357,6345961133544176677,null,0,1,0
7,47,6.818794,Normal,25.17,25.170000,19998.000000,14964.638120,16450644818478286277,null,0,1,0
8,54,6.839618,Normal,25.17,25.170000,19998.000000,14964.638120,2369337967810113092,null,0,1,0
9,60,6.810406,Normal,25.17,25.170000,19998.000000,14964.638120,8684362743474760867,null,0,1,0
10,67,6.845668,Normal,25.17,25.170000,19998.000000,14964.638120,5464919222774142173,null,0,1,0
11,74,6.997856,Normal,30.64,30.640000,21228.000000,14723.089729,8683817217222751575,null,0,1,0
12,81,6.800213,Normal,34.74,34.740000,21170.000000,13815.171623,5795182131189996655,null,0,1,0
13,88,6.790362,Normal,25.17,25.170000,19998.000000,14964.638120,7573347378869089546,null,0,1,0
14,94,6.470995,Normal,25.43,25.430000,20139.000000,15018.287570,3895283216737288575,null,0,1,0
15,101,6.919512,Normal,26.81,26.810000,20407.000000,14936.251241,7040482131495544149,null,0,1,0
16,108,6.551062,Normal,25.23,25.230000,19879.000000,14864.390676,5988662020493846908,null,0,1,0
17,114,6.312289,Normal,24.18,24.180000,19864.000000,15061.434992,11955410339736752056,null,0,1,0
18,121,7.050398,Normal,26.4,26.400000,20396.000000,15010.592191,7243998897530177175,null,0,1,0
19,128,6.643834,Normal,27.96,27.960000,20693.000000,14907.431843,1697858913148417825,null,0,1,0
20,134,6.289854,Normal,29.92,29.920000,20534.000000,14390.953893,15495703117619861868,null,0,1,0
21,6,6.653810,Normal,34.69,34.690000,20712.000000,13527.100000,3602984914613417735,null,1,1,0
22,13,6.641610,Normal,38.43,38.430000,20040.000000,12338.000000,15841384995630316506,null,1,1,0
23,20,6.731670,Normal,34.69,34.690000,20712.000000,13527.100000,8458285367716274865,null,1,1,0
24,27,6.943290,Normal,35.73,35.730000,20646.000000,13269.000000,184210828942820344,null,1,1,0
25,33,6.792590,Normal,34.83,34.830000,20944.000000,13649.400000,5052452996660769105,null,1,1,0
26,40,6.826760,Normal,34.69,34.690000,20712.000000,13527.100000,4037327426761599479,null,1,1,0
27,47,6.799830,Normal,35.22,35.220000,20712.000000,13417.300000,1699960617153900373,null,1,1,0
28,54,6.821900,Normal,34.69,34.690000,20712.000000,13527.100000,4513410085526744834,null,1,1,0
29,61,6.779830,Normal,34.69,34.690000,20712.000000,13527.100000,2573251395108725737,null,1,1,0
30,68,6.827840,Normal,33.21,33.210000,20712.000000,13832.600000,14477205168272487510,null,1,1,0
31,74,6.725900,Normal,33.21,33.210000,20712.000000,13832.600000,10556849773188963494,null,1,1,0
32,81,6.732280,Normal,33.21,33.210000,20712.000000,13832.600000,11601130553091056235,null,1,1,0
33,88,6.752160,Normal,33.21,33.210000,20712.000000,13832.600000,3282780290862661978,null,1,1,0
34,95,6.744750,Normal,33.21,33.210000,20712.000000,13832.600000,552781455485867496,null,1,1,0
35,101,6.721160,Normal,34.69,34.690000,20712.000000,13527.100000,7522165540037459478,null,1,1,0
36,108,6.473000,Normal,30.94,30.940000,19924.000000,13760.100000,13205586907375453221,null,1,1,0
37,114,6.560250,Normal,30.94,30.940000,19924.000000,13760.100000,391435274167841485,null,1,1,0
38,121,6.649560,Normal,29.31,29.310000,20348.000000,14384.500000,7715157531247924580,null,1,1,0
39,128,6.644260,Normal,24.47,24.470000,19884.000000,15019.300000,1673620505747850250,null,1,1,0
40,134,6.382830,Normal,29.31,29.310000,20348.000000,14384.500000,12442958151184536168,null,1,1,0
