EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,6.852357,Normal,5.36,5.360000,-147.031250,-154.908748,14921508010286178949,null,0,1,0
2,14,6.861996,Normal,5.36,5.360000,-147.031250,-154.908748,10101538263502436884,null,0,1,0
3,21,6.803415,Normal,5.36,5.360000,-147.031250,-154.908748,10475899001479897097,null,0,1,0
4,28,6.846075,Normal,5.36,5.360000,-147.031250,-154.908748,10346973009034893901,null,0,1,0
5,35,6.947885,Normal,5.19,5.190000,-146.906250,-154.527513,3895283216737288575,null,0,1,0
6,42,6.976484,Normal,3.42,3.420000,-149.375000,-154.482506,14605588685206531618,null,0,1,0
7,49,7.003824,Normal,3.42,3.420000,-149.375000,-154.482506,9948210161584889965,null,0,1,0
8,56,6.996131,Normal,5.08,5.080000,-147.093750,-154.560949,13716955108508674556,null,0,1,0
9,64,7.045855,Normal,3.42,3.420000,-149.375000,-154.482506,14085736911709775567,null,0,1,0
10,71,7.043898,Normal,3.42,3.420000,-149.375000,-154.482506,599990734407030194,null,0,1,0
11,78,6.956082,Normal,3.42,3.420000,-149.375000,-154.482506,15173045511161861383,null,0,1,0
12,85,7.142221,Normal,3.42,3.420000,-149.375000,-154.482506,12831973121291315016,null,0,1,0
13,93,7.080054,Normal,5.57,5.570000,-146.906250,-155.090298,7469821579306457535,null,0,1,0
14,100,6.975216,Normal,5.25,5.250000,-147.250000,-154.975722,10668018083619300221,null,0,1,0
15,107,6.840472,Normal,6.88,6.880000,-145.906250,-155.938326,2936458471949975941,null,0,1,0
16,114,7.068166,Normal,5.53,5.530000,-147.000000,-155.124181,18090118877917844265,null,0,1,0
17,121,7.055230,Normal,5.88,5.880000,-146.562500,-155.174218,3310748068429800794,null,0,1,0
18,129,6.994660,Normal,3.42,3.420000,-149.375000,-154.482506,6059741479025999911,null,0,1,0
19,136,7.185933,Normal,8.36,8.360000,-143.906250,-155.938326,5036612103465115872,null,0,1,0
20,143,6.908192,Normal,5.16,5.160000,-147.093750,-154.687924,15967154807106001393,null,0,1,0
21,7,7.137390,Normal,7.19,7.190000,-144.875000,-155.292000,15389274780682699570,null,1,1,0
22,14,7.123170,Normal,7.19,7.190000,-144.875000,-155.292000,8025310052309096317,null,1,1,0
23,22,7.089030,Normal,8.37,8.370000,-143.781000,-155.820000,11844474987150059502,null,1,1,0
24,29,7.105120,Normal,7.19,7.190000,-144.875000,-155.292000,13817275812825566204,null,1,1,0
25,36,6.890300,Normal,8.32,8.320000,-143.781000,-155.746000,3853192210979047905,null,1,1,0
26,43,7.123930,Normal,7.19,7.190000,-144.875000,-155.292000,3526040104494019646,null,1,1,0
27,51,7.150420,Normal,7.19,7.190000,-144.875000,-155.292000,15035400755832763541,null,1,1,0
28,58,7.131390,Normal,7.19,7.190000,-144.875000,-155.292000,12072647966785010116,null,1,1,0
29,65,7.014430,Normal,8.36,8.360000,-143.906000,-155.938000,4962830161841414581,null,1,1,0
30,72,7.138650,Normal,7.19,7.190000,-144.875000,-155.292000,11641647599128274858,null,1,1,0
31,80,7.106740,Normal,7.19,7.190000,-144.875000,-155.292000,925281374657082787,null,1,1,0
32,87,7.211400,Normal,6.23,6.230000,-145.969000,-155.057000,16221401467162805504,null,1,1,0
33,94,7.184120,Normal,6.23,6.230000,-145.969000,-155.057000,1827354680542338120,null,1,1,0
34,102,7.191330,Normal,6.23,6.230000,-145.969000,-155.057000,631300623464935652,null,1,1,0
35,109,7.120560,Normal,6.23,6.230000,-145.969000,-155.057000,9932235361406820397,null,1,1,0
36,116,7.093680,Normal,5.02,5.020000,-147.406000,-154.812000,4024613908342449304,null,1,1,0
37,124,7.093400,Normal,5.02,5.020000,-147.406000,-154.812000,8960383311521700658,null,1,1,0
38,131,7.168040,Normal,4.41,4.410000,-148.062000,-154.591000,14674966144616521911,null,1,1,0
39,138,6.830090,Normal,5.64,5.640000,-147.000000,-155.292000,4548663430158137845,null,1,1,0
40,145,6.911020,Normal,4.83,4.830000,-147.500000,-154.625000,13920960666264676345,null,1,1,0
41,7,7.093240,Normal,8.33,8.330000,-143.781000,-155.755000,13442604047210902029,null,2,1,0
42,14,7.084610,Normal,8.26,8.260000,-143.781000,-155.665000,6868723244563687370,null,2,1,0
43,21,7.069750,Normal,8.26,8.260000,-143.781000,-155.665000,17389672591889242903,null,2,1,0
44,29,7.160080,Normal,7.39,7.390000,-144.656000,-155.344000,5822840504347175638,null,2,1,0
45,36,7.134540,Normal,7.39,7.390000,-144.656000,-155.344000,14917260973088592838,null,2,1,0
46,43,6.979470,Normal,5.66,5.660000,-146.312000,-154.587000,17944698910154233225,null,2,1,0
47,51,6.980940,Normal,5.16,5.160000,-147.094000,-154.688000,14641356185466873099,null,2,1,0
48,58,6.962180,Normal,5.16,5.160000,-147.094000,-154.688000,12525916986211419788,null,2,1,0
49,65,6.971320,Normal,5.16,5.160000,-147.094000,-154.688000,1306529026743549185,null,2,1,0
50,72,7.011280,Normal,5.16,5.160000,-147.094000,-154.688000,14869607406478040596,null,2,1,0
51,79,6.953990,Normal,5.3,5.300000,-147.094000,-154.892000,4135362266379457971,null,2,1,0
52,87,7.288780,Normal,5.16,5.160000,-147.094000,-154.688000,13855401013411151911,null,2,1,0
53,94,7.258870,Normal,5.16,5.160000,-147.094000,-154.688000,17396910315744688708,null,2,1,0
54,102,7.260030,Normal,5.16,5.160000,-147.094000,-154.688000,987628763149445619,null,2,1,0
55,109,7.145870,Normal,5.16,5.160000,-147.094000,-154.688000,2387905649320043521,null,2,1,0
56,116,7.208000,Normal,5.16,5.160000,-147.094000,-154.688000,15434492547289976967,null,2,1,0
57,124,7.194850,Normal,5.16,5.160000,-147.094000,-154.688000,15886237758696472190,null,2,1,0
58,131,7.186870,Normal,3.34,3.340000,-149.375000,-154.367000,16295152390465764237,null,2,1,0
59,138,6.896710,Normal,3.34,3.340000,-149.375000,-154.367000,354480705065723404,null,2,1,0
60,145,6.756860,Normal,5.25,5.250000,-147.250000,-154.984000,17736120757632368537,null,2,1,0
61,7,7.374890,Normal,5.56,5.560000,-147.000000,-155.179000,7833032540515006591,null,3,1,0
62,15,7.359230,Normal,6.84,6.840000,-145.219000,-155.152000,677781983418795485,null,3,1,0
63,22,7.360120,Normal,5.35,5.350000,-147.000000,-154.859000,11170254515055647691,null,3,1,0
64,30,7.427300,Normal,5.57,5.570000,-146.906000,-155.090000,2597008071499114083,null,3,1,0
65,38,7.480220,Normal,5.51,5.510000,-146.906000,-154.995000,12233408769005312283,null,3,1,0
66,45,7.426750,Normal,5.35,5.350000,-147.000000,-154.859000,11288654997608076739,null,3,1,0
67,53,7.249400,Normal,5.97,5.970000,-146.438000,-155.179000,16803663178979681412,null,3,1,0
68,60,7.318300,Normal,5.35,5.350000,-147.000000,-154.859000,17954456054222925910,null,3,1,0
69,68,7.169170,Normal,5.45,5.450000,-146.906000,-154.909000,9382129874717335853,null,3,1,0
70,75,7.220670,Normal,5.35,5.350000,-147.000000,-154.859000,15403089563421154862,null,3,1,0
71,82,7.204330,Normal,5.35,5.350000,-147.000000,-154.859000,2659773027277592078,null,3,1,0
72,90,7.222230,Normal,6.17,6.170000,-146.156000,-155.174000,8356232339699340207,null,3,1,0
73,97,7.256550,Normal,5.35,5.350000,-147.000000,-154.859000,7798050098721766011,null,3,1,0
74,104,7.145170,Normal,8.36,8.360000,-143.906000,-155.938000,673688444661224077,null,3,1,0
75,112,7.228850,Normal,5.35,5.350000,-147.000000,-154.859000,3262636520028479337,null,3,1,0
76,119,7.191500,Normal,5.35,5.350000,-147.000000,-154.859000,18183473404147734053,null,3,1,0
77,127,7.178060,Normal,5.35,5.350000,-147.000000,-154.859000,15547347524505473586,null,3,1,0
78,134,7.180730,Normal,5.35,5.350000,-147.000000,-154.859000,11933225965734066281,null,3,1,0
79,141,7.185600,Normal,5.35,5.350000,-147.000000,-154.859000,13811738478733576816,null,3,1,0
80,148,6.939420,Normal,6.15,6.150000,-146.906000,-155.938000,2395916165787273459,null,3,1,0
81,7,7.195390,Normal,6.08,6.080000,-145.844000,-154.713000,15967469245584910126,null,4,1,0
82,14,7.163640,Normal,6.08,6.080000,-145.844000,-154.713000,17398987104164056686,null,4,1,0
83,22,7.098340,Normal,6.08,6.080000,-145.844000,-154.713000,17843250608928740418,null,4,1,0
