EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,7.250805,Normal,15.93,15.930000,2659476.000000,2235768.375310,14921508010286178949,null,0,1,0
2,7,7.003056,Normal,18.56,18.560000,2678391.000000,2181346.633426,6739604264903625523,null,0,1,0
3,8,7.936330,Normal,21.63,21.630000,2620845.000000,2054062.741204,7462577291576687902,null,0,1,0
4,8,6.904308,Normal,29.02,29.020000,2706742.000000,1921303.996497,6860783115968154128,null,0,1,0
5,8,7.983951,Normal,16.27,16.270000,2625156.000000,2198068.040496,3726052506958250999,null,0,1,0
6,8,6.494787,Normal,24.22,24.220000,2651459.000000,2009234.403677,3589332340591794323,null,0,1,0
7,8,6.168552,Normal,19.23,19.230000,2678391.000000,2163407.089826,9412949323656616695,null,0,1,0
8,8,7.644686,Normal,33.35,33.350000,2653685.000000,1768647.887196,1224590597613515170,null,0,1,0
9,8,6.314196,Normal,24.5,24.500000,2701931.000000,2040010.281239,10117759725040394463,null,0,1,0
10,8,7.109514,Normal,17.95,17.950000,2659476.000000,2181982.218056,13045203793696743590,null,0,1,0
11,8,7.183910,Normal,18.45,18.450000,2681314.000000,2186603.617759,10171479970775903182,null,0,1,0
12,8,6.806093,Normal,24.51,24.510000,2686286.000000,2027842.155508,13075948954884825903,null,0,1,0
13,15,7.211833,Normal,18.59,18.590000,2718618.000000,2213290.938225,844706301316953147,null,0,1,0
14,15,7.202752,Normal,15.93,15.930000,2659476.000000,2235768.375310,16450644818478286277,null,0,1,0
15,15,6.745787,Normal,24.04,24.040000,2662667.999999,2022445.142194,5834979808369545068,null,0,1,0
16,15,7.207035,Normal,15.93,15.930000,2659476.000000,2235768.375310,2225858521084382651,null,0,1,0
17,15,7.203513,Normal,15.93,15.930000,2659476.000000,2235768.375310,6762843893550650360,null,0,1,0
18,15,6.756432,Normal,16.36,16.360000,2659476.000000,2224435.597888,10905844833752053842,null,0,1,0
19,15,7.000352,Normal,17.64,17.640000,2678391.000000,2205842.190209,5948685825087948624,null,0,1,0
20,15,7.000390,Normal,16.3,16.300000,2659476.000000,2226055.742804,5643427149002281568,null,0,1,0
21,15,7.215085,Normal,15.93,15.930000,2659476.000000,2235768.375310,5834950261831871145,null,0,1,0
22,15,7.207075,Normal,15.93,15.930000,2659476.000000,2235768.375310,14770251354950928531,null,0,1,0
23,15,6.818257,Normal,16.22,16.220000,2660741.000000,2229072.949384,8683817217222751575,null,0,1,0
24,15,7.174078,Normal,18.4,18.400000,2716325.000000,2216425.840214,10475899001479897097,null,0,1,0
25,7,7.060900,Normal,22.64,22.640000,2644640.000000,2045760.000000,9334816858139123997,null,12,1,0
26,7,6.691960,Normal,19.57,19.570000,2678390.000000,2154210.000000,8634424628883123765,null,12,1,0
27,8,8.014440,Normal,18.31,18.310000,2620840.000000,2140890.000000,11207728341587623623,null,12,1,0
28,8,6.356280,Normal,24.22,24.220000,2694080.000000,2041470.000000,11115033111641174689,null,12,1,0
29,8,8.067010,Normal,24.39,24.390000,2639870.000000,1996020.000000,14130025293935842535,null,12,1,0
30,8,7.723220,Normal,22.87,22.870000,2637470.000000,2034220.000000,8183563996462921157,null,12,1,0
31,8,7.405980,Normal,19.4,19.400000,2634420.000000,2123330.000000,9647055315902269429,null,12,1,0
32,8,6.755500,Normal,17.78,17.780000,2678390.000000,2202270.000000,943071619288459132,null,12,1,0
33,8,6.848540,Normal,16.67,16.670000,2677950.000000,2231500.000000,10305631109148683358,null,12,1,0
34,8,7.642860,Normal,24.16,24.160000,2662750.000000,2019330.000000,6369014844248686785,null,12,1,0
35,8,6.511240,Normal,24.43,24.430000,2711360.000000,2048970.000000,8645331254644081514,null,12,1,0
36,8,7.674290,Normal,31.96,31.960000,2620820.000000,1783220.000000,14410047200977061067,null,12,1,0
37,14,6.620440,Normal,18.15,18.150000,2677950.000000,2192020.000000,17773998705505551920,null,12,1,0
38,14,6.759580,Normal,16.67,16.670000,2677950.000000,2231500.000000,13573426137934575940,null,12,1,0
39,15,6.940950,Normal,15.82,15.820000,2659480.000000,2238740.000000,10013061167058254413,null,12,1,0
40,15,6.847310,Normal,17.37,17.370000,2677950.000000,2212700.000000,16749890447028723314,null,12,1,0
41,15,6.757870,Normal,16.67,16.670000,2677950.000000,2231500.000000,3886964181533189291,null,12,1,0
42,15,6.765330,Normal,16.67,16.670000,2677950.000000,2231500.000000,3470056197717369703,null,12,1,0
43,15,6.767530,Normal,16.67,16.670000,2677950.000000,2231500.000000,16839071878979031368,null,12,1,0
44,15,6.753040,Normal,16.67,16.670000,2677950.000000,2231500.000000,7605707077404721767,null,12,1,0
45,15,6.757510,Normal,16.67,16.670000,2677950.000000,2231500.000000,3166413390285688062,null,12,1,0
46,15,6.768600,Normal,16.67,16.670000,2677950.000000,2231500.000000,12073731234776426367,null,12,1,0
47,15,6.770460,Normal,15.97,15.970000,2677950.000000,2250220.000000,10193838597437990384,null,12,1,0
48,15,6.593790,Normal,16.25,16.250000,2659480.000000,2227370.000000,355481961155353505,null,12,1,0
49,22,6.927992,Normal,17.43,17.430000,2677953.000000,2211138.395603,893119643581651675,null,0,1,1
50,22,6.955077,Normal,15.88,15.880000,2659476.000000,2237252.581194,5912286311941514360,null,1,1,1
51,22,6.909633,Normal,18.88,18.880000,2724946.000000,2210467.922848,5986394792290839453,null,2,1,1
52,22,6.896776,Normal,18.88,18.880000,2724946.000000,2210467.922848,1999277123529744640,null,3,1,1
53,22,7.030980,Normal,15.86,15.860000,2659476.000000,2237805.818173,16160932245413735698,null,4,1,1
54,22,7.071089,Normal,15.82,15.820000,2659476.000000,2238739.275377,5606730016601837135,null,5,1,1
55,22,7.043416,Normal,15.88,15.880000,2659476.000000,2237156.483697,16856246477185411047,null,6,1,1
56,22,7.046217,Normal,15.88,15.880000,2659476.000000,2237156.483697,8165837680969064508,null,7,1,1
57,22,7.084306,Normal,25.78,25.780000,2789032.000000,2070051.420007,6544318882618360499,null,8,1,1
58,22,6.954728,Normal,23.18,23.180000,2723075.000000,2091995.926812,8699138032145793591,null,9,1,1
59,22,6.833931,Normal,18.95,18.950000,2745486.000000,2225085.164736,13163864941262969363,null,10,1,1
60,21,6.536760,Normal,25.23,25.230000,2804669.000000,2096963.718885,4338257312875433588,null,11,1,1
61,22,6.996091,Normal,17.49,17.490000,2659476.000000,2194455.828476,4917562547186770841,null,12,1,1
62,23,8.042855,Normal,21.24,21.240000,2639648.000000,2079045.358813,6742051863315682470,null,13,1,1
63,22,6.977151,Normal,21.56,21.560000,2678391.000000,2101012.175275,15307730002534672037,null,14,1,1
64,22,6.938999,Normal,21.45,21.450000,2659476.000000,2089123.101282,8344957002488680068,null,15,1,1
65,22,6.956369,Normal,16.32,16.320000,2659476.000000,2225449.164438,11887980150138363524,null,16,1,1
