instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
neos-4387871-tavua.mps,4,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/1_neos-4387871-tavua_seed-4_20260510_052117,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/1_neos-4387871-tavua_seed-4_20260510_052117/run.log
neos-4954672-berkel.mps,4,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/2_neos-4954672-berkel_seed-4_20260510_052646,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/2_neos-4954672-berkel_seed-4_20260510_052646/run.log
neos-5093327-huahum.mps,4,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/3_neos-5093327-huahum_seed-4_20260510_052915,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/3_neos-5093327-huahum_seed-4_20260510_052915/run.log
nexp-150-20-8-5.mps,4,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/4_nexp-150-20-8-5_seed-4_20260510_053111,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/4_nexp-150-20-8-5_seed-4_20260510_053111/run.log
rococoB10-011000.mps,4,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/5_rococoB10-011000_seed-4_20260510_054408,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/5_rococoB10-011000_seed-4_20260510_054408/run.log
sorrell3.mps,4,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/6_sorrell3_seed-4_20260510_054624,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/6_sorrell3_seed-4_20260510_054624/run.log
supportcase26.mps,4,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/7_supportcase26_seed-4_20260510_054910,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/7_supportcase26_seed-4_20260510_054910/run.log
supportcase40.mps,4,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/8_supportcase40_seed-4_20260510_055127,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/8_supportcase40_seed-4_20260510_055127/run.log
supportcase6.mps,4,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/9_supportcase6_seed-4_20260510_055431,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/9_supportcase6_seed-4_20260510_055431/run.log
var-smallemery-m6j6.mps,4,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/10_var-smallemery-m6j6_seed-4_20260510_055637,/scratch/yorig/mpils-results-grid-ticks-10000-7may/medium-2/24proc-24pils/seed-4/10_var-smallemery-m6j6_seed-4_20260510_055637/run.log
