EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,4.811557,Normal,28.38,28.380000,6826.000000,4888.930608,14921508010286178949,null,0,1,0
2,5,4.367973,Normal,34.31,34.310000,6825.999997,4483.672884,18272288580721317270,null,0,1,0
3,10,4.766863,Normal,28.38,28.380000,6826.000000,4888.930608,6762843893550650360,null,0,1,0
4,10,4.775711,Normal,28.38,28.380000,6826.000000,4888.930608,15743638518301921207,null,0,1,0
5,14,4.668504,Normal,30.02,30.020000,6825.999996,4776.939852,13964071529318666704,null,0,1,0
6,14,4.777868,Normal,28.38,28.380000,6826.000000,4888.930608,13575339350133640537,null,0,1,0
7,19,4.285291,Normal,35.97,35.970000,6826.000000,4370.447605,16957666276679199244,null,0,1,0
8,19,4.661111,Normal,29.85,29.850000,6825.999998,4788.438237,12351453347240979420,null,0,1,0
9,24,4.780108,Normal,28.38,28.380000,6826.000000,4888.930608,17254147022443499681,null,0,1,0
10,24,4.802664,Normal,28.38,28.380000,6826.000000,4888.930608,18392939659909934726,null,0,1,0
11,29,4.763464,Normal,28.35,28.350000,6825.999999,4890.929585,14494239334946615932,null,0,1,0
12,29,4.688067,Normal,30.02,30.020000,6825.999996,4776.939852,5643427149002281568,null,0,1,0
13,34,4.790633,Normal,28.35,28.350000,6825.999999,4890.929585,16645094171136263232,null,0,1,0
14,34,4.774877,Normal,28.35,28.350000,6825.999999,4890.929585,16325280037795698061,null,0,1,0
15,39,4.784098,Normal,28.35,28.350000,6825.999999,4890.929585,8400671172113195856,null,0,1,0
16,39,4.780539,Normal,28.35,28.350000,6825.999999,4890.929585,17977740392540409712,null,0,1,0
17,44,4.784159,Normal,28.35,28.350000,6825.999999,4890.929585,13610091106493844486,null,0,1,0
18,44,4.772909,Normal,28.35,28.350000,6825.999999,4890.929585,3870910360695831303,null,0,1,0
19,49,5.162842,Normal,29.58,29.580000,6825.999996,4806.587463,8418720556606329051,null,0,1,0
20,49,4.887245,Normal,28.36,28.360000,6825.999998,4889.892115,17586458399407053491,null,0,1,0
21,5,5.189870,Normal,29.8,29.800000,6826.000000,4792.080000,4560123928916166802,null,2,1,0
22,5,4.352430,Normal,35.38,35.380000,6826.000000,4411.070000,14841680441041624798,null,2,1,0
23,10,5.161720,Normal,29.94,29.940000,6826.000000,4782.390000,12102946120573793848,null,2,1,0
24,10,5.170340,Normal,29.8,29.800000,6826.000000,4792.080000,13881611614744584066,null,2,1,0
25,16,5.139560,Normal,29.8,29.800000,6826.000000,4792.080000,210490445237073020,null,2,1,0
26,16,5.153810,Normal,29.8,29.800000,6826.000000,4792.080000,10882911472585514396,null,2,1,0
27,21,4.836860,Normal,28.71,28.710000,6826.000000,4866.070000,13119204147459705020,null,2,1,0
28,21,5.158260,Normal,29.8,29.800000,6826.000000,4792.080000,291505252012384056,null,2,1,0
29,26,4.803410,Normal,28.71,28.710000,6826.000000,4866.070000,72628583656712071,null,2,1,0
30,26,4.653420,Normal,29.44,29.440000,6826.000000,4816.100000,11742719498803967426,null,2,1,0
31,31,4.634640,Normal,29.47,29.470000,6826.000000,4814.100000,13125964569428532784,null,2,1,0
32,31,4.832190,Normal,28.71,28.710000,6826.000000,4866.070000,17361052875072833915,null,2,1,0
33,36,4.774360,Normal,28.75,28.750000,6826.000000,4863.700000,737315111825655979,null,2,1,0
34,36,4.838640,Normal,28.71,28.710000,6826.000000,4866.070000,16263361338070647879,null,2,1,0
35,41,4.842870,Normal,28.66,28.660000,6826.000000,4869.960000,11307283564641687717,null,2,1,0
36,41,4.844760,Normal,28.53,28.530000,6826.000000,4878.410000,17625081122447957783,null,2,1,0
37,46,4.768280,Normal,28.65,28.650000,6826.000000,4870.240000,14903383942475738308,null,2,1,0
38,46,4.857880,Normal,28.53,28.530000,6826.000000,4878.410000,10675380133062510630,null,2,1,0
39,51,4.814360,Normal,28.59,28.590000,6826.000000,4874.310000,8070841001324161642,null,2,1,0
40,51,4.872180,Normal,28.53,28.530000,6826.000000,4878.410000,10179960787359128377,null,2,1,0
41,4,4.699990,Normal,30.05,30.050000,6826.000000,4774.660000,807049314724615108,null,4,1,0
42,5,4.866030,Normal,28.22,28.220000,6826.000000,4899.620000,12396218151131135542,null,4,1,0
43,9,4.700630,Normal,30.02,30.020000,6826.000000,4776.940000,9837918176105079338,null,4,1,0
