EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,6.409912,Normal,27.6,27.600000,20560.000000,14884.709021,14921508010286178949,null,0,1,0
2,6,6.871020,Normal,29.26,29.260000,20256.000000,14329.866753,12396218151131135542,null,0,1,0
3,6,6.319272,Normal,29.09,29.090000,21055.000000,14930.377776,10476872252734183562,null,0,1,0
4,6,6.594213,Normal,25.05,25.050000,20086.000000,15055.020940,6392235192070819192,null,0,1,0
5,7,7.166456,Normal,30.99,30.990000,20152.000000,13907.547728,15567323705133727665,null,0,1,0
6,7,6.303893,Normal,32.58,32.580000,21228.000000,14311.064656,14836092762407622465,null,0,1,0
7,13,6.561185,Normal,28.14,28.140000,20273.000000,14567.357051,11567590430985220169,null,0,1,0
8,13,6.674788,Normal,25.05,25.050000,20086.000000,15055.020940,1431554528902146089,null,0,1,0
9,13,6.659760,Normal,25.05,25.050000,20086.000000,15055.020940,14814081044069878592,null,0,1,0
10,13,6.605767,Normal,29.13,29.130000,20676.000000,14652.751888,13091368955189201392,null,0,1,0
11,14,6.975724,Normal,26.68,26.680000,20362.000000,14928.511219,2069886913886799720,null,0,1,0
12,14,6.738267,Normal,26.14,26.140000,20457.000000,15109.929394,1325911051513374532,null,0,1,0
13,20,6.648626,Normal,25.05,25.050000,20086.000000,15055.020940,3011837531337077861,null,0,1,0
14,20,6.677623,Normal,34.83,34.830000,21228.000000,13834.779097,1486772405107751618,null,0,1,0
15,20,6.654248,Normal,25.05,25.050000,20086.000000,15055.020940,1326417911704599544,null,0,1,0
16,21,6.960421,Normal,26.68,26.680000,20362.000000,14928.511219,16648994613087566655,null,0,1,0
17,21,6.662005,Normal,25.05,25.050000,20086.000000,15055.020940,6160413153376484724,null,0,1,0
18,21,6.635395,Normal,25.05,25.050000,20086.000000,15055.020940,5474944469394160437,null,0,1,0
19,28,7.513975,Normal,31.13,31.130000,21228.000000,14618.861709,9312075186309856740,null,0,1,0
20,28,6.585220,Normal,25.05,25.050000,20086.000000,15055.020940,3756209185196630203,null,0,1,0
21,28,6.773021,Normal,27.01,27.010000,21228.000000,15494.436101,5497769823640468516,null,0,1,0
22,28,6.494696,Normal,33.51,33.510000,20152.000000,13399.122547,3508147464573561704,null,0,1,0
23,28,6.762333,Normal,30.13,30.130000,21228.000000,14832.828208,13541290432273212128,null,0,1,0
24,28,6.754446,Normal,30.46,30.460000,21201.000000,14743.672359,16306712293539304223,null,0,1,0
25,7,7.049010,Normal,26.82,26.820000,20225.000000,14800.300000,9189671605112484984,null,6,1,0
26,7,6.326180,Normal,31.79,31.790000,19998.000000,13640.800000,935975859520431025,null,6,1,0
27,7,6.721980,Normal,27.94,27.940000,21228.000000,15297.700000,2535021561239203683,null,6,1,0
28,7,6.438080,Normal,32.75,32.750000,20123.000000,13533.300000,6535036794134213601,null,6,1,0
29,7,6.623110,Normal,34.83,34.830000,21228.000000,13834.800000,1732647670847400270,null,6,1,0
30,7,6.694640,Normal,29.44,29.440000,20332.000000,14346.100000,11346171025665593760,null,6,1,0
31,14,7.123030,Normal,26.82,26.820000,20225.000000,14800.300000,6872522461259491810,null,6,1,0
32,14,7.190950,Normal,27.05,27.050000,19888.000000,14508.200000,10992328275424796188,null,6,1,0
33,14,6.935430,Normal,28.13,28.130000,20600.000000,14804.900000,9098688296823358985,null,6,1,0
34,14,7.151090,Normal,26.82,26.820000,20225.000000,14800.300000,10012802989536489481,null,6,1,0
35,14,7.122910,Normal,26.82,26.820000,20225.000000,14800.300000,3530802730982759114,null,6,1,0
36,14,7.129500,Normal,26.82,26.820000,20225.000000,14800.300000,9129881982467622056,null,6,1,0
37,21,6.656210,Normal,25.55,25.550000,19855.000000,14782.100000,13202463007910271919,null,6,1,0
38,21,7.096460,Normal,26.82,26.820000,20225.000000,14800.300000,6567735377023266841,null,6,1,0
39,21,7.186880,Normal,27.05,27.050000,19888.000000,14508.200000,6340896865759112794,null,6,1,0
40,21,7.041580,Normal,24.91,24.910000,19981.000000,15004.600000,7945233337802145647,null,6,1,0
41,21,7.106910,Normal,26.82,26.820000,20225.000000,14800.300000,13158010362723031076,null,6,1,0
