EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.894490,Normal,14.96,14.960000,1768.264086,1503.816869,14921508010286178949,null,0,1,0
2,11,5.802121,Normal,15.26,15.260000,1772.510297,1501.953402,12911295086759950527,null,0,1,0
3,17,5.867778,Normal,14.96,14.960000,1768.264086,1503.816869,14494239334946615932,null,0,1,0
4,23,5.814350,Normal,16.29,16.290000,1781.002719,1490.802026,15495703117619861868,null,0,1,0
5,29,5.898581,Normal,14.96,14.960000,1768.264086,1503.816869,15743638518301921207,null,0,1,0
6,35,5.952564,Normal,14.96,14.960000,1768.264086,1503.816869,5834950261831871145,null,0,1,0
7,41,5.931881,Normal,19.25,19.250000,1768.264086,1427.800444,16957666276679199244,null,0,1,0
8,47,5.993726,Normal,14.96,14.960000,1768.264086,1503.816869,864434800366833410,null,0,1,0
9,53,5.850522,Normal,16.61,16.610000,1810.683002,1509.883673,5398713608842390699,null,0,1,0
10,59,6.081688,Normal,16.42,16.420000,1789.495142,1495.633694,10346973009034893901,null,0,1,0
11,65,5.923598,Normal,14.96,14.960000,1768.264086,1503.816869,13290681019215308220,null,0,1,0
12,71,5.911553,Normal,16.75,16.750000,1806.436790,1503.927205,5948685825087948624,null,0,1,0
13,77,5.867470,Normal,14.27,14.270000,1776.756508,1523.164741,281880667954374288,null,0,1,0
14,82,5.840041,Normal,14.27,14.270000,1776.756508,1523.164741,11938783193340509662,null,0,1,0
15,88,6.060268,Normal,16.62,16.620000,1789.495141,1492.059279,2802355247187213289,null,0,1,0
16,94,5.860723,Normal,14.27,14.270000,1776.756508,1523.164741,16109089426945426520,null,0,1,0
17,100,5.776087,Normal,15.57,15.570000,1776.756508,1500.150298,16275269842957739503,null,0,1,0
18,106,6.219563,Normal,15,15.000000,1776.756508,1510.154413,11902767629914320588,null,0,1,0
