EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,6.222592,Normal,30.12,30.120000,242.000000,169.112976,14921508010286178949,null,0,1,0
2,12,6.220252,Normal,30.12,30.120000,242.000000,169.112976,10101538263502436884,null,0,1,0
3,18,5.691570,Normal,68.29,68.290000,256.000000,81.189107,10475899001479897097,null,0,1,0
4,24,6.433868,Normal,13.77,13.770000,240.000000,206.955362,10346973009034893901,null,0,1,0
5,31,6.401714,Normal,13.77,13.770000,240.000000,206.955362,18069049565768102882,null,0,1,0
6,37,6.372514,Normal,13.77,13.770000,240.000000,206.955362,1869696623545437238,null,0,1,0
7,44,6.385911,Normal,13.77,13.770000,240.000000,206.955362,11071528030943446025,null,0,1,0
8,50,6.368797,Normal,13.77,13.770000,240.000000,206.955362,7182317055943276213,null,0,1,0
9,56,6.353340,Normal,13.77,13.770000,240.000000,206.955362,906863947708365548,null,0,1,0
10,63,6.455936,Normal,4.35,4.350000,236.000000,225.725442,2045221141382991416,null,0,1,0
11,69,6.445878,Normal,4.35,4.350000,236.000000,225.725442,13073142715331224,null,0,1,0
12,76,6.454284,Normal,4.35,4.350000,236.000000,225.725442,17688768045539215019,null,0,1,0
13,82,6.427333,Normal,4.35,4.350000,236.000000,225.725442,18063060821248223055,null,0,1,0
14,89,6.432201,Normal,4.35,4.350000,236.000000,225.725442,8922813005609054591,null,0,1,0
15,95,6.485479,Normal,4.35,4.350000,236.000000,225.725442,12194715545054238693,null,0,1,0
16,101,6.083112,Normal,88.29,88.290000,273.000000,31.958443,111237599271905998,null,0,1,0
17,108,6.412238,Normal,4.35,4.350000,236.000000,225.725442,11479874207990648462,null,0,1,0
18,114,6.017463,Normal,27.5,27.500000,243.000000,176.187018,8683817217222751575,null,0,1,0
19,120,6.372308,Normal,4.35,4.350000,236.000000,225.725442,17829230119593507861,null,0,1,0
20,127,6.321489,Normal,4.35,4.350000,236.000000,225.725442,2107191871007758144,null,0,1,0
21,6,6.075400,Normal,28.37,28.370000,250.000000,179.074000,15389274780682699570,null,1,1,0
22,12,6.055500,Normal,28.37,28.370000,250.000000,179.074000,8025310052309096317,null,1,1,0
23,17,5.680410,Normal,16.4,16.400000,244.000000,203.989000,11844474987150059502,null,1,1,0
24,23,5.673580,Normal,16.4,16.400000,244.000000,203.989000,5343049745455608162,null,1,1,0
25,29,5.672410,Normal,18.01,18.010000,244.000000,200.052000,3311011223858562125,null,1,1,0
26,35,5.642810,Normal,16.4,16.400000,244.000000,203.989000,17687520307418639925,null,1,1,0
27,40,5.636400,Normal,18.01,18.010000,244.000000,200.052000,15553702740083636616,null,1,1,0
28,46,5.631880,Normal,18.01,18.010000,244.000000,200.052000,6641868670256583191,null,1,1,0
29,52,5.632230,Normal,16.4,16.400000,244.000000,203.989000,9426500244019880447,null,1,1,0
30,57,5.607580,Normal,16.4,16.400000,244.000000,203.989000,3328230075808775377,null,1,1,0
31,63,5.631120,Normal,16.4,16.400000,244.000000,203.989000,13841071966915530667,null,1,1,0
32,68,5.626500,Normal,28.53,28.530000,271.000000,193.685000,3159444763422742874,null,1,1,0
33,75,6.026280,Normal,10.38,10.380000,239.000000,214.195000,1944557272496216470,null,1,1,0
34,81,6.024460,Normal,10.38,10.380000,239.000000,214.195000,4911236039333101392,null,1,1,0
35,87,6.014050,Normal,10.38,10.380000,239.000000,214.195000,6847434677982126257,null,1,1,0
36,92,5.706220,Normal,13.79,13.790000,245.000000,211.207000,7407783848129761290,null,1,1,0
37,98,5.677510,Normal,79.65,79.650000,257.000000,52.296100,10215602842167355689,null,1,1,0
38,104,5.982730,Normal,5.97,5.970000,239.000000,224.726000,3975788473176809259,null,1,1,0
39,110,5.567460,Normal,13.3,13.300000,248.000000,215.015000,1165955846482244505,null,1,1,0
40,116,5.960550,Normal,5.97,5.970000,239.000000,224.726000,1088088051707531184,null,1,1,0
41,5,5.688040,Normal,18.01,18.010000,244.000000,200.052000,13442604047210902029,null,2,1,0
42,11,5.554990,Normal,10.15,10.150000,242.000000,217.443000,6868723244563687370,null,2,1,0
43,17,5.579630,Normal,10.15,10.150000,242.000000,217.443000,17389672591889242903,null,2,1,0
44,22,5.917760,Normal,7.26,7.260000,243.000000,225.355000,5822840504347175638,null,2,1,0
45,28,5.912200,Normal,7.26,7.260000,243.000000,225.355000,14917260973088592838,null,2,1,0
46,35,6.126830,Normal,8.02,8.020000,235.000000,216.156000,17944698910154233225,null,2,1,0
47,41,6.068450,Normal,12.64,12.640000,241.000000,210.533000,3489321991549487605,null,2,1,0
48,47,5.860930,Normal,7.26,7.260000,243.000000,225.355000,18274988146831979398,null,2,1,0
49,52,5.862770,Normal,7.26,7.260000,243.000000,225.355000,10144092272574737503,null,2,1,0
50,58,5.841330,Normal,7.26,7.260000,243.000000,225.355000,4020589898897349284,null,2,1,0
51,64,6.005080,Normal,5.97,5.970000,239.000000,224.726000,8253446178116740185,null,2,1,0
52,70,5.998010,Normal,14.3,14.300000,241.000000,206.530000,14641356185466873099,null,2,1,0
53,76,5.615300,Normal,54.97,54.970000,258.000000,116.190000,15202937530247077325,null,2,1,0
54,82,5.932580,Normal,5.97,5.970000,239.000000,224.726000,18139143389175851453,null,2,1,0
55,88,5.987570,Normal,10.38,10.380000,239.000000,214.195000,11427757665566059118,null,2,1,0
56,94,5.966110,Normal,5.97,5.970000,239.000000,224.726000,11822737650986339352,null,2,1,0
57,100,6.028620,Normal,5.97,5.970000,239.000000,224.726000,16720737827628255798,null,2,1,0
58,106,5.597050,Normal,13.37,13.370000,243.000000,210.504000,2513672056625639822,null,2,1,0
59,112,5.921730,Normal,7.97,7.970000,239.000000,219.952000,4920703359853680994,null,2,1,0
60,118,5.930750,Normal,5.97,5.970000,239.000000,224.726000,16885955577757418972,null,2,1,0
61,6,6.111310,Normal,57.73,57.730000,252.000000,106.511000,7833032540515006591,null,3,1,0
62,12,5.972260,Normal,10.89,10.890000,238.000000,212.082000,677781983418795485,null,3,1,0
63,18,6.124020,Normal,12.84,12.840000,248.000000,216.155000,4555014167394702722,null,3,1,0
64,24,5.997400,Normal,10.89,10.890000,238.000000,212.082000,8998812583052589664,null,3,1,0
65,30,5.976210,Normal,10.89,10.890000,238.000000,212.082000,2410962071210349283,null,3,1,0
66,36,5.917620,Normal,7.46,7.460000,237.000000,219.322000,12410176403761988730,null,3,1,0
67,42,5.908640,Normal,7.46,7.460000,237.000000,219.322000,5131921450074119636,null,3,1,0
68,48,6.061300,Normal,12.64,12.640000,241.000000,210.533000,11635995026281096437,null,3,1,0
69,54,5.841790,Normal,12.15,12.150000,242.000000,212.590000,10564936508146705062,null,3,1,0
70,60,5.899150,Normal,7.46,7.460000,237.000000,219.322000,16181602438855630033,null,3,1,0
71,66,5.917180,Normal,9.95,9.950000,242.000000,217.925000,640015928065525819,null,3,1,0
72,72,5.903110,Normal,7.46,7.460000,237.000000,219.322000,2702226701451544932,null,3,1,0
73,78,5.899190,Normal,7.46,7.460000,237.000000,219.322000,7817875641302417927,null,3,1,0
74,83,5.872700,Normal,7.46,7.460000,237.000000,219.322000,13442610723926536296,null,3,1,0
75,89,5.885510,Normal,7.46,7.460000,237.000000,219.322000,7996206806939882731,null,3,1,0
76,95,5.936340,Normal,7.46,7.460000,237.000000,219.322000,14535631188818845889,null,3,1,0
77,101,5.924820,Normal,7.46,7.460000,237.000000,219.322000,14671996981545230540,null,3,1,0
78,107,5.794360,Normal,65.17,65.170000,274.000000,95.429100,2597008071499114083,null,3,1,0
79,113,5.621570,Normal,49.16,49.160000,252.000000,128.117000,16838324367389676170,null,3,1,0
80,119,5.858550,Normal,20.58,20.580000,246.000000,195.371000,3951127296985659961,null,3,1,0
81,6,6.181350,Normal,8.02,8.020000,235.000000,216.156000,15967469245584910126,null,4,1,0
82,12,6.156600,Normal,8.02,8.020000,235.000000,216.156000,17398987104164056686,null,4,1,0
83,18,6.180050,Normal,8.02,8.020000,235.000000,216.156000,17843250608928740418,null,4,1,0
84,24,6.045780,Normal,5.97,5.970000,239.000000,224.726000,15314158266181097117,null,4,1,0
85,30,6.038390,Normal,5.97,5.970000,239.000000,224.726000,14014970972462872043,null,4,1,0
86,36,6.015430,Normal,5.97,5.970000,239.000000,224.726000,1024926012259444127,null,4,1,0
87,42,5.590000,Normal,13.3,13.300000,248.000000,215.015000,2090478138896336457,null,4,1,0
88,48,5.997970,Normal,5.97,5.970000,239.000000,224.726000,3635749256796993918,null,4,1,0
89,54,6.130880,Normal,9.46,9.460000,239.000000,216.387000,9226547959586614956,null,4,1,0
90,60,5.980960,Normal,5.97,5.970000,239.000000,224.726000,5242195283587352526,null,4,1,0
91,66,5.985510,Normal,5.97,5.970000,239.000000,224.726000,13904060286918678024,null,4,1,0
92,72,5.623570,Normal,13.37,13.370000,243.000000,210.504000,9142973801690431278,null,4,1,0
93,78,6.008590,Normal,5.97,5.970000,239.000000,224.726000,11341516527682320660,null,4,1,0
94,84,5.971110,Normal,5.97,5.970000,239.000000,224.726000,14960325812784012983,null,4,1,0
95,90,5.980100,Normal,5.97,5.970000,239.000000,224.726000,14342193346017748225,null,4,1,0
96,95,5.151950,Normal,55.97,55.970000,258.000000,113.587000,4413867196198690653,null,4,1,0
97,101,6.007110,Normal,5.97,5.970000,239.000000,224.726000,9145723119515413591,null,4,1,0
98,107,5.683940,Normal,9.58,9.580000,241.000000,217.921000,3367809175759176323,null,4,1,0
99,113,6.051690,Normal,12.64,12.640000,241.000000,210.533000,12978372523282107048,null,4,1,0
100,119,5.941230,Normal,5.97,5.970000,239.000000,224.726000,8627835518464336185,null,4,1,0
101,5,5.805060,Normal,41.43,41.430000,258.000000,151.104000,7760100865801519094,null,5,1,0
102,11,5.786140,Normal,41.43,41.430000,258.000000,151.104000,16748171794025679705,null,5,1,0
103,17,5.794150,Normal,41.43,41.430000,258.000000,151.104000,11408217312589905696,null,5,1,0
104,23,5.981200,Normal,64.57,64.570000,278.000000,98.485600,17765750745541382777,null,5,1,0
105,29,5.789230,Normal,41.43,41.430000,258.000000,151.104000,6373017904827793353,null,5,1,0
106,35,5.615460,Normal,12.51,12.510000,248.000000,216.979000,4687921281267839094,null,5,1,0
107,40,5.602650,Normal,12.51,12.510000,248.000000,216.979000,17434824665853049431,null,5,1,0
108,46,5.595270,Normal,13.14,13.140000,248.000000,215.423000,6489389855345014865,null,5,1,0
109,52,5.864000,Normal,7.26,7.260000,243.000000,225.355000,7860702193886833014,null,5,1,0
110,58,5.849150,Normal,7.26,7.260000,243.000000,225.355000,14976068500975293442,null,5,1,0
111,63,5.571210,Normal,54.61,54.610000,256.000000,116.190000,15260591219560680201,null,5,1,0
112,69,6.068120,Normal,9.97,9.970000,238.000000,214.283000,11956618402831632381,null,5,1,0
113,75,6.026290,Normal,10.38,10.380000,239.000000,214.195000,11320081813375902422,null,5,1,0
114,81,5.840650,Normal,7.26,7.260000,243.000000,225.355000,8384876723585131735,null,5,1,0
115,87,5.847620,Normal,7.26,7.260000,243.000000,225.355000,7806356834825395077,null,5,1,0
116,93,5.590100,Normal,12.51,12.510000,248.000000,216.979000,9387348739261978330,null,5,1,0
117,99,5.917210,Normal,7.26,7.260000,243.000000,225.355000,10375710283285761685,null,5,1,0
118,105,5.810670,Normal,23.99,23.990000,242.000000,183.945000,5545008531769766250,null,5,1,0
119,110,5.858800,Normal,8.07,8.070000,236.000000,216.953000,13231681174106122555,null,5,1,0
120,116,5.850690,Normal,7.26,7.260000,243.000000,225.355000,5314866995463399723,null,5,1,0
121,5,5.861040,Normal,9.24,9.240000,243.000000,220.548000,9780203583707233689,null,6,1,0
122,11,5.843680,Normal,9.24,9.240000,243.000000,220.548000,10312537027805761858,null,6,1,0
123,17,5.854990,Normal,9.24,9.240000,243.000000,220.548000,5666962869027515619,null,6,1,0
124,23,5.758800,Normal,14.91,14.910000,248.000000,211.035000,10430870351543335230,null,6,1,0
125,29,5.864450,Normal,9.24,9.240000,243.000000,220.548000,5067090313668998178,null,6,1,0
126,35,5.964200,Normal,13.53,13.530000,243.000000,210.133000,9349324400397823569,null,6,1,0
127,41,5.822580,Normal,9.24,9.240000,243.000000,220.548000,18336645636746358870,null,6,1,0
128,47,5.814270,Normal,9.24,9.240000,243.000000,220.548000,14273922129375939757,null,6,1,0
129,52,5.797300,Normal,9.24,9.240000,243.000000,220.548000,10272331148800803922,null,6,1,0
130,58,5.862590,Normal,11.54,11.540000,245.000000,216.732000,15024929431657689603,null,6,1,0
131,64,5.813530,Normal,9.24,9.240000,243.000000,220.548000,15197494266196177811,null,6,1,0
132,70,5.791220,Normal,9.24,9.240000,243.000000,220.548000,17985890813360021751,null,6,1,0
133,76,6.225810,Normal,14.62,14.620000,237.000000,202.356000,14800532260472062022,null,6,1,0
