EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,11,11.139331,Normal,6.17,6.170000,24408.292171,22901.485260,14921508010286178949,null,0,1,0
2,22,10.802647,Normal,6.17,6.170000,24408.292171,22901.485260,16450644818478286277,null,0,1,0
3,33,11.628602,Normal,6.17,6.170000,24408.292171,22901.485260,15495703117619861868,null,0,1,0
4,43,9.850147,Normal,7.22,7.220000,24629.490306,22851.950251,12911295086759950527,null,0,1,0
5,54,10.664516,Normal,6.17,6.170000,24408.292171,22901.485260,18392939659909934726,null,0,1,0
6,69,14.570726,Normal,3.45,3.450000,24408.292171,23565.203026,2077675631147850639,null,0,1,0
7,83,14.127810,Normal,3.41,3.410000,24408.292171,23575.143930,3203049053763300710,null,0,1,0
8,97,14.391060,Normal,3.45,3.450000,24408.292171,23565.203026,1590788748286841215,null,0,1,0
9,111,13.990473,Normal,6.65,6.650000,24494.610953,22866.007589,2002873554731657853,null,0,1,0
10,125,13.532039,Normal,4.84,4.840000,24549.686181,23361.244773,1686372470080117837,null,0,1,0
11,139,13.753076,Normal,6.6,6.600000,24594.071532,22971.990159,1812523923343204557,null,0,1,0
12,153,14.686434,Normal,3.41,3.410000,24408.292171,23575.143930,4204199195361405078,null,0,1,0
13,168,14.251569,Normal,3.41,3.410000,24408.292171,23575.143930,2567112438756211062,null,0,1,0
14,182,14.590746,Normal,4.2,4.200000,24611.477368,23577.343777,11614693123338126090,null,0,1,0
15,194,11.602791,Normal,6.17,6.170000,24408.292171,22901.485260,281880667954374288,null,0,1,0
16,209,14.539847,Normal,4.98,4.980000,24330.429034,23119.691823,17709692509506064276,null,0,1,0
17,224,14.970162,Normal,3.41,3.410000,24408.292171,23575.143930,11363379181186265933,null,0,1,0
18,239,14.788968,Normal,3.45,3.450000,24408.292171,23565.203026,245035680182400687,null,0,1,0
19,253,14.637070,Normal,3.41,3.410000,24408.292171,23575.143930,12512770012957447678,null,0,1,0
20,266,12.316264,Normal,3.41,3.410000,24408.292171,23575.143930,12911969120629744605,null,0,1,0
21,9,9.005340,Normal,6.88,6.880000,24379.600000,22702.400000,15975053200128520966,null,1,1,0
22,17,8.298530,Normal,6.88,6.880000,24379.600000,22702.400000,14736040167761799222,null,1,1,0
23,26,8.666650,Normal,6.88,6.880000,24379.600000,22702.400000,14825408793935284364,null,1,1,0
24,38,12.152400,Normal,6.18,6.180000,24341.600000,22837.200000,3657347027952188566,null,1,1,0
25,51,12.982900,Normal,6.18,6.180000,24341.600000,22837.200000,7739945103388606596,null,1,1,0
26,65,13.678100,Normal,6.18,6.180000,24330.400000,22826.100000,3530814478866941977,null,1,1,0
27,79,14.349400,Normal,6.01,6.010000,24380.000000,22914.500000,13832748879875760361,null,1,1,0
28,94,14.342200,Normal,6.01,6.010000,24380.000000,22914.500000,12312953845174238168,null,1,1,0
29,108,13.878900,Normal,6.01,6.010000,24380.000000,22914.500000,9659388700688129562,null,1,1,0
30,121,13.799700,Normal,6.01,6.010000,24380.000000,22914.500000,2334146190106848321,null,1,1,0
31,136,14.830400,Normal,6.11,6.110000,24379.400000,22890.300000,1823202634558879499,null,1,1,0
32,151,14.404300,Normal,6.01,6.010000,24380.000000,22914.500000,14029922310364570904,null,1,1,0
33,165,14.581000,Normal,6.11,6.110000,24379.400000,22890.300000,5880361166625971697,null,1,1,0
34,179,13.922300,Normal,4.99,4.990000,24379.400000,23162.400000,3469080090694685915,null,1,1,0
35,194,14.037600,Normal,4.76,4.760000,24380.000000,23220.000000,8609094712597500846,null,1,1,0
