EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,6.935636,Normal,33.48,33.480000,-15.000000,-20.021351,14921508010286178949,null,0,1,0
2,7,6.208471,Normal,42.92,42.920000,-15.000000,-21.438064,18272288580721317270,null,0,1,0
3,14,6.832975,Normal,33.48,33.480000,-15.000000,-20.021351,6762843893550650360,null,0,1,0
4,14,6.550684,Normal,33.37,33.370000,-15.000000,-20.005596,15743638518301921207,null,0,1,0
5,21,7.057263,Normal,33.48,33.480000,-15.000000,-20.021351,14921508010286178949,null,0,1,0
6,21,7.244395,Normal,33.37,33.370000,-15.000000,-20.005596,9638131489881011016,null,0,1,0
7,29,7.265270,Normal,33.37,33.370000,-15.000000,-20.005596,9721512887078055006,null,0,1,0
8,29,7.828160,Normal,42.66,42.660000,-15.000000,-21.398340,3540403053914089040,null,0,1,0
9,37,7.164778,Normal,33.37,33.370000,-15.000000,-20.005596,5632760085184190587,null,0,1,0
10,37,7.240794,Normal,33.37,33.370000,-15.000000,-20.005596,5988662020493846908,null,0,1,0
11,45,7.559683,Normal,35.31,35.310000,-15.000000,-20.296397,6443861715859853008,null,0,1,0
12,45,6.562611,Normal,33.48,33.480000,-15.000000,-20.021351,8683817217222751575,null,0,1,0
13,52,6.661064,Normal,33.37,33.370000,-15.000000,-20.005596,13609831341359512780,null,0,1,0
14,52,6.425360,Normal,34.02,34.020000,-15.000000,-20.102871,15936577325671808847,null,0,1,0
15,59,6.984337,Normal,33.37,33.370000,-15.000000,-20.005596,271321391208788895,null,0,1,0
16,59,6.575958,Normal,33.37,33.370000,-15.000000,-20.005596,2673301136072141719,null,0,1,0
17,66,6.972712,Normal,33.37,33.370000,-15.000000,-20.005596,16385948739050342373,null,0,1,0
18,66,6.658290,Normal,33.37,33.370000,-15.000000,-20.005596,12911295086759950527,null,0,1,0
19,73,6.917793,Normal,33.37,33.370000,-15.000000,-20.005596,3499817129807317381,null,0,1,0
20,73,6.994573,Normal,33.64,33.640000,-15.000000,-20.045866,2129804365915049864,null,0,1,0
21,80,6.700224,Normal,33.37,33.370000,-15.000000,-20.005596,2474017495091591144,null,0,1,1
22,80,7.020355,Normal,33.37,33.370000,-15.000000,-20.005596,7792009542185450247,null,1,1,1
23,88,7.036800,Normal,33.18,33.180000,-15.000000,-19.976956,14480928613379418202,null,0,1,1
24,95,7.067923,Normal,33.37,33.370000,-15.000000,-20.005596,7585547233487388009,null,0,2,0
25,95,6.487789,Normal,33.37,33.370000,-15.000000,-20.005596,14309671843471186905,null,0,2,0
26,103,7.740511,Normal,35.31,35.310000,-15.000000,-20.296397,6443861715859853008,null,0,2,0
27,103,6.855235,Normal,33.37,33.370000,-15.000000,-20.005596,6573113883370890044,null,0,2,0
28,110,6.989557,Normal,33.37,33.370000,-15.000000,-20.005596,13609831341359512780,null,0,2,0
29,110,6.570423,Normal,33.37,33.370000,-15.000000,-20.005596,3499817129807317381,null,0,2,0
30,118,7.178188,Normal,33.18,33.180000,-15.000000,-19.976956,705025517166493780,null,0,2,1
