EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,9,9.899350,Normal,29.24,29.240000,34.142100,24.158138,14921508010286178949,null,0,1,0
2,20,10.995762,Normal,26.9,26.900000,33.627360,24.582847,12911295086759950527,null,0,1,0
3,32,11.258125,Normal,34.32,34.320000,34.142100,22.423922,4377604304300178125,null,0,1,0
4,43,10.847466,Normal,26.15,26.150000,34.142100,25.214075,4167939644347090976,null,0,1,0
5,53,10.115517,Normal,25.14,25.140000,34.384730,25.742090,17595320696554891968,null,0,1,0
6,64,10.730545,Normal,34.47,34.470000,33.970520,22.259620,15861324683852475714,null,0,1,0
7,74,10.204690,Normal,25.44,25.440000,34.384730,25.636008,3068629658118357721,null,0,1,0
8,85,11.257135,Normal,25.14,25.140000,34.384730,25.742090,8862060248782216913,null,0,1,0
9,96,11.266984,Normal,26.71,26.710000,34.384730,25.200285,6399949157172823641,null,0,1,0
10,107,10.523923,Normal,29.24,29.240000,34.142100,24.158138,14770251354950928531,null,0,1,0
11,118,11.361163,Normal,31.02,31.020000,34.142100,23.552478,4038874039834982111,null,0,1,0
12,129,10.904998,Normal,24.59,24.590000,34.384730,25.928393,8727952848629727943,null,0,1,0
13,140,11.020174,Normal,27.74,27.740000,33.970520,24.545679,466183003972967663,null,0,1,0
14,151,10.256596,Normal,26.21,26.210000,33.556310,24.760205,2417914963062698479,null,0,1,0
15,161,10.956594,Normal,26.02,26.020000,34.384730,25.437090,3535311958652779719,null,0,1,0
16,172,10.890707,Normal,23.62,23.620000,34.384730,26.262365,16813663864587598236,null,0,1,0
17,183,10.869066,Normal,23.62,23.620000,34.384730,26.262365,5264849087304617896,null,0,1,0
18,196,12.581748,Normal,28.35,28.350000,34.142100,24.462109,14927488957874240389,null,0,1,0
19,207,11.531404,Normal,23.37,23.370000,34.384730,26.348847,4865015713560779423,null,0,1,0
20,218,10.894163,Normal,31.63,31.630000,34.384730,23.507894,13055567702889003069,null,0,1,0
21,14,14.116500,Normal,48.71,48.710000,34.556300,17.724100,7028777073267807816,null,1,1,0
22,29,15.199100,Normal,51.41,51.410000,33.384700,16.222600,15291860037756058713,null,1,1,0
23,44,14.772900,Normal,50.99,50.990000,35.142100,17.222700,15556043000346697145,null,1,1,0
24,54,10.476700,Normal,37.09,37.090000,34.727900,21.848200,6545371333829026995,null,1,1,0
25,65,11.131300,Normal,37.09,37.090000,34.727900,21.848200,1397933428060168984,null,1,1,0
26,76,10.618000,Normal,37.09,37.090000,34.727900,21.848200,16013003481142567195,null,1,1,0
27,87,10.952000,Normal,36.81,36.810000,34.142100,21.575600,18304181909300743259,null,1,1,0
28,97,9.640200,Normal,32.76,32.760000,34.727900,23.352400,15691294478018116230,null,1,1,0
29,108,11.752300,Normal,38.46,38.460000,33.556300,20.649600,13121505068693175256,null,1,1,0
30,119,10.475100,Normal,32.52,32.520000,34.727900,23.434100,11744109855835569475,null,1,1,0
31,129,9.977680,Normal,32.52,32.520000,34.727900,23.434100,10504915120591534211,null,1,1,0
32,140,10.568100,Normal,32.52,32.520000,34.727900,23.434100,889989526592964538,null,1,1,0
33,150,10.355600,Normal,32.76,32.760000,34.727900,23.352400,6175696736466204927,null,1,1,0
34,161,11.413500,Normal,32.95,32.950000,33.556300,22.497900,1003766597458090454,null,1,1,0
35,172,10.831100,Normal,36.03,36.030000,34.727900,22.215500,1160743552944259517,null,1,1,0
36,182,9.951220,Normal,32.52,32.520000,34.727900,23.434100,11156229228941401090,null,1,1,0
37,192,10.300500,Normal,30.91,30.910000,33.556300,23.182700,9809250754672679100,null,1,1,0
38,203,10.976700,Normal,34.71,34.710000,34.142100,22.291600,11521630945411528975,null,1,1,0
39,213,9.857040,Normal,30.91,30.910000,33.556300,23.182700,1881758584464271025,null,1,1,0
