EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,7.074698,Normal,5.36,5.360000,-147.031250,-154.908748,14921508010286178949,null,0,1,0
2,14,7.034281,Normal,5.56,5.560000,-147.000000,-155.179357,1894762743428622621,null,0,1,0
3,21,7.055784,Normal,5.36,5.360000,-147.031250,-154.908748,2225858521084382651,null,0,1,0
4,28,6.896392,Normal,5.36,5.360000,-147.031250,-154.908748,15743638518301921207,null,0,1,0
5,36,7.009954,Normal,5.36,5.360000,-147.031250,-154.908748,18060637416333092177,null,0,1,0
6,43,7.251892,Normal,3.42,3.420000,-149.375000,-154.482506,12911295086759950527,null,0,1,0
7,50,7.105615,Normal,5.63,5.630000,-146.906250,-155.174218,6069347888666045659,null,0,1,0
8,58,7.158681,Normal,5.53,5.530000,-147.000000,-155.124181,18090118877917844265,null,0,1,0
9,65,7.159224,Normal,5.53,5.530000,-147.000000,-155.124181,11525842961022546707,null,0,1,0
10,72,7.226528,Normal,3.42,3.420000,-149.375000,-154.482506,12564094921042026139,null,0,1,0
11,80,7.146135,Normal,5.53,5.530000,-147.000000,-155.124181,6912306756572927766,null,0,1,0
12,87,7.160731,Normal,3.42,3.420000,-149.375000,-154.482506,5160892992537232807,null,0,1,0
13,94,7.095016,Normal,5.53,5.530000,-147.000000,-155.124181,11559130241872622515,null,0,1,0
14,102,7.125199,Normal,8.36,8.360000,-143.906250,-155.938326,14435525882683381056,null,0,1,0
15,109,7.030206,Normal,3.41,3.410000,-149.375000,-154.464763,1326127114502151052,null,0,1,0
16,116,6.974872,Normal,3.41,3.410000,-149.375000,-154.464763,1163155584378255815,null,0,1,0
17,123,7.001445,Normal,3.41,3.410000,-149.375000,-154.464763,12848826462064125145,null,0,1,0
18,130,6.808078,Normal,4.68,4.680000,-148.062500,-154.984556,4063701962894822506,null,0,1,0
19,137,6.990506,Normal,3.41,3.410000,-149.375000,-154.464763,4524229226174922856,null,0,1,0
20,144,6.801340,Normal,5.1,5.100000,-147.187500,-154.696736,5398713608842390699,null,0,1,0
21,7,7.093150,Normal,3.78,3.780000,-148.781000,-154.402000,10714195048676262818,null,1,1,0
22,14,6.985530,Normal,5.97,5.970000,-146.219000,-154.942000,15497166752811879062,null,1,1,0
23,21,7.069130,Normal,4.41,4.410000,-148.062000,-154.591000,16673489937088604651,null,1,1,0
24,28,6.669610,Normal,5.89,5.890000,-146.375000,-154.995000,12807152294793795668,null,1,1,0
25,35,7.044660,Normal,3.78,3.780000,-148.781000,-154.402000,3528240066080936945,null,1,1,0
26,43,7.119770,Normal,3.78,3.780000,-148.781000,-154.402000,4877416657366106567,null,1,1,0
27,50,7.121840,Normal,7.19,7.190000,-144.875000,-155.292000,9780628134543733248,null,1,1,0
28,57,7.017990,Normal,3.78,3.780000,-148.781000,-154.402000,5752263010128286911,null,1,1,0
29,64,7.012420,Normal,3.78,3.780000,-148.781000,-154.402000,13024943157289808837,null,1,1,0
30,72,7.038400,Normal,3.78,3.780000,-148.781000,-154.402000,14297073858881375930,null,1,1,0
31,79,7.022590,Normal,4.41,4.410000,-148.062000,-154.591000,9554512344755368424,null,1,1,0
32,86,7.007670,Normal,3.78,3.780000,-148.781000,-154.402000,11263716295464900870,null,1,1,0
33,93,6.952670,Normal,3.78,3.780000,-148.781000,-154.402000,12255461805226626155,null,1,1,0
34,100,6.697940,Normal,5.64,5.640000,-146.906000,-155.185000,7077006639375785113,null,1,1,0
35,107,6.868010,Normal,3.78,3.780000,-148.781000,-154.402000,2407423008004504965,null,1,1,0
36,114,6.860780,Normal,6.23,6.230000,-145.969000,-155.057000,8208175507312981936,null,1,1,0
37,121,6.919240,Normal,4.76,4.760000,-148.063000,-155.110000,12470302352633690805,null,1,1,0
38,128,6.829680,Normal,3.34,3.340000,-149.375000,-154.367000,2574523849621692264,null,1,1,0
39,135,6.845560,Normal,3.34,3.340000,-149.375000,-154.367000,8454553904487592576,null,1,1,0
40,142,6.844220,Normal,3.34,3.340000,-149.375000,-154.367000,44913139821227290,null,1,1,0
41,7,7.153770,Normal,5.5,5.500000,-147.000000,-155.092000,4560123928916166802,null,2,1,0
42,14,7.146950,Normal,5.5,5.500000,-147.000000,-155.092000,6336639357534061763,null,2,1,0
43,22,7.151700,Normal,5.5,5.500000,-147.000000,-155.092000,9578218561810717107,null,2,1,0
44,29,6.922840,Normal,6.62,6.620000,-145.469000,-155.092000,11191679049615450912,null,2,1,0
45,36,7.126660,Normal,5.5,5.500000,-147.000000,-155.092000,14881255246323509027,null,2,1,0
46,43,7.140900,Normal,5.5,5.500000,-147.000000,-155.092000,2095480094893271576,null,2,1,0
47,51,7.090190,Normal,5.5,5.500000,-147.000000,-155.092000,4957892218848984804,null,2,1,0
48,58,7.060330,Normal,5.5,5.500000,-147.000000,-155.092000,17040887141030489577,null,2,1,0
49,65,7.010580,Normal,5.5,5.500000,-147.000000,-155.092000,291505252012384056,null,2,1,0
50,72,7.034980,Normal,5.5,5.500000,-147.000000,-155.092000,210490445237073020,null,2,1,0
51,79,6.871790,Normal,5.82,5.820000,-146.469000,-154.994000,1357180795033249854,null,2,1,0
52,86,6.986800,Normal,5.5,5.500000,-147.000000,-155.092000,10882911472585514396,null,2,1,0
53,93,6.892480,Normal,5.64,5.640000,-146.906000,-155.191000,7789881817407444137,null,2,1,0
54,101,7.002390,Normal,4.46,4.460000,-148.344000,-154.963000,12102946120573793848,null,2,1,0
55,108,6.962460,Normal,4.46,4.460000,-148.344000,-154.963000,7647684148819603143,null,2,1,0
56,115,7.018780,Normal,4.46,4.460000,-148.344000,-154.963000,16277388818026339503,null,2,1,0
57,122,7.052920,Normal,8.36,8.360000,-143.906000,-155.938000,6215813374129996397,null,2,1,0
58,129,6.868530,Normal,4.33,4.330000,-148.062000,-154.478000,2328189898004378618,null,2,1,0
59,136,6.871130,Normal,4.33,4.330000,-148.062000,-154.478000,3159292866842341273,null,2,1,0
60,143,6.858980,Normal,4.33,4.330000,-148.062000,-154.478000,11133293823026773214,null,2,1,0
61,7,6.994630,Normal,5.1,5.100000,-147.188000,-154.697000,13644116338450636441,null,3,1,0
62,14,6.994390,Normal,5.1,5.100000,-147.188000,-154.697000,13369803430710319379,null,3,1,0
63,21,6.993950,Normal,5.1,5.100000,-147.188000,-154.697000,527185694109077688,null,3,1,0
64,28,6.923500,Normal,5.1,5.100000,-147.188000,-154.697000,1045278449618733324,null,3,1,0
65,35,7.015560,Normal,3.34,3.340000,-149.375000,-154.367000,628388299469175967,null,3,1,0
66,43,6.974250,Normal,3.34,3.340000,-149.375000,-154.367000,14230067925124493913,null,3,1,0
67,50,6.966480,Normal,3.34,3.340000,-149.375000,-154.367000,4559142321536033255,null,3,1,0
68,57,6.973200,Normal,3.34,3.340000,-149.375000,-154.367000,2933990443378167543,null,3,1,0
69,64,6.659380,Normal,6.28,6.280000,-145.750000,-154.910000,17115364707116179540,null,3,1,0
70,71,6.910520,Normal,3.34,3.340000,-149.375000,-154.367000,1938558272813926760,null,3,1,0
71,78,6.712370,Normal,6.72,6.720000,-146.219000,-156.048000,16006536227535029068,null,3,1,0
72,85,6.876940,Normal,3.34,3.340000,-149.375000,-154.367000,12511138444403175851,null,3,1,0
73,92,6.852850,Normal,3.34,3.340000,-149.375000,-154.367000,712454918149477654,null,3,1,0
74,99,6.894700,Normal,3.34,3.340000,-149.375000,-154.367000,11644897302035698704,null,3,1,0
75,106,7.099560,Normal,7.19,7.190000,-144.875000,-155.292000,701849168476070450,null,3,1,0
76,113,6.948550,Normal,3.34,3.340000,-149.375000,-154.367000,6224934378635652157,null,3,1,0
77,120,6.838940,Normal,3.34,3.340000,-149.375000,-154.367000,7187055349039110277,null,3,1,0
78,127,6.855630,Normal,3.34,3.340000,-149.375000,-154.367000,127735800285735899,null,3,1,0
79,134,6.852450,Normal,3.34,3.340000,-149.375000,-154.367000,8803680100332731839,null,3,1,0
80,141,6.848200,Normal,3.34,3.340000,-149.375000,-154.367000,18252559906060483029,null,3,1,0
81,151,6.876595,Normal,3.55,3.550000,-149.375000,-154.679356,12214757174419959656,null,0,1,1
82,151,6.972017,Normal,6.94,6.940000,-145.906250,-156.035095,11516055684074652434,null,1,1,1
83,151,6.924216,Normal,6.94,6.940000,-145.906250,-156.035095,8336751315443278962,null,2,1,1
84,151,6.754024,Normal,6.95,6.950000,-145.906250,-156.048283,7053326057476626385,null,3,1,1
85,159,7.038241,Normal,4.83,4.830000,-147.500000,-154.624711,9821378195893557962,null,0,1,1
86,159,7.038290,Normal,4.83,4.830000,-147.500000,-154.624711,9071713416710998572,null,1,1,1
87,159,7.036759,Normal,3.34,3.340000,-149.375000,-154.366550,7825500433251474709,null,2,1,1
88,159,7.060163,Normal,3.34,3.340000,-149.375000,-154.366550,6272447080016046590,null,3,1,1
89,166,7.056392,Normal,6.09,6.090000,-147.093750,-156.047255,2876201177131791424,null,0,1,1
90,166,7.034899,Normal,6.15,6.150000,-146.562500,-155.576837,2209783066259232830,null,1,1,1
91,166,7.354908,Normal,4.79,4.790000,-148.062500,-155.147689,3452747607275102871,null,2,1,1
92,166,7.085898,Normal,5.96,5.960000,-145.656250,-154.340400,3832061061433160746,null,3,1,1
93,173,7.031787,Normal,3.34,3.340000,-149.375000,-154.366550,2107624081193389308,null,0,1,1
94,173,6.942387,Normal,3.77,3.770000,-149.375000,-155.000569,7996997128404309655,null,1,1,1
95,173,6.957420,Normal,3.76,3.760000,-149.375000,-154.996738,12755336426016782156,null,2,1,1
96,173,7.043796,Normal,3.76,3.760000,-149.375000,-154.996738,534381719493007492,null,3,1,1
97,181,7.111447,Normal,5.56,5.560000,-146.468750,-154.618902,15699319076527914212,null,0,1,1
98,181,6.947540,Normal,3.5,3.500000,-149.375000,-154.607682,13438393048155915272,null,1,1,1
99,181,6.983811,Normal,3.34,3.340000,-149.375000,-154.366550,3066977132643247305,null,2,1,1
100,181,7.043316,Normal,3.55,3.550000,-149.375000,-154.679356,11527341112530996696,null,3,1,1
101,188,6.788887,Normal,6.95,6.950000,-145.906250,-156.048283,5437199743150603412,null,0,1,1
102,188,6.808632,Normal,6.95,6.950000,-145.906250,-156.048283,14560375003116495692,null,1,1,1
103,188,6.761728,Normal,6.95,6.950000,-145.906250,-156.048283,5686291958054405280,null,2,1,1
104,188,6.808655,Normal,6.95,6.950000,-145.906250,-156.048283,14165747054177399834,null,3,1,1
105,195,6.785025,Normal,6.95,6.950000,-145.906250,-156.048283,13378594798327972819,null,0,1,1
106,195,6.798128,Normal,6.95,6.950000,-145.906250,-156.048283,13243199103637530566,null,1,1,1
