EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.788754,Normal,29.24,29.240000,34.142100,24.158138,14921508010286178949,null,0,1,0
2,5,5.635459,Normal,33.37,33.370000,34.142100,22.747435,12396218151131135542,null,0,1,0
3,6,6.315477,Normal,32.58,32.580000,34.142100,23.019313,10476872252734183562,null,0,1,0
4,6,6.520252,Normal,31.11,31.110000,34.142100,23.522198,6392235192070819192,null,0,1,0
5,6,5.772112,Normal,30.05,30.050000,33.798940,23.643442,15567323705133727665,null,0,1,0
6,6,5.395773,Normal,36.3,36.300000,34.556310,22.012211,14836092762407622465,null,0,1,0
7,6,6.009812,Normal,31.48,31.480000,34.142100,23.393099,6794033752137684416,null,0,1,0
8,6,6.169647,Normal,52.32,52.320000,33.556310,15.999194,7158399326505879216,null,0,1,0
9,12,5.779656,Normal,29.24,29.240000,34.142100,24.158138,13575339350133640537,null,0,1,0
10,12,5.773968,Normal,29.24,29.240000,34.142100,24.158138,14770251354950928531,null,0,1,0
11,12,5.776127,Normal,29.24,29.240000,34.142100,24.158138,18392939659909934726,null,0,1,0
12,12,5.667584,Normal,31.44,31.440000,34.142100,23.408278,2077675631147850639,null,0,1,0
13,12,5.765169,Normal,29.24,29.240000,34.142100,24.158138,2225858521084382651,null,0,1,0
14,12,5.779235,Normal,28.51,28.510000,34.142100,24.408610,10101538263502436884,null,0,1,0
15,12,5.354604,Normal,31.81,31.810000,34.142100,23.282403,16957666276679199244,null,0,1,0
16,12,5.733339,Normal,27.15,27.150000,33.556310,24.444915,5988662020493846908,null,0,1,0
17,18,5.608815,Normal,33.33,33.330000,34.142100,22.762420,10712609067010993414,null,0,1,0
18,18,5.799045,Normal,29.24,29.240000,34.142100,24.158138,16450644818478286277,null,0,1,0
19,18,5.511618,Normal,34.47,34.470000,33.970520,22.259620,7236448467737835169,null,0,1,0
20,18,5.806154,Normal,29.17,29.170000,33.970520,24.059757,17922897224753051578,null,0,1,0
21,18,5.748744,Normal,32.19,32.190000,34.142100,23.150975,14512341152078143690,null,0,1,0
22,18,5.810685,Normal,28.91,28.910000,34.142100,24.272084,3895283216737288575,null,0,1,0
23,18,5.764260,Normal,27.15,27.150000,33.556310,24.444915,10160142921508570013,null,0,1,0
24,18,5.579839,Normal,29.64,29.640000,33.798940,23.781155,793450278422729020,null,0,1,0
25,24,5.906314,Normal,34.63,34.630000,34.727890,22.700410,4412006577479808680,null,0,1,1
26,24,6.017010,Normal,28.46,28.460000,34.556310,24.720224,832080117678935140,null,1,1,1
27,23,5.298365,Normal,30.91,30.910000,34.142100,23.589620,459856714994675816,null,2,1,1
28,23,5.293377,Normal,30.91,30.910000,34.142100,23.589620,4588270580077822902,null,3,1,1
29,23,5.672668,Normal,30.36,30.360000,34.142100,23.776923,8284124047352113410,null,4,1,1
30,24,5.807432,Normal,32.29,32.290000,34.142100,23.115944,6532768110332004590,null,5,1,1
31,23,5.668218,Normal,32.43,32.430000,34.556310,23.349073,4731903461561619506,null,6,1,1
32,23,5.652818,Normal,32.43,32.430000,34.556310,23.349073,16519253465711850367,null,7,1,1
33,30,5.706562,Normal,19.96,19.960000,33.556310,26.858889,7788385820743825064,null,0,1,1
34,36,5.821144,Normal,29.95,29.950000,33.798940,23.676889,10926055034921966546,null,0,2,0
35,36,5.683441,Normal,44.75,44.750000,41.556310,22.958872,6441039850548661218,null,0,2,0
36,36,5.775615,Normal,27.15,27.150000,33.556310,24.444915,4974937575069386215,null,0,2,0
37,36,5.855273,Normal,32.16,32.160000,33.798940,22.929544,4224704790384270877,null,0,2,0
38,36,5.815763,Normal,29.17,29.170000,33.970520,24.059757,17922897224753051578,null,0,2,0
39,36,5.769708,Normal,27.15,27.150000,33.556310,24.444915,9846596102709269147,null,0,2,0
40,36,5.784259,Normal,29.07,29.070000,34.142100,24.217133,15743638518301921207,null,0,2,0
41,36,5.817259,Normal,27.42,27.420000,33.556310,24.356158,7973220047447900806,null,0,2,0
42,42,5.786724,Normal,32.29,32.290000,34.142100,23.115944,6532768110332004590,null,0,2,0
43,42,5.764169,Normal,27.15,27.150000,33.556310,24.444915,10160142921508570013,null,0,2,0
44,42,5.768986,Normal,27.15,27.150000,33.556310,24.444915,15131497497197167833,null,0,2,0
45,42,5.784063,Normal,29.24,29.240000,34.142100,24.158138,14770251354950928531,null,0,2,0
46,42,5.490337,Normal,33.29,33.290000,34.142100,22.776090,5757718786072073584,null,0,2,0
47,42,5.745810,Normal,27.02,27.020000,33.556310,24.489973,16579847008488147396,null,0,2,0
48,42,5.888637,Normal,34.63,34.630000,34.727890,22.700410,4412006577479808680,null,0,2,0
49,42,5.922647,Normal,26.9,26.900000,33.627360,24.582847,12911295086759950527,null,0,2,0
50,48,5.815808,Normal,27.24,27.240000,34.798940,25.319957,12062977401306584916,null,0,2,1
51,48,6.021516,Normal,28.15,28.150000,34.384730,24.706719,15792168992343640217,null,1,2,1
52,48,5.710951,Normal,22.85,22.850000,33.798940,26.077456,16891818777716348624,null,2,2,1
53,48,5.951137,Normal,24.75,24.750000,33.556310,25.249773,13674718595396967031,null,3,2,1
54,48,5.661628,Normal,21.08,21.080000,33.556310,26.481902,11667458551916402223,null,4,2,1
55,48,5.802711,Normal,25.2,25.200000,33.556310,25.098759,5057252335039999546,null,5,2,1
