EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,8,35.48,35.480000,1550013250.000006,1000005975.192370,14921508010286178949,null,0,1,0
2,8,50,50.000000,1600010000.000000,800004000.000000,4742023368992659407,null,1,1,0
3,7,48.29,48.290000,1640010000.000000,848007000.000000,13833839775346593887,null,2,1,0
4,7,44.83,44.830000,1450010000.000000,800007000.000000,7691846394389702564,null,3,1,0
5,8,42.82,42.820000,1600010000.000000,914820000.000000,4646249020595888442,null,4,1,0
6,7,0,0.000000,1200010000.000000,1200000000.000000,8324574644124398767,null,5,1,0
7,7,52.24,52.240000,1675020000.000000,800004000.000000,3886030221489175234,null,6,1,0
8,8,38.64,38.640000,1466680000.000000,900006000.000000,3328272113575592546,null,7,1,0
9,8,45.76,45.760000,1475010000.000000,800005000.000000,23473476996067268,null,8,1,0
10,8,32.98,32.980000,1566680000.000000,1050010000.000000,4101447407034555035,null,9,1,0
11,7,35.81,35.810000,1433350000.000000,920007000.000000,7392997893054511365,null,10,1,0
12,9,44.45,44.450000,1633350000.000000,907396000.000000,14110895929605178491,null,11,1,0
13,7,44.81,44.810000,1500010000.000000,827913000.000000,17787037195499102031,null,12,1,0
14,7,43.75,43.750000,1600010000.000000,900004000.000000,5850072215793602704,null,13,1,0
15,7,35.48,35.480000,1550010000.000000,1000010000.000000,15017979950085684316,null,14,1,0
16,8,32.2,32.200000,1475010000.000000,1000000000.000000,4160351229302844978,null,15,1,0
17,8,20,20.000000,1500010000.000000,1200010000.000000,2033913545183334433,null,16,1,0
18,8,43.78,43.780000,1778590000.000000,1000010000.000000,18426451321959203352,null,17,1,0
19,8,32.2,32.200000,1475010000.000000,1000010000.000000,937956265293325158,null,18,1,0
20,7,44.74,44.740000,1628590000.000000,900003000.000000,4637365421671620599,null,19,1,0
21,8,39.16,39.160000,1479180000.000000,900006000.000000,3952786997570818769,null,20,1,0
22,7,43.9,43.900000,1700010000.000000,953778000.000000,18426814565939704518,null,21,1,0
23,13,31.71,31.710000,1600010000.000000,1092600000.000000,7452973555539249344,null,21,1,0
24,7,47.06,47.060000,1700010000.000000,900003000.000000,17412753497055471724,null,22,1,0
25,7,50,50.000000,1600010000.000000,800005000.000000,12088271907403222212,null,23,1,0
26,7,46.67,46.670000,1500010000.000000,800005000.000000,4512936720691407968,null,24,1,0
27,15,41.82,41.820000,1375010000.000000,800005000.000000,2896989207236771968,null,24,1,0
28,7,40.98,40.980000,1525010000.000000,900006000.000000,12084147994480933108,null,25,1,0
29,13,41.94,41.940000,1550010000.000000,900006000.000000,5151583465347916610,null,25,1,0
30,21,40.96,40.960000,1566680000.000000,925006000.000000,1067148853958145235,null,25,1,0
31,7,36.52,36.520000,1487510000.000000,944237000.000000,15752235500316792683,null,26,1,0
32,13,31.51,31.510000,1460010000.000000,1000000000.000000,2942672719927636763,null,26,1,0
33,7,35.71,35.710000,1400010000.000000,900005000.000000,3013857893883550882,null,27,1,0
34,15,35.71,35.710000,1400010000.000000,900005000.000000,2231965016838856671,null,27,1,0
35,7,46.27,46.270000,1800010000.000000,967191000.000000,12632653118588243493,null,28,1,0
36,15,46.27,46.270000,1800010000.000000,967191000.000000,6363202055886009797,null,28,1,0
37,8,40.63,40.630000,1600010000.000000,950006000.000000,1918941957535850273,null,29,1,0
38,15,48.58,48.580000,1600010000.000000,822770000.000000,7277523212765189328,null,29,1,0
39,6,45.45,45.450000,1650020000.000000,900005000.000000,4056255982833093347,null,30,1,0
40,13,45.45,45.450000,1650020000.000000,900005000.000000,5215782375994665095,null,30,1,0
41,20,41.94,41.940000,1550020000.000000,900005000.000000,661053587789431469,null,30,1,0
42,7,41.75,41.750000,1716680000.000000,1000010000.000000,16053166137183510818,null,31,1,0
43,14,39.18,39.180000,1425010000.000000,866674000.000000,13271046813843772663,null,31,1,0
