EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,26.71,26.710000,1106.654996,811.108951,14921508010286178949,null,0,1,0
2,21,26.71,26.710000,1106.654996,811.108951,5643427149002281568,null,0,1,0
3,30,50.12,50.120000,1619.199669,807.723690,2823934824078185206,null,0,1,0
4,40,26.71,26.710000,1106.654996,811.108951,12911295086759950527,null,0,1,0
5,50,26.71,26.710000,1106.654996,811.108951,15495703117619861868,null,0,1,0
6,61,26.71,26.710000,1106.654996,811.108951,13964071529318666704,null,0,1,0
7,71,26.71,26.710000,1106.654996,811.108951,635589708496059671,null,0,1,0
8,82,26.71,26.710000,1106.654996,811.108951,16450644818478286277,null,0,1,0
9,92,26.71,26.710000,1106.654996,811.108951,2077675631147850639,null,0,1,0
10,102,26.71,26.710000,1106.654996,811.108951,2225858521084382651,null,0,1,0
11,113,26.71,26.710000,1106.654996,811.108951,3895283216737288575,null,0,1,0
12,122,66.62,66.620000,2406.646621,803.373888,16957666276679199244,null,0,1,0
13,132,26.71,26.710000,1106.654996,811.108951,6762843893550650360,null,0,1,0
14,143,26.71,26.710000,1106.654996,811.108951,844706301316953147,null,0,1,0
15,153,26.71,26.710000,1106.654996,811.108951,10905844833752053842,null,0,1,0
16,163,26.71,26.710000,1106.654996,811.108951,10346973009034893901,null,0,1,0
17,172,50.12,50.120000,1619.199669,807.723690,5948685825087948624,null,0,1,0
18,183,26.71,26.710000,1106.654996,811.108951,18060637416333092177,null,0,1,0
19,192,66.81,66.810000,2420.506503,803.373888,864434800366833410,null,0,1,0
20,202,26.71,26.710000,1106.654996,811.108951,10475899001479897097,null,0,1,0
21,9,66.81,66.810000,2420.510000,803.374000,17514050945686148453,null,1,1,0
22,18,66.81,66.810000,2420.510000,803.374000,14945327202240187335,null,1,1,0
23,27,66.81,66.810000,2420.510000,803.374000,5618135918108975868,null,1,1,0
24,36,66.81,66.810000,2420.510000,803.374000,14451080528597731927,null,1,1,0
25,45,66.81,66.810000,2420.510000,803.374000,14848801465634500120,null,1,1,0
26,54,66.81,66.810000,2420.510000,803.374000,5751493537778056445,null,1,1,0
27,63,66.81,66.810000,2420.510000,803.374000,3285289725500150287,null,1,1,0
