EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,9.45,9.450000,25670587.124000,23243875.656801,14921508010286178949,null,0,1,0
2,11,9.47,9.470000,25591644.080000,23167025.297436,844706301316953147,null,0,1,0
3,17,9.45,9.450000,25670587.124000,23243875.656801,13575339350133640537,null,0,1,0
4,23,10.53,10.530000,25503874.200000,22818610.423309,5834979808369545068,null,0,1,0
5,28,9.45,9.450000,25670587.124000,23243875.656801,2225858521084382651,null,0,1,0
6,34,9.52,9.520000,25657923.890000,23215061.084816,13964071529318666704,null,0,1,0
7,40,9.47,9.470000,25591644.080000,23167025.297436,10475899001479897097,null,0,1,0
8,46,10.07,10.070000,25670587.124000,23085479.872035,1894762743428622621,null,0,1,0
9,51,9.45,9.450000,25670587.124000,23243875.656801,18392939659909934726,null,0,1,0
10,57,9,9.000000,25561828.596000,23262255.921516,10926055034921966546,null,0,1,0
11,63,9.13,9.130000,25419419.960000,23099765.332451,6223247206059747895,null,0,1,0
12,68,9.45,9.450000,25670587.124000,23243875.656801,16450644818478286277,null,0,1,0
13,74,9.35,9.350000,25619399.200000,23225154.110935,2389706952343843674,null,0,1,0
14,79,9.04,9.040000,25561828.596000,23251185.252064,2900847185528402434,null,0,1,0
15,85,8.91,8.910000,25657923.890000,23372286.527666,9905498541555784170,null,0,1,0
16,90,8.91,8.910000,25657923.890000,23372286.527666,5040039695868804814,null,0,1,0
17,96,9.2,9.200000,25571652.320000,23219895.456925,10836046998765355984,null,0,1,0
18,101,8.91,8.910000,25657923.890000,23372286.527666,5299913758212795298,null,0,1,0
19,107,8.91,8.910000,25657923.890000,23372286.527666,1385853198327996436,null,0,1,0
20,112,8.91,8.910000,25657923.890000,23372286.527666,14604615862888333575,null,0,1,0
21,5,13.08,13.080000,25670600.000000,22312400.000000,15365607158388011512,null,1,1,0
22,11,7.74,7.740000,25573000.000000,23593900.000000,3199221968892012382,null,1,1,0
23,16,7.94,7.940000,25617700.000000,23583000.000000,5344114462705070404,null,1,1,0
24,22,7.74,7.740000,25573000.000000,23593900.000000,4608683317369400977,null,1,1,0
25,28,11.18,11.180000,25800900.000000,22916500.000000,7158819831202264530,null,1,1,0
26,34,10.83,10.830000,25827800.000000,23031300.000000,1453320563112559304,null,1,1,0
27,39,7.74,7.740000,25573000.000000,23593900.000000,792795800353044300,null,1,1,0
28,45,8.69,8.690000,25788300.000000,23548500.000000,9199578441597843506,null,1,1,0
29,51,11.11,11.110000,25866300.000000,22993600.000000,9147679709491359996,null,1,1,0
30,57,7.74,7.740000,25573000.000000,23593900.000000,17331615312292257437,null,1,1,0
31,63,7.74,7.740000,25573000.000000,23593900.000000,6658507718401648700,null,1,1,0
32,68,7.74,7.740000,25573000.000000,23593900.000000,8041964632063082034,null,1,1,0
33,74,7.74,7.740000,25573000.000000,23593900.000000,10215990133172840314,null,1,1,0
34,80,9.08,9.080000,25273300.000000,22979000.000000,4166086457934703695,null,1,1,0
35,85,11.11,11.110000,25866300.000000,22993600.000000,8458312349136750212,null,1,1,0
36,91,7.74,7.740000,25573000.000000,23593900.000000,9012103813778435520,null,1,1,0
37,97,8.11,8.110000,25677200.000000,23593700.000000,7085041091433589115,null,1,1,0
