instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
neos-4387871-tavua.mps,10,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/1_neos-4387871-tavua_seed-10_20260427_094016,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/1_neos-4387871-tavua_seed-10_20260427_094016/run.log
neos-4954672-berkel.mps,10,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/2_neos-4954672-berkel_seed-10_20260427_101609,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/2_neos-4954672-berkel_seed-10_20260427_101609/run.log
neos-5093327-huahum.mps,10,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/3_neos-5093327-huahum_seed-10_20260427_103506,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/3_neos-5093327-huahum_seed-10_20260427_103506/run.log
nexp-150-20-8-5.mps,10,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/4_nexp-150-20-8-5_seed-10_20260427_104747,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/4_nexp-150-20-8-5_seed-10_20260427_104747/run.log
rococoB10-011000.mps,10,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/5_rococoB10-011000_seed-10_20260427_121501,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/5_rococoB10-011000_seed-10_20260427_121501/run.log
sorrell3.mps,10,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/6_sorrell3_seed-10_20260427_123048,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/6_sorrell3_seed-10_20260427_123048/run.log
supportcase26.mps,10,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/7_supportcase26_seed-10_20260427_125205,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/7_supportcase26_seed-10_20260427_125205/run.log
supportcase40.mps,10,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/8_supportcase40_seed-10_20260427_130510,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/8_supportcase40_seed-10_20260427_130510/run.log
supportcase6.mps,10,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/9_supportcase6_seed-10_20260427_131728,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/9_supportcase6_seed-10_20260427_131728/run.log
var-smallemery-m6j6.mps,10,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/10_var-smallemery-m6j6_seed-10_20260427_134754,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-2/32proc/seed-10/10_var-smallemery-m6j6_seed-10_20260427_134754/run.log
