EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,14.96,14.960000,1768.264086,1503.816869,14921508010286178949,null,0,1,0
2,11,14.96,14.960000,1768.264086,1503.816869,10101538263502436884,null,0,1,0
3,17,16.42,16.420000,1789.495142,1495.633694,10346973009034893901,null,0,1,0
4,23,14.96,14.960000,1768.264086,1503.816869,635589708496059671,null,0,1,0
5,28,16.75,16.750000,1806.436790,1503.927205,5948685825087948624,null,0,1,0
6,34,14.96,14.960000,1768.264086,1503.816869,6762843893550650360,null,0,1,0
7,40,14.96,14.960000,1768.264086,1503.816869,13290681019215308220,null,0,1,0
8,46,16,16.000000,1797.987564,1510.269223,844706301316953147,null,0,1,0
9,52,14.96,14.960000,1768.264086,1503.816869,2225858521084382651,null,0,1,0
10,57,14.27,14.270000,1776.756508,1523.164741,281880667954374288,null,0,1,0
11,63,14.27,14.270000,1776.756508,1523.164741,16228430541019600017,null,0,1,0
12,69,15,15.000000,1776.756508,1510.154413,10577752034895584462,null,0,1,0
13,76,15.31,15.310000,1772.510296,1501.079019,2097133881697308039,null,0,1,0
14,81,19.25,19.250000,1768.264086,1427.800444,13539448550712089660,null,0,1,0
15,87,12.53,12.530000,1769.831886,1548.022839,6709727013648302845,null,0,1,0
16,93,12.53,12.530000,1769.831886,1548.022839,14955943753975624090,null,0,1,0
17,98,12.53,12.530000,1769.831886,1548.022839,13452363700030218706,null,0,1,0
18,104,14.81,14.810000,1789.495142,1524.457519,16685745864986985390,null,0,1,0
19,110,16.67,16.670000,1806.436791,1505.287615,98008360787580859,null,0,1,0
20,116,15.06,15.060000,1797.987564,1527.217331,13220178357884370760,null,0,1,0
21,5,16.16,16.160000,1751.280000,1468.360000,9686720361045965965,null,1,1,0
22,11,16.16,16.160000,1751.280000,1468.360000,14977320980139403669,null,1,1,0
23,17,16.16,16.160000,1751.280000,1468.360000,1871591627137445803,null,1,1,0
24,22,16.14,16.140000,1751.280000,1468.560000,7129054616402336492,null,1,1,0
25,28,18.19,18.190000,1772.510000,1450.140000,13062471542285784853,null,1,1,0
26,33,15.35,15.350000,1806.480000,1529.190000,18277935937152207419,null,1,1,0
27,39,15.35,15.350000,1806.480000,1529.190000,9200766538086312828,null,1,1,0
28,45,12.67,12.670000,1785.250000,1559.090000,16752330858243246373,null,1,1,0
29,50,10.47,10.470000,1745.120000,1562.460000,9189281409358562244,null,1,1,0
30,56,10.47,10.470000,1745.120000,1562.460000,10776650525842601690,null,1,1,0
31,62,13.83,13.830000,1785.250000,1538.260000,2191469158921011404,null,1,1,0
32,68,10.47,10.470000,1745.120000,1562.460000,4600306840755425036,null,1,1,0
33,73,13.13,13.130000,1789.500000,1554.480000,17296095403037819071,null,1,1,0
34,79,19.82,19.820000,1751.280000,1404.160000,3924170744644569250,null,1,1,0
35,85,15.19,15.190000,1810.730000,1535.650000,13139303559223478994,null,1,1,0
36,90,10.47,10.470000,1745.120000,1562.460000,15560556065545357868,null,1,1,0
37,96,10.47,10.470000,1745.120000,1562.460000,9400437455807254069,null,1,1,0
38,102,10.47,10.470000,1745.120000,1562.460000,3801909730477172673,null,1,1,0
39,107,10.47,10.470000,1745.120000,1562.460000,4145512646334212327,null,1,1,0
40,113,12.99,12.990000,1785.250000,1553.330000,11577736275477378403,null,1,1,0
41,5,18.94,18.940000,1785.250000,1447.130000,17808874148426417796,null,2,1,0
42,11,18.82,18.820000,1785.250000,1449.350000,11633543647495200375,null,2,1,0
43,16,18.82,18.820000,1785.250000,1449.350000,1620289614995745304,null,2,1,0
44,22,18.79,18.790000,1785.250000,1449.750000,7512659995048598680,null,2,1,0
45,27,19.45,19.450000,1789.500000,1441.490000,13113998047631930243,null,2,1,0
46,33,17.87,17.870000,1776.760000,1459.280000,17564859903436080210,null,2,1,0
47,39,17.58,17.580000,1776.760000,1464.340000,2102657880104202287,null,2,1,0
48,45,17.58,17.580000,1776.760000,1464.340000,1178561272845308350,null,2,1,0
49,52,17.19,17.190000,1768.260000,1464.380000,12719840466745333912,null,2,1,0
50,58,21.12,21.120000,1772.960000,1398.550000,17000445655786925486,null,2,1,0
51,64,17.19,17.190000,1768.260000,1464.380000,14582231463847921924,null,2,1,0
52,70,13.55,13.550000,1755.530000,1517.690000,743013593755464256,null,2,1,0
53,76,13.55,13.550000,1755.530000,1517.690000,10449311075726840624,null,2,1,0
54,81,16.59,16.590000,1781.000000,1485.540000,9387885306027469850,null,2,1,0
