EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.63,5.630000,50.000000,47.186667,14921508010286178949,null,0,1,0
2,11,5.63,5.630000,50.000000,47.186667,8683817217222751575,null,0,1,0
3,17,5.63,5.630000,50.000000,47.186667,9658482938002475941,null,0,1,0
4,6,5.63,5.630000,50.000000,47.186700,6439873165248256756,null,1,1,0
5,12,5.63,5.630000,50.000000,47.186700,11255561039145532449,null,1,1,0
6,6,5.63,5.630000,50.000000,47.186700,11502841505915629043,null,2,1,0
7,12,5.63,5.630000,50.000000,47.186700,9540605019386224781,null,2,1,0
8,18,5.63,5.630000,50.000000,47.186700,506689512661984095,null,2,1,0
9,6,3.7,3.700000,49.000000,47.186700,12710294232408245987,null,3,1,0
10,12,5.63,5.630000,50.000000,47.186700,14141972750826331920,null,3,1,0
11,17,3.7,3.700000,49.000000,47.186700,15280887202162191513,null,3,1,0
12,6,5.63,5.630000,50.000000,47.186700,7203309977906348516,null,4,1,0
13,12,5.63,5.630000,50.000000,47.186700,14519384315238414128,null,4,1,0
14,18,5.63,5.630000,50.000000,47.186700,9515447002698046833,null,4,1,0
15,6,5.63,5.630000,50.000000,47.186700,11465549685707380235,null,5,1,0
16,11,5.63,5.630000,50.000000,47.186700,17030026366113733906,null,5,1,0
17,17,5.63,5.630000,50.000000,47.186700,6060662746309698580,null,5,1,0
18,6,0,0.000000,48.000000,48.000000,7394199802898337926,null,6,1,0
19,6,5.63,5.630000,50.000000,47.186700,3080098593157933272,null,7,1,0
20,11,5.63,5.630000,50.000000,47.186700,5060753168353653887,null,7,1,0
21,17,5.63,5.630000,50.000000,47.186700,11978235832240639003,null,7,1,0
22,6,3.7,3.700000,49.000000,47.186700,7660889131494437032,null,8,1,0
23,11,5.63,5.630000,50.000000,47.186700,16453626465750269503,null,8,1,0
24,17,5.63,5.630000,50.000000,47.186700,4573002223051131488,null,8,1,0
25,6,3.7,3.700000,49.000000,47.186700,6983409877308215380,null,9,1,0
26,12,3.7,3.700000,49.000000,47.186700,1640541002606058455,null,9,1,0
27,17,5.63,5.630000,50.000000,47.186700,14716727224163786043,null,9,1,0
28,6,3.7,3.700000,49.000000,47.186700,14610609170315266756,null,10,1,0
29,12,3.7,3.700000,49.000000,47.186700,9703823615882460043,null,10,1,0
30,6,5.63,5.630000,50.000000,47.186700,6706892040133652921,null,11,1,0
31,11,5.63,5.630000,50.000000,47.186700,10620688448424776849,null,11,1,0
32,17,5.63,5.630000,50.000000,47.186700,1695647486865089488,null,11,1,0
33,5,5.63,5.630000,50.000000,47.186700,9317250108626102332,null,12,1,0
34,11,5.63,5.630000,50.000000,47.186700,15325070210933874443,null,12,1,0
35,16,5.63,5.630000,50.000000,47.186700,13552318020899668257,null,12,1,0
36,6,5.63,5.630000,50.000000,47.186700,2490764450321250739,null,13,1,0
37,12,5.63,5.630000,50.000000,47.186700,4935617009690665181,null,13,1,0
38,17,3.7,3.700000,49.000000,47.186700,7176950542460156385,null,13,1,0
39,6,5.63,5.630000,50.000000,47.186700,2181981743119798512,null,14,1,0
40,12,5.63,5.630000,50.000000,47.186700,12608309854765417794,null,14,1,0
41,18,5.63,5.630000,50.000000,47.186700,3217765822794501871,null,14,1,0
42,6,3.7,3.700000,49.000000,47.186700,10864511613663357953,null,15,1,0
43,12,3.7,3.700000,49.000000,47.186700,6497356203137054066,null,15,1,0
44,18,3.7,3.700000,49.000000,47.186700,5401332560696190511,null,15,1,0
45,6,5.63,5.630000,50.000000,47.186700,14677458569570314486,null,16,1,0
46,12,5.63,5.630000,50.000000,47.186700,4631746365473316568,null,16,1,0
47,17,5.63,5.630000,50.000000,47.186700,6595425795474556260,null,16,1,0
48,6,5.63,5.630000,50.000000,47.186700,15452067217501088621,null,17,1,0
49,12,5.63,5.630000,50.000000,47.186700,5320884728052159611,null,17,1,0
50,18,5.63,5.630000,50.000000,47.186700,14433648167018258407,null,17,1,0
51,6,0,0.000000,48.000000,48.000000,16021968816296531558,null,18,1,0
52,5,5.63,5.630000,50.000000,47.186700,3615627837322206061,null,19,1,0
53,11,3.7,3.700000,49.000000,47.186700,13448136500172596484,null,19,1,0
54,5,5.63,5.630000,50.000000,47.186700,17319943978227954648,null,20,1,0
55,11,5.63,5.630000,50.000000,47.186700,15017324465235751508,null,20,1,0
56,17,5.63,5.630000,50.000000,47.186700,12541590816089052941,null,20,1,0
57,6,5.63,5.630000,50.000000,47.186700,1090443527578030013,null,21,1,0
58,12,5.63,5.630000,50.000000,47.186700,8378909680248488983,null,21,1,0
59,17,3.7,3.700000,49.000000,47.186700,13217515310604823401,null,21,1,0
60,5,3.7,3.700000,49.000000,47.186700,10389350028781937263,null,22,1,0
61,11,3.7,3.700000,49.000000,47.186700,10118889309912931701,null,22,1,0
62,17,3.7,3.700000,49.000000,47.186700,13508861907009058523,null,22,1,0
63,5,3.7,3.700000,49.000000,47.186700,1207418868273169313,null,23,1,0
64,11,5.63,5.630000,50.000000,47.186700,2734284583783561773,null,23,1,0
65,17,3.7,3.700000,49.000000,47.186700,8277142352581098857,null,23,1,0
66,6,0,0.000000,48.000000,48.000000,4603836441133931136,null,24,1,0
67,5,5.63,5.630000,50.000000,47.186700,8968463704540041480,null,25,1,0
68,11,3.7,3.700000,49.000000,47.186700,4113617967576497128,null,25,1,0
69,5,3.7,3.700000,49.000000,47.186700,2753994204433874939,null,26,1,0
70,11,3.7,3.700000,49.000000,47.186700,9417459566643077199,null,26,1,0
71,17,3.7,3.700000,49.000000,47.186700,16602807838873077072,null,26,1,0
72,6,5.63,5.630000,50.000000,47.186700,5848669079666099897,null,27,1,0
73,12,3.7,3.700000,49.000000,47.186700,642382844488099512,null,27,1,0
74,5,3.7,3.700000,49.000000,47.186700,14543727364090923749,null,28,1,0
75,11,5.63,5.630000,50.000000,47.186700,12225093019322156635,null,28,1,0
76,17,3.7,3.700000,49.000000,47.186700,8156019890643243763,null,28,1,0
77,5,5.63,5.630000,50.000000,47.186700,13955683037893362227,null,29,1,0
78,11,5.63,5.630000,50.000000,47.186700,8439305722941348623,null,29,1,0
79,17,5.63,5.630000,50.000000,47.186700,10663258945079221202,null,29,1,0
80,6,5.63,5.630000,50.000000,47.186700,14994491336534599694,null,30,1,0
81,12,5.63,5.630000,50.000000,47.186700,998504675953110238,null,30,1,0
82,17,3.7,3.700000,49.000000,47.186700,6345961009947459483,null,30,1,0
83,6,5.63,5.630000,50.000000,47.186700,9199740695862864738,null,31,1,0
84,12,3.7,3.700000,49.000000,47.186700,160076774697755802,null,31,1,0
